feature,feature_score
buy_7,0.030867373140621348
carolina_17,0.02729592783180732
ceo_10,0.00835265561519416
committee_1,0.027155773497255696
committee_3,0.003858779770148811
garden_8,0.031009104878887365
garden_9,0.02496961021008497
market_3,0.0014977471307597383
ore_2,0.002475360938828804
profit_18,0.01665508947575411
seats_7,0.019694907482068223
water_11,0.01234702742148678
water_12,0.0028463723819326936
fed_18,
debt_7,
federal_2,
elected,
services,
profit_12,
police_8,
earnings,
market_1,
media,
firm_10,
buy_5,
market_4,
social_11,
short selling,
success_1,
garden_18,
kitchen_6,
market_18,
economics,
headlines_15,
oil,
carolina_4,
credit_12,
seats_8,
law,
credit,
nyse_8,
success_7,
invest,
missouri,
transaction_3,
buy_9,
success_2,
committee_10,
headlines_10,
service_7,
carolina,
seats_19,
crisis,
money,
committee_15,
headlines_5,
market_19,
nyse_15,
service_20,
water_19,
kitchen_8,
society_5,
garden_13,
movement_5,
default,
fed_15,
kitchen_9,
firm_9,
metals,
nyse_13,
buy_13,
government,
derivatives,
county_14,
garden_3,
ceo_5,
police_12,
county_5,
success_11,
arts,
debt_15,
water_17,
ceo_13,
profit_11,
committee_5,
happy,
rich,
world,
firm_11,
seats_11,
ohio,
federal_7,
firm_5,
markets,
nyse_17,
train,
firm_16,
buy_6,
bank_6,
carolina_11,
movement_20,
seats_16,
ore_16,
lifestyle,
market_20,
council,
kitchen_11,
case,
corporation,
rights_3,
nyse_19,
movement_7,
seats_9,
fed_20,
buy_15,
stock market,
district,
bank_5,
headlines_16,
transaction_11,
ore_13,
society_3,
market_10,
fed_19,
pennsylvania,
transaction_17,
bank_2,
federal_20,
investment,
chance,
consumption_18,
social_20,
transaction_5,
credit_20,
market_8,
police_19,
fed_4,
movement,
kitchen_5,
police_18,
seats_17,
kitchen_18,
financial markets,
headlines_2,
cash,
movie,
success_18,
committee_7,
headlines_20,
fed_7,
firm_18,
market_15,
county_11,
debt_4,
federal_12,
nyse_9,
buy_4,
profit,
transaction_7,
police_7,
county_19,
movement_10,
police_1,
social_13,
movement_3,
debt_16,
republican,
rights_15,
rights_5,
georgia,
debt_5,
ore_6,
act,
million,
service_17,
society_11,
gains,
movement_15,
finance_16,
nyse_20,
police_17,
labor,
police_14,
rights_18,
bank,
headlines_12,
service_16,
service_5,
service_2,
success,
buy_19,
sell,
ceo_8,
kitchen_20,
ceo_12,
police_16,
virginia,
profit_5,
social_1,
loss,
portfolio,
fine,
finance_9,
fed_5,
firm_12,
college,
kitchen,
committee_18,
wisconsin,
committee_19,
credit_5,
service_11,
water_13,
conflict,
water_15,
tennessee,
police_2,
kitchen_12,
inc,
ceo_7,
committee_6,
social_5,
headlines_6,
bubble,
companies,
political,
ore_3,
consumption_3,
water_7,
dividend,
finance_2,
ceo_6,
movement_8,
society_1,
consumption_20,
ore,
housing,
kitchen_15,
buy_20,
washington,
police_4,
police_5,
service_8,
water_9,
nyse_3,
ore_7,
movement_19,
police,
county_9,
stocks,
health,
finance_5,
county_8,
firm_4,
service_3,
water_4,
movement_6,
garden_19,
carolina_9,
dow jones,
democratic,
crash,
kitchen_7,
social_10,
transaction_19,
success_8,
nyse_1,
leverage,
rights_7,
gold,
water_5,
stats,
party,
consumption_17,
project,
travel,
gain,
federal_17,
water_14,
committee_20,
committee_12,
movement_17,
fed,
finance_6,
transaction_14,
economic,
carolina_20,
federal_13,
success_15,
transaction_10,
success_20,
transaction_4,
garden_1,
service_4,
fed_8,
texas,
target_return,
kitchen_2,
bank_20,
debt,
firm_13,
finance_19,
community,
ceo_1,
consumption_7,
ceo_20,
management,
greed,
finance_15,
ore_14,
kitchen_19,
profit_8,
market_9,
profit_6,
ltd,
fond,
committee_17,
tourism,
seats_14,
finance_10,
society_13,
fed_12,
consumption_19,
profit_15,
headlines_9,
buy,
movement_4,
society_12,
society_14,
hedge,
debt_14,
buy_10,
society_7,
finance_12,
garden_14,
minister,
headlines_17,
debt_18,
county_10,
ceo_11,
firm,
voters,
finance_7,
house,
headlines_18,
rights_14,
ceo,
federal_1,
fun,
finance_1,
police_20,
rights_11,
seats_1,
headlines,
technology,
service_1,
present,
credit_4,
credit_7,
buy_8,
police_9,
credit_15,
rights_17,
firm_17,
federal_18,
returns,
bank_1,
debt_6,
nyse_7,
ring,
carolina_18,
success_12,
members,
finance_14,
service_18,
market_16,
transaction_15,
buy_18,
society_10,
kentucky,
ceo_18,
federal_4,
firm_14,
federal_11,
bank_18,
county_20,
consumption_2,
secretary,
seats_5,
car,
garden_4,
profit_17,
movement_14,
carolina_10,
kitchen_1,
restaurant,
seats_3,
rights_13,
ceo_19,
bank_15,
county_13,
fed_10,
firm_1,
finance_11,
credit_16,
federal_5,
environment,
seats_6,
society_18,
justice,
DOW JONES,
nasdaq,
marriage,
ore_4,
county_3,
market_7,
buy_17,
society_6,
rights_12,
ore_17,
BUY AND HOLD,
transaction_16,
color,
consumption_10,
consumption_4,
credit_19,
nyse_4,
carolina_14,
transaction_8,
court,
carolina_19,
bank_4,
seats_18,
service,
trader,
buy_16,
kitchen_10,
social_3,
global,
consumption_16,
short sell,
firm_19,
rights_4,
garden_2,
security,
votes,
seats_13,
social_17,
credit_3,
firm_20,
war,
opportunity,
kitchen_4,
county_6,
energy,
nyse_12,
social,
committee_9,
carolina_5,
market_17,
food,
revenue,
market_12,
banking,
carolina_2,
county_1,
county,
profit_9,
service_13,
rights_10,
service_19,
consumption_12,
success_9,
firm_3,
police_10,
transaction_6,
water_16,
union,
movement_1,
profit_14,
carolina_16,
society_8,
market,
transaction,
market_11,
social_2,
representatives,
movement_18,
consumption_9,
nyse_14,
society_19,
debt_9,
consumption_1,
movement_12,
credit_1,
carolina_6,
service_15,
water_8,
ore_18,
nyse_16,
rights_6,
success_4,
forex,
federal_19,
ceo_3,
ministry,
federal_16,
social_19,
market_5,
profit_10,
committee_16,
credit_2,
bank_19,
service_6,
water_20,
social_12,
cancer,
business,
garden_20,
carolina_12,
federal_9,
kitchen_3,
holiday,
rights_8,
garden,
garden_6,
garden_17,
return,
debt_8,
police_6,
transaction_12,
president,
ore_1,
carolina_3,
buy_3,
fed_1,
debt_2,
rights_9,
bank_17,
ore_5,
rare earths,
fed_9,
movement_11,
service_12,
development,
served,
headlines_3,
rights_19,
county_7,
bank_10,
credit_11,
police_15,
bank_11,
rights_2,
police_3,
society_20,
profit_3,
firm_7,
bank_14,
federal_10,
garden_12,
kitchen_16,
transaction_20,
finance_18,
finance_20,
bank_8,
credit_6,
finance_3,
seats_2,
seats_12,
seats_4,
profit_19,
kitchen_14,
unemployment,
consumption_8,
debt_11,
federal_15,
ore_8,
county_18,
rights_16,
water_6,
carolina_8,
illinois,
county_16,
rights,
fed_3,
county_12,
social_6,
social_9,
debt_20,
police_11,
headlines_13,
success_5,
buy_14,
buy_1,
society_4,
transaction_1,
market_13,
committee,
seats,
governor,
market_2,
water_1,
ore_20,
consumption_6,
success_16,
social_18,
elections,
transaction_9,
firm_8,
fed_13,
credit_8,
success_10,
nyse_18,
debt_10,
debt_13,
society_16,
ceo_14,
credit_18,
social_8,
office,
county_2,
committee_13,
federal_3,
federal_6,
society,
headlines_19,
inflation,
ore_11,
garden_10,
ore_15,
nyse,
consumption_14,
firm_2,
profit_7,
market_6,
success_17,
committee_14,
water_3,
culture,
nyse_2,
success_6,
fed_11,
seats_10,
buy_12,
ceo_2,
ore_12,
seats_15,
society_2,
garden_11,
movement_2,
bank_13,
religion,
ceo_4,
credit_13,
marketing,
ceo_17,
committee_2,
county_4,
election,
carolina_1,
massachusetts,
social_16,
garden_15,
firm_15,
buy_2,
headlines_1,
consumption_11,
service_10,
finance_4,
headlines_8,
movement_16,
nyse_5,
financial,
headlines_7,
ore_9,
county_17,
consumption_5,
consumption,
committee_4,
kitchen_13,
bank_12,
police_13,
profit_1,
profit_16,
ceo_9,
kitchen_17,
social_15,
william,
fed_17,
county_15,
credit_14,
profit_20,
economy,
bank_16,
debt_3,
york,
buy_11,
transaction_18,
industry,
transaction_2,
water_18,
headlines_11,
success_3,
carolina_13,
ore_19,
consumption_13,
finance_17,
