feature,feature_score
DOW_JONES_16,0.00024325271037904382
arts_8,0.02980248989552018
arts_16,0.02284453818400528
buy_13,0.02646928827495914
ceo_17,0.014855991504434582
ceo_18,0.006331693266359075
consumption_11,0.0012248863015661467
democratic_10,0.04539670318091376
dow_jones_1,0.0027490467616446148
economics_15,0.006253349494774029
economics_20,0.02042577671148862
governor_1,0.04034716791153888
happy_19,0.008345367598430244
hedge_16,0.01603182162485659
metals_20,0.0026134477109490887
ministry_17,0.02397847243290459
ministry_18,0.027143104741437055
ministry_19,0.04382394601904158
ministry_20,0.038870742343616135
ore_5,0.017348547891466354
ore_7,0.018354993406811175
portfolio_10,0.01964006764554868
republican_1,0.0019975105370040225
ring_9,0.03870295359040135
served_11,0.0018968183414346097
travel_15,0.02059419683206236
water_15,0.0016121442288035324
world_1,0.03684596706002008
federal_9,
gold_13,
political,
default_14,
gold,
judge,
county_10,
ring_16,
democratic_18,
secretary_4,
law_5,
college_16,
kitchen_8,
law_4,
ring_13,
economics_5,
movie_20,
environment_9,
ceo_16,
texas_9,
hedge_10,
car,
gold_7,
loss_3,
college,
gold_18,
restaurant,
world_4,
freedom,
garden,
finance,
arts_5,
democratic_3,
ministry_15,
secretary_16,
governor_10,
federal_14,
ceo_19,
default_6,
management_7,
environment_12,
service_15,
secretary,
gold_2,
services_2,
services_4,
governor_15,
college_4,
ore_2,
dow_jones_10,
tourism,
global_5,
tennessee_13,
conflict_11,
service_19,
rare earths,
unemployment_11,
ltd_19,
governor_8,
transaction,
conflict_20,
leverage,
inc_7,
gold_16,
community_5,
companies_14,
service_10,
movie_14,
unemployment_8,
union_11,
housing_4,
carolina_1,
kitchen_2,
water_10,
society_15,
dow_jones_9,
community_7,
environment_16,
health_14,
representatives_17,
law_2,
texas_7,
financial_18,
bank_17,
kitchen_13,
representatives_2,
economics_11,
tennessee_18,
world_3,
democratic_19,
services_10,
cancer_11,
wisconsin_14,
banking_12,
cancer_13,
BUY AND HOLD,
development,
texas_5,
consumption_18,
seats,
service_9,
served_20,
water_19,
missouri_20,
water_14,
union_9,
cancer_7,
missouri_8,
services_8,
carolina_16,
county_15,
law_6,
founded,
inc_13,
travel_5,
services_16,
banking_5,
portfolio_6,
economics_4,
ring_4,
hedge_4,
consumption,
stats,
union_6,
consumption_10,
arts,
ceo,
bank_1,
water_16,
hedge_7,
ministry_6,
dividend,
federal_6,
governor_19,
gold_15,
arts_6,
banking_19,
lifestyle,
ltd_18,
federal_4,
service_11,
served_2,
DOW_JONES_12,
conflict_12,
hedge_5,
bank_18,
dow_jones_2,
movie_17,
union_3,
management_17,
buy_7,
portfolio_1,
gold_11,
democratic_12,
metals_18,
secretary_11,
service_17,
project,
default_3,
ltd_13,
economics_19,
earnings,
marketing,
DOW_JONES_10,
default_4,
governor_20,
ore_3,
financial_1,
union_17,
health_7,
economics_1,
tennessee,
ltd_17,
college_19,
metals_8,
representatives_9,
ring_2,
ministry_10,
buy_15,
virginia,
health_5,
ring_3,
served_18,
governor_5,
york,
financial_11,
secretary_18,
services_11,
portfolio_11,
banking,
ring_12,
inc_18,
economy,
inc_14,
DOW_JONES_13,
debt,
movie_7,
loss_12,
travel_4,
energy,
hedge_13,
democratic_9,
college_7,
services_18,
health_18,
environment_4,
unemployment_12,
global_18,
global_14,
missouri_6,
ring_10,
served_1,
county_7,
county_13,
ministry_16,
served_13,
investment,
metals_9,
gold_1,
texas_18,
cancer_8,
ltd_2,
global_9,
bank_10,
travel_20,
health_16,
served_17,
buy_4,
tennessee_9,
kitchen_12,
color,
conflict_15,
DOW_JONES_17,
dow_jones_5,
texas_16,
justice,
cancer,
texas_4,
service_14,
credit,
conflict_6,
secretary_8,
hedge_1,
carolina_6,
wisconsin_4,
republican_12,
housing_8,
union_14,
missouri_15,
loss,
union_19,
metals_3,
financial_10,
case,
wisconsin_15,
ore,
bank_4,
ceo_2,
wisconsin,
federal_3,
world_2,
district_7,
portfolio_7,
water_1,
inc_6,
DOW_JONES_14,
happy_12,
consumption_15,
democratic_20,
district_20,
financial_6,
movie_18,
society_13,
society,
ltd_3,
served_8,
representatives_14,
fond,
democratic_2,
governor_12,
republican_14,
world_11,
college_18,
secretary_3,
movie_5,
sell,
kitchen_7,
return,
world_20,
default_12,
ceo_1,
movie_6,
banking_6,
inc_19,
kitchen_10,
texas_3,
default_10,
travel_14,
community_8,
federal_19,
community_17,
global,
texas_13,
environment_19,
loss_8,
inc_17,
metals_10,
law_1,
greed,
services_13,
governor_13,
ore_10,
dow_jones_12,
ring_1,
services_3,
cancer_10,
dow jones,
district_14,
global_20,
missouri,
global_6,
environment_20,
representatives_7,
served_6,
global_11,
society_10,
happy_7,
happy_10,
train,
unemployment_2,
dow_jones_8,
economics_7,
republican_15,
ore_8,
unemployment_5,
ceo_4,
ring_15,
bank,
home,
federal_15,
management_9,
travel_13,
security,
tennessee_19,
rich,
community_16,
ceo_8,
secretary_19,
management,
DOW_JONES_19,
missouri_7,
ore_14,
gold_9,
travel,
health_20,
conflict_8,
county_16,
missouri_4,
society_14,
federal_2,
loss_11,
world_19,
wisconsin_17,
movie_9,
food,
marriage,
carolina_2,
law_14,
community_1,
financial_2,
district_17,
travel_9,
health_11,
health_19,
cancer_4,
union,
economics_13,
county_8,
religion,
travel_2,
union_12,
inc_20,
inc,
housing_18,
district_3,
secretary_15,
services_19,
service_1,
governor,
ceo_6,
district_4,
representatives_10,
global_19,
texas_11,
county_5,
portfolio_13,
ring_5,
ministry_3,
water_2,
housing_14,
loss_6,
default_5,
minister,
district,
kitchen_9,
arts_1,
portfolio_15,
banking_11,
bank_9,
democratic_8,
ministry_7,
success,
governor_9,
kitchen_15,
financial_19,
federal_5,
DOW JONES,
consumption_4,
loss_15,
bank_11,
profit,
served_9,
district_8,
district_16,
gold_17,
buy_11,
kitchen_11,
loss_19,
community_20,
metals_19,
health_8,
law_8,
federal_13,
representatives_1,
happy_1,
happy_11,
products,
service_13,
default_1,
college_17,
economics_9,
secretary_9,
wisconsin_10,
wisconsin_5,
companies_13,
served_14,
environment_11,
conflict_14,
environment_1,
banking_10,
default_15,
health_4,
ore_11,
hedge_8,
act,
society_4,
wisconsin_19,
risk,
hedge_20,
governor_2,
federal_1,
carolina,
movie_3,
gold_3,
global_8,
environment_7,
missouri_11,
world,
inc_1,
happy_17,
loss_5,
management_1,
district_10,
texas_2,
financial_17,
housing_9,
wisconsin_13,
companies_16,
law_15,
world_12,
society_5,
cancer_12,
society_17,
president,
companies_8,
federal_8,
arts_17,
republican_16,
texas_6,
gold_12,
short sell,
bubble,
happy_5,
hedge_17,
tennessee_4,
union_13,
democratic_7,
happy_20,
ceo_15,
county_1,
served_12,
tennessee_7,
unemployment,
bank_19,
hedge_12,
buy_18,
nasdaq,
global_15,
district_15,
health_15,
services_5,
happy_15,
water_11,
ore_16,
environment_13,
county_17,
travel_16,
unemployment_3,
service,
buy_14,
served_19,
housing_13,
society_6,
law,
opportunity,
missouri_13,
consumption_12,
dow_jones_3,
economics_16,
default_11,
county_11,
global_3,
wisconsin_16,
kentucky,
office,
bank_16,
pennsylvania,
DOW_JONES_18,
management_6,
water_5,
republican_13,
banking_17,
law_9,
economics_10,
loss_10,
wisconsin_1,
ring_17,
tennessee_3,
tennessee_10,
default_2,
cancer_9,
ore_13,
metals_11,
law_11,
financial_4,
county_4,
DOW_JONES_3,
DOW_JONES_2,
governor_3,
health_13,
republican_10,
secretary_14,
tennessee_11,
texas_1,
world_18,
cancer_15,
society_7,
society_8,
dow_jones_15,
governor_4,
governor_6,
media,
happy_4,
housing_2,
republican_17,
management_11,
gain,
housing_17,
portfolio_4,
travel_6,
democratic_16,
environment_2,
consumption_17,
law_3,
served_7,
consumption_16,
movie_19,
portfolio_17,
travel_19,
ceo_5,
portfolio_12,
secretary_1,
fine,
tennessee_12,
companies_6,
county_6,
health_1,
conflict_1,
secretary_20,
carolina_9,
banking_18,
blacklist,
ring_18,
representatives,
society_9,
society_18,
ltd_10,
movie_16,
representatives_15,
ceo_11,
wisconsin_2,
health,
governor_14,
banking_7,
kitchen_18,
services_6,
economics_18,
ceo_3,
ring_20,
served_15,
ltd_8,
industry,
DOW_JONES_20,
tennessee_8,
union_10,
unemployment_10,
dow_jones_11,
growth,
law_18,
movie,
movie_15,
elected,
community_2,
housing_3,
DOW_JONES_11,
law_17,
water_12,
representatives_20,
conflict_5,
bank_8,
conflict_19,
arts_3,
housing_10,
senate,
financial,
companies_15,
gold_19,
tennessee_17,
ministry_4,
travel_7,
companies_7,
companies_19,
tennessee_6,
college_1,
economics_14,
secretary_6,
buy_6,
ceo_14,
happy_6,
wisconsin_20,
oil,
management_14,
community_19,
wisconsin_11,
economics_3,
inc_16,
missouri_3,
ore_1,
dow_jones_17,
default_20,
travel_12,
community,
unemployment_9,
banking_14,
ltd_16,
bank_20,
texas_8,
metals_12,
social,
hedge_9,
election,
buy_5,
trader,
missouri_5,
ministry_13,
cancer_5,
county,
college_2,
federal_7,
metals_7,
georgia,
portfolio_8,
loss_1,
management_12,
services_17,
ltd,
law_7,
college_14,
gains,
housing,
texas_17,
firm,
environment_5,
ministry_14,
companies_17,
happy_16,
health_9,
consumption_8,
inc_15,
bank_13,
carolina_19,
district_18,
service_2,
conflict_3,
companies,
wisconsin_8,
ring_14,
cancer_20,
republican_8,
water_4,
cancer_17,
union_5,
financial_20,
ceo_12,
hedge_14,
republican_6,
default_18,
dow_jones_13,
missouri_16,
democratic_6,
ltd_11,
union_7,
served_16,
cancer_3,
wisconsin_9,
unemployment_15,
happy_13,
health_12,
service_5,
companies_12,
world_6,
ministry_11,
ceo_20,
democratic_1,
travel_11,
world_15,
water_3,
served,
health_2,
happy,
housing_15,
county_12,
world_10,
economics_6,
william,
companies_1,
unemployment_4,
loss_17,
conflict_13,
college_15,
loss_2,
gold_6,
tennessee_15,
union_8,
buy_20,
companies_2,
services_20,
consumption_5,
metals_5,
business,
water_17,
world_17,
secretary_17,
unemployment_6,
ministry_2,
democratic_11,
consumption_13,
carolina_12,
water_7,
ltd_14,
society_3,
housing_20,
community_14,
stock market,
travel_1,
society_11,
carolina_17,
environment,
water,
cancer_6,
services,
financial_13,
services_12,
texas,
movement,
governor_17,
unemployment_16,
banking_8,
carolina_7,
wisconsin_6,
republican_19,
community_4,
housing_7,
vermont,
movie_4,
ore_9,
buy_3,
loss_18,
companies_18,
unemployment_19,
default,
ltd_1,
ministry_5,
crisis,
county_18,
housing_1,
forex,
representatives_11,
global_12,
housing_19,
law_10,
default_7,
police,
representatives_12,
travel_17,
carolina_11,
services_14,
democratic,
portfolio,
community_6,
gold_20,
management_8,
democratic_14,
management_18,
environment_17,
arts_11,
buy_2,
housing_11,
conflict_7,
inc_11,
conflict_16,
metals_1,
service_20,
dow_jones_14,
management_13,
culture,
financial_3,
health_17,
society_1,
economics_2,
ltd_6,
metals_4,
law_13,
ring_7,
federal_17,
buy_9,
college_13,
consumption_1,
party,
travel_3,
dow_jones_6,
union_4,
bank_3,
unemployment_13,
county_14,
voters,
democratic_13,
fun,
bank_12,
banking_9,
management_20,
service_6,
ring_19,
missouri_12,
district_6,
cancer_18,
global_17,
secretary_5,
representatives_3,
water_18,
global_10,
hedge_3,
arts_7,
hedge_15,
conflict,
DOW_JONES_7,
revenue,
governor_18,
health_10,
union_15,
movie_12,
unemployment_7,
dow_jones_16,
kitchen_16,
republican,
inc_12,
society_20,
DOW_JONES_1,
management_19,
representatives_13,
secretary_12,
metals_13,
buy_8,
federal_20,
happy_3,
companies_4,
inc_2,
texas_14,
college_6,
unemployment_1,
target_return,
world_13,
bonds,
companies_3,
happy_14,
hedge_6,
service_18,
kitchen_4,
portfolio_19,
republican_20,
tennessee_2,
stocks,
banking_4,
banking_16,
college_20,
cancer_19,
banking_15,
arts_15,
county_2,
hedge_19,
representatives_18,
union_1,
global_16,
DOW_JONES_4,
travel_8,
DOW_JONES_5,
served_5,
secretary_13,
served_4,
ministry_1,
union_2,
community_11,
movie_2,
federal_10,
members,
ohio,
tennessee_5,
service_3,
environment_8,
cancer_2,
representatives_16,
washington,
wisconsin_7,
ltd_4,
default_17,
unemployment_18,
consume,
banking_3,
nyse,
economic,
district_9,
movie_13,
fed,
secretary_10,
arts_14,
