feature,feature_score
cash_9,0.01712225123773628
cash_10,0.01666119626106613
council_19,0.0019677499751810383
election_3,0.038094721693386326
freedom_5,0.00398198260615662
freedom_7,0.006780222855796822
president_12,0.0024847008940318428
republican_2,0.007067598625135384
secretary_18,0.023788956460661127
success_6,0.004385279082101712
elections_14,
elections_18,
elected,
services,
voters_4,
politics_3,
earnings,
politics_9,
media,
politics_1,
voters_13,
elections_16,
short selling,
election_10,
cash_11,
election_1,
success_1,
president_9,
founded_18,
economic_5,
metals_3,
economics,
voters_16,
oil,
republican_1,
law,
credit,
success_7,
invest,
missouri,
political_17,
success_2,
opportunity_9,
political_9,
metals_20,
voters_20,
judge_9,
carolina,
crisis,
voters_18,
money,
cash_16,
movement_5,
default,
election_19,
metals,
elections_20,
election_16,
senate_15,
government,
derivatives,
election_18,
success_11,
arts,
council_16,
freedom_11,
council_1,
election_14,
secretary_5,
happy,
secretary_13,
rich,
world,
politics_4,
ohio,
markets,
train,
cash_4,
economic_2,
voters_5,
election_12,
movement_20,
senate_1,
politics_18,
lifestyle,
council,
cash_20,
case,
corporation,
kentucky_19,
movement_7,
metals_5,
secretary_1,
stock market,
economic_18,
district,
president_1,
elections_17,
judge_17,
senate_14,
president_18,
elections_15,
pennsylvania,
founded_17,
investment,
chance,
republican_19,
kentucky_5,
economic_12,
voters_10,
election_4,
founded_5,
movement,
financial markets,
kentucky_8,
judge_13,
cash,
movie,
founded_8,
success_18,
politics_12,
opportunity_12,
politics_2,
secretary_20,
profit,
cash_2,
movement_10,
movement_3,
voters_9,
republican,
judge_1,
cash_14,
georgia,
act,
million,
secretary_2,
economic_13,
voters_19,
judge_16,
gains,
council_10,
council_17,
movement_15,
political_20,
politics_17,
elections_8,
freedom_18,
labor,
election_8,
bank,
founded_11,
metals_6,
republican_6,
success,
sell,
secretary_10,
kentucky_10,
elections_6,
kentucky_20,
republican_3,
cash_3,
virginia,
elections_11,
election_5,
loss,
portfolio,
fine,
council_5,
judge_6,
metals_12,
college,
founded_1,
election_11,
kitchen,
kentucky_12,
wisconsin,
senate_7,
conflict,
secretary_6,
tennessee,
freedom_6,
opportunity_19,
inc,
bubble,
senate_11,
companies,
secretary_3,
voters_12,
political,
secretary_4,
dividend,
movement_8,
ore,
housing,
washington,
founded_6,
freedom_2,
politics_13,
movement_19,
police,
stocks,
health,
founded_12,
republican_15,
movement_6,
judge_5,
kentucky_16,
dow jones,
democratic,
crash,
election_9,
founded_16,
freedom_4,
success_8,
leverage,
president_13,
gold,
stats,
party,
senate_5,
project,
travel,
gain,
movement_17,
founded_3,
fed,
judge_4,
economic,
secretary_16,
success_15,
success_20,
president_6,
economic_14,
opportunity_2,
republican_20,
texas,
secretary_15,
target_return,
president_5,
economic_7,
political_18,
debt,
kentucky_11,
metals_17,
republican_8,
judge_19,
community,
management,
greed,
political_1,
politics_15,
voters_7,
voters_1,
election_20,
opportunity_20,
economic_10,
freedom_10,
opportunity_1,
judge_18,
republican_4,
elections_5,
ltd,
fond,
judge_3,
president_2,
freedom_8,
tourism,
president_10,
president_16,
senate_13,
president_19,
senate_9,
election_6,
president_8,
secretary_8,
buy,
movement_4,
hedge,
republican_14,
metals_4,
minister,
president_15,
freedom_13,
firm,
voters,
opportunity_14,
house,
ceo,
fun,
headlines,
technology,
elections_19,
cash_7,
freedom_19,
present,
voters_11,
judge_15,
senate_16,
returns,
ring,
success_12,
members,
kentucky_7,
kentucky,
judge_7,
judge_12,
founded_2,
political_4,
metals_1,
secretary,
council_7,
opportunity_17,
car,
movement_14,
republican_5,
opportunity_13,
restaurant,
founded_15,
voters_8,
political_8,
election_2,
kentucky_3,
environment,
justice,
DOW JONES,
nasdaq,
marriage,
judge_14,
economic_9,
elections_9,
BUY AND HOLD,
republican_10,
color,
freedom_1,
cash_5,
court,
voters_15,
economic_11,
service,
trader,
metals_10,
global,
short sell,
political_12,
elections_3,
security,
votes,
cash_13,
senate_20,
metals_2,
war,
opportunity,
opportunity_8,
energy,
election_17,
senate_6,
social,
council_12,
judge_8,
politics_16,
food,
revenue,
banking,
council_2,
republican_13,
county,
kentucky_4,
republican_7,
success_9,
secretary_19,
economic_17,
union,
movement_1,
market,
economic_6,
transaction,
opportunity_16,
political_16,
representatives,
movement_18,
president_3,
metals_14,
judge_20,
movement_12,
council_11,
founded_10,
freedom_3,
senate_3,
success_4,
forex,
ministry,
political_13,
politics_5,
kentucky_1,
freedom_9,
founded_4,
politics_19,
election_15,
metals_18,
political_11,
cancer,
politics_10,
business,
politics_14,
council_4,
metals_16,
holiday,
garden,
metals_7,
president_11,
return,
president,
council_9,
metals_15,
freedom_20,
cash_8,
secretary_17,
senate_4,
rare earths,
council_3,
secretary_14,
movement_11,
development,
served,
president_17,
council_13,
political_10,
secretary_11,
economic_15,
founded_9,
opportunity_3,
politics_6,
elections_12,
elections_10,
unemployment,
political_6,
opportunity_6,
politics_7,
judge_10,
voters_3,
secretary_7,
illinois,
economic_3,
republican_9,
rights,
founded_19,
kentucky_9,
economic_8,
republican_16,
political_3,
success_5,
republican_11,
elections_4,
elections_2,
metals_19,
committee,
council_8,
seats,
founded_14,
governor,
freedom_17,
political_15,
success_16,
elections,
opportunity_15,
voters_14,
political_19,
secretary_9,
politics_20,
senate_17,
success_10,
council_14,
office,
senate_2,
cash_18,
president_20,
kentucky_2,
freedom_16,
senate_19,
politics_11,
society,
senate_8,
inflation,
opportunity_7,
elections_13,
nyse,
republican_17,
success_17,
freedom_14,
elections_1,
voters_6,
culture,
metals_9,
economic_19,
political_5,
freedom_12,
movement_2,
judge_11,
cash_19,
religion,
founded_20,
marketing,
voters_2,
metals_13,
election,
economic_20,
cash_1,
massachusetts,
opportunity_11,
judge_2,
economic_16,
opportunity_18,
cash_12,
kentucky_6,
president_14,
movement_16,
senate_12,
financial,
cash_15,
metals_11,
secretary_12,
consumption,
senate_10,
election_13,
opportunity_4,
william,
cash_17,
economy,
kentucky_13,
york,
council_15,
freedom_15,
industry,
metals_8,
political_7,
kentucky_17,
success_3,
legal,
republican_18,
finance,
council_18,
council_6,
economic_4,
home,
water,
republican_12,
election_7,
senate,
bonds,
risk,
economic_1,
founded,
elections_7,
judge,
movement_9,
president_4,
freedom,
politics,
kentucky_14,
president_7,
kentucky_15,
products,
vermont,
federal,
growth,
politics_8,
kentucky_18,
success_13,
opportunity_5,
council_20,
success_14,
political_2,
senate_18,
founded_13,
founded_7,
opportunity_10,
political_14,
cash_6,
success_19,
consume,
movement_13,
voters_17,
blacklist,
