feature,feature_score
bubble_14,0.04058486732948071
cancer_4,0.016551012676798465
crash_6,0.048540756468504864
gains_9,0.009926766247432186
gains_19,0.004139299647955015
gains_20,0.04347172399790863
home_1,0.00030281770890915006
justice_6,0.01596957273474398
money_4,0.025265915512006677
risk_1,0.04468654967964823
risk_12,0.041801088144276854
trader_4,0.0008354243204055698
trader_9,0.03234947410663765
trader_11,0.021808707135276655
vermont_17,0.034775013123081615
vermont_19,0.006906260814463742
vermont_20,0.03661605182131491
voters_2,0.03256923940682936
william_5,0.013928004338127443
william_19,
elected,
services,
food_11,
voters_4,
tourism_8,
bubble_5,
police_8,
earnings,
media,
money_1,
voters_13,
home_17,
labor_16,
short selling,
freedom_5,
william_2,
william_16,
earnings_20,
housing_10,
war_19,
economics,
home_8,
voters_16,
oil,
loss_1,
tourism_19,
loss_20,
law,
credit,
seats_8,
crash_2,
invest,
missouri,
loss_10,
war_9,
housing_18,
voters_20,
carolina,
trader_14,
seats_19,
crisis,
voters_18,
york_19,
money,
food_18,
trader_16,
gains_4,
gains_6,
tourism_1,
loss_15,
justice_8,
society_5,
banking_17,
gains_1,
default,
vermont_13,
metals,
money_2,
war_4,
war_13,
government,
derivatives,
police_12,
seats_7,
earnings_5,
cancer_9,
arts,
justice_5,
freedom_11,
bubble_15,
happy,
loss_3,
rich,
world,
loss_8,
seats_11,
war_5,
ohio,
food_16,
york_3,
markets,
train,
money_10,
loss_14,
banking_11,
voters_5,
war_8,
justice_2,
william_11,
crash_11,
housing_13,
seats_16,
lifestyle,
council,
earnings_1,
case,
corporation,
labor_6,
seats_9,
stock market,
money_15,
district,
william_15,
crash_19,
risk_14,
hedge_18,
loss_13,
society_3,
housing_20,
pennsylvania,
crash_17,
home_15,
investment,
chance,
crash_7,
vermont_5,
tourism_4,
war_11,
trader_17,
money_18,
global_19,
voters_10,
police_19,
movement,
tourism_6,
home_19,
police_18,
seats_17,
financial markets,
cash,
movie,
labor_5,
crash_15,
trader_13,
gains_10,
york_11,
hedge_11,
home_20,
justice_12,
profit,
cancer_14,
bubble_1,
william_7,
police_7,
police_1,
freedom_7,
vermont_4,
voters_9,
republican,
banking_18,
georgia,
act,
earnings_14,
million,
earnings_4,
voters_19,
society_11,
gains,
justice_11,
william_6,
hedge_2,
justice_19,
police_17,
freedom_18,
labor,
police_14,
bubble_17,
bank,
bubble_12,
earnings_12,
cancer_15,
global_7,
william_17,
global_16,
gains_16,
success,
sell,
war_20,
police_16,
vermont_11,
crash_3,
risk_20,
gains_11,
virginia,
justice_15,
loss,
portfolio,
fine,
risk_17,
vermont_14,
college,
cancer_18,
banking_4,
kitchen,
war_2,
wisconsin,
loss_19,
conflict,
war_10,
tennessee,
justice_1,
freedom_6,
police_2,
vermont_12,
york_8,
tourism_14,
inc,
money_11,
bubble,
companies,
money_7,
voters_12,
political,
war_15,
dividend,
society_1,
ore,
housing,
housing_11,
justice_16,
washington,
police_4,
police_5,
freedom_2,
housing_9,
labor_10,
labor_20,
police,
stocks,
health,
justice_10,
tourism_18,
dow jones,
crash_20,
democratic,
crash,
earnings_2,
freedom_4,
york_18,
labor_14,
leverage,
york_16,
gold,
tourism_13,
stats,
party,
tourism_2,
labor_11,
project,
travel,
gain,
cancer_10,
vermont_18,
fed,
economic,
tourism_20,
crash_9,
risk_3,
bubble_4,
banking_20,
money_8,
texas,
target_return,
money_3,
debt,
bubble_10,
loss_12,
labor_18,
community,
money_16,
trader_5,
crash_10,
management,
greed,
bubble_13,
risk_5,
tourism_9,
global_12,
york_14,
banking_2,
home_11,
voters_7,
voters_1,
vermont_16,
global_13,
labor_9,
earnings_17,
home_12,
freedom_10,
ltd,
fond,
york_2,
bubble_11,
crash_8,
freedom_8,
tourism,
banking_13,
seats_14,
society_13,
risk_6,
buy,
society_12,
society_14,
hedge,
society_7,
minister,
freedom_13,
crash_18,
housing_15,
firm,
voters,
house,
global_10,
ceo,
fun,
food_3,
police_20,
earnings_19,
seats_1,
headlines,
technology,
freedom_19,
present,
voters_11,
vermont_3,
hedge_7,
police_9,
trader_2,
william_13,
earnings_18,
banking_3,
trader_6,
housing_2,
cancer_6,
returns,
ring,
crash_12,
york_12,
members,
society_10,
kentucky,
william_10,
global_15,
secretary,
bubble_20,
seats_5,
trader_1,
car,
hedge_14,
crash_16,
hedge_19,
money_13,
food_14,
justice_14,
restaurant,
seats_3,
voters_8,
war_12,
crash_1,
york_5,
environment,
bubble_8,
seats_6,
society_18,
justice,
DOW JONES,
nasdaq,
marriage,
gains_13,
labor_17,
housing_5,
society_6,
vermont_6,
