feature,feature_score
bubble_6,0.01833030738630896
cancer_1,0.02489068746278248
cancer_7,0.049196858106080946
carolina_2,0.02739689203905061
garden_3,0.009077316020478692
garden_5,0.024237211000112065
home_5,0.006830830932547655
inc_1,0.003536349166185031
inflation_10,0.02612867857830211
million_6,0.03668134584445603
million_12,0.04824561279727329
office_15,7.09692144505337e-05
president_12,0.04771247099097521
religion_10,0.025928470508437447
security_15,0.0028471628196628696
trader_1,0.04165893840847707
district_16,
technology_20,
profit_12,
william_19,
elected,
services,
food_11,
health_14,
happy_11,
marketing_17,
religion_16,
bubble_5,
police_8,
earnings,
inflation_20,
media,
firm_10,
gain_16,
home_17,
georgia_20,
short selling,
products_1,
william_2,
william_16,
president_9,
garden_18,
kitchen_6,
economics,
home_8,
companies_5,
oil,
carolina_4,
invest_12,
district_6,
inc_10,
legal_10,
law,
credit,
district_1,
invest_5,
invest,
missouri,
security_4,
committee_10,
products_2,
carolina,
inflation_3,
trader_14,
york_19,
crisis,
health_10,
invest_17,
money,
invest_18,
corporation_3,
corporation_13,
committee_15,
portfolio_13,
food_18,
trader_16,
kitchen_8,
invest_1,
marketing_15,
justice_8,
garden_13,
default,
happy_13,
law_5,
inflation_19,
kitchen_9,
products_11,
happy_17,
firm_9,
metals,
invest_8,
happy_5,
corporation_9,
security_9,
companies_14,
technology_12,
government,
derivatives,
police_12,
law_6,
invest_19,
cancer_9,
arts,
justice_5,
profit_11,
bubble_15,
committee_5,
happy,
companies_20,
secretary_5,
religion_1,
rich,
world,
corporation_2,
firm_11,
products_4,
secretary_13,
happy_3,
ohio,
food_16,
york_3,
firm_5,
markets,
security_3,
train,
firm_16,
marketing_3,
texas_16,
georgia_5,
legal_19,
carolina_11,
products_18,
office_9,
justice_2,
william_11,
technology_13,
million_8,
lifestyle,
health_4,
council,
kitchen_11,
case,
corporation,
rights_3,
invest_7,
secretary_1,
happy_2,
stock market,
district_17,
district,
william_15,
portfolio_5,
president_1,
invest_2,
inc_17,
corporation_8,
president_18,
pennsylvania,
home_15,
technology_11,
investment,
chance,
district_9,
invest_11,
inc_12,
trader_17,
health_1,
home_1,
community_19,
kitchen_5,
movement,
community_17,
home_19,
police_19,
products_13,
police_18,
inflation_15,
financial markets,
kitchen_18,
security_11,
cash,
movie,
security_18,
committee_7,
trader_13,
million_4,
firm_18,
companies_11,
district_4,
york_11,
home_20,
justice_12,
inc_19,
secretary_20,
gain_13,
profit,
georgia_6,
inc_14,
cancer_14,
bubble_1,
william_7,
police_7,
companies_10,
texas_5,
police_1,
technology_4,
republican,
rights_15,
office_4,
rights_5,
georgia,
georgia_18,
act,
gain_10,
million,
secretary_2,
gains,
justice_11,
william_6,
texas_13,
justice_19,
police_17,
labor,
office_2,
office_3,
million_11,
police_14,
bubble_17,
rights_18,
bank,
bubble_12,
community_12,
community_15,
community_4,
cancer_15,
william_17,
happy_12,
community_18,
legal_1,
marketing_8,
success,
kitchen_20,
sell,
technology_5,
district_5,
district_19,
police_16,
secretary_10,
religion_3,
virginia,
legal_7,
companies_3,
justice_15,
legal_4,
profit_5,
loss,
portfolio,
fine,
companies_4,
firm_12,
law_17,
college,
community_9,
cancer_18,
justice_6,
kitchen,
committee_18,
wisconsin,
committee_19,
religion_2,
inc_13,
inflation_14,
conflict,
secretary_6,
tennessee,
gain_17,
justice_1,
kitchen_12,
police_2,
york_8,
inc,
office_20,
corporation_11,
legal_20,
community_2,
community_14,
committee_6,
corporation_7,
million_17,
trader_9,
products_6,
bubble,
technology_17,
companies,
secretary_3,
political,
gain_1,
inc_15,
health_11,
inflation_2,
secretary_4,
technology_8,
dividend,
committee_1,
products_20,
legal_6,
security_2,
ore,
marketing_1,
housing,
kitchen_15,
justice_16,
washington,
police_4,
police_5,
religion_18,
georgia_2,
georgia_8,
legal_11,
inflation_18,
million_15,
police,
stocks,
health,
justice_10,
marketing_6,
portfolio_7,
district_14,
firm_4,
companies_2,
georgia_17,
community_6,
marketing_10,
garden_19,
carolina_9,
happy_20,
dow jones,
security_7,
democratic,
crash,
gain_20,
legal_9,
million_10,
york_18,
kitchen_7,
rights_7,
leverage,
president_13,
gold,
york_16,
stats,
party,
technology_18,
health_5,
project,
travel,
gain,
happy_16,
cancer_10,
committee_20,
committee_12,
inflation_9,
fed,
corporation_4,
law_9,
economic,
portfolio_20,
corporation_20,
carolina_20,
law_20,
invest_3,
secretary_16,
bubble_14,
security_12,
texas_12,
portfolio_9,
president_6,
happy_7,
invest_13,
portfolio_3,
garden_1,
bubble_4,
inflation_11,
texas,
secretary_15,
security_6,
office_8,
invest_14,
target_return,
president_5,
kitchen_2,
products_9,
debt,
bubble_10,
firm_13,
marketing_13,
portfolio_19,
community,
million_16,
trader_5,
texas_15,
corporation_12,
management,
greed,
bubble_13,
companies_19,
georgia_16,
georgia_19,
york_14,
religion_12,
home_11,
kitchen_19,
marketing_20,
million_14,
georgia_10,
portfolio_8,
home_12,
profit_8,
secretary_18,
legal_14,
religion_7,
profit_6,
ltd,
fond,
committee_17,
bubble_11,
gain_7,
law_8,
million_7,
happy_8,
president_2,
portfolio_14,
texas_3,
tourism,
president_10,
president_16,
georgia_4,
president_19,
health_12,
