feature,feature_score
bonds_1,0.030816261015205754
environment_17,0.0023948374514346795
fine_1,0.0043256657195201555
fine_5,0.017766753630997906
forex_17,0.0182846499803751
forex_19,0.001117480508016286
founded_5,0.0025083987877976975
founded_8,0.01793528077169624
founded_14,0.0056249136846527915
founded_16,0.020966262674377976
home_9,0.00018352032100545107
home_14,0.03737657091222323
home_15,0.0016579301488015518
home_16,0.0009901484901224291
labor_12,0.04449926495234204
labor_17,0.04440105750110386
opportunity_1,0.00322114577680034
debt_7,
william_19,
elected,
services,
earnings,
media,
home_17,
buy_5,
forex_2,
labor_16,
short selling,
act_2,
william_2,
unemployment_13,
william_16,
president_9,
founded_18,
garden_18,
economics,
home_8,
oil,
law,
credit,
invest,
missouri,
political_17,
bonds_15,
buy_9,
opportunity_9,
political_9,
unemployment_11,
carolina,
fine_16,
crisis,
money,
dividend_15,
unemployment_9,
garden_13,
default,
unemployment_18,
metals,
buy_13,
government,
derivatives,
garden_3,
fine_18,
arts,
debt_15,
bonds_9,
happy,
rich,
world,
bonds_8,
forex_7,
fine_3,
ohio,
markets,
train,
dividend_10,
buy_6,
environment_4,
bonds_3,
fine_19,
william_11,
lifestyle,
council,
case,
corporation,
labor_6,
act_16,
buy_15,
dividend_13,
stock market,
district,
william_15,
president_1,
president_18,
dividend_3,
pennsylvania,
founded_17,
investment,
chance,
consumption_18,
forex_15,
home_1,
unemployment_15,
movement,
home_19,
financial markets,
cash,
movie,
labor_5,
dividend_17,
bonds_18,
environment_2,
home_20,
debt_4,
opportunity_12,
buy_4,
profit,
william_7,
debt_16,
republican,
fine_14,
georgia,
debt_5,
act,
million,
gains,
william_6,
political_20,
labor,
bank,
founded_11,
dividend_19,
act_19,
dividend_16,
william_17,
success,
buy_19,
sell,
environment_16,
unemployment_4,
buy_7,
virginia,
fine_11,
unemployment_10,
environment_1,
loss,
portfolio,
fine,
act_13,
bonds_19,
college,
founded_1,
kitchen,
wisconsin,
dividend_12,
act_20,
act_4,
conflict,
tennessee,
opportunity_19,
inc,
fine_7,
bubble,
act_8,
companies,
political,
consumption_3,
fine_17,
dividend,
consumption_20,
ore,
housing,
buy_20,
washington,
founded_6,
labor_10,
labor_20,
police,
stocks,
health,
founded_12,
act_9,
garden_19,
dow jones,
democratic,
crash,
labor_14,
act_10,
leverage,
president_13,
gold,
