feature,feature_score
cash_10,9.784766838675623e-05
cash_17,0.032778954830077825
cash_19,0.018210090628288107
cash_20,0.00245009161480197
color_15,0.028772078628227296
council_8,0.0020898303552594013
debt_13,0.012039134116856868
fine_3,0.008676474802593537
gold_5,0.043127824922450285
growth_17,0.0017837997597215125
home_9,0.008007164694275875
loss_4,0.0004191546756104247
management_7,0.03086592768834727
management_12,0.02793269548008281
metals_5,0.004374326978552628
metals_15,0.0396280076485731
movie_7,0.01072124537873195
portfolio_6,0.011436395683088964
rich_17,0.011694370860310827
rights_18,0.0017373660802821541
ring_5,0.0005125298963477986
virginia_11,0.009514374379924187
virginia_12,0.04902870503894765
debt_7,
gold_6,
elected,
services,
color_13,
movie_9,
stock_market_11,
union_14,
william_19,
earnings,
media,
gold_12,
home_17,
short selling,
freedom_5,
act_2,
cash_11,
william_2,
william_16,
metals_3,
economics,
home_8,
oil,
movie_1,
loss_1,
loss_20,
law,
credit,
union_18,
invest,
missouri,
loss_10,
metals_20,
carolina,
fine_16,
crisis,
global_18,
management_17,
money,
cash_16,
movie_19,
growth_13,
portfolio_13,
growth_18,
loss_15,
default,
metals,
default_1,
government,
derivatives,
fine_18,
gold_4,
arts,
council_16,
debt_15,
freedom_11,
gold_17,
council_1,
growth_5,
happy,
color_20,
loss_3,
rich,
world,
loss_8,
ohio,
fine_1,
markets,
growth_4,
train,
loss_14,
cash_4,
fine_19,
default_3,
movie_16,
union_8,
william_11,
lifestyle,
council,
case,
corporation,
color_11,
movie_4,
rights_3,
act_16,
color_1,
stock market,
union_15,
district,
william_15,
portfolio_5,
gold_3,
loss_13,
pennsylvania,
growth_8,
home_15,
ring_18,
investment,
chance,
default_18,
rich_12,
home_1,
global_19,
movement,
home_19,
financial markets,
gold_16,
cash,
movie,
default_4,
home_20,
management_13,
rich_13,
stock_market_10,
debt_4,
profit,
cash_2,
stock_market_9,
stock_market_8,
william_7,
freedom_7,
color_4,
debt_16,
republican,
ring_15,
fine_14,
rights_15,
cash_14,
rights_5,
stock_market_4,
georgia,
debt_5,
act,
growth_14,
million,
gains,
council_10,
council_17,
william_6,
stock_market_2,
freedom_18,
labor,
bank,
metals_6,
rich_10,
act_19,
default_6,
global_7,
william_17,
global_16,
success,
sell,
default_2,
cash_3,
virginia,
fine_11,
movie_18,
loss,
portfolio,
fine,
act_13,
default_14,
council_5,
metals_12,
union_13,
college,
rich_8,
management_9,
kitchen,
wisconsin,
act_20,
loss_19,
act_4,
conflict,
stock_market_18,
tennessee,
ring_19,
freedom_6,
management_5,
stock_market_1,
growth_20,
inc,
fine_7,
bubble,
act_8,
companies,
political,
fine_17,
dividend,
gold_11,
ore,
growth_7,
housing,
washington,
freedom_2,
management_3,
default_10,
police,
stocks,
health,
portfolio_7,
gold_1,
act_9,
ring_8,
rich_11,
ring_20,
dow jones,
democratic,
crash,
default_13,
freedom_4,
virginia_5,
growth_2,
act_10,
leverage,
growth_3,
gold,
rights_7,
stats,
party,
project,
travel,
gain,
movie_2,
fed,
portfolio_20,
economic,
virginia_18,
growth_6,
portfolio_9,
portfolio_3,
texas,
rich_18,
target_return,
debt,
