feature,feature_score
DOW_JONES_17,0.02943506562953695
DOW_JONES_20,0.028684094507751782
crash_2,0.010610314426358063
fine_5,0.028953630221423957
fine_17,0.0007138347622008477
garden_10,0.00013216009968836413
garden_12,0.035569414009180296
justice_15,0.01239183949938846
justice_19,0.02469346162949158
legal_6,0.044443280553268225
metals_5,0.025014160474176813
metals_10,0.02992139843927465
movement_4,0.042965367803019246
movie_10,0.015769869677171984
project_12,0.0027805454924752383
project_16,0.03549502668374458
project_18,0.03298927028025222
project_19,0.0365209012455215
ring_4,0.009895923435536415
sell_2,0.005494725141186043
elected,
services,
marketing_17,
holiday_17,
movie_9,
earnings,
media,
sell_8,
short selling,
act_2,
election_1,
election_10,
project_3,
garden_18,
kitchen_6,
metals_3,
economics,
project_8,
oil,
movie_1,
project_14,
DOW_JONES_10,
legal_10,
law,
credit,
sell_15,
invest,
missouri,
metals_20,
carolina,
fine_16,
culture_17,
crisis,
money,
corporation_3,
corporation_13,
movie_19,
project_4,
kitchen_8,
marketing_15,
justice_8,
garden_13,
movement_5,
holiday_20,
holiday_19,
default,
dow_jones_20,
present_11,
election_19,
culture_15,
kitchen_9,
metals,
corporation_9,
election_16,
government,
derivatives,
garden_3,
fine_18,
election_18,
arts,
justice_5,
election_14,
happy,
rich,
world,
corporation_2,
dow_jones_4,
ohio,
fine_3,
fine_1,
markets,
train,
marketing_3,
legal_19,
fine_19,
project_6,
election_12,
justice_2,
movement_20,
movie_16,
crash_11,
lifestyle,
council,
kitchen_11,
illinois_2,
movie_4,
case,
corporation,
act_16,
movement_7,
dow_jones_2,
dow_jones_15,
stock market,
district,
crash_19,
corporation_8,
holiday_10,
DOW_JONES_14,
crash_6,
pennsylvania,
ring_18,
crash_17,
investment,
chance,
crash_7,
illinois_4,
dow_jones_17,
present_2,
present_15,
holiday_9,
election_4,
kitchen_5,
movement,
dow_jones_5,
sell_1,
illinois_1,
kitchen_18,
financial markets,
cash,
movie,
project_9,
crash_15,
justice_12,
profit,
movement_10,
movement_3,
dow_jones_3,
republican,
dow_jones_13,
ring_15,
fine_14,
holiday_16,
georgia,
act,
million,
dow_jones_9,
DOW_JONES_18,
gains,
justice_11,
movement_15,
illinois_10,
holiday_4,
project_2,
labor,
election_8,
project_15,
project_13,
culture_13,
bank,
metals_6,
DOW_JONES_6,
act_19,
DOW_JONES_8,
illinois_19,
culture_8,
legal_1,
marketing_8,
success,
dow_jones_8,
sell,
kitchen_20,
crash_3,
virginia,
DOW_JONES_4,
fine_11,
legal_7,
legal_4,
movie_18,
election_5,
loss,
portfolio,
fine,
act_13,
metals_12,
college,
justice_6,
election_11,
kitchen,
