feature,feature_score
DOW_JONES_12,0.00024328554291554885
hedge_10,0.010456757230108926
investment_11,0.005052342056209921
judge_2,0.0003700292931257635
loss_5,0.020201528321381283
marketing_4,0.0009927653421314493
money_2,0.037091636216633556
money_3,0.0036273679801661638
project_19,0.009205583715052468
project_20,0.04113659547302715
sell_4,0.016705541428603827
sell_8,0.04648068558441074
elected,
services,
marketing_17,
court,
earnings,
investment_1,
media,
service,
money_1,
trader,
york_7,
york_4,
global,
labor_16,
short selling,
massachusetts_3,
short sell,
project_3,
security,
votes,
hedge_15,
economics,
project_8,
senate_20,
massachusetts_8,
oil,
loss_1,
project_14,
DOW_JONES_10,
war,
loss_20,
law,
credit,
sell_15,
opportunity,
invest,
missouri,
loss_10,
money_17,
energy,
senate_6,
social,
judge_8,
food,
judge_9,
carolina,
fine_16,
revenue,
york_19,
crisis,
money,
sell_6,
banking,
county,
project_4,
marketing_15,
loss_15,
hedge_3,
default,
project_18,
money_20,
union,
loss_16,
metals,
marketing_18,
senate_15,
government,
derivatives,
market,
fine_18,
transaction,
representatives,
massachusetts_5,
arts,
money_12,
york_20,
happy,
loss_3,
rich,
world,
judge_20,
loss_8,
labor_7,
sell_12,
fine_3,
ohio,
york_3,
fine_1,
senate_3,
ore_18,
fine_9,
investment_6,
markets,
massachusetts_15,
train,
sell_16,
marketing_3,
loss_14,
money_10,
forex,
fine_19,
project_6,
ministry,
ore_16,
senate_1,
lifestyle,
council,
investment_13,
case,
corporation,
labor_6,
hedge_16,
cancer,
investment_3,
business,
stock market,
money_15,
district,
judge_17,
holiday,
fine_6,
massachusetts_14,
labor_19,
garden,
loss_9,
hedge_18,
senate_14,
loss_13,
ore_13,
DOW_JONES_14,
pennsylvania,
hedge_13,
return,
investment,
chance,
fine_15,
investment_12,
president,
ore_1,
money_18,
sell_11,
york_13,
project_10,
investment_18,
movement,
sell_1,
investment_19,
financial markets,
investment_5,
judge_13,
massachusetts_18,
cash,
movie,
marketing_9,
senate_4,
ore_5,
rare earths,
project_9,
massachusetts_1,
labor_5,
investment_8,
sell_2,
development,
served,
massachusetts_7,
york_11,
hedge_11,
massachusetts_12,
profit,
labor_12,
loss_18,
hedge_1,
republican,
judge_1,
fine_14,
labor_2,
sell_5,
project_7,
georgia,
ore_6,
act,
million,
DOW_JONES_18,
judge_16,
unemployment,
gains,
hedge_2,
judge_10,
project_17,
project_2,
loss_2,
labor,
ore_8,
hedge_9,
labor_13,
york_9,
project_15,
project_13,
fine_20,
labor_15,
bank,
loss_7,
DOW_JONES_6,
illinois,
DOW_JONES_8,
hedge_20,
marketing_8,
success,
sell,
rights,
investment_7,
virginia,
DOW_JONES_4,
DOW_JONES_20,
fine_11,
hedge_6,
hedge_8,
loss,
portfolio,
fine,
investment_4,
massachusetts_2,
money_9,
judge_6,
college,
ore_2,
committee,
seats,
sell_14,
governor,
kitchen,
wisconsin,
DOW_JONES_13,
ore_20,
loss_19,
fine_2,
investment_17,
conflict,
senate_7,
elections,
DOW_JONES_2,
tennessee,
york_8,
inc,
money_11,
DOW_JONES_15,
fine_7,
investment_9,
senate_17,
bubble,
senate_11,
companies,
money_7,
sell_13,
political,
ore_3,
investment_10,
fine_17,
dividend,
office,
senate_2,
ore,
marketing_1,
housing,
senate_19,
society,
washington,
senate_8,
inflation,
ore_7,
project_16,
labor_10,
ore_11,
labor_20,
police,
stocks,
ore_15,
health,
marketing_6,
nyse,
marketing_10,
DOW_JONES_16,
investment_16,
judge_5,
dow jones,
massachusetts_4,
democratic,
crash,
york_18,
labor_14,
culture,
leverage,
york_16,
gold,
massachusetts_10,
stats,
party,
DOW_JONES_5,
ore_12,
labor_11,
labor_8,
senate_5,
project,
travel,
gain,
sell_9,
judge_11,
fed,
judge_4,
religion,
economic,
DOW_JONES_9,
marketing_11,
massachusetts_9,
marketing,
hedge_17,
election,
massachusetts,
york_10,
money_8,
fine_8,
texas,
labor_4,
DOW_JONES_3,
target_return,
debt,
marketing_13,
loss_12,
massachusetts_16,
labor_18,
judge_19,
community,
hedge_4,
massachusetts_19,
fine_13,
money_16,
project_11,
senate_12,
financial,
investment_20,
management,
greed,
ore_9,
fine_4,
york_14,
consumption,
ore_14,
york_15,
marketing_20,
senate_10,
labor_9,
judge_18,
sell_20,
hedge_12,
ltd,
fond,
judge_3,
york_2,
william,
marketing_12,
fine_12,
investment_15,
labor_3,
tourism,
senate_13,
senate_9,
economy,
fine_5,
marketing_16,
york_17,
buy,
massachusetts_20,
hedge,
money_14,
york,
minister,
industry,
labor_1,
firm,
voters,
marketing_2,
house,
ceo,
DOW_JONES_7,
fun,
money_4,
project_12,
ore_19,
headlines,
technology,
investment_14,
legal,
marketing_14,
present,
finance,
home,
loss_11,
water,
hedge_7,
fine_10,
judge_15,
senate_16,
sell_3,
senate,
returns,
york_1,
ring,
york_12,
members,
DOW_JONES_17,
bonds,
ore_10,
risk,
kentucky,
hedge_5,
founded,
judge_7,
judge,
judge_12,
DOW_JONES_11,
massachusetts_17,
massachusetts_6,
freedom,
secretary,
politics,
DOW_JONES_19,
car,
hedge_14,
DOW_JONES_1,
money_5,
hedge_19,
massachusetts_13,
products,
money_13,
project_5,
vermont,
restaurant,
federal,
growth,
project_1,
money_19,
york_5,
marketing_7,
environment,
sell_10,
sell_19,
york_6,
senate_18,
justice,
DOW JONES,
nasdaq,
marriage,
judge_14,
investment_2,
ore_4,
loss_17,
loss_6,
money_6,
sell_17,
marketing_19,
marketing_5,
labor_17,
consume,
massachusetts_11,
sell_18,
ore_17,
sell_7,
BUY AND HOLD,
blacklist,
color,
loss_4,
