feature,feature_score
color_1,0.00228584408163398
gains_19,0.04597493367226431
headlines_20,0.023844569661763976
invest_1,0.036635443847771045
invest_7,0.018124044941385076
members_3,0.04588553658317032
nasdaq_1,0.018085452737658162
nasdaq_18,0.000265781040603851
nasdaq_19,0.01290971108799175
nyse_1,0.014782055859590866
nyse_6,0.0015255963692585512
police_5,0.036217923473134614
senate,
financial,
trader_18,
political,
nasdaq_14,
media_5,
gold,
nyse_3,
judge,
return_16,
sell_8,
kitchen_8,
oil_8,
oil,
car,
college,
restaurant,
war_14,
community,
freedom,
garden,
finance,
religion_13,
religion_1,
gain_5,
return_17,
social,
members_1,
gain_12,
election,
cash_5,
service_15,
secretary,
trader,
return_15,
marketing_19,
oil_20,
tourism,
county,
service_19,
garden_8,
georgia,
rare earths,
oil_13,
gain_2,
transaction,
gains_8,
leverage,
media_15,
police_2,
color_17,
ltd,
service_10,
housing_4,
gains,
gains_18,
housing,
media_17,
kitchen_2,
members_12,
firm,
police_13,
nasdaq_15,
invest_12,
media_4,
gain_3,
kitchen_13,
nasdaq_17,
consumption_8,
marketing_20,
garden_3,
service_2,
trader_11,
companies,
invest_17,
color_2,
members_13,
oil_15,
cash_14,
garden_17,
money_5,
BUY AND HOLD,
development,
money_16,
consumption_18,
seats,
garden_19,
cash_13,
service_9,
oil_2,
nasdaq_5,
oil_7,
service_5,
invest_16,
return_8,
media_2,
police_3,
sell_17,
trader_1,
sell_14,
nyse_2,
marketing_17,
money_19,
served,
happy,
housing_15,
founded,
gain_20,
invest_3,
invest_11,
members_5,
cash_17,
invest_8,
consumption,
william,
stats,
trader_9,
consumption_10,
arts,
ceo,
return_19,
money_4,
dividend,
media_12,
lifestyle,
color_10,
gains_2,
consumption_5,
service_11,
money_14,
nyse_10,
sell_9,
war_13,
headlines_18,
business,
war_12,
consumption_13,
religion_9,
nasdaq_10,
color_4,
housing_20,
trader_12,
stock market,
return_20,
environment,
water,
war_20,
services,
marketing_10,
sell_20,
project,
service_17,
nyse_5,
gains_5,
texas,
earnings,
movement,
nyse_4,
marketing,
oil_1,
gain_14,
sell_18,
war_10,
cash_2,
oil_6,
election_12,
nasdaq_8,
housing_7,
return_2,
money_12,
vermont,
trader_17,
war_8,
tennessee,
default,
nyse_15,
gains_6,
religion_5,
crisis,
invest_9,
marketing_2,
marketing_7,
war_5,
housing_1,
trader_14,
virginia,
forex,
gain_16,
marketing_5,
york,
housing_19,
nasdaq_7,
war_15,
sell_11,
police,
return_5,
oil_4,
invest_19,
democratic,
portfolio,
cash_7,
election_1,
trader_10,
banking,
housing_11,
religion_12,
return_14,
economy,
service_20,
sell_3,
culture,
religion_7,
debt,
nasdaq_9,
war_17,
energy,
consumption_1,
party,
media_18,
war_11,
religion_10,
gain_15,
voters,
fun,
members_10,
nyse_17,
election_15,
police_15,
investment,
color_9,
color_19,
service_6,
election_2,
garden_5,
trader_13,
religion_18,
color_8,
kitchen_12,
color,
headlines_8,
gains_15,
cash_20,
marketing_14,
media_7,
gains_13,
justice,
cancer,
service_14,
credit,
money_11,
conflict,
police_17,
cash_19,
housing_8,
revenue,
loss,
members_19,
trader_7,
garden_7,
garden_9,
garden_20,
republican,
case,
kitchen_16,
war_19,
ore,
headlines_17,
wisconsin,
sell_13,
oil_16,
consumption_11,
media_19,
gain_9,
invest_18,
target_return,
bonds,
color_6,
return_11,
gains_17,
gains_3,
money_1,
service_18,
kitchen_4,
stocks,
consumption_15,
money_20,
gains_11,
society,
fond,
garden_4,
sell_6,
religion_20,
gains_4,
sell,
kitchen_7,
return,
police_19,
kitchen_10,
media_11,
gain_10,
war_1,
religion_16,
global,
religion_4,
war_16,
cash_1,
election_13,
members_8,
members,
ohio,
service_3,
greed,
washington,
cash_18,
consume,
gains_7,
nyse,
economic,
religion_3,
dow jones,
headlines_1,
election_4,
election_10,
fed,
return_1,
missouri,
nasdaq_12,
trader_20,
media_3,
members_6,
train,
gains_16,
war_18,
headlines_2,
election_7,
gains_1,
nyse_14,
oil_14,
bank,
metals,
home,
invest_13,
money_6,
color_12,
trader_4,
returns,
hedge,
security,
derivatives,
rich,
house,
management,
invest,
travel,
police_14,
economics,
headlines_3,
sell_12,
war,
food,
consumption_19,
members_11,
market,
police_6,
trader_16,
marriage,
color_16,
nyse_12,
cash_8,
service_12,
media_1,
marketing_13,
oil_18,
union,
garden_14,
marketing_16,
religion,
kitchen_14,
nyse_7,
police_4,
religion_19,
nasdaq_2,
sell_15,
invest_14,
inc,
housing_18,
consumption_6,
return_6,
housing_5,
headlines,
sell_19,
legal,
kitchen_3,
nasdaq_4,
service_1,
governor,
marketing_9,
police_9,
garden_18,
marketing_3,
nyse_16,
ministry,
garden_16,
housing_14,
members_18,
nyse_20,
minister,
district,
nyse_19,
oil_12,
kitchen_9,
election_16,
sell_1,
success,
gain_17,
kitchen_15,
nyse_9,
nyse_11,
election_6,
DOW JONES,
money_8,
cash_6,
consumption_4,
marketing_11,
profit,
members_16,
money_7,
garden_2,
service_16,
police_16,
kitchen_11,
sell_10,
war_7,
gains_12,
headlines_15,
nyse_18,
members_7,
buy,
gain_7,
media_10,
election_8,
gain_1,
election_20,
products,
service_13,
headlines_16,
trader_6,
members_9,
cash_15,
markets,
headlines_5,
election_3,
nyse_8,
cash_11,
election_17,
gain_11,
invest_20,
marketing_18,
religion_6,
short selling,
religion_14,
return_9,
money,
headlines_19,
kitchen_6,
votes,
cash_4,
cash_12,
invest_10,
service_7,
color_18,
council,
financial markets,
act,
holiday,
election_5,
elections,
consumption_3,
religion_15,
risk,
gain_8,
color_11,
marketing_8,
color_5,
politics,
carolina,
members_20,
garden_10,
money_10,
garden_13,
oil_5,
return_12,
kitchen,
money_2,
world,
election_18,
gain_19,
headlines_14,
garden_12,
gain_4,
housing_9,
cash_3,
committee,
headlines_12,
court,
election_11,
housing_6,
garden_15,
cash_16,
gain_13,
president,
color_7,
headlines_13,
police_18,
garden_1,
cash_9,
return_13,
marketing_4,
kitchen_1,
short sell,
bubble,
trader_8,
police_7,
consumption_2,
color_3,
garden_11,
sell_5,
corporation,
kitchen_17,
religion_17,
inflation,
nasdaq_13,
consumption_20,
nasdaq_16,
return_10,
unemployment,
trader_3,
invest_6,
crash,
nasdaq,
invest_2,
police_12,
war_2,
gains_9,
religion_11,
sell_7,
color_20,
labor,
invest_15,
headlines_10,
headlines_6,
consumption_14,
chance,
service,
present,
garden_6,
police_10,
housing_13,
return_18,
headlines_7,
consumption_9,
illinois,
law,
opportunity,
marketing_15,
ring,
consumption_12,
media_8,
invest_5,
color_14,
election_19,
massachusetts,
kentucky,
office,
pennsylvania,
headlines_4,
marketing_1,
oil_3,
nasdaq_6,
religion_8,
return_7,
money_18,
kitchen_20,
money_15,
police_20,
media_16,
war_9,
election_14,
gains_20,
war_4,
gains_10,
oil_10,
trader_19,
invest_4,
gain_6,
media_20,
police_11,
marketing_12,
election_9,
federal,
government,
trader_15,
media_9,
police_1,
war_3,
return_3,
media,
cash_10,
money_13,
sell_2,
war_6,
housing_2,
oil_19,
oil_11,
gain_18,
headlines_9,
gain,
housing_17,
nasdaq_20,
nasdaq_3,
money_9,
consumption_17,
consumption_16,
sell_4,
police_8,
housing_16,
members_2,
money_17,
technology,
marketing_6,
members_14,
nyse_13,
money_3,
oil_17,
service_4,
trader_5,
kitchen_19,
members_17,
fine,
members_4,
gains_14,
headlines_11,
return_4,
color_13,
oil_9,
blacklist,
religion_2,
representatives,
rights,
media_13,
service_8,
color_15,
members_15,
health,
kitchen_18,
media_14,
industry,
million,
kitchen_5,
media_6,
growth,
nasdaq_11,
movie,
sell_16,
elected,
cash,
housing_3,
housing_12,
trader_2,
consumption_7,
housing_10,
