feature,feature_score
council_4,0.028873444945843804
dividend_6,0.023449191058623933
environment_3,0.0019341056807052953
founded_4,0.025720052335395906
greed_5,0.0009015573615635841
happy_3,0.008801747470569266
politics_4,0.003385566763709788
politics_20,0.0017551131175567558
present_12,0.009363489142663772
return_4,0.03238586139396431
served_2,0.007415699016207771
washington_9,0.02555294052718447
return_3,
earnings_17,
earnings_11,
council_12,
served_13,
texas_5,
investment_3,
economy_17,
return_16,
consume_15,
happy_17,
present_15,
investment_12,
leverage_17,
target_return,
economy_10,
environment_18,
ceo,
consumption_17,
politics_9,
founded_18,
water,
religion_14,
DOW JONES,
republican_15,
services,
republican_14,
happy_7,
health,
returns,
representatives,
court_4,
court_6,
investment_20,
religion_3,
corporation,
leverage_11,
ore_14,
consumption_8,
greed_18,
council_20,
texas_12,
council_11,
environment_16,
democratic_17,
environment_19,
leverage_9,
water_12,
dividend_16,
economy_11,
happy_15,
politics_16,
transaction_10,
council_7,
dividend_13,
dividend_1,
founded_19,
virginia_19,
transaction_12,
council_9,
republican_18,
district,
consumption_14,
minister,
court_20,
republican_20,
republican_6,
served_6,
happy_1,
greed_20,
transaction_14,
travel,
environment_10,
greed_1,
virginia_4,
washington_13,
crash,
consume_7,
served_9,
present,
present_4,
served_8,
council_6,
ore_20,
republican_1,
happy_20,
transaction_4,
economy_13,
senate,
leverage_14,
politics_17,
court_2,
democratic,
freedom,
conflict,
washington_17,
court_8,
texas,
virginia_11,
virginia_12,
democratic_8,
leverage,
present_1,
ore_5,
default,
stats,
council_8,
cash,
founded_8,
social_3,
greed_6,
council_17,
served_5,
virginia_1,
industry,
virginia_3,
investment_17,
transaction_9,
leverage_19,
social,
virginia,
economy_14,
investment,
transaction_15,
washington_3,
washington_18,
virginia_18,
consume_12,
opportunity,
million,
management,
virginia_20,
voters,
economy_1,
nyse,
legal,
court_7,
dividend_10,
investment_11,
founded_16,
consumption_19,
return_12,
served_17,
washington_11,
religion_19,
illinois,
present_17,
tennessee,
happy_8,
court_11,
consumption_4,
virginia_7,
housing,
texas_17,
council_18,
consumption_15,
economy_19,
dividend_17,
texas_20,
council_19,
politics_14,
council_5,
debt,
marketing,
return_2,
tourism,
vermont,
return_8,
dividend_9,
served_3,
social_8,
politics_8,
democratic_20,
investment_13,
return_15,
market,
water_18,
social_2,
happy,
BUY AND HOLD,
religion_9,
washington_2,
texas_11,
economy_3,
food,
investment_7,
water_5,
greed_2,
ore_9,
investment_8,
invest,
social_16,
office,
ore_18,
transaction_16,
economic,
religion_16,
college,
texas_14,
return_19,
ltd,
texas_8,
governor,
products,
house,
movie,
social_11,
consume,
republican_16,
consumption_2,
economy,
greed_15,
present_19,
democratic_3,
return_17,
environment_5,
money,
dividend,
democratic_19,
justice,
democratic_6,
environment_6,
ore_17,
stock market,
party,
founded_7,
federal,
earnings_14,
york,
present_7,
markets,
movement,
religion_11,
consume_20,
served_18,
council,
consume_2,
greed,
economy_5,
greed_11,
leverage_15,
water_4,
served_7,
democratic_12,
transaction_1,
founded_5,
leverage_8,
republican_13,
greed_14,
inc,
investment_15,
religion_18,
investment_1,
consume_1,
religion,
police,
consumption_12,
democratic_5,
consume_19,
republican,
return_20,
ore_4,
consume_11,
return_14,
dividend_7,
present_9,
car,
consume_4,
founded_13,
court_14,
consumption_6,
served_1,
consumption_18,
global,
dividend_3,
development,
religion_17,
washington_14,
dividend_15,
founded_6,
investment_19,
texas_6,
politics_1,
court_3,
consumption_11,
virginia_16,
greed_19,
economy_4,
washington_12,
gold,
greed_13,
william,
leverage_3,
growth,
founded_15,
served_15,
republican_3,
democratic_16,
founded_14,
texas_10,
kentucky,
marriage,
virginia_17,
dividend_8,
gain,
republican_4,
texas_18,
water_7,
bonds,
project,
earnings_7,
georgia,
greed_16,
investment_2,
unemployment,
votes,
war,
blacklist,
politics_7,
court_10,
kitchen,
environment_8,
social_12,
earnings_5,
happy_14,
economy_15,
law,
case,
holiday,
consume_5,
earnings_20,
democratic_11,
metals,
return_11,
world,
texas_16,
investment_5,
train,
present_18,
dividend_2,
happy_5,
ore_7,
politics_18,
virginia_15,
bubble,
leverage_1,
present_5,
risk,
founded_10,
present_13,
secretary,
court_5,
texas_1,
present_3,
economy_20,
leverage_18,
happy_18,
credit,
religion_13,
social_17,
ore_8,
virginia_6,
ring,
consumption,
water_8,
transaction_6,
companies,
earnings_12,
short selling,
social_13,
founded_1,
greed_8,
republican_2,
cancer,
politics_10,
loss,
court_12,
investment_16,
economy_16,
dividend_14,
return_13,
fine,
ore_2,
consume_3,
ore_13,
republican_10,
democratic_18,
environment_9,
lifestyle,
earnings_15,
religion_2,
ore_11,
social_7,
washington_10,
court_1,
republican_11,
republican_7,
bank,
ministry,
union,
water_16,
greed_3,
home,
consumption_7,
transaction_13,
leverage_5,
sell,
forex,
earnings_16,
washington_6,
democratic_2,
present_14,
religion_20,
washington_5,
environment_15,
water_6,
environment_1,
virginia_2,
republican_8,
social_4,
wisconsin,
labor,
court_16,
finance,
social_18,
court_19,
leverage_6,
consumption_1,
hedge,
social_1,
environment_12,
economy_8,
leverage_13,
ore_19,
politics_15,
rights,
texas_15,
republican_17,
texas_7,
texas_13,
media,
washington_4,
ore_16,
served_10,
government,
social_15,
served_11,
missouri,
founded_11,
greed_9,
politics_3,
council_13,
earnings_3,
virginia_9,
republican_12,
return_7,
transaction_8,
present_16,
oil,
founded_3,
transaction_19,
water_2,
religion_8,
democratic_14,
elections,
democratic_1,
dividend_5,
environment_4,
ore_10,
social_19,
water_11,
seats,
earnings_9,
service,
served,
business,
economy_7,
court_17,
court_13,
environment_20,
social_6,
transaction_5,
members,
economics,
dividend_19,
gains,
founded_12,
religion_5,
consumption_3,
politics,
consume_13,
democratic_10,
environment_2,
leverage_2,
return_5,
washington_1,
washington_20,
washington_7,
water_13,
council_16,
return_10,
social_20,
nasdaq,
present_8,
political,
virginia_5,
happy_2,
served_14,
virginia_8,
founded_17,
technology,
environment_7,
virginia_13,
financial markets,
firm,
council_14,
consumption_9,
present_11,
ore_12,
happy_12,
short sell,
ore_15,
economy_18,
happy_16,
fed,
return_1,
dividend_11,
dividend_20,
happy_13,
court,
dow jones,
dividend_12,
county,
culture,
happy_9,
happy_10,
investment_6,
democratic_7,
leverage_20,
earnings_8,
leverage_10,
consume_17,
transaction_3,
water_17,
fond,
economy_2,
happy_4,
crisis,
politics_19,
washington_16,
consume_16,
court_18,
transaction_7,
transaction_18,
financial,
earnings_10,
present_6,
committee,
water_9,
success,
virginia_14,
happy_6,
founded_2,
politics_13,
society,
consumption_13,
economy_12,
leverage_12,
portfolio,
politics_11,
served_4,
council_2,
council_10,
happy_19,
served_12,
leverage_16,
investment_10,
religion_15,
judge,
transaction_2,
earnings_18,
social_10,
council_1,
washington_8,
environment_11,
greed_7,
dividend_4,
return_6,
consumption_20,
economy_9,
democratic_15,
council_15,
energy,
chance,
religion_12,
revenue,
security,
fun,
religion_7,
arts,
consumption_10,
water_1,
democratic_4,
republican_19,
earnings_6,
return_18,
greed_12,
consumption_16,
environment_13,
washington_15,
water_14,
democratic_9,
social_14,
ore_3,
politics_2,
ore_1,
earnings_1,
act,
texas_4,
headlines,
election,
founded_20,
greed_17,
served_19,
washington_19,
democratic_13,
rich,
color,
elected,
earnings_2,
happy_11,
restaurant,
greed_4,
earnings,
water_19,
council_3,
leverage_4,
consumption_5,
present_10,
founded_9,
court_9,
environment,
virginia_10,
president,
leverage_7,
served_20,
religion_4,
religion_10,
investment_14,
carolina,
religion_6,
earnings_13,
investment_4,
court_15,
earnings_19,
republican_9,
water_20,
religion_1,
consume_6,
dividend_18,
consume_18,
greed_10,
pennsylvania,
environment_17,
founded,
ore_6,
transaction_20,
politics_5,
banking,
consume_14,
transaction_17,
water_10,
consume_8,
investment_18,
transaction_11,
politics_6,
water_3,
consume_10,
texas_3,
earnings_4,
buy,
social_9,
return,
present_2,
stocks,
trader,
economy_6,
return_9,
ohio,
social_5,
community,
served_16,
republican_5,
rare earths,
profit,
texas_2,
massachusetts,
present_20,
texas_9,
environment_14,
texas_19,
investment_9,
consume_9,
ore,
politics_12,
washington,
water_15,
derivatives,
inflation,
transaction,
garden,
