feature,feature_score
DOW_JONES_8,0.047635155234290225
bonds_20,0.000892222873569653
chance_5,0.003993728462308266
consume_3,0.004362405692351373
consume_4,0.02155994986443283
crash_8,0.00011987672525529449
invest_14,0.031296424762151456
leverage_1,0.04256063780681626
leverage_6,0.01810105447137062
ministry_5,0.0017527645661296822
politics_1,0.024257909037879322
profit_2,0.00030974965910898734
technology_14,0.0003172366317256225
technology_15,0.004325930729119925
vermont_9,0.0027199330840207035
technology_20,
profit_12,
elected,
services,
consume_7,
politics_3,
earnings,
politics_9,
media,
leverage_3,
labor_16,
short selling,
ministry_4,
earnings_20,
ministry_16,
economics,
oil,
invest_12,
DOW_JONES_10,
law,
credit,
consume_11,
crash_2,
invest_5,
invest,
missouri,
bonds_15,
carolina,
crisis,
invest_17,
invest_18,
money,
ministry_2,
invest_1,
chance_4,
default,
dow_jones_20,
ministry_15,
vermont_13,
metals,
invest_8,
default_1,
technology_12,
government,
derivatives,
invest_19,
earnings_5,
arts,
bonds_9,
leverage_4,
ministry_7,
profit_11,
happy,
technology_13,
rich,
world,
politics_4,
bonds_8,
chance_12,
dow_jones_4,
ohio,
chance_13,
markets,
train,
bonds_3,
default_3,
consume_14,
crash_11,
ministry_17,
politics_18,
lifestyle,
council,
earnings_1,
case,
corporation,
labor_6,
dow_jones_2,
invest_7,
dow_jones_15,
stock market,
district,
consume_16,
crash_19,
invest_2,
risk_14,
DOW_JONES_14,
crash_6,
consume_10,
pennsylvania,
crash_17,
technology_11,
investment,
chance,
crash_7,
default_18,
invest_11,
vermont_5,
dow_jones_17,
movement,
dow_jones_5,
consume_5,
financial markets,
cash,
movie,
labor_5,
crash_15,
default_4,
bonds_18,
politics_12,
politics_2,
profit,
technology_4,
vermont_4,
dow_jones_3,
republican,
dow_jones_13,
georgia,
act,
earnings_14,
earnings_4,
dow_jones_9,
million,
DOW_JONES_18,
gains,
politics_17,
labor,
bank,
DOW_JONES_6,
earnings_12,
default_6,
success,
dow_jones_8,
sell,
technology_5,
default_2,
vermont_11,
crash_3,
risk_20,
virginia,
DOW_JONES_4,
DOW_JONES_20,
profit_5,
loss,
portfolio,
fine,
default_14,
bonds_19,
consume_18,
risk_17,
college,
vermont_14,
kitchen,
wisconsin,
DOW_JONES_13,
conflict,
tennessee,
vermont_12,
inc,
DOW_JONES_15,
chance_2,
bubble,
technology_17,
companies,
political,
vermont_19,
technology_8,
dividend,
ore,
housing,
washington,
ministry_20,
politics_13,
labor_10,
default_10,
labor_20,
police,
stocks,
health,
chance_15,
dow_jones_14,
ministry_14,
dow_jones_11,
dow jones,
crash_20,
democratic,
crash,
leverage_7,
default_13,
earnings_2,
labor_14,
leverage,
gold,
stats,
party,
DOW_JONES_5,
technology_18,
labor_11,
project,
travel,
gain,
vermont_18,
technology_16,
fed,
economic,
invest_3,
ministry_10,
crash_9,
invest_13,
risk_3,
texas,
target_return,
debt,
default_17,
labor_18,
community,
chance_9,
crash_10,
management,
greed,
risk_5,
ministry_19,
politics_15,
vermont_16,
consume_9,
chance_6,
labor_9,
earnings_17,
profit_8,
profit_6,
chance_3,
ltd,
fond,
tourism,
technology_7,
risk_6,
leverage_10,
profit_15,
buy,
bonds_2,
hedge,
minister,
crash_18,
firm,
voters,
house,
ceo,
fun,
earnings_19,
dow_jones_18,
headlines,
technology,
chance_11,
ministry_6,
technology_3,
DOW_JONES_12,
present,
vermont_3,
earnings_18,
dow_jones_10,
invest_4,
returns,
ring,
crash_12,
leverage_13,
members,
DOW_JONES_17,
kentucky,
DOW_JONES_11,
secretary,
DOW_JONES_19,
car,
profit_17,
crash_16,
chance_16,
restaurant,
crash_1,
chance_1,
environment,
bonds_17,
justice,
DOW JONES,
nasdaq,
marriage,
ministry_3,
labor_17,
vermont_6,
BUY AND HOLD,
color,
court,
service,
trader,
global,
short sell,
security,
votes,
risk_11,
consume_8,
chance_7,
war,
opportunity,
vermont_15,
energy,
consume_1,
social,
politics_16,
food,
revenue,
earnings_16,
default_20,
banking,
county,
profit_9,
chance_14,
vermont_8,
chance_10,
profit_18,
union,
profit_14,
earnings_10,
market,
transaction,
bonds_10,
representatives,
ministry_18,
leverage_17,
labor_7,
earnings_15,
consume_13,
leverage_8,
default_12,
crash_4,
leverage_20,
forex,
ministry,
consume_17,
politics_5,
politics_19,
profit_10,
invest_20,
risk_16,
cancer,
politics_10,
business,
politics_14,
holiday,
labor_19,
garden,
leverage_19,
return,
default_7,
president,
leverage_5,
dow_jones_6,
ministry_1,
risk_2,
ministry_12,
rare earths,
development,
served,
risk_7,
invest_9,
profit_3,
labor_12,
ministry_11,
politics_6,
leverage_12,
labor_2,
earnings_3,
profit_19,
politics_7,
unemployment,
bonds_11,
leverage_14,
crash_13,
earnings_9,
risk_4,
dow_jones_16,
labor_13,
labor_15,
ministry_13,
illinois,
rights,
bonds_5,
technology_1,
chance_17,
earnings_11,
committee,
seats,
governor,
risk_12,
chance_8,
risk_18,
dow_jones_12,
invest_10,
elections,
DOW_JONES_2,
consume_2,
bonds_1,
crash_14,
consume_12,
politics_20,
default_8,
leverage_11,
consume_15,
office,
politics_11,
society,
dow_jones_1,
technology_6,
inflation,
leverage_16,
risk_8,
nyse,
profit_7,
vermont_1,
DOW_JONES_16,
invest_6,
culture,
bonds_7,
earnings_8,
labor_8,
default_15,
risk_19,
chance_18,
religion,
DOW_JONES_9,
marketing,
technology_2,
bonds_6,
default_5,
election,
massachusetts,
chance_20,
labor_4,
DOW_JONES_3,
invest_16,
leverage_15,
consume_6,
bonds_4,
financial,
default_11,
consumption,
technology_10,
vermont_10,
vermont_2,
vermont_20,
bonds_12,
profit_1,
vermont_7,
profit_16,
risk_13,
default_16,
william,
labor_3,
bonds_16,
earnings_13,
profit_20,
risk_1,
risk_10,
economy,
default_19,
chance_19,
york,
ministry_8,
industry,
technology_19,
labor_1,
bonds_14,
DOW_JONES_7,
profit_4,
legal,
finance,
home,
water,
dow_jones_7,
senate,
risk_9,
bonds_13,
invest_15,
bonds,
risk,
earnings_7,
founded,
leverage_2,
judge,
dow_jones_19,
freedom,
politics,
profit_13,
DOW_JONES_1,
risk_15,
technology_9,
products,
consume_20,
vermont,
federal,
growth,
crash_5,
politics_8,
vermont_17,
consume_19,
leverage_18,
default_9,
consume,
blacklist,
leverage_9,
ministry_9,
earnings_6,
