feature,feature_score
companies_4,0.0252727601989143
council_4,0.009515824649034044
court_20,0.03837320042124267
derivatives_9,0.01578233978591002
derivatives_10,0.000894658811920811
derivatives_11,0.0034004286167194386
derivatives_12,0.000791192360066686
derivatives_18,0.017711337064705342
district_4,0.027011714811853722
fed_2,0.00885955524161674
fed_10,0.027702784291970286
federal_5,0.0009622151063583497
financial_4,0.002895955530936288
fine_2,0.033717344588281926
fine_10,0.0024014038984565074
food_15,0.009955205106594096
georgia_17,0.00020689349108370312
housing_2,0.03622552569398852
housing_18,0.020151149177885547
illinois_17,0.041674422032883025
judge_1,0.005877090268283959
justice_3,0.012017520311216194
justice_4,0.013020283123421923
law_1,0.047857398765560256
money_8,0.03732147045416184
nasdaq_7,0.026898770677503066
office_4,0.0036421189984989343
office_5,0.006351338207000168
products_17,0.0003686571328311166
returns_16,0.04251247222533676
rights_17,0.036541442070918445
risk_6,0.014765889323947621
security_3,0.019953790268137876
social_1,0.0447859366709444
stocks_1,0.005557535048896015
stocks_6,0.009054494509802058
stocks_8,0.016640973306535398
stocks_12,0.007901704719026644
technology_3,0.014957705911783357
tennessee_1,0.03863019934897521
virginia_3,0.012839847080356945
war_10,0.0011697230248915971
war_17,0.009561111007661044
world_15,0.007148212217903034
world_16,0.025521953154515935
world_3,
district_16,
fed_18,
debt_7,
technology_20,
marketing_17,
federal_2,
union_14,
elected,
services,
bubble_5,
earnings,
media,
firm_10,
leverage_3,
social_11,
products_1,
stats_14,
war_19,
housing_10,
oil,
inc_10,
loss_20,
law,
washington_7,
missouri,
loss_10,
war_9,
unemployment_11,
products_2,
headlines_10,
service_7,
york_19,
health_10,
corporation_13,
government_14,
headlines_5,
pennsylvania_1,
service_20,
revenue_15,
revenue_19,
revenue_4,
unemployment_9,
loss_15,
society_5,
development_20,
college_11,
pennsylvania_17,
law_5,
financial_18,
metals,
college_5,
corporation_9,
security_9,
money_2,
companies_14,
war_4,
war_13,
derivatives,
nasdaq_3,
police_12,
law_6,
tennessee_6,
arts,
debt_15,
government_6,
leverage_4,
happy,
technology_13,
rich,
world,
firm_11,
business_8,
loss_8,
revenue_5,
fine_3,
food_16,
federal_7,
ohio,
washington_18,
investment_6,
markets,
stats_10,
world_18,
marketing_3,
bank_6,
georgia_5,
stocks_4,
college_10,
products_18,
war_8,
ltd_3,
services_3,
union_8,
health_4,
council,
illinois_2,
case,
corporation,
rights_3,
ohio_1,
district_17,
money_15,
bank_5,
financial_16,
headlines_16,
government_2,
development_14,
loss_13,
society_3,
fed_19,
returns_19,
technology_11,
federal_20,
development_1,
chance,
district_9,
investment_12,
business_13,
tennessee_20,
inc_12,
war_11,
financial_12,
business_3,
health_1,
credit_20,
money_18,
police_19,
fed_4,
community_19,
investment_18,
movement,
unemployment_15,
development_5,
products_13,
investment_19,
financial markets,
security_11,
returns_10,
financial_15,
returns_14,
headlines_20,
ltd_17,
companies_11,
washington_14,
ohio_16,
county_11,
stocks_20,
profit,
inc_14,
cancer_14,
bubble_1,
police_7,
returns_7,
county_19,
police_1,
texas_5,
court_16,
act,
million,
service_17,
gains,
council_10,
justice_11,
financial_7,
industry_11,
revenue_11,
texas_13,
government_20,
court_2,
office_3,
industry_10,
community_12,
bubble_12,
headlines_12,
service_16,
cancer_15,
service_2,
financial_19,
marketing_8,
community_18,
success,
sell,
police_16,
unemployment_4,
risk_20,
industry_18,
virginia,
government_1,
derivatives_5,
unemployment_10,
portfolio,
risk_17,
justice_6,
community_9,
cancer_18,
college_20,
management_9,
returns_6,
credit_5,
stats_2,
stats_20,
ohio_10,
inc_13,
investment_17,
conflict,
stats_16,
loss_19,
york_8,
tennessee,
management_5,
justice_1,
vermont_12,
business_11,
nasdaq_8,
inc,
office_20,
corporation_11,
community_14,
corporation_7,
social_5,
investment_9,
headlines_6,
world_4,
technology_17,
companies,
money_7,
vermont_19,
health_11,
war_15,
fine_17,
dividend,
finance_2,
society_1,
products_20,
tennessee_10,
marketing_1,
justice_16,
washington,
service_8,
police_5,
court_11,
stocks,
police,
health,
revenue_7,
marketing_6,
district_14,
firm_4,
service_3,
judge_5,
tennessee_12,
democratic,
crash,
business_7,
leverage_7,
virginia_5,
inc_1,
leverage,
york_16,
stats,
technology_18,
travel,
project,
federal_17,
judge_4,
finance_6,
texas_12,
illinois_13,
risk_3,
service_4,
tennessee_9,
fed_8,
texas,
security_6,
money_3,
marketing_13,
debt,
firm_13,
loss_12,
finance_19,
community,
judge_19,
world_19,
fine_13,
money_16,
world_9,
texas_15,
management,
georgia_16,
companies_19,
bubble_13,
risk_5,
fine_4,
finance_15,
york_14,
management_14,
world_13,
illinois_20,
marketing_20,
georgia_10,
services_12,
management_18,
law_8,
ltd,
judge_3,
fond,
bubble_11,
texas_3,
world_11,
tourism,
health_12,
ltd_13,
finance_10,
cancer_4,
technology_7,
returns_15,
headlines_9,
debt_14,
tennessee_11,
ohio_12,
minister,
headlines_17,
tennessee_18,
debt_18,
college_12,
county_10,
voters,
house,
headlines_18,
inc_9,
ceo,
virginia_11,
fun,
tennessee_4,
georgia_7,
rights_11,
technology,
government_3,
investment_14,
present,
credit_4,
washington_8,
vermont_3,
police_9,
judge_15,
services_11,
office_12,
cancer_6,
returns,
bank_1,
debt_6,
ltd_6,
ring,
corporation_19,
development_9,
companies_15,
illinois_3,
pennsylvania_4,
management_15,
returns_5,
derivatives_8,
council_7,
car,
carolina_10,
money_13,
food_14,
justice_14,
office_18,
restaurant,
rights_13,
industry_17,
district_10,
firm_1,
stats_3,
finance_11,
world_7,
illinois_9,
environment,
health_2,
security_19,
nasdaq,
development_4,
district_20,
pennsylvania_14,
security_15,
marriage,
security_5,
ltd_5,
pennsylvania_19,
unemployment_3,
rights_12,
illinois_11,
vermont_6,
BUY AND HOLD,
tennessee_19,
nasdaq_2,
management_16,
ohio_13,
health_18,
carolina_14,
food_10,
office_1,
service,
housing_19,
industry_20,
york_4,
global,
bubble_2,
ohio_14,
firm_19,
rights_4,
pennsylvania_6,
union_7,
social_17,
union_10,
firm_20,
war,
office_19,
products_7,
money_17,
energy,
development_6,
inc_8,
washington_4,
corporation_16,
companies_17,
food,
housing_14,
revenue,
cancer_8,
health_19,
corporation_15,
banking,
carolina_2,
services_13,
service_19,
war_18,
rights_10,
stats_13,
police_10,
revenue_14,
cancer_13,
pennsylvania_15,
stocks_9,
carolina_16,
services_9,
ohio_9,
tennessee_14,
transaction,
world_5,
social_2,
union_19,
inc_16,
money_12,
york_20,
leverage_17,
society_19,
development_11,
services_8,
management_19,
ltd_7,
washington_5,
judge_20,
credit_1,
service_15,
housing_4,
ohio_3,
products_5,
leverage_8,
fine_9,
revenue_20,
forex,
ohio_8,
services_18,
nasdaq_14,
college_3,
credit_2,
corporation_5,
industry_15,
service_6,
management_10,
social_12,
union_5,
texas_6,
investment_3,
business,
office_17,
georgia_11,
law_16,
texas_10,
fine_6,
unemployment_1,
loss_9,
cancer_2,
war_3,
corporation_14,
ltd_14,
industry_13,
washington_19,
return,
fine_15,
police_6,
virginia_9,
council_9,
derivatives_17,
texas_4,
york_13,
health_8,
georgia_13,
housing_12,
virginia_2,
washington_9,
fed_1,
ohio_6,
investment_5,
court_9,
bank_17,
government_12,
industry_1,
headlines_3,
rights_19,
county_7,
unemployment_17,
law_10,
credit_11,
police_15,
bank_11,
rights_2,
returns_9,
police_3,
technology_15,
society_20,
management_6,
district_11,
federal_10,
tennessee_13,
loss_18,
finance_20,
finance_18,
stocks_3,
bank_8,
leverage_12,
tennessee_7,
food_9,
finance_3,
law_3,
health_13,
unemployment,
tennessee_17,
inc_2,
debt_11,
financial_17,
loss_2,
financial_2,
council_19,
york_9,
county_18,
world_8,
court_19,
loss_7,
business_12,
housing_17,
pennsylvania_2,
security_1,
county_16,
rights,
ohio_2,
cancer_11,
social_6,
cancer_7,
union_4,
police_11,
virginia_8,
development_13,
headlines_13,
technology_1,
revenue_2,
investment_4,
society_4,
companies_9,
council_8,
community_13,
housing_16,
food_8,
tennessee_2,
products_15,
risk_18,
management_20,
housing_8,
industry_19,
college_14,
government_15,
fed_13,
leverage_11,
georgia_3,
virginia_16,
security_10,
debt_10,
investment_10,
credit_18,
council_14,
county_2,
financial_5,
stats_1,
services_2,
development_16,
society,
technology_6,
inc_20,
financial_8,
headlines_19,
pennsylvania_9,
leverage_16,
risk_8,
firm_2,
bubble_19,
products_19,
district_7,
fed_11,
ohio_17,
society_2,
pennsylvania_7,
office_16,
food_12,
risk_19,
business_15,
bank_13,
bubble_6,
religion,
credit_13,
marketing,
revenue_18,
technology_2,
massachusetts,
returns_2,
management_11,
york_10,
judge_2,
fine_8,
firm_15,
leverage_15,
pennsylvania_10,
companies_7,
headlines_1,
college_6,
finance_4,
industry_9,
business_19,
texas_9,
washington_2,
ohio_7,
county_17,
stocks_17,
consumption,
georgia_9,
york_15,
vermont_10,
vermont_2,
bank_12,
law_19,
police_13,
unemployment_8,
risk_13,
returns_17,
social_15,
marketing_12,
food_19,
investment_15,
county_15,
food_2,
risk_1,
economy,
district_8,
marketing_16,
york_17,
management_1,
money_14,
companies_1,
debt_3,
york,
council_15,
nasdaq_6,
inc_5,
texas_14,
government_18,
industry,
management_2,
corporation_17,
bubble_3,
services_15,
headlines_11,
money_4,
carolina_13,
inc_7,
finance_17,
firm_6,
investment_11,
marketing_14,
council_6,
law_18,
home,
loss_11,
debt_12,
finance_13,
society_9,
fed_16,
texas_11,
debt_1,
senate,
york_1,
risk_9,
office_10,
ltd_4,
development_3,
law_12,
washington_17,
services_16,
founded,
stocks_7,
court_14,
management_8,
headlines_14,
freedom,
court_17,
washington_11,
services_7,
companies_8,
risk_15,
virginia_14,
money_5,
leverage_6,
cancer_12,
products,
texas_20,
derivatives_4,
office_15,
pennsylvania_11,
vermont,
federal,
nasdaq_1,
headlines_4,
virginia_15,
society_17,
development_17,
food_4,
security_13,
bank_9,
food_20,
virginia_13,
rights_1,
society_15,
york_6,
virginia_20,
bank_3,
health_3,
revenue_16,
social_4,
credit_17,
money_6,
loss_6,
ltd_1,
marketing_19,
returns_3,
consume,
federal_8,
credit_9,
unemployment_14,
inc_6,
blacklist,
leverage_9,
loss_4,
court_3,
development_7,
world_10,
food_11,
health_14,
police_8,
investment_1,
money_1,
court_18,
business_16,
financial_20,
georgia_20,
short selling,
unemployment_13,
economics,
headlines_15,
world_14,
companies_5,
carolina_4,
stats_7,
loss_1,
government_16,
credit_12,
district_6,
ohio_4,
credit,
district_1,
union_18,
returns_18,
invest,
derivatives_13,
security_4,
stats_12,
judge_9,
carolina,
fine_16,
development_19,
crisis,
management_17,
money,
corporation_3,
development_8,
food_18,
marketing_15,
services_17,
justice_8,
default,
unemployment_18,
fed_15,
vermont_13,
industry_6,
products_11,
firm_9,
college_1,
government,
county_14,
technology_12,
fine_18,
county_5,
cancer_9,
council_16,
justice_5,
derivatives_16,
council_1,
bubble_15,
companies_20,
loss_3,
revenue_1,
corporation_2,
products_4,
war_5,
york_3,
fine_1,
firm_5,
business_18,
texas_16,
train,
firm_16,
money_10,
loss_14,
industry_5,
carolina_11,
fine_19,
office_9,
justice_2,
pennsylvania_5,
housing_13,
business_5,
lifestyle,
industry_3,
fed_20,
stock market,
union_15,
district,
judge_17,
derivatives_2,
risk_14,
inc_17,
business_14,
corporation_8,
government_5,
housing_20,
pennsylvania,
bank_2,
investment,
college_9,
illinois_4,
derivatives_3,
vermont_5,
social_20,
community_17,
police_18,
illinois_1,
tennessee_5,
headlines_2,
judge_13,
cash,
movie,
security_18,
investment_8,
development_10,
business_1,
fed_7,
business_4,
financial_9,
derivatives_20,
firm_18,
york_11,
justice_12,
management_13,
debt_4,
federal_12,
washington_10,
inc_19,
derivatives_6,
georgia_6,
companies_10,
social_13,
technology_4,
vermont_4,
tennessee_3,
debt_16,
republican,
rights_15,
fine_14,
nasdaq_20,
rights_5,
georgia,
debt_5,
ltd_11,
georgia_18,
services_19,
society_11,
judge_16,
council_17,
illinois_10,
finance_16,
financial_13,
justice_19,
police_17,
revenue_12,
labor,
office_2,
police_14,
bubble_17,
rights_18,
bank,
industry_4,
stocks_14,
revenue_13,
community_15,
community_4,
illinois_19,
service_5,
technology_5,
district_5,
district_19,
vermont_11,
war_20,
investment_7,
fine_11,
companies_3,
justice_15,
loss,
finance_9,
fine,
stats_19,
firm_12,
fed_5,
law_17,
union_13,
council_5,
vermont_14,
industry_8,
college,
judge_6,
returns_4,
washington_20,
court_7,
kitchen,
war_2,
wisconsin,
service_11,
ltd_16,
court_4,
police_2,
money_11,
fine_7,
community_2,
stocks_13,
products_6,
bubble,
political,
inc_15,
world_17,
services_14,
technology_8,
college_19,
court_10,
washington_15,
government_8,
security_2,
tennessee_8,
ore,
housing,
housing_11,
stats_17,
police_4,
georgia_2,
georgia_8,
management_3,
housing_9,
county_9,
justice_10,
finance_5,
county_8,
companies_2,
nasdaq_11,
marketing_10,
community_6,
carolina_9,
investment_16,
world_2,
dow jones,
security_7,
revenue_17,
york_18,
social_10,
rights_7,
gold,
party,
illinois_5,
health_5,
gain,
vermont_18,
cancer_10,
government_11,
law_9,
technology_16,
fed,
economic,
corporation_4,
corporation_20,
federal_13,
security_12,
virginia_18,
carolina_20,
law_20,
bubble_14,
stats_6,
bubble_4,
revenue_9,
office_8,
stocks_16,
products_9,
target_return,
bank_20,
bubble_10,
union_17,
government_4,
stocks_5,
ltd_2,
nasdaq_4,
corporation_12,
georgia_19,
greed,
investment_20,
government_13,
management_12,
unemployment_6,
virginia_19,
vermont_16,
stats_5,
stats_8,
judge_18,
stats_15,
management_4,
york_2,
ltd_19,
fine_12,
court_12,
georgia_4,
society_13,
fed_12,
returns_20,
leverage_10,
illinois_14,
buy,
society_14,
society_12,
college_8,
hedge,
ltd_10,
society_7,
world_12,
finance_12,
ohio_18,
housing_15,
finance_7,
firm,
revenue_6,
rights_14,
development_18,
federal_1,
nasdaq_19,
finance_1,
police_20,
food_3,
headlines,
service_1,
illinois_7,
credit_7,
business_10,
pennsylvania_3,
washington_13,
credit_15,
stocks_10,
firm_17,
industry_14,
federal_18,
court_1,
returns_8,
carolina_18,
york_12,
leverage_13,
members,
finance_14,
law_4,
service_18,
virginia_12,
society_10,
kentucky,
federal_4,
firm_14,
services_10,
judge_7,
federal_11,
bank_18,
county_20,
judge_12,
financial_10,
products_10,
secretary,
bubble_20,
pennsylvania_20,
nasdaq_9,
pennsylvania_18,
development_15,
college_16,
bank_15,
county_13,
war_12,
union_12,
washington_6,
nasdaq_16,
management_7,
credit_16,
york_5,
government_9,
bubble_8,
illinois_16,
society_18,
stats_11,
virginia_17,
judge_14,
DOW JONES,
justice,
office_7,
ohio_20,
investment_2,
housing_5,
county_3,
society_6,
stats_9,
products_12,
color,
credit_19,
justice_9,
court,
carolina_19,
bank_4,
texas_7,
trader,
york_7,
social_3,
short sell,
court_6,
stocks_19,
war_7,
illinois_6,
unemployment_16,
washington_3,
security,
union_2,
votes,
cancer_17,
services_1,
development_2,
risk_11,
texas_17,
credit_3,
financial_11,
cancer_16,
opportunity,
vermont_15,
county_6,
health_15,
council_12,
social,
carolina_5,
judge_8,
virginia_7,
office_13,
services_4,
council_2,
county_1,
nasdaq_18,
county,
financial_1,
revenue_10,
service_13,
unemployment_7,
security_16,
vermont_8,
ohio_19,
firm_3,
money_20,
union,
derivatives_15,
loss_16,
pennsylvania_16,
pennsylvania_8,
georgia_1,
society_8,
marketing_18,
bubble_9,
market,
companies_18,
justice_20,
representatives,
community_16,
health_20,
development_12,
loss_5,
stocks_18,
debt_9,
derivatives_19,
ltd_18,
council_11,
carolina_6,
war_1,
union_20,
leverage_20,
nasdaq_15,
ltd_9,
rights_6,
federal_19,
illinois_18,
ministry,
federal_16,
cancer_19,
social_19,
government_10,
justice_7,
investment_13,
bank_19,
risk_16,
business_2,
health_16,
cancer,
ohio_15,
carolina_12,
federal_9,
illinois_12,
unemployment_2,
tennessee_15,
holiday,
housing_1,
rights_8,
garden,
community_11,
housing_6,
returns_13,
companies_13,
companies_16,
health_17,
leverage_19,
debt_8,
community_5,
products_14,
stats_4,
president,
carolina_3,
leverage_5,
washington_16,
industry_16,
corporation_1,
risk_2,
services_20,
debt_2,
marketing_9,
rights_9,
rare earths,
council_3,
fed_9,
service_12,
development,
georgia_14,
served,
council_13,
derivatives_1,
nasdaq_5,
bank_10,
government_17,
office_6,
risk_7,
returns_1,
industry_7,
ltd_15,
firm_7,
bank_14,
revenue_3,
ltd_20,
credit_6,
food_6,
virginia_10,
community_7,
leverage_14,
products_16,
district_13,
war_16,
judge_10,
risk_4,
federal_15,
stats_18,
carolina_17,
college_13,
rights_16,
fine_20,
inc_18,
technology_14,
carolina_8,
college_17,
business_20,
world_1,
illinois,
college_7,
revenue_8,
georgia_12,
illinois_8,
fed_3,
county_12,
social_9,
debt_20,
college_18,
texas_18,
unemployment_12,
money_9,
leverage_1,
committee,
seats,
college_15,
inc_4,
governor,
risk_12,
law_11,
virginia_1,
social_18,
elections,
georgia_15,
firm_8,
cancer_1,
law_15,
corporation_10,
union_3,
credit_8,
district_18,
services_6,
war_6,
stocks_15,
food_13,
debt_13,
society_16,
nasdaq_13,
social_8,
office,
union_1,
security_20,
derivatives_14,
federal_3,
bubble_18,
federal_6,
inflation,
corporation_18,
ltd_12,
marketing_4,
district_3,
nyse,
derivatives_7,
stocks_2,
security_14,
court_8,
companies_6,
food_1,
government_19,
law_14,
vermont_1,
nasdaq_17,
law_13,
culture,
justice_18,
cancer_3,
war_14,
judge_11,
cancer_20,
marketing_11,
office_11,
vermont_9,
county_4,
bubble_7,
world_20,
election,
union_9,
carolina_1,
texas_19,
health_7,
social_16,
inc_11,
washington_1,
returns_11,
service_10,
washington_12,
services_5,
headlines_8,
community_3,
pennsylvania_13,
office_14,
financial,
headlines_7,
texas_1,
products_8,
technology_10,
district_12,
district_2,
vermont_20,
companies_12,
vermont_7,
health_9,
inc_3,
william,
fed_17,
credit_14,
stocks_11,
union_11,
risk_10,
fine_5,
illinois_15,
cancer_5,
returns_12,
food_7,
court_13,
bank_16,
technology_19,
marketing_2,
housing_7,
law_7,
union_6,
ohio_5,
social_7,
virginia_4,
fed_6,
legal,
finance,
council_18,
community_20,
virginia_6,
rights_20,
water,
carolina_15,
tennessee_16,
justice_13,
bubble_16,
carolina_7,
financial_3,
nasdaq_12,
security_17,
credit_10,
law_2,
community_1,
federal_14,
housing_3,
debt_19,
corporation_6,
justice_17,
bonds,
risk,
social_14,
leverage_2,
judge,
service_9,
service_14,
bank_7,
politics,
finance_8,
court_5,
food_17,
unemployment_20,
industry_2,
products_3,
technology_9,
food_5,
business_6,
growth,
community_10,
college_4,
unemployment_5,
nasdaq_10,
vermont_17,
money_19,
security_8,
leverage_18,
marketing_7,
council_20,
college_2,
texas_2,
debt_17,
fed_14,
financial_14,
community_8,
loss_17,
ltd_8,
health_6,
district_15,
government_7,
business_17,
business_9,
marketing_5,
union_16,
pennsylvania_12,
unemployment_19,
texas_8,
world_6,
ohio_11,
financial_6,
court_15,
industry_12,
