feature,feature_score
fun_15,0.006114418122117926
garden_13,0.003777201440130314
garden_15,0.03118746442518131
kitchen_14,0.022576929241146643
labor_10,0.005206113879327514
stock_market_16,0.001400290348896913
world_3,0.012153525996946081
justice_9,
world_10,
conflict_14,
elected,
services,
cash_5,
stock_market_11,
court,
train_3,
earnings,
fun_12,
media,
service,
trader,
kitchen_10,
global,
labor_16,
short selling,
short sell,
cash_11,
garden_2,
security,
votes,
garden_18,
kitchen_6,
hedge_15,
economics,
cash_13,
world_14,
oil,
loss_1,
fun_9,
war,
opportunity,
loss_20,
law,
credit,
fun_18,
cash_10,
kitchen_4,
invest,
missouri,
loss_10,
energy,
bonds_15,
social,
stock_market_15,
food,
carolina,
revenue,
crisis,
money,
cash_16,
banking,
county,
kitchen_8,
loss_15,
justice_8,
hedge_3,
markets_6,
default,
present_11,
conflict_10,
union,
kitchen_9,
loss_16,
metals,
train_2,
fun_8,
conflict_16,
conflict_4,
government,
derivatives,
market,
garden_3,
transaction,
bonds_10,
world_5,
justice_20,
representatives,
loss_5,
arts,
fun_3,
justice_5,
markets_18,
bonds_9,
happy,
loss_3,
rich,
world,
labor_7,
loss_8,
bonds_8,
conflict_7,
train_17,
fun_13,
ohio,
markets,
train,
world_18,
loss_14,
bonds_3,
forex,
cash_4,
train_20,
ministry,
justice_2,
justice_7,
fun_5,
lifestyle,
council,
kitchen_11,
train_4,
cash_20,
case,
corporation,
labor_6,
hedge_16,
cancer,
markets_1,
business,
garden_20,
stock market,
district,
kitchen_3,
holiday,
labor_19,
garden,
garden_6,
loss_9,
hedge_18,
markets_5,
loss_13,
world_16,
pennsylvania,
garden_17,
hedge_13,
return,
investment,
chance,
markets_11,
markets_12,
president,
present_2,
present_15,
cash_8,
kitchen_5,
movement,
stock_market_14,
kitchen_18,
financial markets,
fun_17,
cash,
movie,
markets_8,
conflict_9,
stock_market_6,
rare earths,
train_18,
labor_5,
conflict_11,
development,
served,
fun_11,
train_19,
bonds_18,
hedge_11,
justice_12,
stock_market_10,
profit,
cash_2,
markets_9,
stock_market_9,
train_10,
stock_market_8,
labor_12,
present_10,
present_18,
conflict_2,
loss_18,
garden_12,
kitchen_16,
hedge_1,
republican,
fun_20,
labor_2,
cash_14,
stock_market_4,
georgia,
markets_2,
train_12,
act,
million,
unemployment,
bonds_11,
gains,
justice_11,
markets_4,
stock_market_20,
hedge_2,
justice_19,
markets_10,
loss_2,
stock_market_2,
labor,
hedge_9,
labor_13,
markets_13,
stock_market_5,
world_8,
labor_15,
bank,
loss_7,
world_1,
train_16,
fun_16,
illinois,
hedge_20,
train_9,
success,
kitchen_20,
sell,
rights,
conflict_20,
markets_17,
cash_3,
virginia,
justice_4,
bonds_5,
justice_15,
hedge_6,
hedge_8,
loss,
portfolio,
fine,
present_6,
bonds_19,
justice_6,
college,
conflict_12,
committee,
seats,
governor,
fun_7,
kitchen,
wisconsin,
loss_19,
train_11,
conflict,
stock_market_18,
elections,
tennessee,
justice_1,
kitchen_12,
stock_market_1,
stock_market_19,
bonds_1,
inc,
world_4,
bubble,
companies,
political,
world_17,
dividend,
present_9,
office,
conflict_8,
ore,
cash_18,
housing,
kitchen_15,
society,
justice_16,
washington,
train_15,
inflation,
present_8,
garden_10,
labor_20,
police,
stocks,
nyse,
health,
justice_10,
garden_19,
fun_19,
world_2,
dow jones,
conflict_19,
democratic,
crash,
conflict_5,
present_1,
kitchen_7,
labor_14,
culture,
justice_18,
leverage,
bonds_7,
gold,
garden_8,
stats,
party,
labor_11,
train_8,
labor_8,
project,
travel,
gain,
garden_11,
present_3,
train_5,
cash_19,
fed,
religion,
economic,
marketing,
hedge_17,
bonds_20,
bonds_6,
conflict_15,
world_20,
election,
train_14,
cash_1,
garden_1,
massachusetts,
train_7,
labor_4,
texas,
cash_12,
fun_14,
target_return,
kitchen_2,
fun_10,
debt,
present_14,
loss_12,
bonds_4,
labor_18,
hedge_4,
community,
world_19,
fun_2,
world_9,
markets_19,
financial,
markets_20,
management,
greed,
stock_market_7,
cash_15,
consumption,
world_13,
kitchen_19,
kitchen_13,
labor_9,
conflict_1,
bonds_12,
hedge_12,
kitchen_17,
ltd,
fond,
conflict_3,
hedge_10,
william,
markets_15,
cash_17,
world_11,
labor_3,
tourism,
bonds_16,
world_15,
fun_1,
economy,
buy,
present_4,
bonds_2,
hedge,
conflict_13,
world_12,
york,
garden_14,
present_19,
minister,
industry,
present_5,
labor_1,
stock_market_3,
markets_14,
present_13,
firm,
voters,
conflict_17,
house,
bonds_14,
ceo,
markets_16,
fun,
present_17,
headlines,
technology,
garden_7,
cash_7,
legal,
finance,
present,
home,
loss_11,
water,
hedge_7,
justice_13,
senate,
returns,
cash_9,
ring,
bonds_13,
fun_6,
members,
stock_market_13,
justice_17,
garden_9,
train_13,
bonds,
risk,
kentucky,
hedge_5,
founded,
judge,
garden_5,
stock_market_17,
garden_16,
train_6,
present_20,
freedom,
secretary,
politics,
justice_3,
car,
garden_4,
hedge_14,
hedge_19,
fun_4,
kitchen_1,
products,
justice_14,
restaurant,
vermont,
federal,
growth,
present_16,
conflict_6,
markets_3,
world_7,
present_12,
present_7,
stock_market_12,
environment,
bonds_17,
markets_7,
conflict_18,
justice,
DOW JONES,
nasdaq,
marriage,
loss_17,
loss_6,
cash_6,
labor_17,
consume,
train_1,
world_6,
BUY AND HOLD,
blacklist,
color,
loss_4,
