feature,feature_score
cash_2,0.0038610453523874235
cash_13,0.03555553386085558
derivatives_6,0.03885916646633585
dividend_2,0.00808831555481409
dividend_6,0.02013866751634273
dow_jones_13,0.0032549111713812908
members_18,0.00661581246355916
party_17,0.0463906309328556
republican_7,0.007511312111053432
revenue_2,0.011414742641665074
rich_8,0.025203198305860194
elections_14,
elections_18,
elected,
services,
voters_4,
earnings,
media,
voters_13,
buy_5,
elections_16,
forex_2,
short selling,
election_10,
cash_11,
election_1,
founded_18,
economics,
members_17,
voters_16,
oil,
republican_1,
law,
credit,
returns_18,
invest,
missouri,
derivatives_13,
buy_9,
governor_16,
voters_20,
carolina,
crisis,
voters_18,
money,
cash_16,
revenue_15,
dividend_15,
revenue_4,
gains_4,
gains_6,
revenue_19,
gains_1,
default,
dow_jones_20,
election_19,
metals,
elections_20,
train_2,
election_16,
buy_13,
government,
derivatives,
election_18,
arts,
derivatives_16,
election_14,
happy,
revenue_1,
rich,
world,
revenue_5,
forex_7,
dow_jones_4,
ohio,
markets,
train,
dividend_10,
buy_6,
stocks_4,
cash_4,
members_15,
party_1,
election_12,
voters_5,
lifestyle,
council,
cash_20,
case,
corporation,
dow_jones_2,
buy_15,
dividend_13,
dow_jones_15,
stock market,
members_11,
party_16,
district,
elections_17,
members_12,
derivatives_2,
massachusetts_14,
party_15,
party_4,
returns_19,
dividend_3,
elections_15,
pennsylvania,
founded_17,
investment,
chance,
republican_19,
derivatives_3,
rich_12,
dow_jones_17,
forex_15,
voters_10,
election_4,
founded_5,
movement,
dow_jones_5,
financial markets,
members_19,
cash,
movie,
founded_8,
returns_10,
train_18,
dividend_17,
governor_7,
returns_14,
gains_10,
train_19,
derivatives_20,
massachusetts_12,
rich_13,
stocks_20,
buy_4,
profit,
train_10,
returns_7,
voters_9,
dow_jones_3,
republican,
cash_14,
georgia,
train_12,
act,
million,
voters_19,
dow_jones_9,
party_10,
gains,
revenue_11,
elections_8,
revenue_12,
labor,
election_8,
stocks_14,
bank,
founded_11,
revenue_13,
governor_4,
dividend_19,
rich_10,
governor_2,
train_16,
dividend_16,
republican_6,
gains_16,
success,
buy_19,
sell,
dow_jones_8,
train_9,
buy_7,
gains_9,
elections_6,
republican_3,
gains_11,
cash_3,
virginia,
elections_11,
derivatives_5,
election_5,
loss,
portfolio,
fine,
college,
founded_1,
returns_4,
election_11,
returns_6,
kitchen,
wisconsin,
dividend_12,
conflict,
tennessee,
governor_14,
inc,
stocks_13,
bubble,
companies,
voters_12,
political,
dividend,
ore,
housing,
buy_20,
washington,
train_15,
founded_6,
party_14,
police,
stocks,
health,
founded_12,
revenue_7,
republican_15,
dow_jones_14,
forex_17,
dow_jones_11,
party_19,
rich_11,
dow jones,
massachusetts_4,
democratic,
crash,
election_9,
founded_16,
party_20,
revenue_17,
governor_17,
leverage,
gold,
massachusetts_10,
stats,
party,
returns_16,
train_8,
project,
travel,
gain,
founded_3,
fed,
economic,
forex_16,
governor_9,
train_14,
republican_20,
revenue_9,
train_7,
texas,
rich_18,
stocks_16,
target_return,
debt,
governor_11,
republican_8,
dividend_5,
community,
massachusetts_19,
members_8,
management,
greed,
party_9,
voters_7,
voters_1,
election_20,
republican_4,
elections_5,
ltd,
fond,
stocks_6,
governor_8,
tourism,
election_6,
returns_20,
returns_15,
buy,
massachusetts_20,
hedge,
buy_10,
republican_14,
minister,
firm,
voters,
house,
revenue_6,
rich_17,
ceo,
fun,
dow_jones_18,
headlines,
technology,
elections_19,
cash_7,
present,
governor_10,
voters_11,
members_5,
buy_8,
dow_jones_10,
stocks_10,
returns,
forex_4,
returns_8,
ring,
members,
buy_18,
kentucky,
founded_2,
governor_15,
derivatives_11,
derivatives_8,
governor_18,
massachusetts_6,
massachusetts_17,
returns_5,
secretary,
train_6,
car,
forex_10,
massachusetts_13,
republican_5,
restaurant,
founded_15,
voters_8,
election_2,
forex_12,
environment,
forex_9,
gains_19,
justice,
DOW JONES,
nasdaq,
marriage,
gains_13,
party_3,
derivatives_9,
gains_20,
train_1,
buy_17,
massachusetts_11,
governor_12,
elections_9,
BUY AND HOLD,
republican_10,
color,
cash_5,
court,
train_3,
voters_15,
service,
trader,
buy_16,
global,
massachusetts_3,
short sell,
stocks_19,
elections_3,
security,
votes,
massachusetts_8,
war,
opportunity,
cash_10,
dividend_8,
energy,
election_17,
social,
derivatives_10,
food,
rich_19,
revenue,
banking,
republican_13,
forex_6,
county,
revenue_10,
forex_18,
gains_14,
governor_5,
republican_2,
revenue_14,
union,
derivatives_15,
stocks_9,
forex_11,
market,
forex_5,
transaction,
forex_1,
representatives,
massachusetts_5,
stocks_1,
stocks_18,
derivatives_19,
dividend_1,
gains_5,
derivatives_18,
founded_10,
members_7,
train_17,
dividend_20,
gains_2,
massachusetts_15,
revenue_20,
governor_1,
governor_19,
gains_15,
forex,
train_20,
ministry,
founded_4,
election_15,
dividend_11,
train_4,
rich_16,
cancer,
business,
holiday,
garden,
returns_13,
return,
president,
members_1,
derivatives_17,
rich_1,
stocks_8,
dow_jones_6,
cash_8,
gains_12,
buy_3,
massachusetts_18,
rare earths,
members_2,
massachusetts_1,
development,
served,
derivatives_1,
