feature,feature_score
fed_2,0.0026543029732979057
fed_3,0.04871960917657449
freedom_18,0.0030309365087713043
illinois_9,0.03074684469840609
judge_5,0.012359474547711588
marketing_15,0.021731069732675818
politics_7,0.031986334339615057
politics_9,0.021035097105164893
unemployment_9,0.008049123105894364
senate,
financial,
william_6,
political_10,
political,
project_16,
travel_7,
gold,
politics_8,
judge,
freedom_6,
political_16,
political_19,
law_5,
college_16,
college_1,
law_4,
oil,
car,
travel_15,
judge_17,
freedom_1,
community_19,
freedom_20,
william_4,
college,
finance_11,
restaurant,
travel_12,
community,
freedom,
garden,
finance,
house_12,
political_8,
social,
election,
william_5,
secretary,
trader,
finance_18,
college_4,
illinois_13,
marketing_19,
politics_13,
house_3,
tourism,
county,
college_2,
conflict_11,
georgia,
rare earths,
finance_8,
unemployment_11,
transaction,
conflict_20,
leverage,
community_5,
ltd,
unemployment_8,
law_7,
college_14,
gains,
project_3,
illinois_16,
washington_19,
housing,
firm,
washington_7,
finance_9,
judge_16,
community_7,
fed_5,
judge_9,
law_2,
president_13,
washington_10,
marketing_20,
political_1,
conflict_3,
companies,
washington_9,
project_5,
president_5,
president_8,
money_5,
BUY AND HOLD,
development,
georgia_1,
money_16,
president_18,
finance_2,
seats,
finance_3,
house_16,
political_3,
unemployment_15,
william_7,
fed_12,
house_19,
washington_5,
fed_13,
travel_11,
illinois_17,
illinois_11,
marketing_17,
money_19,
politics_4,
served,
law_6,
political_14,
happy,
founded,
travel_5,
consumption,
washington_6,
william,
stats,
unemployment_4,
conflict_13,
college_15,
finance_1,
arts,
ceo,
money_4,
illinois_8,
fed_10,
dividend,
fed_16,
fed_8,
washington_13,
freedom_8,
lifestyle,
illinois_3,
house_9,
money_14,
william_1,
business,
conflict_12,
unemployment_6,
freedom_3,
political_15,
project_19,
travel_1,
community_14,
stock market,
georgia_11,
environment,
water,
services,
marketing_10,
political_2,
project,
project_17,
texas,
earnings,
william_15,
movement,
marketing,
judge_19,
unemployment_16,
politics_3,
illinois_12,
georgia_17,
community_4,
illinois_1,
vermont,
georgia_4,
money_12,
fed_6,
william_11,
william_14,
tennessee,
unemployment_19,
default,
crisis,
marketing_2,
college_19,
house_4,
marketing_7,
virginia,
forex,
marketing_5,
york,
law_10,
police,
travel_17,
president_19,
democratic,
portfolio,
community_6,
william_19,
fed_19,
president_11,
banking,
conflict_7,
william_13,
georgia_5,
conflict_16,
house_11,
economy,
culture,
debt,
project_13,
law_13,
travel_4,
energy,
college_13,
college_7,
georgia_14,
georgia_16,
unemployment_12,
party,
finance_16,
travel_3,
house_1,
house_6,
georgia_12,
project_15,
unemployment_13,
voters,
georgia_18,
politics_11,
fun,
finance_13,
washington_2,
investment,
judge_1,
