feature,feature_score
car_12,0.03812452314093573
car_19,0.03710079855294821
crash_2,0.02366210709637932
democratic_7,0.023254485469925545
democratic_11,0.036159775452844545
democratic_12,0.03957846683126495
democratic_13,0.021645904609769492
investment_1,0.04612293725797254
investment_2,0.03918898092623697
police_7,0.01353257619988146
portfolio_6,0.004418517725539495
served_2,0.006580397839650363
world_15,0.039261087683460094
world_3,
world_10,
elected,
services,
holiday_17,
bubble_5,
police_8,
earnings,
media,
short selling,
freedom_5,
cash_11,
economics,
world_14,
oil,
carolina_4,
loss_1,
loss_20,
law,
credit,
invest,
missouri,
loss_10,
carolina,
trader_14,
crisis,
money,
cash_16,
portfolio_13,
trader_16,
loss_15,
car_7,
banking_17,
holiday_19,
holiday_20,
default,
missouri_10,
industry_6,
metals,
fun_8,
government,
derivatives,
missouri_8,
police_12,
car_11,
arts,
fun_3,
freedom_11,
bubble_15,
democratic_14,
happy,
loss_3,
served_14,
rich,
world,
loss_8,
fun_13,
ohio,
investment_6,
markets,
train,
world_18,
bank_6,
industry_5,
loss_14,
banking_11,
carolina_11,
car_13,
cash_4,
energy_5,
missouri_13,
crash_11,
energy_1,
lifestyle,
council,
cash_20,
case,
corporation,
industry_3,
stock market,
district,
bank_5,
crash_19,
portfolio_5,
loss_13,
served_5,
holiday_10,
crash_6,
world_16,
missouri_16,
pennsylvania,
crash_17,
bank_2,
investment,
chance,
crash_7,
investment_12,
car_5,
car_1,
democratic_10,
trader_17,
car_14,
energy_17,
holiday_9,
investment_18,
police_19,
movement,
police_18,
investment_19,
financial markets,
cash,
movie,
investment_8,
crash_15,
trader_13,
served_12,
democratic_17,
profit,
cash_2,
bubble_1,
police_1,
freedom_7,
republican,
fun_20,
banking_18,
cash_14,
holiday_16,
georgia,
act,
million,
gains,
holiday_4,
industry_11,
police_17,
freedom_18,
labor,
industry_10,
police_14,
bubble_17,
bank,
bubble_12,
industry_4,
car_8,
fun_16,
success,
sell,
police_16,
crash_3,
investment_7,
industry_18,
cash_3,
virginia,
loss,
portfolio,
fine,
missouri_20,
industry_8,
college,
banking_4,
missouri_19,
kitchen,
wisconsin,
loss_19,
conflict,
investment_17,
tennessee,
police_2,
freedom_6,
missouri_3,
inc,
energy_8,
trader_9,
investment_9,
world_4,
energy_18,
bubble,
missouri_6,
companies,
served_10,
political,
world_17,
dividend,
energy_3,
ore,
housing,
washington,
police_4,
police_5,
freedom_2,
missouri_11,
police,
stocks,
car_15,
health,
portfolio_7,
energy_6,
carolina_9,
investment_16,
world_2,
holiday_12,
dow jones,
crash_20,
democratic,
crash,
freedom_4,
leverage,
energy_9,
gold,
stats,
party,
energy_10,
project,
travel,
gain,
car_3,
fed,
portfolio_20,
economic,
carolina_20,
bubble_14,
portfolio_9,
crash_9,
portfolio_3,
bubble_4,
banking_20,
texas,
target_return,
bank_20,
debt,
bubble_10,
portfolio_19,
served_6,
loss_12,
community,
world_19,
fun_2,
holiday_5,
trader_5,
world_9,
crash_10,
investment_20,
management,
greed,
bubble_13,
