feature,feature_score
bubble_13,0.01755430631745957
bubble_16,0.04326474976808068
fine_11,0.041792117075533985
fine_17,0.04398720173391807
government_18,0.03422590075175002
invest_4,0.013576378894694123
judge_6,0.01646416214273365
judge_9,0.005599047085773156
market_13,0.007396872848352799
market_14,0.009493942797400354
missouri_20,0.002298385356484307
ohio_3,0.00019309828884699645
ohio_18,0.019822987330645952
religion_5,0.004856435133154286
stocks_14,0.004060154109472445
tennessee_1,0.02402743381076024
tennessee_5,0.012121924191854953
tennessee_17,0.009473422719320229
technology_20,
elected,
services,
food_11,
religion_16,
bubble_5,
earnings,
market_1,
media,
firm_10,
market_4,
short selling,
founded_18,
market_18,
economics,
oil,
invest_12,
loss_1,
government_16,
ohio_4,
loss_20,
law,
credit,
invest_5,
invest,
missouri,
loss_10,
wisconsin_7,
carolina,
fine_16,
crisis,
invest_17,
invest_18,
money,
wisconsin_9,
corporation_3,
corporation_13,
government_14,
market_19,
revenue_15,
food_18,
revenue_4,
revenue_19,
invest_1,
loss_15,
society_5,
default,
missouri_10,
firm_9,
metals,
invest_8,
wisconsin_2,
corporation_9,
technology_12,
government,
derivatives,
missouri_8,
fine_18,
tennessee_6,
invest_19,
arts,
government_6,
bubble_15,
happy,
technology_13,
loss_3,
religion_1,
rich,
world,
revenue_1,
corporation_2,
firm_11,
loss_8,
revenue_5,
fine_3,
ohio,
food_16,
fine_1,
firm_5,
markets,
train,
firm_16,
loss_14,
stocks_4,
fine_19,
missouri_13,
wisconsin_14,
ltd_3,
lifestyle,
market_20,
council,
wisconsin_16,
case,
corporation,
ohio_1,
invest_7,
stock market,
district,
judge_17,
invest_2,
government_2,
corporation_8,
loss_13,
society_3,
government_5,
market_10,
missouri_16,
pennsylvania,
founded_17,
technology_11,
investment,
chance,
invest_11,
tennessee_20,
market_3,
market_8,
founded_5,
movement,
financial markets,
judge_13,
cash,
movie,
founded_8,
wisconsin_17,
ltd_17,
firm_18,
market_15,
ohio_16,
stocks_20,
profit,
religion_10,
wisconsin_6,
bubble_1,
technology_4,
tennessee_3,
republican,
judge_1,
fine_14,
georgia,
ltd_11,
act,
million,
society_11,
judge_16,
gains,
government_20,
revenue_11,
revenue_12,
labor,
bubble_17,
bank,
bubble_12,
founded_11,
revenue_13,
success,
wisconsin_12,
sell,
technology_5,
religion_3,
virginia,
government_1,
loss,
portfolio,
fine,
firm_12,
college,
founded_1,
missouri_19,
kitchen,
wisconsin,
religion_2,
loss_19,
ltd_16,
ohio_10,
conflict,
tennessee,
missouri_3,
inc,
corporation_11,
fine_7,
stocks_13,
corporation_7,
missouri_6,
bubble,
technology_17,
companies,
political,
technology_8,
dividend,
society_1,
government_8,
tennessee_10,
tennessee_8,
ore,
housing,
religion_18,
washington,
wisconsin_20,
founded_6,
missouri_11,
police,
stocks,
health,
founded_12,
revenue_7,
firm_4,
judge_5,
tennessee_12,
dow jones,
revenue_17,
democratic,
crash,
founded_16,
leverage,
gold,
stats,
party,
technology_18,
project,
travel,
gain,
founded_3,
fed,
corporation_4,
government_11,
economic,
judge_4,
corporation_20,
technology_16,
invest_3,
bubble_14,
invest_13,
bubble_4,
revenue_9,
tennessee_9,
texas,
stocks_16,
invest_14,
target_return,
wisconsin_15,
debt,
bubble_10,
firm_13,
loss_12,
government_4,
judge_19,
community,
wisconsin_1,
wisconsin_18,
fine_13,
ltd_2,
corporation_12,
management,
greed,
government_13,
fine_4,
religion_12,
market_9,
judge_18,
religion_7,
ltd,
fond,
judge_3,
bubble_11,
ltd_19,
stocks_6,
fine_12,
wisconsin_13,
tourism,
ltd_13,
wisconsin_4,
society_13,
technology_7,
wisconsin_10,
buy,
missouri_18,
society_12,
society_14,
hedge,
ltd_10,
society_7,
ohio_12,
tennessee_11,
minister,
tennessee_18,
firm,
voters,
house,
revenue_6,
wisconsin_11,
ceo,
fun,
food_3,
tennessee_4,
headlines,
technology,
government_3,
technology_3,
present,
fine_10,
judge_15,
stocks_10,
firm_17,
returns,
ltd_6,
ring,
members,
market_16,
corporation_19,
society_10,
kentucky,
firm_14,
judge_7,
judge_12,
founded_2,
missouri_5,
secretary,
bubble_20,
religion_11,
car,
food_14,
restaurant,
founded_15,
firm_1,
government_9,
environment,
bubble_8,
society_18,
justice,
DOW JONES,
nasdaq,
marriage,
judge_14,
ohio_20,
ltd_5,
market_7,
society_6,
religion_15,
BUY AND HOLD,
tennessee_19,
color,
ohio_13,
food_10,
court,
service,
trader,
global,
bubble_2,
short sell,
firm_19,
ohio_14,
stocks_19,
security,
votes,
firm_20,
war,
opportunity,
religion_19,
energy,
