feature,feature_score
act_9,0.04457852611003733
banking_2,0.02725106786218092
cancer_4,0.0013533577333048883
cancer_11,0.005714342767981044
cancer_12,0.020897104378465536
cancer_13,0.01361302408841964
cancer_15,0.030429319413655856
committee_2,0.006015573240126963
community_2,0.014919812391677889
energy_1,0.018038241266707448
energy_9,0.010799415847089384
federal_2,0.0017585451808514309
firm_1,0.041245384613950775
firm_19,0.012607187383503143
global_10,0.0474445153701163
global_12,0.042526529190771815
inc_2,0.016051522953713156
nasdaq_18,0.019840368378712378
nasdaq_20,0.009059025670310762
ore_18,0.016289706974251104
pennsylvania_2,0.0058525337519197244
politics_3,0.008297760144986139
politics_6,0.005986663403271155
project_11,0.010500630866287332
project_15,0.014088466438856171
project_20,0.03697955315502869
revenue_8,0.025052697748388142
travel_2,0.0018238984861073644
unemployment_3,0.03681514551089472
unemployment_9,0.0008867135860694026
unemployment_10,0.047779073134634184
washington_6,0.014983236283085287
district_16,
fed_18,
elected,
services,
movie_9,
happy_11,
earnings,
travel_9,
politics_9,
media,
firm_10,
politics_1,
court_18,
business_16,
financial_20,
buy_5,
short selling,
act_2,
unemployment_13,
project_3,
economic_5,
economics,
project_8,
companies_5,
oil,
movie_1,
government_16,
project_14,
district_6,
inc_10,
legal_10,
law,
credit,
district_1,
washington_7,
invest,
missouri,
buy_9,
unemployment_11,
committee_10,
carolina,
crisis,
money,
movie_19,
government_14,
committee_15,
pennsylvania_1,
revenue_15,
project_4,
revenue_4,
revenue_19,
services_17,
banking_17,
default,
project_18,
happy_13,
college_11,
missouri_10,
fed_15,
pennsylvania_17,
unemployment_18,
financial_18,
travel_1,
happy_17,
firm_9,
metals,
happy_5,
college_5,
buy_13,
companies_14,
college_1,
government,
derivatives,
missouri_8,
nasdaq_3,
travel_10,
cancer_9,
arts,
government_6,
committee_5,
democratic_14,
happy,
companies_20,
revenue_1,
secretary_5,
rich,
world,
politics_4,
firm_11,
business_8,
secretary_13,
revenue_5,
happy_3,
washington_18,
ohio,
federal_7,
firm_5,
business_18,
markets,
train,
firm_16,
buy_6,
legal_19,
banking_11,
party_17,
energy_5,
travel_15,
college_10,
economic_2,
missouri_13,
party_1,
movie_16,
project_6,
services_3,
pennsylvania_5,
business_5,
ore_16,
politics_18,
lifestyle,
travel_19,
council,
movie_4,
case,
corporation,
act_16,
fed_20,
secretary_1,
buy_15,
happy_2,
stock market,
district_17,
party_16,
economic_18,
district,
financial_16,
business_14,
inc_17,
party_15,
government_2,
ore_13,
government_5,
fed_19,
party_4,
missouri_16,
pennsylvania,
federal_20,
investment,
chance,
college_9,
district_9,
business_13,
travel_4,
inc_12,
democratic_10,
business_3,
financial_12,
economic_12,
energy_17,
global_19,
community_19,
fed_4,
movement,
community_17,
democratic_12,
unemployment_15,
financial markets,
cash,
movie,
project_9,
financial_15,
committee_7,
business_1,
fed_7,
business_4,
financial_9,
firm_18,
companies_11,
district_4,
washington_14,
democratic_17,
politics_12,
federal_12,
inc_19,
politics_2,
secretary_20,
buy_4,
profit,
inc_14,
washington_10,
cancer_14,
companies_10,
court_16,
republican,
banking_18,
georgia,
ore_6,
act,
project_19,
million,
secretary_2,
economic_13,
party_10,
services_19,
gains,
financial_7,
finance_16,
government_20,
politics_17,
financial_13,
revenue_11,
project_2,
revenue_12,
court_2,
labor,
project_13,
nasdaq_7,
bank,
community_12,
revenue_13,
community_15,
act_19,
community_4,
global_7,
financial_19,
community_18,
global_16,
happy_12,
success,
buy_19,
sell,
legal_1,
district_5,
district_19,
secretary_10,
buy_7,
unemployment_4,
virginia,
government_1,
legal_7,
companies_3,
legal_4,
movie_18,
loss,
portfolio,
fine,
act_13,
companies_4,
finance_9,
fed_5,
firm_12,
missouri_20,
college,
community_9,
cancer_18,
college_20,
ore_2,
banking_4,
washington_20,
missouri_19,
court_7,
kitchen,
committee_18,
wisconsin,
committee_19,
travel_14,
act_20,
inc_13,
act_4,
conflict,
secretary_6,
tennessee,
court_4,
business_11,
missouri_3,
nasdaq_8,
inc,
energy_8,
legal_20,
community_14,
committee_6,
energy_18,
bubble,
act_8,
missouri_6,
companies,
secretary_3,
travel_17,
political,
inc_15,
services_14,
ore_3,
secretary_4,
college_19,
dividend,
court_10,
finance_2,
washington_15,
committee_1,
government_8,
legal_6,
energy_3,
travel_12,
ore,
housing,
buy_20,
washington,
ore_7,
politics_13,
court_11,
legal_11,
democratic_13,
missouri_11,
police,
stocks,
party_14,
health,
revenue_7,
district_14,
finance_5,
companies_2,
firm_4,
community_6,
energy_6,
nasdaq_11,
party_19,
happy_20,
dow jones,
revenue_17,
democratic,
crash,
legal_9,
business_7,
party_20,
travel_18,
inc_1,
act_10,
leverage,
gold,
stats,
party,
travel_6,
energy_10,
project,
travel,
gain,
federal_17,
cancer_10,
committee_20,
committee_12,
government_11,
fed,
finance_6,
movie_2,
economic,
secretary_16,
federal_13,
economic_14,
happy_7,
revenue_9,
banking_20,
fed_8,
texas,
travel_5,
secretary_15,
target_return,
economic_7,
debt,
firm_13,
government_4,
finance_19,
community,
travel_16,
nasdaq_4,
management,
greed,
companies_19,
party_9,
government_13,
finance_15,
politics_15,
unemployment_6,
ore_14,
economic_10,
global_13,
secretary_18,
services_12,
legal_14,
ltd,
fond,
committee_17,
happy_8,
court_12,
tourism,
energy_2,
banking_13,
finance_10,
fed_12,
secretary_8,
buy,
missouri_18,
college_8,
hedge,
buy_10,
finance_12,
movie_12,
democratic_4,
minister,
movie_14,
democratic_8,
college_12,
act_17,
finance_7,
firm,
voters,
house,
revenue_6,
inc_9,
democratic_3,
movie_10,
ceo,
federal_1,
fun,
finance_1,
nasdaq_19,
legal_18,
headlines,
technology,
government_3,
energy_11,
present,
movie_6,
act_7,
washington_8,
business_10,
buy_8,
happy_1,
pennsylvania_3,
washington_13,
banking_3,
energy_12,
firm_17,
services_11,
federal_18,
cancer_6,
returns,
court_1,
travel_20,
ring,
members,
energy_4,
finance_14,
legal_3,
buy_18,
companies_15,
kentucky,
federal_4,
firm_14,
services_10,
federal_11,
pennsylvania_4,
democratic_20,
committee_3,
missouri_5,
financial_10,
global_15,
secretary,
pennsylvania_20,
nasdaq_9,
car,
restaurant,
pennsylvania_18,
college_16,
district_10,
fed_10,
finance_11,
democratic_15,
nasdaq_16,
federal_5,
government_9,
environment,
justice,
DOW JONES,
nasdaq,
marriage,
district_20,
pennsylvania_14,
ore_4,
travel_3,
pennsylvania_19,
movie_15,
movie_20,
party_3,
legal_17,
economic_9,
buy_17,
ore_17,
BUY AND HOLD,
color,
nasdaq_2,
happy_16,
democratic_18,
court,
economic_11,
service,
trader,
buy_16,
global,
short sell,
court_6,
pennsylvania_6,
unemployment_16,
washington_3,
security,
democratic_6,
votes,
cancer_17,
global_1,
services_1,
financial_11,
cancer_16,
firm_20,
war,
opportunity,
act_15,
energy,
inc_8,
social,
movie_7,
washington_4,
committee_9,
banking_6,
politics_16,
companies_17,
food,
revenue,
missouri_14,
cancer_8,
services_4,
banking,
banking_12,
