feature,feature_score
court_7,0.019478951204868335
crash_6,0.04753961169485054
crisis_12,0.04420413498902332
crisis_14,0.04703878622049731
culture_13,0.011476736083498714
economy_19,0.0038323607125495623
firm_5,0.009054824123105609
health_4,0.013592211571112121
industry_4,0.031362367392049395
judge_2,0.03649610551820813
judge_7,0.018926858517986676
judge_11,0.046713498643329805
leverage_18,0.0012981714267772757
members_4,0.03204708725890522
ministry_7,0.037383602716671356
portfolio_12,0.001185249801876503
served_14,0.01173219096139523
served_17,0.0022198413611414875
served_19,0.031040800175919397
service_5,0.020051430382058883
texas_5,0.04385017990942024
development_7,
fed_18,
profit_12,
elected,
services,
health_14,
economy_13,
earnings,
media,
firm_10,
court_18,
leverage_3,
social_11,
short selling,
ministry_4,
ministry_16,
housing_10,
kitchen_6,
economics,
members_17,
oil,
economy_9,
credit_12,
legal_10,
seats_8,
law,
credit,
crash_2,
washington_7,
invest,
missouri,
opportunity_9,
service_7,
housing_18,
judge_9,
carolina,
development_19,
culture_17,
crisis,
health_10,
seats_19,
money,
corporation_3,
corporation_13,
portfolio_13,
service_20,
ministry_2,
development_8,
kitchen_8,
services_17,
development_20,
movement_5,
banking_17,
default,
dow_jones_20,
ministry_15,
college_11,
fed_15,
industry_6,
law_5,
culture_15,
kitchen_9,
firm_9,
metals,
college_5,
corporation_9,
senate_15,
college_1,
government,
derivatives,
greed_16,
seats_7,
law_6,
arts,
case_2,
leverage_4,
profit_11,
happy,
rich,
world,
corporation_2,
firm_11,
seats_11,
dow_jones_4,
ohio,
washington_18,
crisis_18,
markets,
texas_16,
train,
firm_16,
industry_5,
legal_19,
banking_11,
energy_5,
members_15,
college_10,
movement_20,
services_3,
crisis_2,
crash_11,
energy_1,
housing_13,
ministry_17,
seats_16,
senate_1,
lifestyle,
council,
kitchen_11,
case,
corporation,
industry_3,
rights_3,
seats_9,
movement_7,
crisis_16,
dow_jones_2,
fed_20,
dow_jones_15,
stock market,
members_11,
district,
crash_19,
portfolio_5,
judge_17,
members_12,
risk_14,
development_14,
corporation_8,
senate_14,
served_5,
fed_19,
housing_20,
pennsylvania,
crash_17,
economy_12,
development_1,
investment,
chance,
college_9,
crash_7,
social_20,
dow_jones_17,
health_1,
credit_20,
energy_17,
community_19,
fed_4,
movement,
community_17,
dow_jones_5,
kitchen_5,
development_5,
seats_17,
kitchen_18,
financial markets,
judge_13,
members_19,
cash,
movie,
development_10,
crash_15,
senate_16,
fed_7,
served_12,
firm_18,
washington_14,
crisis_9,
washington_10,
opportunity_12,
profit,
case_19,
movement_10,
social_13,
court_16,
movement_3,
dow_jones_3,
republican,
dow_jones_13,
judge_1,
rights_15,
banking_18,
rights_5,
georgia,
act,
million,
service_17,
dow_jones_9,
services_19,
crisis_10,
judge_16,
gains,
movement_15,
industry_11,
texas_13,
court_2,
labor,
ministry_5,
industry_10,
rights_18,
bank,
community_12,
community_15,
service_16,
community_4,
culture_8,
community_18,
greed_9,
legal_1,
success,
dow_jones_8,
sell,
kitchen_20,
service_2,
crash_3,
risk_20,
industry_18,
virginia,
legal_7,
profit_5,
economy_4,
legal_4,
social_1,
loss,
portfolio,
fine,
case_10,
fed_5,
firm_12,
law_17,
judge_6,
risk_17,
industry_8,
college,
community_9,
members_18,
college_20,
banking_4,
case_9,
washington_20,
kitchen,
wisconsin,
credit_5,
service_11,
greed_4,
conflict,
senate_7,
tennessee,
court_4,
kitchen_12,
opportunity_19,
inc,
energy_8,
corporation_11,
legal_20,
community_2,
community_14,
social_5,
corporation_7,
energy_18,
bubble,
senate_11,
companies,
served_10,
political,
services_14,
health_11,
case_20,
dividend,
college_19,
court_10,
movement_8,
washington_15,
legal_6,
energy_3,
ore,
housing,
housing_11,
kitchen_15,
washington,
greed_13,
service_8,
ministry_20,
movement_19,
court_11,
housing_9,
legal_11,
economy_5,
police,
stocks,
health,
portfolio_7,
firm_4,
service_3,
crisis_13,
dow_jones_14,
community_6,
energy_6,
ministry_14,
movement_6,
judge_5,
dow_jones_11,
dow jones,
crash_20,
democratic,
crash,
legal_9,
leverage_7,
kitchen_7,
social_10,
rights_7,
leverage,
energy_9,
gold,
stats,
party,
culture_19,
energy_10,
health_5,
senate_5,
project,
travel,
gain,
movement_17,
economy_10,
fed,
corporation_4,
culture_16,
economic,
economy_16,
corporation_20,
judge_4,
law_9,
law_20,
ministry_10,
portfolio_20,
texas_12,
portfolio_9,
crash_9,
opportunity_2,
served_2,
economy_11,
portfolio_3,
risk_3,
service_4,
banking_20,
fed_8,
texas,
crisis_6,
target_return,
kitchen_2,
debt,
firm_13,
culture_5,
portfolio_19,
served_6,
case_14,
crisis_3,
judge_19,
community,
culture_10,
members_8,
crash_10,
texas_15,
corporation_12,
management,
greed,
risk_5,
ministry_19,
banking_2,
economy_8,
kitchen_19,
opportunity_20,
portfolio_8,
profit_8,
opportunity_1,
judge_18,
legal_14,
