feature,feature_score
act_8,0.019132755035490126
act_17,0.00018076948835326245
act_18,0.00800870372663241
banking_14,2.0915597897058035e-06
business_15,0.0007175213317230611
chance_14,0.007770819093226154
minister_11,0.0076225909999510805
minister_19,0.007829957904690116
ministry_4,0.042819326681371374
politics_2,0.04802676913559389
ohio_18,
chance_16,
gold_13,
rights_1,
political,
government_19,
default_14,
markets_9,
gold,
judge,
return_16,
county_10,
development_17,
growth_10,
law_5,
sell_8,
college_16,
law_4,
security_7,
economics_5,
environment_9,
stats_10,
ceo_16,
risk_15,
hedge_10,
car,
gold_7,
loss_3,
college,
court_9,
act_2,
gold_18,
tourism_11,
restaurant,
rights_14,
success_2,
minister_14,
rights_9,
freedom,
garden,
finance,
arts_5,
ministry_15,
york_17,
business_8,
ceo_19,
default_6,
management_7,
environment_12,
service_15,
secretary,
gold_2,
services_2,
york_11,
act_14,
services_4,
social_4,
college_4,
marketing_19,
tennessee_13,
tourism,
global_5,
service_19,
conflict_11,
rare earths,
minister_17,
economy_6,
ltd_19,
transaction,
conflict_20,
leverage,
holiday_13,
inc_7,
gold_16,
case_18,
community_5,
companies_14,
union_11,
service_10,
ohio_15,
growth_2,
washington_19,
development_12,
police_13,
washington_7,
stats_16,
society_15,
health_14,
community_7,
environment_16,
business_3,
investment_4,
chance_8,
security_19,
judge_9,
law_2,
financial_18,
holiday_14,
justice_3,
bank_17,
justice_13,
washington_10,
marketing_20,
economics_11,
tennessee_18,
success_9,
energy_3,
washington_9,
act_3,
services_10,
culture_8,
fine_7,
technology_9,
cancer_11,
growth_20,
banking_12,
cancer_13,
social_16,
BUY AND HOLD,
council_12,
georgia_1,
development,
seats,
development_9,
service_9,
york_13,
development_2,
technology_5,
william_7,
stats_7,
missouri_20,
court_19,
social_11,
tourism_5,
union_9,
police_3,
cancer_7,
missouri_8,
founded_15,
risk_6,
services_8,
county_15,
court_12,
politics_4,
law_6,
economics_15,
inc_13,
founded,
energy_8,
services_16,
banking_5,
fine_10,
council_1,
fine_16,
council_10,
court_8,
corporation_7,
markets_1,
case_16,
economics_4,
hedge_4,
consumption,
stats,
union_6,
fine_6,
arts,
ceo,
return_19,
bank_1,
hedge_7,
ministry_6,
growth_1,
holiday_7,
chance_3,
dividend,
case_5,
council_9,
corporation_18,
business_1,
gold_15,
arts_6,
washington_13,
banking_19,
lifestyle,
ltd_18,
service_11,
markets_16,
chance_13,
william_1,
headlines_18,
risk_5,
conflict_12,
hedge_5,
bank_18,
union_3,
