feature,feature_score
earnings_7,0.03779381263036377
elected_7,0.02658184351204406
fed_5,0.018875717336066664
freedom_10,0.0045673814238617405
freedom_14,0.02269223173799258
investment_11,0.002279275728636173
million_12,0.0447529896013303
oil_9,0.020551827418008414
republican_20,0.04770795772942483
tennessee_18,0.0005109080787729048
fed_18,
elected,
services,
health_14,
economy_13,
religion_16,
earnings,
investment_1,
media,
leverage_3,
short selling,
freedom_5,
ministry_4,
oil_17,
earnings_20,
ministry_16,
economics,
members_17,
companies_5,
oil,
economy_9,
credit_12,
republican_1,
law,
credit,
crash_2,
invest,
missouri,
carolina,
crisis,
health_10,
money,
ministry_2,
default,
ministry_15,
fed_15,
metals,
crisis_12,
companies_14,
government,
derivatives,
tennessee_6,
earnings_5,
elected_15,
arts,
freedom_11,
leverage_4,
ministry_7,
happy,
companies_20,
religion_1,
rich,
world,
economics_2,
ohio,
crisis_18,
economics_11,
investment_6,
markets,
oil_20,
train,
bank_6,
members_15,
crisis_2,
crash_11,
ministry_17,
million_8,
lifestyle,
health_4,
council,
economics_20,
earnings_1,
case,
corporation,
economics_10,
crisis_16,
fed_20,
stock market,
members_11,
district,
bank_5,
crash_19,
members_12,
crash_6,
fed_19,
pennsylvania,
crash_17,
economy_12,
bank_2,
investment,
chance,
crash_7,
consumption_18,
investment_12,
republican_19,
tennessee_20,
economics_4,
health_1,
credit_20,
investment_18,
fed_4,
movement,
economics_7,
tennessee_5,
investment_19,
financial markets,
members_19,
economics_18,
cash,
movie,
investment_8,
crash_15,
fed_7,
oil_1,
million_4,
companies_11,
crisis_9,
profit,
religion_10,
economics_17,
companies_10,
freedom_7,
tennessee_3,
republican,
georgia,
elected_2,
act,
earnings_14,
earnings_4,
million,
crisis_10,
gains,
freedom_18,
labor,
ministry_5,
million_6,
million_11,
bank,
earnings_12,
republican_6,
success,
sell,
crash_3,
investment_7,
republican_3,
religion_3,
virginia,
companies_3,
economy_4,
loss,
portfolio,
fine,
companies_4,
college,
members_18,
oil_3,
oil_4,
kitchen,
wisconsin,
credit_5,
religion_2,
investment_17,
conflict,
tennessee,
freedom_6,
inc,
tennessee_1,
million_17,
investment_9,
bubble,
companies,
political,
health_11,
consumption_3,
dividend,
consumption_20,
tennessee_8,
tennessee_10,
ore,
housing,
religion_18,
washington,
freedom_2,
ministry_20,
economy_5,
police,
stocks,
million_15,
health,
republican_15,
companies_2,
crisis_13,
ministry_14,
investment_16,
tennessee_12,
economy_19,
dow jones,
crash_20,
democratic,
crash,
million_10,
leverage_7,
oil_14,
earnings_2,
freedom_4,
leverage,
gold,
stats,
party,
consumption_17,
health_5,
project,
travel,
gain,
economy_10,
fed,
economy_16,
economic,
ministry_10,
crash_9,
economy_11,
fed_8,
tennessee_9,
texas,
crisis_6,
target_return,
bank_20,
debt,
economics_3,
republican_8,
crisis_3,
oil_19,
community,
million_16,
members_8,
economics_9,
crash_10,
consumption_7,
elected_13,
management,
greed,
companies_19,
investment_20,
ministry_19,
religion_12,
economy_8,
million_14,
earnings_17,
elected_6,
economics_5,
republican_4,
religion_7,
elected_4,
ltd,
fond,
million_7,
crash_8,
freedom_8,
tourism,
health_12,
elected_9,
fed_12,
consumption_19,
leverage_10,
buy,
hedge,
tennessee_11,
elected_5,
economics_16,
republican_14,
minister,
freedom_13,
crisis_5,
crash_18,
firm,
voters,
house,
ceo,
fun,
tennessee_4,
earnings_19,
headlines,
technology,
investment_14,
ministry_6,
freedom_19,
oil_7,
present,
credit_4,
credit_7,
members_5,
credit_15,
earnings_18,
returns,
bank_1,
ring,
crash_12,
leverage_13,
members,
elected_14,
companies_15,
kentucky,
bank_18,
consumption_2,
secretary,
religion_11,
car,
crash_16,
republican_5,
restaurant,
bank_15,
fed_10,
crash_1,
credit_16,
oil_15,
environment,
crisis_4,
health_2,
justice,
DOW JONES,
nasdaq,
marriage,
ministry_3,
investment_2,
elected_18,
economy_3,
crisis_20,
religion_15,
crisis_14,
economics_19,
BUY AND HOLD,
republican_10,
economics_6,
color,
million_18,
tennessee_19,
consumption_10,
consumption_4,
credit_19,
freedom_1,
health_18,
court,
bank_4,
service,
trader,
global,
consumption_16,
short sell,
elected_16,
oil_16,
security,
votes,
credit_3,
war,
opportunity,
crisis_7,
economy_20,
religion_19,
oil_13,
energy,
social,
health_15,
economy_18,
economics_12,
crisis_17,
companies_17,
food,
revenue,
economy_1,
earnings_16,
health_19,
banking,
republican_13,
county,
republican_7,
consumption_12,
elected_11,
economics_1,
republican_2,
union,
earnings_10,
religion_13,
market,
companies_18,
tennessee_14,
transaction,
representatives,
health_20,
ministry_18,
elected_8,
consumption_9,
economics_13,
leverage_17,
consumption_1,
earnings_15,
credit_1,
members_7,
freedom_3,
crisis_8,
leverage_8,
crash_4,
economics_14,
leverage_20,
elected_3,
forex,
ministry,
crisis_1,
million_1,
freedom_9,
credit_2,
investment_13,
