feature,feature_score
buy_16,0.03547512837350714
car_20,0.00898351795736756
products_17,0.026018073454292308
ring_1,0.01800775016146684
technology_2,0.036440195577374934
technology_20,0.001288924743967104
elected,
services,
carolina_14,
court,
carolina_19,
earnings,
ring_3,
media,
service,
trader,
media_10,
kitchen_10,
buy_5,
global,
labor_16,
short selling,
short sell,
products_1,
earnings_20,
security,
votes,
kitchen_6,
economics,
oil,
carolina_4,
ring_10,
war,
opportunity,
law,
credit,
kitchen_4,
products_7,
invest,
missouri,
energy,
social,
buy_9,
media_5,
products_2,
carolina_5,
banking_6,
food,
carolina,
revenue,
crisis,
earnings_16,
money,
ring_7,
banking,
banking_12,
carolina_2,
county,
kitchen_8,
ring_4,
car_19,
car_7,
banking_17,
ring_6,
default,
media_16,
college_11,
union,
car_9,
case_11,
kitchen_9,
products_11,
metals,
earnings_10,
carolina_16,
college_5,
car_16,
buy_13,
college_1,
government,
derivatives,
technology_12,
market,
ceo_5,
transaction,
car_11,
representatives,
earnings_5,
arts,
case_2,
ceo_13,
happy,
technology_13,
rich,
world,
labor_7,
products_4,
earnings_15,
carolina_6,
case_7,
ohio,
products_5,
markets,
train,
buy_6,
banking_11,
carolina_11,
forex,
car_13,
college_10,
ceo_3,
products_18,
ministry,
ring_12,
car_17,
lifestyle,
college_3,
council,
kitchen_11,
earnings_1,
banking_7,
case,
corporation,
labor_6,
banking_5,
media_13,
cancer,
buy_15,
business,
stock market,
carolina_12,
district,
banking_1,
kitchen_3,
holiday,
media_12,
labor_19,
garden,
case_18,
media_6,
pennsylvania,
ring_18,
technology_11,
case_16,
return,
investment,
chance,
college_9,
car_5,
products_14,
president,
car_1,
car_14,
carolina_3,
media_19,
kitchen_5,
movement,
buy_3,
products_13,
kitchen_18,
financial markets,
cash,
movie,
rare earths,
labor_5,
development,
served,
car_4,
ring_17,
buy_4,
profit,
case_19,
technology_15,
labor_12,
media_3,
technology_4,
kitchen_16,
ring_15,
republican,
labor_2,
banking_18,
georgia,
media_17,
case_12,
act,
earnings_14,
million,
earnings_4,
earnings_3,
kitchen_14,
unemployment,
products_16,
gains,
earnings_9,
labor,
labor_13,
carolina_17,
college_13,
labor_15,
bank,
carolina_8,
college_17,
technology_14,
earnings_12,
car_8,
media_11,
illinois,
college_7,
success,
buy_19,
sell,
ceo_8,
kitchen_20,
ceo_12,
technology_5,
buy_7,
rights,
case_8,
virginia,
banking_10,
college_18,
technology_1,
buy_14,
loss,
portfolio,
fine,
case_10,
buy_1,
banking_19,
earnings_11,
college,
college_20,
committee,
banking_4,
case_9,
seats,
banking_8,
college_15,
governor,
kitchen,
products_15,
wisconsin,
ring_11,
car_12,
conflict,
elections,
tennessee,
ring_19,
kitchen_12,
case_1,
college_14,
banking_14,
inc,
ceo_7,
car_2,
products_6,
bubble,
technology_17,
companies,
political,
technology_8,
case_20,
dividend,
college_19,
ceo_6,
ceo_14,
office,
products_20,
ore,
housing,
kitchen_15,
buy_20,
society,
technology_6,
washington,
ring_5,
inflation,
case_5,
labor_10,
labor_20,
police,
stocks,
car_15,
health,
nyse,
media_9,
car_18,
ring_8,
carolina_9,
media_8,
media_18,
ring_20,
dow jones,
democratic,
crash,
products_19,
earnings_2,
kitchen_7,
labor_14,
culture,
leverage,
case_13,
gold,
earnings_8,
stats,
party,
technology_18,
buy_12,
labor_11,
ceo_2,
labor_8,
project,
travel,
gain,
banking_9,
car_3,
technology_16,
fed,
religion,
ceo_4,
economic,
carolina_20,
marketing,
ceo_17,
ring_9,
election,
carolina_1,
massachusetts,
banking_20,
labor_4,
texas,
target_return,
products_9,
kitchen_2,
car_6,
debt,
buy_2,
college_6,
case_14,
labor_18,
media_20,
community,
ceo_1,
media_2,
financial,
ceo_20,
management,
greed,
products_8,
banking_2,
consumption,
technology_10,
kitchen_19,
media_4,
kitchen_13,
labor_9,
earnings_17,
ceo_10,
ceo_9,
ltd,
fond,
kitchen_17,
william,
ring_16,
labor_3,
tourism,
earnings_13,
banking_13,
economy,
case_4,
technology_7,
buy,
college_8,
hedge,
buy_10,
york,
buy_11,
minister,
industry,
technology_19,
college_12,
labor_1,
case_3,
ceo_11,
firm,
voters,
ring_2,
house,
ceo,
fun,
carolina_13,
earnings_19,
headlines,
technology,
technology_3,
legal,
finance,
present,
home,
buy_8,
banking_16,
water,
carolina_15,
earnings_18,
banking_3,
carolina_7,
senate,
returns,
ceo_15,
ring,
carolina_18,
car_10,
members,
bonds,
buy_18,
risk,
earnings_7,
kentucky,
ceo_18,
founded,
judge,
products_10,
secretary,
freedom,
politics,
media_14,
car,
media_15,
products_3,
carolina_10,
technology_9,
kitchen_1,
products,
vermont,
restaurant,
federal,
ring_14,
ceo_19,
college_16,
growth,
media_7,
college_4,
case_17,
college_2,
environment,
justice,
DOW JONES,
nasdaq,
marriage,
case_15,
ring_13,
labor_17,
consume,
buy_17,
media_1,
case_6,
banking_15,
products_12,
BUY AND HOLD,
blacklist,
color,
ceo_16,
earnings_6,
