feature,feature_score
DOW_JONES_7,0.016185708109427696
cash_16,0.035382868225746426
cash_17,0.0306488140087956
ceo_5,0.03613384341527137
ceo_19,0.02809393769822899
credit_15,0.028063690479484416
election_12,0.0023964755985826
fun_18,0.02250191741294925
gold_17,0.04723142724153282
happy_14,0.015108449564343924
holiday_5,0.04344307189220654
holiday_10,0.01804400354067877
kentucky_3,0.03058413687126419
kentucky_15,0.024881359829466175
kentucky_17,0.005236607201201532
kentucky_19,0.010437897899547716
kitchen_18,0.02846972923828607
kitchen_20,0.020242437606140445
massachusetts_1,0.037278909646552644
party_5,1.3782940169608572e-05
profit_7,0.03500992727303917
profit_9,0.009564787004073459
profit_13,0.03320720228608239
success_13,0.015445033740972086
success_15,0.04415842713040997
tourism_13,0.01772089250623557
tourism_15,0.006328924257121303
world_3,
elections_14,
elections_18,
gold_6,
elected,
services,
profit_12,
holiday_17,
happy_11,
politics_3,
tourism_8,
world_10,
earnings,
politics_9,
media,
gold_12,
politics_1,
elections_16,
short selling,
success_1,
election_10,
cash_11,
election_1,
war_19,
kitchen_6,
economics,
world_14,
oil,
invest_12,
credit_12,
tourism_19,
DOW_JONES_10,
law,
credit,
invest_5,
success_7,
invest,
missouri,
war_9,
success_2,
governor_16,
return_1,
carolina,
trader_14,
crisis,
invest_17,
invest_18,
money,
growth_13,
trader_16,
growth_18,
kitchen_8,
invest_1,
tourism_1,
banking_17,
holiday_19,
holiday_20,
markets_6,
default,
happy_13,
vermont_13,
election_19,
kitchen_9,
happy_17,
metals,
elections_20,
happy_5,
invest_8,
train_2,
election_16,
fun_8,
war_4,
return_19,
war_13,
government,
derivatives,
election_18,
gold_4,
invest_19,
success_11,
arts,
fun_3,
growth_5,
markets_18,
ceo_13,
election_14,
profit_11,
happy,
rich,
world,
politics_4,
return_17,
happy_3,
war_5,
fun_13,
ohio,
return_4,
markets,
growth_4,
train,
world_18,
banking_11,
party_17,
cash_4,
party_1,
war_8,
politics_18,
lifestyle,
council,
kitchen_11,
cash_20,
case,
corporation,
return_5,
invest_7,
markets_1,
happy_2,
stock market,
party_16,
district,
elections_17,
invest_2,
representatives_18,
massachusetts_14,
gold_3,
party_15,
markets_5,
DOW_JONES_14,
party_4,
world_16,
elections_15,
pennsylvania,
growth_8,
investment,
chance,
representatives_9,
invest_11,
kentucky_5,
vermont_5,
tourism_4,
war_11,
world_19,
representatives_13,
trader_17,
credit_20,
holiday_9,
election_4,
kitchen_5,
movement,
tourism_6,
financial markets,
kentucky_8,
gold_16,
cash,
movie,
markets_8,
success_18,
train_18,
governor_7,
trader_13,
train_19,
massachusetts_12,
politics_12,
politics_2,
return_11,
profit,
cash_2,
markets_9,
train_10,
vermont_4,
republican,
fun_20,
banking_18,
cash_14,
holiday_16,
georgia,
markets_2,
return_15,
train_12,
act,
growth_14,
million,
party_10,
DOW_JONES_18,
gains,
markets_4,
holiday_4,
politics_17,
elections_8,
markets_10,
labor,
election_8,
bank,
governor_4,
DOW_JONES_6,
governor_2,
train_16,
fun_16,
DOW_JONES_8,
happy_12,
train_9,
success,
ceo_8,
sell,
war_20,
ceo_12,
vermont_11,
kentucky_10,
elections_6,
kentucky_20,
markets_17,
cash_3,
virginia,
DOW_JONES_4,
DOW_JONES_20,
elections_11,
profit_5,
election_5,
loss,
portfolio,
fine,
vermont_14,
college,
banking_4,
election_11,
kitchen,
kentucky_12,
wisconsin,
DOW_JONES_13,
credit_5,
war_2,
conflict,
war_10,
tennessee,
vermont_12,
kitchen_12,
tourism_14,
governor_14,
inc,
growth_20,
DOW_JONES_15,
ceo_7,
trader_9,
world_4,
bubble,
companies,
political,
vermont_19,
world_17,
war_15,
dividend,
gold_11,
ceo_6,
representatives_5,
ore,
growth_7,
housing,
kitchen_15,
washington,
train_15,
politics_13,
party_14,
police,
stocks,
return_16,
health,
gold_1,
tourism_18,
party_19,
happy_20,
holiday_12,
world_2,
kentucky_16,
dow jones,
massachusetts_4,
democratic,
crash,
election_9,
party_20,
kitchen_7,
governor_17,
growth_2,
growth_3,
leverage,
success_8,
gold,
massachusetts_10,
return_10,
stats,
party,
DOW_JONES_5,
tourism_2,
train_8,
project,
travel,
gain,
happy_16,
vermont_18,
fed,
economic,
invest_3,
tourism_20,
growth_6,
success_20,
governor_9,
train_14,
happy_7,
invest_13,
train_7,
banking_20,
texas,
invest_14,
target_return,
kitchen_2,
debt,
gold_20,
kentucky_11,
governor_11,
return_2,
community,
ceo_1,
massachusetts_19,
fun_2,
markets_19,
growth_12,
trader_5,
world_9,
ceo_20,
management,
greed,
tourism_9,
party_9,
banking_2,
politics_15,
return_3,
world_13,
election_20,
vermont_16,
kitchen_19,
gold_15,
return_12,
profit_8,
elections_5,
profit_6,
ltd,
fond,
happy_8,
holiday_3,
governor_8,
tourism,
world_11,
representatives_14,
banking_13,
election_6,
return_14,
profit_15,
buy,
massachusetts_20,
hedge,
holiday_11,
trader_11,
world_12,
minister,
representatives_4,
return_20,
markets_14,
ceo_11,
firm,
voters,
house,
ceo,
fun,
gold_2,
headlines,
technology,
elections_19,
return_7,
cash_7,
DOW_JONES_12,
present,
credit_4,
credit_7,
governor_10,
vermont_3,
happy_1,
trader_2,
banking_3,
trader_6,
invest_4,
returns,
ring,
fun_6,
members,
success_12,
DOW_JONES_17,
kentucky_7,
representatives_11,
kentucky,
ceo_18,
DOW_JONES_11,
governor_15,
massachusetts_17,
governor_18,
massachusetts_6,
train_6,
holiday_14,
secretary,
trader_1,
DOW_JONES_19,
car,
profit_17,
massachusetts_13,
kitchen_1,
restaurant,
war_12,
markets_3,
election_2,
world_7,
credit_16,
environment,
markets_7,
justice,
DOW JONES,
nasdaq,
marriage,
party_3,
train_1,
gold_13,
massachusetts_11,
governor_12,
vermont_6,
elections_9,
BUY AND HOLD,
color,
trader_4,
credit_19,
cash_5,
court,
tourism_12,
growth_15,
train_3,
fun_12,
service,
trader,
kitchen_10,
global,
massachusetts_3,
short sell,
representatives_17,
war_7,
elections_3,
security,
votes,
cash_13,
credit_3,
massachusetts_8,
trader_18,
fun_9,
war,
opportunity,
growth_17,
cash_10,
kitchen_4,
representatives_2,
vermont_15,
energy,
election_17,
return_13,
social,
trader_3,
representatives_8,
gold_14,
banking_6,
politics_16,
food,
revenue,
growth_9,
banking,
banking_12,
county,
kentucky_4,
tourism_11,
war_18,
vermont_8,
governor_5,
success_9,
profit_18,
union,
profit_14,
market,
transaction,
world_5,
representatives,
massachusetts_5,
happy_18,
credit_1,
train_17,
gold_9,
war_1,
massachusetts_15,
governor_1,
governor_19,
success_4,
forex,
train_20,
ceo_3,
ministry,
politics_5,
kentucky_1,
fun_5,
return_6,
politics_19,
profit_10,
credit_2,
election_15,
invest_20,
train_4,
banking_7,
banking_5,
representatives_20,
cancer,
politics_10,
business,
politics_14,
tourism_7,
holiday_2,
banking_1,
kitchen_3,
holiday,
war_3,
garden,
holiday_1,
return,
markets_11,
gold_8,
markets_12,
representatives_3,
president,
cash_8,
holiday_6,
fun_17,
massachusetts_18,
rare earths,
development,
served,
fun_11,
massachusetts_7,
credit_11,
gold_18,
trader_8,
representatives_1,
invest_9,
profit_3,
gold_10,
governor_3,
politics_6,
kitchen_16,
elections_12,
credit_6,
happy_10,
profit_19,
kitchen_14,
trader_20,
elections_10,
unemployment,
politics_7,
war_16,
growth_11,
markets_13,
world_8,
world_1,
happy_15,
illinois,
governor_20,
representatives_16,
representatives_12,
representatives_10,
rights,
holiday_13,
kentucky_9,
banking_10,
success_5,
elections_4,
massachusetts_2,
elections_2,
banking_19,
holiday_7,
return_18,
committee,
seats,
banking_8,
governor,
fun_7,
invest_10,
success_16,
train_11,
elections,
DOW_JONES_2,
happy_19,
banking_14,
politics_20,
credit_8,
war_6,
success_10,
party_8,
party_11,
ceo_14,
credit_18,
return_8,
party_7,
office,
cash_18,
kentucky_2,
politics_11,
society,
election_3,
happy_9,
inflation,
elections_13,
nyse,
success_17,
vermont_1,
fun_19,
DOW_JONES_16,
elections_1,
representatives_7,
invest_6,
culture,
success_6,
holiday_15,
holiday_8,
ceo_2,
trader_12,
growth_16,
war_14,
banking_9,
governor_13,
trader_7,
train_5,
cash_19,
religion,
DOW_JONES_9,
ceo_4,
credit_13,
massachusetts_9,
marketing,
vermont_9,
ceo_17,
world_20,
election,
cash_1,
massachusetts,
gold_5,
DOW_JONES_3,
cash_12,
fun_14,
invest_16,
fun_10,
kentucky_6,
massachusetts_16,
happy_6,
financial,
markets_20,
cash_15,
tourism_5,
trader_10,
party_6,
consumption,
party_12,
vermont_10,
kitchen_13,
governor_6,
vermont_2,
vermont_20,
ceo_10,
holiday_18,
profit_1,
vermont_7,
election_13,
ceo_9,
kitchen_17,
profit_16,
tourism_17,
william,
markets_15,
credit_14,
profit_20,
world_15,
fun_1,
economy,
party_13,
kentucky_13,
happy_4,
representatives_15,
york,
party_2,
tourism_10,
industry,
growth_10,
markets_16,
success_3,
growth_1,
profit_4,
legal,
finance,
home,
banking_16,
water,
trader_15,
election_7,
senate,
ceo_15,
cash_9,
credit_10,
invest_15,
train_13,
bonds,
risk,
founded,
elections_7,
judge,
freedom,
politics,
gold_19,
kentucky_14,
DOW_JONES_1,
representatives_19,
trader_19,
fun_4,
products,
representatives_6,
vermont,
federal,
growth,
politics_8,
kentucky_18,
tourism_3,
vermont_17,
success_14,
profit_2,
gold_7,
credit_17,
return_9,
cash_6,
growth_19,
success_19,
tourism_16,
war_17,
consume,
party_18,
world_6,
banking_15,
credit_9,
fun_15,
blacklist,
ceo_16,
