feature,feature_score
DOW_JONES_1,0.001525341189564379
chance_5,0.000894269819295007
chance_17,9.363882001597755e-05
chance_18,0.013175318884707757
chance_20,0.041144948737250726
court_18,0.016727746671585237
court_19,0.018259920204956447
credit_20,0.02506949550613256
economy_1,0.019861735317970232
economy_10,0.02625273734048513
economy_11,0.010908885835888803
gains_9,0.00021533465550969917
gains_10,0.00011326815291611335
gains_11,0.0006155760881057391
gains_15,0.0009943541066099904
happy_12,0.04417739375927918
headlines_1,0.006509103378785174
headlines_4,0.027787117395501874
headlines_9,0.02912360919921937
illinois_6,0.005724535401343048
illinois_7,0.010100643375316272
illinois_12,0.00654240443130698
illinois_13,0.009055474566820557
illinois_14,0.008238700407258501
illinois_20,0.021349014568932477
inflation_3,0.008732578047199837
inflation_7,0.03721065486580653
inflation_12,0.009461366758653115
inflation_13,0.009157131455275141
invest_15,0.022202014061725034
invest_16,0.0015620716839908765
marketing_20,0.010757919257290926
nasdaq_3,0.007255571301827947
nasdaq_16,0.04235263413203844
nasdaq_17,0.0017964173509478802
nasdaq_19,0.03206587010315376
ore_3,0.00214878166738952
portfolio_8,0.009671641704372852
portfolio_9,0.01139961715193466
religion_8,0.00037762426241026687
religion_9,0.00996667999316567
religion_11,0.025494517063659974
representatives_8,0.0009254556007898074
stocks_1,0.015256493444034997
success_5,0.0003457695749499749
war_15,0.04913159034453129
wisconsin_12,0.04616316816029912
wisconsin_13,0.015725708826811333
elected,
services,
marketing_17,
economy_13,
happy_11,
religion_16,
stock_market_11,
police_8,
earnings,
inflation_20,
media,
business_16,
short selling,
freedom_5,
success_1,
war_19,
metals_3,
economics,
headlines_15,
oil,
economy_9,
invest_12,
credit_12,
DOW_JONES_10,
law,
credit,
invest_5,
success_7,
invest,
missouri,
wisconsin_7,
war_9,
success_2,
headlines_10,
metals_20,
carolina,
crisis,
invest_17,
invest_18,
money,
wisconsin_9,
growth_13,
headlines_5,
portfolio_13,
growth_18,
gains_4,
gains_6,
invest_1,
marketing_15,
justice_8,
chance_4,
gains_1,
default,
happy_13,
inflation_19,
happy_17,
metals,
crisis_12,
happy_5,
invest_8,
wisconsin_2,
war_4,
war_13,
government,
derivatives,
police_12,
invest_19,
success_11,
arts,
growth_5,
justice_5,
freedom_11,
happy,
served_14,
religion_1,
rich,
world,
inflation_10,
business_8,
chance_12,
happy_3,
war_5,
ohio,
crisis_18,
chance_13,
business_18,
markets,
growth_4,
train,
marketing_3,
bank_6,
stocks_4,
wisconsin_14,
office_9,
justice_2,
war_8,
crisis_2,
business_5,
ore_16,
lifestyle,
wisconsin_16,
council,
illinois_2,
case,
corporation,
kentucky_19,
crisis_16,
invest_7,
metals_5,
happy_2,
stock market,
district,
bank_5,
portfolio_5,
invest_2,
representatives_18,
business_14,
headlines_16,
ore_13,
served_5,
DOW_JONES_14,
pennsylvania,
growth_8,
economy_12,
bank_2,
investment,
chance,
representatives_9,
business_13,
illinois_4,
invest_11,
kentucky_5,
war_11,
representatives_13,
business_3,
police_19,
movement,
police_18,
illinois_1,
inflation_15,
financial markets,
headlines_2,
kentucky_8,
cash,
movie,
success_18,
wisconsin_17,
headlines_20,
business_1,
business_4,
served_12,
justice_12,
crisis_9,
stock_market_10,
stocks_20,
profit,
stock_market_9,
religion_10,
wisconsin_6,
stock_market_8,
police_7,
police_1,
freedom_7,
court_16,
republican,
office_4,
nasdaq_20,
stock_market_4,
georgia,
ore_6,
act,
growth_14,
million,
DOW_JONES_18,
crisis_10,
gains,
justice_11,
illinois_10,
justice_19,
police_17,
stock_market_2,
court_2,
labor,
freedom_18,
office_2,
office_3,
police_14,
nasdaq_7,
stocks_14,
bank,
metals_6,
headlines_12,
DOW_JONES_6,
DOW_JONES_8,
illinois_19,
marketing_8,
gains_16,
success,
sell,
war_20,
police_16,
kentucky_10,
kentucky_20,
religion_3,
virginia,
DOW_JONES_4,
DOW_JONES_20,
justice_15,
economy_4,
loss,
portfolio,
fine,
metals_12,
college,
justice_6,
ore_2,
court_7,
kitchen,
kentucky_12,
wisconsin,
DOW_JONES_13,
credit_5,
religion_2,
war_2,
inflation_14,
conflict,
stock_market_18,
war_10,
tennessee,
court_4,
freedom_6,
justice_1,
police_2,
business_11,
nasdaq_8,
stock_market_1,
growth_20,
inc,
office_20,
DOW_JONES_15,
chance_2,
stocks_13,
headlines_6,
bubble,
companies,
served_10,
political,
inflation_2,
dividend,
court_10,
representatives_5,
ore,
growth_7,
housing,
marketing_1,
justice_16,
washington,
police_4,
police_5,
religion_18,
wisconsin_20,
freedom_2,
ore_7,
court_11,
inflation_18,
economy_5,
police,
stocks,
health,
justice_10,
marketing_6,
chance_15,
portfolio_7,
crisis_13,
marketing_10,
nasdaq_11,
happy_20,
economy_19,
dow jones,
kentucky_16,
democratic,
crash,
business_7,
freedom_4,
virginia_5,
growth_2,
growth_3,
leverage,
success_8,
gold,
stats,
party,
DOW_JONES_5,
illinois_5,
project,
travel,
gain,
happy_16,
illinois_17,
inflation_9,
fed,
portfolio_20,
economy_16,
economic,
success_15,
invest_3,
virginia_18,
growth_6,
success_20,
served_2,
happy_7,
invest_13,
portfolio_3,
inflation_11,
texas,
crisis_6,
invest_14,
target_return,
office_8,
stocks_16,
bank_20,
debt,
marketing_13,
portfolio_19,
kentucky_11,
metals_17,
served_6,
crisis_3,
community,
wisconsin_1,
wisconsin_18,
chance_9,
growth_12,
nasdaq_4,
management,
greed,
stock_market_7,
religion_12,
ore_14,
virginia_19,
economy_8,
chance_6,
freedom_10,
religion_7,
chance_3,
ltd,
fond,
stocks_6,
happy_8,
court_12,
freedom_8,
portfolio_14,
tourism,
representatives_14,
wisconsin_4,
wisconsin_10,
buy,
hedge,
metals_4,
minister,
headlines_17,
freedom_13,
crisis_5,
representatives_4,
firm,
voters,
house,
wisconsin_11,
