feature,feature_score
DOW_JONES_7,0.002007239398578638
arts_17,0.0011063332867313567
arts_19,0.018458282619918106
bubble_19,0.030542360861611433
carolina_11,0.0025228626042987784
chance_1,0.0031099343688467842
justice_7,0.02390229938993994
texas_2,0.01910353977348609
virginia_12,0.044152477453521084
justice_9,
elected,
services,
carolina_14,
court,
carolina_19,
bubble_5,
earnings,
texas_7,
media,
firm_10,
service,
trader,
york_7,
york_4,
global,
bubble_2,
short selling,
short sell,
firm_19,
arts_16,
security,
votes,
economics,
texas_17,
chance_7,
oil,
carolina_4,
firm_20,
DOW_JONES_10,
war,
opportunity,
law,
credit,
crash_2,
invest,
missouri,
energy,
social,
carolina_5,
virginia_7,
food,
carolina,
revenue,
york_19,
crisis,
money,
banking,
carolina_2,
county,
chance_14,
justice_8,
chance_4,
default,
dow_jones_20,
chance_10,
firm_3,
present_11,
union,
firm_9,
metals,
carolina_16,
bubble_9,
government,
derivatives,
market,
transaction,
justice_20,
representatives,
arts,
justice_5,
york_20,
bubble_15,
happy,
rich,
world,
firm_11,
chance_12,
arts_3,
carolina_6,
dow_jones_4,
ohio,
york_3,
firm_5,
arts_14,
chance_13,
crash_4,
markets,
texas_16,
train,
arts_4,
firm_16,
forex,
ministry,
justice_2,
crash_11,
lifestyle,
council,
case,
corporation,
dow_jones_2,
texas_6,
cancer,
business,
dow_jones_15,
stock market,
carolina_12,
arts_11,
district,
crash_19,
texas_10,
holiday,
garden,
DOW_JONES_14,
crash_6,
pennsylvania,
crash_17,
return,
investment,
chance,
crash_7,
virginia_9,
arts_20,
president,
dow_jones_17,
texas_4,
present_2,
present_15,
carolina_3,
dow_jones_6,
arts_5,
york_13,
movement,
dow_jones_5,
virginia_2,
financial markets,
cash,
movie,
rare earths,
development,
crash_15,
served,
firm_18,
york_11,
justice_12,
profit,
bubble_1,
present_10,
firm_7,
present_18,
texas_5,
dow_jones_3,
republican,
dow_jones_13,
virginia_10,
georgia,
act,
million,
dow_jones_9,
DOW_JONES_18,
unemployment,
gains,
justice_11,
crash_13,
texas_13,
justice_19,
labor,
dow_jones_16,
york_9,
carolina_17,
bubble_17,
bank,
bubble_12,
carolina_8,
DOW_JONES_6,
illinois,
DOW_JONES_8,
arts_12,
success,
dow_jones_8,
sell,
rights,
crash_3,
justice_4,
virginia,
DOW_JONES_4,
DOW_JONES_20,
virginia_8,
justice_15,
texas_18,
loss,
portfolio,
fine,
present_6,
firm_12,
chance_17,
college,
justice_6,
committee,
seats,
governor,
chance_8,
kitchen,
virginia_1,
wisconsin,
DOW_JONES_13,
dow_jones_12,
conflict,
elections,
DOW_JONES_2,
tennessee,
justice_1,
york_8,
firm_8,
inc,
DOW_JONES_15,
crash_14,
chance_2,
arts_6,
bubble,
companies,
virginia_16,
political,
dividend,
present_9,
office,
arts_8,
ore,
bubble_18,
housing,
society,
justice_16,
washington,
dow_jones_1,
inflation,
present_8,
police,
stocks,
nyse,
health,
justice_10,
firm_2,
chance_15,
firm_4,
dow_jones_14,
DOW_JONES_16,
carolina_9,
dow_jones_11,
dow jones,
crash_20,
democratic,
crash,
present_1,
york_18,
virginia_5,
culture,
justice_18,
leverage,
york_16,
gold,
stats,
party,
DOW_JONES_5,
project,
travel,
gain,
present_3,
chance_18,
fed,
religion,
bubble_6,
economic,
arts_9,
carolina_20,
texas_12,
DOW_JONES_9,
virginia_18,
marketing,
bubble_14,
bubble_7,
election,
crash_9,
carolina_1,
texas_19,
massachusetts,
bubble_4,
york_10,
arts_10,
chance_20,
texas,
DOW_JONES_3,
target_return,
firm_15,
present_14,
debt,
bubble_10,
firm_13,
arts_18,
community,
texas_9,
chance_9,
financial,
crash_10,
texas_15,
management,
greed,
bubble_13,
texas_1,
york_14,
consumption,
virginia_19,
york_15,
chance_6,
arts_13,
chance_3,
ltd,
fond,
york_2,
bubble_11,
william,
texas_3,
crash_8,
tourism,
economy,
york_17,
buy,
present_4,
chance_19,
arts_1,
hedge,
york,
present_19,
texas_14,
minister,
industry,
present_5,
crash_18,
present_13,
firm,
voters,
bubble_3,
house,
ceo,
virginia_11,
fun,
carolina_13,
present_17,
dow_jones_18,
headlines,
technology,
chance_11,
firm_6,
virginia_4,
legal,
DOW_JONES_12,
present,
finance,
virginia_6,
home,
water,
carolina_15,
dow_jones_10,
justice_13,
firm_17,
bubble_16,
carolina_7,
dow_jones_7,
texas_11,
senate,
returns,
york_1,
ring,
carolina_18,
crash_12,
york_12,
chance_5,
members,
justice_17,
DOW_JONES_17,
bonds,
risk,
kentucky,
founded,
firm_14,
judge,
arts_7,
DOW_JONES_11,
dow_jones_19,
present_20,
freedom,
secretary,
bubble_20,
politics,
DOW_JONES_19,
justice_3,
car,
DOW_JONES_1,
virginia_14,
crash_16,
arts_2,
carolina_10,
chance_16,
products,
texas_20,
justice_14,
restaurant,
virginia_3,
vermont,
federal,
growth,
crash_5,
present_16,
crash_1,
firm_1,
virginia_15,
virginia_13,
york_5,
present_12,
present_7,
environment,
bubble_8,
arts_15,
virginia_20,
york_6,
virginia_17,
justice,
DOW JONES,
nasdaq,
marriage,
consume,
texas_8,
BUY AND HOLD,
blacklist,
color,
