feature,feature_score
buy_4,0.018541625902853506
buy_6,0.0009211632929508955
buy_7,3.320905659105523e-05
buy_9,0.046281304437626555
buy_10,0.030222348047004945
chance_4,0.002754775496635072
democratic_2,0.028146188600474024
democratic_12,0.041502394487180475
elected_1,0.0042269145996446005
elected_4,0.026080721694242304
invest_1,0.04284451382788969
risk_2,0.008463057069429814
seats_17,0.014019554499034003
senate,
financial,
chance_7,
chance_16,
political_10,
political,
debt_3,
debt_1,
media_5,
seats_4,
gold,
politics_8,
judge,
elections_11,
political_16,
political_19,
chance_15,
democratic_18,
kitchen_8,
seats_8,
economics_5,
economics_14,
elections_19,
happy_6,
environment_9,
risk_15,
oil,
car,
college,
economics_3,
elected_7,
restaurant,
dow_jones_17,
minister_14,
community,
freedom,
garden,
banking_14,
finance,
democratic_3,
fun_16,
voters_20,
debt_18,
political_8,
social,
environment_12,
election,
buy_5,
elections_15,
secretary,
trader,
voters_10,
politics_13,
fun_14,
dow_jones_10,
tourism,
county,
risk_4,
garden_8,
georgia,
rare earths,
minister_17,
transaction,
leverage,
risk_10,
media_15,
minister_9,
ltd,
seats_19,
gains,
voters_17,
housing,
seats_18,
media_17,
kitchen_2,
firm,
environment_5,
elected_10,
fun_5,
voters_14,
dow_jones_9,
environment_16,
happy_16,
chance_8,
invest_12,
media_4,
voters_7,
president_13,
kitchen_13,
consumption_8,
economics_11,
garden_3,
political_1,
companies,
democratic_19,
invest_17,
president_5,
seats_7,
culture_8,
president_8,
banking_12,
garden_17,
chance_6,
BUY AND HOLD,
development,
dow_jones_13,
consumption_18,
president_18,
risk_8,
democratic_6,
seats,
garden_19,
political_3,
chance_12,
happy_13,
invest_16,
media_2,
democratic_1,
risk_6,
politics_4,
served,
political_14,
happy,
economics_15,
founded,
minister_7,
seats_1,
banking_5,
fun_1,
invest_3,
invest_11,
economics_4,
invest_8,
debt_4,
consumption,
economics_6,
risk_16,
william,
stats,
culture_9,
debt_5,
voters_15,
consumption_10,
arts,
ceo,
democratic_10,
chance_3,
dividend,
media_12,
banking_19,
elected_9,
lifestyle,
buy_20,
consumption_5,
chance_13,
business,
risk_5,
dow_jones_2,
democratic_11,
seats_5,
consumption_13,
political_15,
stock market,
culture_11,
debt_20,
fun_6,
environment,
buy_13,
water,
services,
seats_12,
fun_18,
political_2,
project,
voters_6,
elections_16,
texas,
voters_3,
fun_8,
economics_19,
earnings,
movement,
marketing,
banking_8,
politics_3,
elections_18,
vermont,
economics_1,
elected_17,
buy_3,
fun_11,
minister_8,
tennessee,
default,
crisis,
invest_9,
buy_15,
virginia,
forex,
elected_20,
york,
voters_4,
police,
invest_19,
president_19,
democratic,
portfolio,
elections_1,
democratic_14,
minister_2,
risk_13,
dow_jones_1,
president_11,
environment_17,
buy_2,
fun_19,
banking,
elected_3,
economy,
dow_jones_14,
culture,
debt,
economics_2,
energy,
democratic_9,
consumption_1,
elected_6,
environment_4,
party,
media_18,
seats_9,
dow_jones_6,
voters,
democratic_13,
politics_11,
fun,
banking_9,
minister_1,
investment,
elections_13,
culture_6,
politics_2,
garden_5,
risk_1,
politics_14,
politics_10,
kitchen_12,
president_2,
color,
risk_17,
dow_jones_5,
media_7,
justice,
cancer,
credit,
voters_1,
fun_2,
conflict,
revenue,
fun_20,
loss,
chance_11,
garden_7,
dow_jones_16,
garden_9,
politics_6,
garden_20,
republican,
case,
kitchen_16,
ore,
seats_16,
wisconsin,
buy_8,
consumption_11,
media_19,
invest_18,
happy_3,
president_4,
target_return,
political_5,
bonds,
seats_15,
happy_14,
elections_5,
seats_6,
kitchen_4,
minister_11,
happy_12,
stocks,
consumption_15,
democratic_20,
culture_10,
banking_4,
banking_16,
banking_15,
society,
elected_8,
political_4,
fond,
garden_4,
debt_19,
voters_19,
elections_4,
sell,
kitchen_7,
return,
banking_6,
kitchen_10,
media_11,
global,
environment_19,
culture_18,
members,
elections_3,
ohio,
environment_8,
greed,
washington,
president_1,
dow_jones_12,
consume,
seats_13,
banking_3,
nyse,
voters_18,
economic,
president_14,
dow jones,
fed,
politics_12,
missouri,
media_3,
environment_20,
politics_19,
democratic_17,
happy_7,
elections_9,
happy_10,
voters_11,
train,
chance_2,
dow_jones_8,
economics_7,
risk_12,
environment_15,
chance_20,
happy_9,
culture_4,
bank,
metals,
home,
invest_13,
returns,
hedge,
security,
dow_jones_20,
derivatives,
rich,
house,
management,
invest,
travel,
economics,
war,
risk_11,
food,
consumption_19,
market,
marriage,
voters_9,
president_10,
media_1,
union,
economics_13,
garden_14,
minister_16,
culture_3,
elected_14,
environment_3,
religion,
kitchen_14,
political_18,
invest_14,
environment_14,
inc,
economics_20,
banking_13,
consumption_6,
culture_20,
headlines,
debt_11,
culture_5,
legal,
dow_jones_4,
fun_17,
kitchen_3,
governor,
elections_17,
minister_15,
president_20,
debt_6,
garden_18,
culture_1,
ministry,
garden_16,
minister,
district,
debt_7,
invest_7,
minister_3,
kitchen_9,
banking_11,
minister_10,
democratic_8,
success,
kitchen_15,
debt_12,
DOW JONES,
chance_10,
consumption_4,
minister_20,
debt_10,
political_6,
culture_16,
profit,
politics_9,
elected_12,
garden_2,
elected_16,
voters_2,
buy_11,
kitchen_11,
buy_17,
happy_2,
buy,
media_10,
happy_1,
happy_11,
products,
president_7,
risk_7,
debt_2,
culture_19,
economics_9,
markets,
elections_8,
buy_16,
invest_20,
environment_11,
short selling,
environment_1,
money,
kitchen_6,
banking_10,
votes,
debt_15,
invest_10,
minister_6,
council,
financial markets,
act,
holiday,
elections,
consumption_3,
risk,
politics_7,
elections_7,
buy_1,
politics_1,
politics,
carolina,
economics_12,
garden_10,
politics_17,
garden_13,
risk_3,
environment_7,
kitchen,
political_13,
world,
elections_20,
politics_15,
elected_11,
happy_17,
garden_12,
fun_10,
banking_2,
environment_18,
culture_13,
committee,
minister_4,
voters_5,
elected_15,
court,
democratic_4,
risk_14,
garden_15,
president,
president_3,
seats_11,
elections_2,
garden_1,
economics_8,
short sell,
kitchen_1,
bubble,
consumption_2,
happy_5,
garden_11,
democratic_7,
debt_13,
happy_20,
corporation,
elections_6,
kitchen_17,
voters_16,
inflation,
consumption_20,
risk_18,
environment_6,
unemployment,
invest_6,
democratic_5,
voters_8,
buy_18,
buy_12,
debt_8,
dow_jones_7,
crash,
seats_3,
nasdaq,
invest_2,
debt_16,
politics_16,
culture_14,
seats_20,
dow_jones_18,
happy_15,
happy_19,
labor,
invest_15,
environment_13,
consumption_14,
chance,
service,
present,
buy_14,
garden_6,
consumption_9,
culture_2,
political_17,
illinois,
law,
opportunity,
political_12,
minister_5,
politics_5,
ring,
consumption_12,
media_8,
chance_9,
invest_5,
environment_10,
president_16,
risk_20,
dow_jones_3,
minister_12,
seats_14,
economics_16,
massachusetts,
kentucky,
office,
pennsylvania,
fun_12,
banking_17,
seats_10,
fun_13,
minister_18,
president_15,
economics_10,
elected_5,
culture_12,
political_7,
culture_15,
seats_2,
kitchen_20,
political_9,
political_20,
debt_17,
media_16,
president_12,
risk_19,
risk_9,
fun_15,
invest_4,
chance_14,
culture_7,
chance_19,
media_20,
dow_jones_15,
banking_20,
happy_8,
federal,
government,
voters_13,
media_9,
president_6,
media,
dow_jones_19,
elected_18,
happy_4,
elected_19,
politics_18,
gain,
banking_1,
democratic_16,
environment_2,
consumption_17,
fun_3,
consumption_16,
politics_20,
democratic_15,
elections_10,
technology,
minister_13,
elections_12,
political_11,
kitchen_19,
fine,
fun_9,
culture_17,
elections_14,
economics_17,
voters_12,
banking_18,
blacklist,
buy_19,
representatives,
rights,
president_9,
debt_14,
media_13,
debt_9,
health,
banking_7,
kitchen_18,
media_14,
chance_18,
economics_18,
fun_7,
elected_13,
chance_5,
elected_2,
industry,
chance_17,
million,
kitchen_5,
dow_jones_11,
growth,
chance_1,
fun_4,
movie,
happy_18,
media_6,
elected,
cash,
minister_19,
consumption_7,
president_17,
