feature,feature_score
chance_17,0.0028765828536562892
companies_17,0.01978201650510763
consumption_13,0.013299730484673568
loss_19,0.014359409070441854
markets_4,0.03836171118252126
markets_12,0.0282899916973638
markets_17,0.004845639134003207
markets_19,0.017974532881113628
members_20,0.03404496678413864
returns_2,0.03819761444253977
rich_18,0.01995258276957769
success_2,0.0019857101573458693
success_4,0.02885583128536398
tourism_17,0.007173689882893268
trader_4,0.009534621730751943
trader_8,0.016191447537347314
unemployment_6,0.027425208191464424
elections_14,
elections_18,
elected,
services,
tourism_8,
earnings,
inflation_20,
media,
elections_16,
short selling,
success_1,
unemployment_13,
economics,
members_17,
companies_5,
oil,
loss_1,
tourism_19,
loss_20,
law,
credit,
returns_18,
success_7,
invest,
missouri,
loss_10,
unemployment_11,
carolina,
inflation_3,
trader_14,
crisis,
money,
trader_16,
tourism_1,
unemployment_9,
loss_15,
banking_17,
chance_4,
markets_6,
default,
unemployment_18,
inflation_19,
metals,
crisis_12,
elections_20,
companies_14,
government,
derivatives,
ceo_5,
success_11,
arts,
markets_18,
ceo_13,
happy,
companies_20,
loss_3,
rich,
world,
inflation_10,
loss_8,
chance_12,
ohio,
crisis_18,
chance_13,
markets,
train,
loss_14,
banking_11,
stocks_4,
members_15,
crisis_2,
lifestyle,
council,
case,
corporation,
crisis_16,
markets_1,
stock market,
members_11,
district,
elections_17,
members_12,
markets_5,
loss_13,
returns_19,
elections_15,
pennsylvania,
investment,
chance,
consumption_18,
rich_12,
tourism_4,
trader_17,
unemployment_15,
movement,
tourism_6,
inflation_15,
financial markets,
members_19,
cash,
movie,
markets_8,
returns_10,
success_18,
returns_14,
trader_13,
companies_11,
crisis_9,
rich_13,
stocks_20,
profit,
markets_9,
companies_10,
returns_7,
republican,
banking_18,
georgia,
markets_2,
act,
million,
crisis_10,
gains,
elections_8,
markets_10,
labor,
stocks_14,
bank,
rich_10,
success,
ceo_8,
sell,
ceo_12,
unemployment_4,
elections_6,
virginia,
elections_11,
companies_3,
unemployment_10,
loss,
portfolio,
fine,
companies_4,
college,
members_18,
returns_4,
banking_4,
rich_8,
returns_6,
kitchen,
wisconsin,
inflation_14,
conflict,
tennessee,
tourism_14,
inc,
ceo_7,
chance_2,
stocks_13,
trader_9,
bubble,
companies,
political,
inflation_2,
consumption_3,
dividend,
ceo_6,
consumption_20,
ore,
housing,
washington,
inflation_18,
police,
stocks,
health,
chance_15,
companies_2,
crisis_13,
tourism_18,
rich_11,
dow jones,
democratic,
crash,
success_8,
leverage,
gold,
tourism_13,
stats,
party,
tourism_2,
consumption_17,
returns_16,
project,
travel,
gain,
inflation_9,
fed,
economic,
success_15,
tourism_20,
success_20,
banking_20,
inflation_11,
texas,
crisis_6,
stocks_16,
target_return,
debt,
loss_12,
crisis_3,
community,
ceo_1,
chance_9,
members_8,
trader_5,
consumption_7,
ceo_20,
management,
greed,
companies_19,
tourism_9,
banking_2,
chance_6,
elections_5,
chance_3,
ltd,
fond,
stocks_6,
tourism,
banking_13,
returns_20,
consumption_19,
returns_15,
buy,
hedge,
trader_11,
minister,
crisis_5,
markets_14,
ceo_11,
firm,
voters,
house,
rich_17,
ceo,
fun,
headlines,
technology,
chance_11,
elections_19,
inflation_5,
present,
members_5,
trader_2,
banking_3,
stocks_10,
trader_6,
returns,
returns_8,
ring,
success_12,
members,
companies_15,
kentucky,
ceo_18,
returns_5,
consumption_2,
secretary,
trader_1,
car,
chance_16,
restaurant,
ceo_19,
markets_3,
chance_1,
environment,
crisis_4,
markets_7,
justice,
DOW JONES,
nasdaq,
marriage,
unemployment_3,
crisis_20,
crisis_14,
elections_9,
BUY AND HOLD,
color,
consumption_10,
consumption_4,
court,
tourism_12,
service,
trader,
global,
consumption_16,
short sell,
stocks_19,
elections_3,
unemployment_16,
security,
votes,
chance_7,
trader_18,
war,
opportunity,
crisis_7,
energy,
trader_3,
social,
banking_6,
crisis_17,
food,
rich_19,
revenue,
inflation_4,
banking,
banking_12,
county,
tourism_11,
chance_14,
unemployment_7,
consumption_12,
success_9,
chance_10,
union,
loss_16,
stocks_9,
market,
companies_18,
transaction,
representatives,
stocks_1,
loss_5,
consumption_9,
stocks_18,
consumption_1,
members_7,
inflation_7,
crisis_8,
forex,
ceo_3,
ministry,
crisis_1,
banking_7,
banking_5,
rich_16,
cancer,
tourism_7,
business,
banking_1,
unemployment_2,
holiday,
loss_9,
garden,
unemployment_1,
returns_13,
companies_13,
companies_16,
return,
markets_11,
president,
loss_4,
members_1,
rich_1,
stocks_8,
rare earths,
members_2,
development,
served,
unemployment_17,
stocks_12,
returns_1,
returns_9,
loss_18,
elections_12,
stocks_3,
members_3,
rich_14,
trader_20,
elections_10,
unemployment,
consumption_8,
rich_2,
loss_2,
markets_13,
loss_7,
illinois,
rich_9,
rights,
members_6,
banking_10,
success_5,
elections_4,
unemployment_12,
elections_2,
banking_19,
companies_9,
tourism_15,
committee,
seats,
banking_8,
governor,
inflation_17,
chance_8,
consumption_6,
rich_5,
success_16,
elections,
banking_14,
success_10,
stocks_15,
ceo_14,
inflation_6,
office,
society,
inflation_16,
inflation,
elections_13,
inflation_13,
nyse,
consumption_14,
stocks_2,
success_17,
companies_6,
members_13,
elections_1,
rich_4,
culture,
success_6,
ceo_2,
rich_3,
trader_12,
banking_9,
trader_7,
chance_18,
rich_20,
religion,
ceo_4,
marketing,
ceo_17,
election,
massachusetts,
chance_20,
companies_7,
returns_11,
consumption_11,
crisis_11,
financial,
markets_20,
stocks_17,
tourism_5,
trader_10,
consumption_5,
consumption,
companies_12,
ceo_10,
unemployment_8,
crisis_15,
ceo_9,
returns_17,
william,
markets_15,
stocks_11,
economy,
returns_12,
chance_19,
companies_1,
york,
members_14,
tourism_10,
industry,
rich_7,
markets_16,
success_3,
legal,
finance,
members_16,
inflation_1,
home,
banking_16,
water,
inflation_8,
loss_11,
trader_15,
senate,
ceo_15,
chance_5,
rich_15,
crisis_19,
bonds,
risk,
founded,
elections_7,
rich_6,
stocks_7,
judge,
freedom,
politics,
companies_8,
unemployment_20,
consumption_15,
trader_19,
products,
vermont,
federal,
growth,
members_9,
unemployment_5,
tourism_3,
success_13,
members_10,
success_14,
members_4,
loss_17,
loss_6,
success_19,
tourism_16,
returns_3,
consume,
unemployment_19,
banking_15,
unemployment_14,
stocks_5,
inflation_12,
blacklist,
ceo_16,
