feature,feature_score
act_19,0.012164055025286105
bonds_9,0.012947706538350555
default_14,0.03355032786583695
founded_7,0.0031876005638791756
founded_17,0.01248865153428959
governor_7,0.01214609713855984
growth_11,0.009645711473460009
growth_12,0.02419508978405902
health_20,0.008202084377786457
hedge_1,0.031578588262181254
home_5,0.01877064121142872
investment_15,0.02761098812823753
law_17,0.010380957894030731
lifestyle_2,0.0038527197070946863
lifestyle_12,0.011485715010020329
nasdaq_4,0.008623705376892785
opportunity_6,0.004510535820019449
project_1,0.000670111740022129
representatives_20,0.03519984574975172
restaurant_13,0.041845108445043924
services_20,0.04015396291206253
social_14,0.01637129319079903
social_15,0.0358991659846479
stock_market_2,0.020823808247498094
stock_market_15,0.02811573658024015
fed_18,
technology_20,
elected,
services,
stock_market_11,
bubble_5,
earnings,
media,
firm_10,
home_17,
leverage_3,
social_11,
act_2,
project_3,
oil,
project_14,
inc_10,
loss_20,
law,
washington_7,
missouri,
loss_10,
transaction_3,
unemployment_11,
governor_16,
health_10,
corporation_13,
growth_13,
pennsylvania_1,
revenue_15,
project_4,
revenue_4,
revenue_19,
unemployment_9,
loss_15,
restaurant_7,
car_7,
movement_5,
project_18,
pennsylvania_17,
law_5,
lifestyle_7,
kitchen_9,
metals,
corporation_9,
restaurant_4,
derivatives,
nasdaq_3,
law_6,
arts,
case_2,
leverage_4,
happy,
technology_13,
rich,
world,
firm_11,
bonds_8,
business_8,
loss_8,
revenue_5,
washington_18,
ohio,
investment_6,
markets,
bank_6,
environment_4,
bonds_3,
energy_5,
movement_20,
services_3,
energy_1,
health_4,
council,
kitchen_11,
case,
corporation,
bank_5,
loss_13,
fed_19,
growth_8,
home_15,
technology_11,
chance,
default_18,
investment_12,
business_13,
car_5,
inc_12,
business_3,
health_1,
transaction_5,
energy_17,
community_19,
unemployment_15,
fed_4,
movement,
founded_5,
investment_18,
investment_19,
kitchen_18,
financial markets,
project_9,
bonds_18,
washington_14,
environment_2,
profit,
inc_14,
cancer_14,
bubble_1,
court_16,
office_4,
stock_market_4,
act,
growth_14,
million,
gains,
movement_15,
revenue_11,
project_2,
court_2,
office_3,
project_13,
nasdaq_7,
community_12,
bubble_12,
founded_11,
governor_4,
car_8,
governor_2,
cancer_15,
community_18,
success,
sell,
environment_16,
unemployment_4,
virginia,
unemployment_10,
environment_1,
case_10,
portfolio,
community_9,
cancer_18,
act_20,
loss_19,
inc_13,
investment_17,
conflict,
stock_market_18,
tennessee,
business_11,
nasdaq_8,
growth_20,
inc,
office_20,
opportunity_19,
corporation_11,
community_14,
social_5,
corporation_7,
investment_9,
technology_17,
act_8,
companies,
health_11,
case_20,
dividend,
finance_2,
lifestyle_9,
representatives_5,
growth_7,
kitchen_15,
washington,
lifestyle_14,
court_11,
default_10,
police,
stocks,
health,
founded_12,
revenue_7,
firm_4,
movement_6,
democratic,
crash,
business_7,
leverage_7,
transaction_19,
growth_2,
growth_3,
leverage,
energy_9,
inc_1,
stats,
technology_18,
project,
travel,
environment_10,
car_3,
transaction_14,
finance_6,
growth_6,
transaction_4,
opportunity_2,
fed_8,
texas,
debt,
firm_13,
default_17,
governor_11,
loss_12,
finance_19,
community,
management,
bubble_13,
finance_15,
environment_11,
home_11,
kitchen_19,
services_12,
ltd,
fond,
law_8,
bubble_11,
tourism,
health_12,
case_4,
cancer_4,
finance_10,
technology_7,
bonds_2,
minister,
act_17,
representatives_4,
case_3,
lifestyle_17,
voters,
opportunity_14,
house,
inc_9,
ceo,
fun,
technology,
investment_14,
energy_11,
technology_3,
present,
washington_8,
hedge_7,
services_11,
office_12,
cancer_6,
returns,
bank_1,
ring,
stock_market_16,
energy_4,
corporation_19,
transaction_15,
pennsylvania_4,
founded_2,
governor_15,
opportunity_17,
car,
hedge_19,
opportunity_13,
office_18,
restaurant,
fed_10,
firm_1,
finance_11,
environment,
health_2,
bonds_17,
nasdaq,
marriage,
pennsylvania_14,
environment_13,
pennsylvania_19,
unemployment_3,
governor_12,
BUY AND HOLD,
transaction_16,
nasdaq_2,
health_18,
transaction_8,
office_1,
service,
global,
bubble_2,
firm_19,
representatives_17,
pennsylvania_6,
social_17,
environment_8,
firm_20,
war,
opportunity_8,
growth_17,
office_19,
representatives_2,
energy,
inc_8,
washington_4,
corporation_16,
food,
revenue,
cancer_8,
growth_9,
health_19,
corporation_15,
banking,
services_13,
car_19,
hedge_3,
governor_5,
transaction_6,
revenue_14,
cancer_13,
case_11,
movement_1,
pennsylvania_15,
car_16,
services_9,
transaction,
opportunity_16,
restaurant_19,
social_2,
movement_18,
lifestyle_4,
inc_16,
leverage_17,
services_8,
washington_5,
founded_10,
restaurant_20,
leverage_8,
revenue_20,
governor_1,
governor_19,
forex,
services_18,
car_17,
founded_4,
nasdaq_14,
corporation_5,
act_6,
social_12,
investment_3,
business,
office_17,
act_11,
law_16,
loss_9,
unemployment_1,
cancer_2,
corporation_14,
home_3,
case_18,
office_5,
washington_19,
return,
default_7,
representatives_3,
transaction_12,
health_8,
washington_9,
fed_1,
court_9,
investment_5,
bank_17,
restaurant_18,
unemployment_17,
law_10,
bank_11,
representatives_1,
technology_15,
governor_3,
opportunity_3,
loss_18,
energy_13,
kitchen_16,
finance_18,
finance_20,
bank_8,
leverage_12,
law_1,
finance_3,
kitchen_14,
unemployment,
bonds_11,
health_13,
law_3,
inc_2,
project_17,
loss_2,
home_13,
stock_market_5,
court_19,
loss_7,
business_12,
pennsylvania_2,
hedge_20,
lifestyle_18,
representatives_10,
representatives_12,
energy_19,
rights,
cancer_11,
home_4,
social_6,
founded_19,
cancer_7,
case_8,
bonds_5,
technology_1,
revenue_2,
hedge_6,
hedge_8,
investment_4,
community_13,
founded_14,
opportunity_15,
transaction_9,
stock_market_19,
car_2,
fed_13,
default_8,
leverage_11,
lifestyle_8,
home_7,
investment_10,
energy_14,
services_2,
society,
