feature,feature_score
consumption_4,0.030994956303846896
gain_5,0.0021193412038842184
gain_10,0.020582261505729012
gains_1,0.03442053498477532
ltd_1,0.007266242800910316
republican_2,0.011969969169111066
success_10,0.0033532448927060376
consumption_10,
elected,
services,
court,
earnings,
media,
service,
trader,
gain_16,
global,
consumption_16,
short selling,
success_1,
short sell,
security,
votes,
economics,
oil,
republican_1,
war,
opportunity,
law,
credit,
success_7,
invest,
missouri,
energy,
social,
success_2,
banking_6,
served_13,
food,
rich_19,
carolina,
revenue,
gain_18,
crisis,
money,
banking,
banking_12,
republican_13,
county,
kentucky_4,
gains_4,
gains_6,
republican_7,
gains_14,
banking_17,
consumption_12,
default,
success_9,
union,
metals,
government,
derivatives,
market,
served_19,
transaction,
representatives,
success_11,
arts,
consumption_9,
happy,
gain_15,
served_14,
consumption_1,
rich,
world,
ltd_7,
gains_5,
ltd_18,
ohio,
gains_2,
markets,
train,
ltd_9,
gains_15,
banking_11,
success_4,
forex,
ministry,
ltd_3,
kentucky_1,
lifestyle,
council,
banking_7,
case,
corporation,
banking_5,
kentucky_19,
rich_16,
cancer,
business,
served_1,
stock market,
district,
banking_1,
holiday,
gain_14,
garden,
ltd_14,
served_5,
pennsylvania,
return,
investment,
chance,
republican_19,
consumption_18,
kentucky_5,
rich_12,
president,
rich_1,
gain_6,
gain_11,
gains_12,
movement,
financial markets,
kentucky_8,
cash,
movie,
success_18,
rare earths,
development,
ltd_17,
served,
gains_10,
served_12,
rich_13,
gain_13,
profit,
ltd_15,
served_7,
ltd_20,
republican,
gains_3,
banking_18,
georgia,
ltd_11,
act,
million,
rich_14,
unemployment,
gains,
consumption_8,
rich_2,
served_11,
labor,
bank,
rich_10,
illinois,
republican_6,
rich_9,
gains_16,
success,
republican_9,
sell,
rights,
gains_9,
kentucky_10,
republican_3,
kentucky_20,
gains_11,
kentucky_9,
virginia,
gain_12,
republican_16,
banking_10,
gains_17,
success_5,
republican_11,
loss,
portfolio,
fine,
banking_19,
college,
gains_8,
committee,
banking_4,
rich_8,
seats,
banking_8,
governor,
kitchen,
kentucky_12,
wisconsin,
consumption_6,
ltd_16,
rich_5,
success_16,
conflict,
elections,
tennessee,
gain_17,
banking_14,
inc,
gains_7,
bubble,
companies,
served_10,
political,
gain_1,
consumption_3,
dividend,
office,
consumption_20,
gain_19,
ore,
housing,
kentucky_2,
served_3,
society,
washington,
inflation,
ltd_12,
police,
stocks,
nyse,
health,
consumption_14,
republican_15,
republican_17,
success_17,
served_18,
rich_11,
kentucky_16,
dow jones,
democratic,
crash,
gain_20,
served_15,
rich_4,
success_8,
culture,
leverage,
gold,
success_6,
stats,
party,
rich_3,
consumption_17,
project,
travel,
gain,
banking_9,
rich_20,
fed,
religion,
economic,
success_15,
marketing,
success_20,
election,
served_2,
republican_20,
massachusetts,
banking_20,
texas,
rich_18,
target_return,
gain_9,
kentucky_6,
debt,
consumption_11,
kentucky_11,
served_6,
republican_8,
gain_2,
community,
financial,
ltd_2,
consumption_7,
management,
greed,
banking_2,
consumption_5,
consumption,
gain_3,
republican_4,
ltd,
fond,
gain_7,
ltd_19,
william,
tourism,
banking_13,
ltd_13,
economy,
consumption_19,
buy,
kentucky_13,
served_20,
hedge,
ltd_10,
york,
republican_14,
minister,
industry,
gain_8,
rich_7,
firm,
voters,
house,
rich_17,
kentucky_17,
ceo,
success_3,
fun,
headlines,
technology,
consumption_13,
legal,
republican_18,
finance,
present,
home,
banking_16,
water,
republican_12,
banking_3,
senate,
returns,
ltd_6,
ring,
ltd_4,
success_12,
members,
rich_15,
served_4,
kentucky_7,
bonds,
risk,
kentucky,
founded,
rich_6,
gains_18,
judge,
consumption_2,
freedom,
secretary,
politics,
car,
kentucky_14,
kentucky_15,
consumption_15,
republican_5,
products,
served_16,
vermont,
restaurant,
federal,
growth,
kentucky_18,
success_13,
served_17,
gain_4,
success_14,
kentucky_3,
environment,
gains_19,
justice,
DOW JONES,
nasdaq,
marriage,
ltd_8,
served_8,
gains_13,
ltd_5,
success_19,
gains_20,
consume,
banking_15,
served_9,
BUY AND HOLD,
republican_10,
blacklist,
color,
