feature,feature_score
culture_19,0.03371975121659035
happy_4,0.019319901353670312
returns_10,0.02481840486159721
society_14,0.03873724913915659
stocks_1,0.007942935516780677
texas_10,0.037842687632959816
travel_20,0.00445627267014164
conflict_14,
elected,
services,
william_19,
holiday_17,
happy_11,
politics_3,
religion_16,
earnings,
travel_9,
market_1,
politics_9,
media,
politics_1,
money_1,
market_4,
labor_16,
short selling,
william_2,
william_16,
market_18,
economics,
oil,
carolina_4,
republican_1,
law,
credit,
returns_18,
invest,
missouri,
carolina,
culture_17,
crisis,
money,
growth_13,
market_19,
growth_18,
society_5,
holiday_20,
chance_4,
holiday_19,
default,
happy_13,
travel_1,
culture_15,
happy_17,
metals,
happy_5,
money_2,
conflict_4,
government,
derivatives,
ceo_5,
travel_10,
cancer_9,
arts,
growth_5,
ceo_13,
happy,
religion_1,
rich,
world,
politics_4,
conflict_7,
chance_12,
happy_3,
economics_2,
ohio,
chance_13,
economics_11,
markets,
growth_4,
train,
texas_16,
money_10,
carolina_11,
stocks_4,
travel_15,
william_11,
politics_18,
lifestyle,
market_20,
council,
economics_20,
travel_19,
case,
corporation,
economics_10,
labor_6,
happy_2,
stock market,
money_15,
district,
william_15,
risk_14,
society_3,
holiday_10,
market_10,
returns_19,
pennsylvania,
growth_8,
investment,
chance,
republican_19,
travel_4,
economics_4,
market_3,
market_8,
money_18,
holiday_9,
movement,
economics_7,
financial markets,
economics_18,
cash,
movie,
labor_5,
returns_14,
market_15,
politics_12,
stocks_20,
politics_2,
profit,
religion_10,
cancer_14,
economics_17,
william_7,
returns_7,
texas_5,
republican,
holiday_16,
georgia,
act,
growth_14,
million,
society_11,
gains,
william_6,
holiday_4,
finance_16,
politics_17,
texas_13,
labor,
culture_13,
stocks_14,
bank,
cancer_15,
william_17,
republican_6,
culture_8,
happy_12,
success,
ceo_8,
sell,
ceo_12,
conflict_20,
republican_3,
risk_20,
religion_3,
virginia,
loss,
portfolio,
fine,
finance_9,
risk_17,
college,
cancer_18,
returns_4,
returns_6,
kitchen,
wisconsin,
religion_2,
travel_14,
conflict,
tennessee,
growth_20,
inc,
money_11,
ceo_7,
chance_2,
stocks_13,
bubble,
travel_17,
companies,
money_7,
political,
dividend,
finance_2,
ceo_6,
society_1,
travel_12,
conflict_8,
ore,
growth_7,
housing,
religion_18,
washington,
politics_13,
labor_10,
labor_20,
police,
stocks,
health,
chance_15,
republican_15,
finance_5,
travel_2,
carolina_9,
happy_20,
holiday_12,
dow jones,
democratic,
crash,
travel_18,
labor_14,
growth_2,
growth_3,
leverage,
gold,
stats,
party,
travel_6,
labor_11,
returns_16,
project,
travel,
gain,
happy_16,
cancer_10,
fed,
finance_6,
culture_16,
economic,
carolina_20,
texas_12,
growth_6,
conflict_15,
happy_7,
republican_20,
risk_3,
money_8,
travel_5,
texas,
stocks_16,
target_return,
money_3,
debt,
economics_3,
culture_5,
republican_8,
labor_18,
finance_19,
community,
ceo_1,
culture_10,
chance_9,
holiday_5,
money_16,
economics_9,
growth_12,
texas_15,
ceo_20,
management,
greed,
risk_5,
finance_15,
politics_15,
religion_12,
chance_6,
labor_9,
market_9,
economics_5,
republican_4,
religion_7,
chance_3,
ltd,
fond,
conflict_3,
stocks_6,
texas_3,
happy_8,
holiday_3,
tourism,
cancer_4,
finance_10,
returns_20,
returns_15,
risk_6,
society_13,
buy,
society_12,
conflict_13,
hedge,
holiday_11,
society_7,
finance_12,
economics_16,
republican_14,
minister,
travel_16,
ceo_11,
firm,
voters,
conflict_17,
house,
finance_7,
ceo,
fun,
finance_1,
headlines,
technology,
chance_11,
present,
culture_18,
happy_1,
william_13,
stocks_10,
culture_6,
cancer_6,
returns,
returns_8,
ring,
carolina_18,
members,
finance_14,
market_16,
society_10,
kentucky,
ceo_18,
william_10,
returns_5,
holiday_14,
secretary,
religion_11,
car,
republican_5,
carolina_10,
chance_16,
culture_7,
money_13,
restaurant,
ceo_19,
culture_9,
finance_11,
chance_1,
environment,
society_18,
conflict_18,
justice,
DOW JONES,
nasdaq,
marriage,
culture_2,
travel_3,
labor_17,
market_7,
society_6,
religion_15,
economics_19,
BUY AND HOLD,
republican_10,
economics_6,
color,
carolina_14,
court,
carolina_19,
growth_15,
william_8,
texas_7,
service,
trader,
global,
short sell,
stocks_19,
security,
votes,
cancer_17,
risk_11,
texas_17,
chance_7,
cancer_16,
war,
opportunity,
growth_17,
religion_19,
money_17,
energy,
social,
market_17,
carolina_5,
economics_12,
politics_16,
food,
revenue,
market_12,
cancer_8,
growth_9,
banking,
republican_13,
carolina_2,
county,
chance_14,
republican_7,
economics_1,
republican_2,
chance_10,
money_20,
conflict_10,
union,
cancer_13,
stocks_9,
william_3,
carolina_16,
religion_13,
society_8,
conflict_16,
market,
transaction,
market_11,
representatives,
money_12,
stocks_18,
economics_13,
travel_7,
happy_18,
society_19,
labor_7,
carolina_6,
culture_11,
culture_4,
economics_14,
forex,
ceo_3,
ministry,
cancer_19,
politics_5,
market_5,
politics_19,
risk_16,
economics_15,
culture_12,
texas_6,
cancer,
politics_10,
business,
politics_14,
carolina_12,
holiday_2,
holiday,
labor_19,
garden,
cancer_2,
returns_13,
holiday_1,
religion_14,
return,
president,
religion_6,
stocks_8,
carolina_3,
texas_4,
happy_14,
holiday_6,
risk_2,
conflict_9,
rare earths,
conflict_11,
development,
served,
stocks_12,
risk_7,
returns_1,
returns_9,
society_20,
labor_12,
conflict_2,
politics_6,
finance_18,
finance_20,
stocks_3,
labor_2,
finance_3,
happy_10,
politics_7,
unemployment,
growth_11,
risk_4,
labor_13,
culture_14,
carolina_17,
labor_15,
carolina_8,
happy_15,
illinois,
republican_9,
rights,
holiday_13,
cancer_11,
religion_9,
cancer_7,
republican_16,
texas_18,
republican_11,
travel_11,
money_9,
society_4,
chance_17,
holiday_7,
market_13,
conflict_12,
committee,
seats,
governor,
risk_12,
chance_8,
market_2,
risk_18,
religion_17,
elections,
cancer_1,
happy_19,
culture_20,
politics_20,
william_12,
stocks_15,
society_16,
ceo_14,
office,
william_4,
politics_11,
society,
happy_9,
inflation,
risk_8,
nyse,
william_5,
stocks_2,
market_6,
republican_17,
william_1,
travel_8,
conflict_19,
conflict_5,
culture,
cancer_3,
holiday_15,
holiday_8,
ceo_2,
society_2,
growth_16,
labor_8,
risk_19,
chance_18,
religion,
ceo_4,
cancer_20,
marketing,
ceo_17,
election,
carolina_1,
texas_19,
massachusetts,
religion_5,
returns_2,
chance_20,
labor_4,
religion_20,
returns_11,
finance_4,
economics_8,
happy_6,
texas_9,
financial,
william_20,
stocks_17,
texas_1,
consumption,
conflict_1,
ceo_10,
holiday_18,
ceo_9,
returns_17,
risk_13,
william,
labor_3,
stocks_11,
risk_1,
risk_10,
economy,
cancer_5,
returns_12,
chance_19,
money_14,
york,
texas_14,
industry,
growth_10,
labor_1,
money_4,
carolina_13,
growth_1,
finance_17,
legal,
republican_18,
finance,
home,
market_14,
water,
carolina_15,
republican_12,
finance_13,
society_9,
carolina_7,
texas_11,
culture_1,
senate,
ceo_15,
risk_9,
chance_5,
culture_3,
bonds,
risk,
founded,
stocks_7,
judge,
william_18,
religion_8,
freedom,
politics,
finance_8,
william_9,
risk_15,
william_14,
money_5,
products,
cancer_12,
texas_20,
vermont,
federal,
growth,
politics_8,
conflict_6,
society_17,
money_19,
religion_4,
texas_2,
society_15,
money_6,
growth_19,
returns_3,
travel_13,
consume,
texas_8,
stocks_5,
blacklist,
ceo_16,
