feature,feature_score
companies_12,0.03250600015304972
dividend_13,0.03218897918695018
economic_12,0.014957704419711192
headlines_10,0.013246438091602931
hedge_7,0.0376601165609991
kentucky_18,0.044562071845009564
labor_1,0.04996839241278459
ltd_5,0.0021561463366499924
portfolio_1,0.005586927652262161
present_16,0.035345763119395524
present_18,0.0329597240426812
stats_4,0.0022156855735157104
world_10,0.008876407505546653
world_3,
elections_14,
elections_18,
profit_12,
elected,
services,
marketing_17,
voters_4,
earnings,
media,
voters_13,
elections_16,
labor_16,
short selling,
stats_14,
economic_5,
metals_3,
economics,
headlines_15,
world_14,
voters_16,
companies_5,
oil,
stats_7,
law,
credit,
invest,
missouri,
governor_16,
metals_20,
stats_12,
voters_20,
carolina,
crisis,
voters_18,
money,
headlines_5,
portfolio_13,
dividend_15,
marketing_15,
default,
present_11,
metals,
elections_20,
companies_14,
government,
derivatives,
tennessee_6,
arts,
profit_11,
happy,
companies_20,
rich,
world,
ohio,
markets,
train,
dividend_10,
marketing_3,
stats_10,
world_18,
economic_2,
voters_5,
ltd_3,
lifestyle,
council,
case,
corporation,
labor_6,
kentucky_19,
metals_5,
stock market,
economic_18,
district,
portfolio_5,
elections_17,
headlines_16,
hedge_18,
world_16,
dividend_3,
elections_15,
pennsylvania,
investment,
chance,
kentucky_5,
tennessee_20,
present_2,
present_15,
voters_10,
movement,
tennessee_5,
financial markets,
headlines_2,
kentucky_8,
cash,
movie,
labor_5,
dividend_17,
headlines_20,
governor_7,
ltd_17,
companies_11,
hedge_11,
profit,
companies_10,
tennessee_3,
voters_9,
republican,
georgia,
ltd_11,
act,
million,
voters_19,
economic_13,
gains,
hedge_2,
elections_8,
labor,
bank,
metals_6,
governor_4,
dividend_19,
headlines_12,
governor_2,
dividend_16,
marketing_8,
success,
sell,
kentucky_10,
elections_6,
kentucky_20,
virginia,
elections_11,
companies_3,
profit_5,
loss,
portfolio,
fine,
companies_4,
stats_19,
metals_12,
college,
kitchen,
kentucky_12,
wisconsin,
dividend_12,
stats_2,
ltd_16,
stats_20,
conflict,
stats_16,
tennessee,
governor_14,
inc,
tennessee_1,
headlines_6,
world_4,
bubble,
companies,
voters_12,
political,
world_17,
dividend,
tennessee_10,
tennessee_8,
ore,
marketing_1,
housing,
stats_17,
washington,
labor_10,
labor_20,
police,
stocks,
health,
marketing_6,
portfolio_7,
companies_2,
marketing_10,
world_2,
tennessee_12,
kentucky_16,
dow jones,
democratic,
crash,
governor_17,
labor_14,
leverage,
gold,
stats,
party,
labor_11,
project,
travel,
gain,
fed,
portfolio_20,
economic,
governor_9,
stats_6,
portfolio_9,
economic_14,
portfolio_3,
tennessee_9,
texas,
target_return,
economic_7,
debt,
marketing_13,
portfolio_19,
kentucky_11,
governor_11,
metals_17,
dividend_5,
labor_18,
community,
world_19,
world_9,
ltd_2,
management,
greed,
companies_19,
voters_7,
voters_1,
world_13,
marketing_20,
