feature,feature_score
banking_2,0.03553901147891352
banking_5,0.030305262880509824
banking_11,0.002878405332391625
banking_12,0.04986195685121175
banking_16,0.003688057236157546
derivatives_7,0.040993366399758036
derivatives_16,0.04077683800334007
derivatives_18,0.004724734369676688
derivatives_19,1.045493463542863e-05
derivatives_20,0.0017427082049796033
forex_7,0.004531396569432953
greed_7,3.5683951006165084e-05
invest_2,0.04634023600397957
labor_5,0.049343094983261476
portfolio_14,0.004170461320524372
rich_3,0.02563467243409635
rich_9,0.032444600424229066
tourism_1,0.03837157314066533
elected,
services,
holiday_17,
tourism_8,
earnings,
investment_1,
media,
forex_2,
labor_16,
short selling,
sell_8,
project_3,
economics,
project_8,
companies_5,
oil,
invest_12,
project_14,
tourism_19,
law,
credit,
sell_15,
invest_5,
invest,
missouri,
derivatives_13,
opportunity_9,
committee_10,
governor_16,
carolina,
crisis,
invest_17,
invest_18,
money,
committee_15,
portfolio_13,
project_4,
invest_1,
banking_17,
holiday_19,
holiday_20,
default,
project_18,
metals,
invest_8,
companies_14,
government,
derivatives,
greed_16,
invest_19,
arts,
committee_5,
happy,
companies_20,
rich,
world,
ohio,
investment_6,
markets,
train,
project_6,
office_9,
million_8,
lifestyle,
council,
case,
corporation,
labor_6,
invest_7,
stock market,
district,
portfolio_5,
derivatives_2,
holiday_10,
pennsylvania,
investment,
chance,
investment_12,
derivatives_3,
invest_11,
rich_12,
tourism_4,
forex_15,
holiday_9,
investment_18,
movement,
tourism_6,
sell_1,
investment_19,
financial markets,
cash,
movie,
project_9,
committee_7,
investment_8,
sell_2,
governor_7,
million_4,
companies_11,
rich_13,
opportunity_12,
derivatives_6,
profit,
companies_10,
republican,
office_4,
banking_18,
holiday_16,
georgia,
act,
project_19,
million,
gains,
holiday_4,
project_2,
labor,
million_12,
office_2,
office_3,
million_6,
million_11,
project_13,
project_15,
bank,
rich_10,
governor_4,
governor_2,
greed_9,
success,
sell,
investment_7,
virginia,
companies_3,
derivatives_5,
loss,
portfolio,
fine,
companies_4,
college,
banking_4,
rich_8,
kitchen,
committee_18,
wisconsin,
committee_19,
greed_4,
conflict,
investment_17,
tennessee,
tourism_14,
governor_14,
inc,
office_20,
opportunity_19,
committee_6,
million_17,
investment_9,
bubble,
companies,
sell_13,
political,
dividend,
committee_1,
ore,
housing,
washington,
greed_13,
labor_10,
labor_20,
police,
stocks,
million_15,
health,
portfolio_7,
companies_2,
forex_17,
tourism_18,
investment_16,
rich_11,
holiday_12,
dow jones,
democratic,
crash,
million_10,
governor_17,
labor_14,
leverage,
gold,
tourism_13,
stats,
party,
tourism_2,
labor_11,
project,
travel,
gain,
committee_20,
committee_12,
fed,
portfolio_20,
economic,
forex_16,
invest_3,
tourism_20,
governor_9,
portfolio_9,
opportunity_2,
invest_13,
portfolio_3,
banking_20,
texas,
rich_18,
office_8,
invest_14,
target_return,
debt,
portfolio_19,
governor_11,
labor_18,
community,
million_16,
holiday_5,
investment_20,
management,
greed,
companies_19,
tourism_9,
opportunity_20,
million_14,
labor_9,
portfolio_8,
opportunity_1,
sell_20,
ltd,
fond,
committee_17,
million_7,
holiday_3,
governor_8,
tourism,
greed_11,
banking_13,
buy,
hedge,
holiday_11,
minister,
