feature,feature_score
chance_12,0.04014322701599829
college_7,0.034616352415374425
companies_12,0.038529032691593273
consumption_20,0.011210282373933204
credit_9,0.014803497100092019
culture_20,0.0009309865308209652
derivatives_4,0.004515326673858343
dividend_15,0.023431591961078777
elected_13,0.007074275602297054
fine_1,0.00518175503518099
fond_9,0.0010542136888708738
fond_10,0.0004899768156745229
fond_11,0.04972099338497132
fond_12,0.002687639549864358
fond_17,0.0009723425587140051
fond_18,0.0006331246585718673
forex_16,0.029715403566467444
global_9,0.021463595701125365
gold_15,0.00036444195595573375
gold_19,0.009777700687669328
growth_13,0.01414069108045406
home_10,0.0260466699101744
home_17,0.04399575436000018
home_18,0.03493270000175191
home_20,0.015980317258210232
house_12,0.0345798065271646
house_14,0.027632312484563194
house_15,0.024264194126981983
house_18,0.024963224810579058
house_19,0.04741841566283986
illinois_14,0.0034573986397770365
illinois_20,0.01288349431429758
investment_15,0.005996571129397229
kitchen_19,0.005323501601315643
labor_3,0.00979035835181177
law_9,0.048106978296715924
leverage_19,0.04319968170190878
loss_5,0.002755890377293815
marriage_9,0.021590841916641648
marriage_20,0.011021653906276019
massachusetts_1,0.02680452747540097
missouri_12,0.0030383438247319513
nasdaq_5,0.022176022798907763
nasdaq_10,0.003261892721845302
oil_19,0.005242367983629628
party_5,0.021810711239050096
party_14,0.02106566723439903
pennsylvania_17,0.004461966612919082
police_7,0.02172590417701911
police_13,7.842778869887323e-05
police_15,0.005533577840765618
political_19,0.004403843928242992
present_10,0.027933607319706198
present_13,0.02877942608951939
products_11,0.018755226905495616
products_12,0.013859792768718295
products_19,0.0016718293941486576
products_20,0.0001364818166002108
return_16,0.028781871572977086
returns_20,0.04208175989354425
rights_9,0.026161563585369307
rights_11,0.00016489159979020043
rights_14,0.02454116033942688
senate_17,0.03380168463867398
senate_18,0.019127944908591196
social_7,0.01995041825722317
social_15,0.03629908162206517
technology_14,0.01477615675039861
technology_19,5.2934503981101154e-05
technology_20,0.0016558318398441601
train_4,0.04326030924155573
train_7,0.034621763596845705
transaction_2,0.008911581098183421
transaction_5,0.03273034503245022
transaction_11,0.037716066626999674
unemployment_7,0.04873727975933762
unemployment_9,0.006907927075269135
war_17,0.04148355938437675
washington_9,0.010903599005839806
washington_11,0.028885207857062074
washington_12,0.0006985642645107929
washington_14,0.036537800895373146
william_8,0.010099820248099852
william_14,0.00554811819331611
william_16,0.013733565405907693
return_3,
unemployment_4,
stock_market_14,
texas_5,
credit_13,
political_11,
wisconsin_1,
police_14,
housing_7,
leverage_17,
pennsylvania_1,
ceo,
college_5,
home_5,
water,
pennsylvania_11,
republican_15,
returns_14,
oil_14,
energy_15,
economic_18,
elected_3,
industry_16,
media_6,
rights_1,
derivatives_12,
returns,
government_1,
train_17,
representatives,
management_20,
car_8,
culture_9,
nyse_17,
william_15,
missouri_2,
chance_8,
leverage_11,
forex_12,
kitchen_2,
fine_10,
party_4,
products_9,
nasdaq_17,
car_4,
energy_11,
leverage_9,
rights_16,
dividend_16,
market_5,
fond_16,
transaction_10,
garden_9,
nasdaq_4,
housing_20,
massachusetts_19,
police_16,
unemployment_19,
development_4,
firm_6,
illinois_7,
transaction_12,
returns_7,
project_18,
republican_18,
district,
minister,
media_1,
republican_20,
economic_14,
republican_6,
illinois_15,
credit_5,
police_20,
industry_3,
war_6,
pennsylvania_8,
nyse_3,
travel,
nyse_7,
industry_9,
car_3,
consume_7,
garden_11,
global_16,
oil_2,
present,
present_4,
republican_1,
elected_12,
kitchen_15,
garden_1,
kitchen_9,
william_13,
nyse_2,
stock_market_11,
senate,
car_15,
elected_20,
democratic,
conflict,
returns_12,
washington_17,
senate_15,
voters_7,
home_3,
college_16,
present_1,
default,
oil_9,
police_1,
forex_9,
stats,
growth_17,
growth_3,
stock_market_3,
cash,
firm_4,
marriage_14,
oil_3,
social_3,
nyse_15,
college_11,
nasdaq_14,
kitchen_16,
pennsylvania_18,
rights_4,
derivatives_3,
war_15,
rights_6,
labor_10,
investment,
transaction_15,
washington_3,
marriage_15,
economic_2,
elected_4,
market_16,
house_17,
media_2,
management,
car_11,
marriage_5,
senate_1,
voters,
labor_18,
investment_11,
loss_6,
dividend_10,
dow_jones_4,
legal,
global_11,
voters_12,
project_13,
fond_7,
dow_jones_1,
consumption_19,
energy_13,
color_17,
return_12,
illinois,
present_17,
elected_1,
massachusetts_4,
derivatives_9,
voters_19,
business_16,
culture_18,
housing,
forex_3,
government_18,
home_2,
garden_17,
chance_4,
returns_13,
william_2,
loss_13,
pennsylvania_4,
garden_14,
project_16,
economic_9,
government_5,
industry_7,
management_17,
firm_1,
forex_17,
william_4,
color_19,
management_8,
loss_10,
vermont,
return_8,
william_3,
dividend_9,
office_18,
credit_16,
missouri_5,
dow_jones_11,
social_8,
forex_4,
industry_10,
loss_2,
political_12,
market_11,
return_15,
market,
rights_19,
business_14,
senate_20,
dow_jones_19,
BUY AND HOLD,
illinois_1,
stock_market_2,
war_11,
washington_2,
texas_11,
color_15,
development_9,
investment_7,
food,
financial_20,
invest,
office,
political_20,
transaction_16,
growth_9,
economic,
housing_1,
college,
missouri_10,
return_19,
technology_3,
office_17,
management_2,
products,
movie,
social_11,
consume,
republican_16,
consumption_2,
government_15,
train_5,
present_19,
firm_5,
massachusetts_18,
college_20,
return_17,
market_20,
fun_18,
illinois_3,
project_6,
voters_4,
culture_12,
credit_17,
business_10,
stock market,
economic_13,
firm_2,
dow_jones_15,
marriage_17,
wisconsin_10,
markets,
movement,
marriage_4,
products_7,
present_7,
consume_20,
nasdaq_19,
consume_2,
council,
greed,
unemployment_1,
college_3,
fine_5,
nyse_8,
government_8,
law_13,
political_18,
missouri_9,
republican_13,
party_1,
consume_1,
fond_14,
religion,
stock_market_8,
office_11,
consumption_12,
government_4,
chance_17,
garden_16,
chance_9,
senate_9,
nyse_1,
financial_12,
massachusetts_5,
senate_12,
war_16,
law_14,
elected_16,
train_11,
car,
consume_4,
college_15,
marriage_8,
economic_6,
sell_9,
consumption_18,
william_19,
global,
technology_8,
development,
fine_16,
nasdaq_18,
kitchen_3,
credit_11,
investment_19,
voters_17,
management_13,
color_4,
college_8,
consumption_11,
labor_6,
political_17,
business_13,
wisconsin_6,
missouri_19,
chance_15,
loss_18,
missouri_20,
house_10,
color_8,
energy_17,
police_10,
kentucky,
dividend_8,
gain,
rights_8,
color_20,
police_6,
bonds,
georgia,
kitchen_10,
unemployment,
votes,
war,
labor_5,
party_6,
market_10,
companies_11,
technology_15,
market_18,
companies_17,
law,
fun_7,
case,
global_8,
college_12,
fun_15,
office_12,
holiday,
missouri_14,
car_12,
business_19,
world,
illinois_12,
law_19,
financial_6,
market_12,
present_18,
senate_11,
management_6,
dow_jones_7,
pennsylvania_14,
companies_7,
elected_14,
home_9,
products_13,
companies_20,
technology_12,
pennsylvania_15,
energy_5,
government_7,
garden_13,
consumption,
returns_18,
derivatives_20,
transaction_6,
media_9,
government_3,
firm_17,
social_13,
government_12,
law_8,
pennsylvania_2,
growth_6,
housing_17,
return_4,
republican_2,
police_17,
fine_20,
office_9,
fond_19,
project_1,
investment_16,
dow_jones_18,
media_11,
returns_4,
car_18,
energy_14,
dividend_14,
war_12,
garden_12,
party_7,
elected_2,
voters_18,
fine_15,
companies_13,
industry_19,
housing_3,
economic_12,
development_20,
project_10,
republican_11,
bank,
union,
stock_market_4,
consumption_7,
war_1,
sell,
culture_10,
derivatives_15,
development_19,
industry_17,
present_14,
development_5,
growth_15,
law_4,
william_9,
fun_6,
law_6,
senate_13,
forex_8,
wisconsin,
labor,
credit_2,
loss_8,
consumption_1,
gold_11,
energy_1,
loss_17,
loss_11,
texas_15,
financial_18,
texas_7,
fun_13,
media,
william_5,
office_5,
nyse_16,
government,
business_4,
loss_20,
project_8,
voters_6,
war_19,
college_17,
illinois_13,
technology_6,
housing_19,
unemployment_10,
war_3,
financial_9,
gold_7,
culture_2,
stock_market_19,
return_7,
marriage_6,
train_9,
growth_18,
financial_13,
oil,
business_9,
business_20,
rights_5,
train_3,
sell_19,
business_11,
technology_17,
financial_11,
law_10,
gold_12,
elections,
stock_market_6,
development_8,
companies_6,
home_1,
growth_4,
service,
william_7,
business,
war_4,
fun_17,
color_7,
car_7,
products_1,
massachusetts_16,
nyse_20,
forex_6,
marriage_7,
forex_20,
marriage_2,
economics,
color_2,
market_17,
senate_2,
housing_5,
pennsylvania_19,
gold_5,
development_14,
kitchen_17,
gains,
technology_5,
college_18,
returns_19,
consumption_3,
consume_13,
politics,
oil_18,
fond_1,
washington_1,
washington_20,
culture_4,
industry_12,
sell_8,
nasdaq,
present_8,
firm_19,
voters_5,
fond_3,
war_8,
house_11,
technology,
oil_10,
marriage_18,
financial markets,
labor_17,
consumption_9,
unemployment_15,
kitchen_4,
energy_16,
products_4,
companies_8,
oil_13,
short sell,
economic_15,
credit_14,
political_7,
law_1,
chance_18,
kitchen_5,
stock_market_12,
return_1,
growth_5,
kitchen_11,
house_7,
