feature,feature_score
banking_14,0.012237463640178994
banking_18,0.02821704898961197
court_4,0.01086650483965062
court_5,0.0058179424546750584
economics_3,0.047983289089509926
economics_13,0.019156121335029752
firm_20,0.013632695539228317
fun_4,0.006263550783337882
gains_2,0.009452336859810345
gains_5,0.022099310029850452
gains_16,0.005737811030655077
gains_18,0.046305606479858985
legal_12,0.02033105184251145
movie_4,0.008904110008683604
nyse_5,0.007931910016039377
representatives_1,0.011398056884218737
social_2,0.021294135320012203
social_9,0.012920693605037555
development_7,
debt_7,
fed_18,
elected,
services,
movie_9,
economy_13,
happy_11,
union_14,
earnings,
media,
firm_10,
court_18,
leverage_3,
social_11,
short selling,
act_2,
election_1,
election_10,
economic_5,
economics,
headlines_15,
companies_5,
oil,
economy_9,
movie_1,
legal_10,
law,
credit,
nyse_8,
union_18,
invest,
missouri,
committee_10,
headlines_10,
return_1,
carolina,
development_19,
culture_17,
crisis,
management_17,
money,
movie_19,
committee_15,
headlines_5,
nyse_15,
development_8,
gains_4,
gains_6,
justice_8,
development_20,
banking_17,
gains_1,
default,
happy_13,
fed_15,
law_5,
election_19,
culture_15,
happy_17,
firm_9,
metals,
nyse_13,
happy_5,
train_2,
election_16,
fun_8,
companies_14,
return_19,
government,
derivatives,
nasdaq_3,
election_18,
law_6,
arts,
council_16,
debt_15,
fun_3,
justice_5,
council_1,
election_14,
committee_5,
leverage_4,
happy,
companies_20,
rich,
world,
return_17,
firm_11,
happy_3,
economics_2,
fun_13,
ohio,
return_4,
firm_5,
economics_11,
markets,
nyse_17,
train,
firm_16,
bank_6,
environment_4,
legal_19,
banking_11,
stocks_4,
energy_5,
economic_2,
election_12,
justice_2,
movie_16,
office_9,
union_8,
energy_1,
lifestyle,
council,
economics_20,
case,
corporation,
economics_10,
return_5,
act_16,
nyse_19,
rights_3,
fed_20,
happy_2,
stock market,
economic_18,
district,
union_15,
bank_5,
representatives_18,
massachusetts_14,
headlines_16,
development_14,
fed_19,
pennsylvania,
economy_12,
bank_2,
development_1,
investment,
chance,
representatives_9,
social_20,
representatives_13,
economics_4,
economic_12,
energy_17,
election_4,
fed_4,
movement,
economics_7,
development_5,
financial markets,
headlines_2,
economics_18,
cash,
movie,
train_18,
committee_7,
development_10,
headlines_20,
fed_7,
gains_10,
train_19,
firm_18,
companies_11,
environment_2,
justice_12,
management_13,
massachusetts_12,
social_1,
debt_4,
stocks_20,
nyse_9,
return_11,
profit,
train_10,
economics_17,
companies_10,
social_13,
court_16,
debt_16,
republican,
rights_15,
office_4,
fun_20,
nasdaq_20,
rights_5,
georgia,
debt_5,
return_15,
train_12,
act,
million,
economic_13,
gains,
council_10,
council_17,
justice_11,
finance_16,
nyse_20,
justice_19,
court_2,
labor,
office_2,
office_3,
election_8,
culture_13,
nasdaq_7,
rights_18,
bank,
stocks_14,
headlines_12,
act_19,
train_16,
fun_16,
culture_8,
happy_12,
legal_1,
success,
train_9,
sell,
return_13,
environment_16,
gains_9,
gains_11,
virginia,
legal_7,
companies_3,
economy_4,
justice_15,
legal_4,
movie_18,
election_5,
loss,
portfolio,
fine,
act_13,
companies_4,
environment_1,
finance_9,
fed_5,
firm_12,
law_17,
council_5,
union_13,
college,
justice_6,
banking_4,
election_11,
court_7,
management_9,
kitchen,
committee_18,
wisconsin,
committee_19,
act_20,
act_4,
conflict,
tennessee,
justice_1,
management_5,
nasdaq_8,
inc,
energy_8,
office_20,
legal_20,
committee_6,
social_5,
headlines_6,
stocks_13,
energy_18,
bubble,
act_8,
companies,
political,
dividend,
court_10,
finance_2,
committee_1,
legal_6,
energy_3,
representatives_5,
ore,
housing,
justice_16,
washington,
train_15,
nyse_3,
management_3,
court_11,
legal_11,
economy_5,
police,
stocks,
return_16,
health,
justice_10,
finance_5,
firm_4,
companies_2,
nasdaq_11,
energy_6,
act_9,
happy_20,
economy_19,
dow jones,
massachusetts_4,
democratic,
crash,
election_9,
legal_9,
leverage_7,
social_10,
act_10,
leverage,
energy_9,
gold,
massachusetts_10,
nyse_1,
stats,
party,
culture_19,
energy_10,
return_10,
train_8,
project,
travel,
gain,
environment_10,
happy_16,
committee_20,
committee_12,
economy_10,
fed,
culture_16,
economy_16,
economic,
finance_6,
law_9,
law_20,
economic_14,
train_14,
happy_7,
economy_11,
train_7,
banking_20,
fed_8,
texas,
office_8,
stocks_16,
target_return,
economic_7,
bank_20,
debt,
culture_5,
firm_13,
union_17,
environment_9,
finance_19,
community,
return_2,
culture_10,
fun_2,
massachusetts_19,
economics_9,
nasdaq_4,
management,
greed,
companies_19,
finance_15,
banking_2,
environment_11,
management_12,
return_3,
management_14,
election_20,
economy_8,
economic_10,
return_12,
economics_5,
legal_14,
management_18,
ltd,
fond,
committee_17,
law_8,
management_4,
stocks_6,
happy_8,
court_12,
tourism,
representatives_14,
energy_2,
banking_13,
election_6,
finance_10,
fed_12,
leverage_10,
return_14,
headlines_9,
buy,
massachusetts_20,
hedge,
debt_14,
finance_12,
movie_12,
economics_16,
minister,
headlines_17,
debt_18,
movie_14,
act_17,
representatives_4,
return_20,
finance_7,
firm,
voters,
house,
headlines_18,
rights_14,
movie_10,
development_18,
ceo,
nasdaq_19,
fun,
finance_1,
legal_18,
rights_11,
headlines,
technology,
return_7,
energy_11,
present,
movie_6,
act_7,
culture_18,
happy_1,
banking_3,
rights_17,
energy_12,
firm_17,
culture_6,
stocks_10,
office_12,
returns,
bank_1,
court_1,
debt_6,
ring,
nyse_7,
fun_6,
members,
energy_4,
finance_14,
law_4,
development_9,
legal_3,
leverage_13,
representatives_11,
companies_15,
kentucky,
firm_14,
environment_14,
bank_18,
management_15,
committee_3,
massachusetts_17,
massachusetts_6,
train_6,
secretary,
environment_20,
council_7,
nasdaq_9,
car,
massachusetts_13,
culture_7,
office_18,
justice_14,
restaurant,
development_15,
rights_13,
bank_15,
fed_10,
culture_9,
firm_1,
union_12,
finance_11,
nasdaq_16,
election_2,
management_7,
environment,
gains_19,
justice,
DOW JONES,
nasdaq,
marriage,
development_4,
office_7,
environment_13,
culture_2,
gains_13,
movie_15,
movie_20,
economy_3,
gains_20,
legal_17,
economic_9,
train_1,
massachusetts_11,
rights_12,
economics_19,
BUY AND HOLD,
economics_6,
color,
nasdaq_2,
management_16,
justice_9,
nyse_4,
court,
train_3,
bank_4,
fun_12,
economic_11,
service,
trader,
office_1,
social_3,
global,
massachusetts_3,
short sell,
court_6,
firm_19,
representatives_17,
stocks_19,
rights_4,
security,
union_2,
votes,
union_7,
development_2,
social_17,
massachusetts_8,
environment_8,
union_10,
fun_9,
war,
opportunity,
economy_20,
fun_18,
office_19,
representatives_2,
act_15,
energy,
development_6,
election_17,
social,
council_12,
economy_18,
movie_7,
committee_9,
nyse_12,
banking_6,
economics_12,
representatives_8,
companies_17,
food,
revenue,
economy_1,
office_13,
banking,
banking_12,
council_2,
nasdaq_18,
county,
environment_7,
rights_10,
gains_14,
economics_1,
firm_3,
economic_17,
union,
stocks_9,
market,
companies_18,
economic_6,
transaction,
justice_20,
movie_13,
representatives,
massachusetts_5,
development_12,
stocks_1,
union_19,
stocks_18,
happy_18,
leverage_17,
development_11,
debt_9,
management_19,
nyse_14,
council_11,
train_17,
culture_11,
leverage_8,
union_20,
culture_4,
economics_14,
massachusetts_15,
leverage_20,
nasdaq_15,
nyse_16,
rights_6,
gains_15,
forex,
train_20,
ministry,
social_19,
justice_7,
fun_5,
return_6,
nasdaq_14,
committee_16,
election_15,
bank_19,
train_4,
banking_7,
banking_5,
economics_15,
act_6,
management_10,
representatives_20,
social_12,
culture_12,
union_5,
cancer,
business,
council_4,
office_17,
banking_1,
act_11,
law_16,
holiday,
rights_8,
garden,
companies_13,
office_5,
companies_16,
leverage_19,
return,
debt_8,
representatives_3,
president,
council_9,
stocks_8,
leverage_5,
energy_15,
environment_3,
gains_12,
happy_14,
fed_1,
court_9,
fun_17,
debt_2,
massachusetts_18,
rights_9,
bank_17,
legal_13,
rare earths,
council_3,
fed_9,
massachusetts_1,
development,
served,
fun_11,
council_13,
headlines_3,
massachusetts_7,
nasdaq_5,
bank_10,
law_10,
rights_19,
office_6,
stocks_12,
bank_11,
rights_2,
movie_3,
management_6,
firm_7,
legal_2,
bank_14,
economic_15,
movie_5,
legal_5,
energy_13,
finance_18,
finance_20,
gains_3,
bank_8,
leverage_12,
stocks_3,
law_1,
finance_3,
happy_10,
unemployment,
law_3,
leverage_14,
debt_11,
council_19,
environment_17,
culture_14,
rights_16,
economy_6,
court_19,
happy_15,
illinois,
economic_3,
representatives_16,
representatives_12,
representatives_10,
energy_19,
rights,
economy_2,
fed_3,
social_6,
union_4,
economic_8,
debt_20,
environment_5,
justice_4,
banking_10,
development_13,
gains_17,
headlines_13,
economy_14,
massachusetts_2,
banking_19,
act_1,
companies_9,
gains_8,
return_18,
leverage_1,
committee,
council_8,
seats,
banking_8,
governor,
fun_7,
law_11,
train_11,
social_18,
elections,
management_20,
firm_8,
happy_19,
law_15,
culture_20,
fed_13,
union_3,
gains_7,
leverage_11,
stocks_15,
nyse_18,
debt_10,
debt_13,
economy_17,
return_8,
council_14,
office,
nasdaq_13,
social_8,
union_1,
energy_14,
committee_13,
society,
development_16,
election_3,
happy_9,
headlines_19,
inflation,
leverage_16,
nyse,
firm_2,
stocks_2,
court_8,
companies_6,
law_14,
nasdaq_17,
fun_19,
committee_14,
representatives_7,
economy_15,
law_13,
culture,
justice_18,
nyse_2,
energy_7,
fed_11,
movie_2,
act_5,
economic_19,
banking_9,
office_16,
train_5,
bank_13,
religion,
massachusetts_9,
marketing,
environment_15,
movie_8,
office_11,
committee_2,
act_12,
environment_12,
election,
union_9,
economic_20,
massachusetts,
management_11,
movie_11,
social_16,
economic_16,
fun_14,
firm_15,
legal_15,
companies_7,
fun_10,
headlines_1,
leverage_15,
finance_4,
economics_8,
headlines_8,
massachusetts_16,
happy_6,
office_14,
financial,
headlines_7,
stocks_17,
consumption,
committee_4,
bank_12,
law_19,
companies_12,
energy_20,
election_13,
social_15,
act_3,
william,
fed_17,
stocks_11,
fun_1,
union_11,
economy,
management_1,
act_14,
court_13,
economy_7,
bank_16,
happy_4,
companies_1,
debt_3,
york,
council_15,
environment_19,
nasdaq_6,
representatives_15,
industry,
management_2,
law_7,
headlines_11,
union_6,
finance_17,
firm_6,
social_7,
fed_6,
legal,
finance,
council_18,
council_6,
economic_4,
law_18,
home,
banking_16,
water,
rights_20,
debt_12,
election_7,
environment_18,
finance_13,
justice_13,
fed_16,
culture_1,
debt_1,
nasdaq_12,
senate,
law_2,
office_10,
debt_19,
development_3,
justice_17,
law_12,
culture_3,
bonds,
rights_7,
risk,
economic_1,
social_14,
train_13,
founded,
environment_6,
leverage_2,
judge,
stocks_7,
court_14,
bank_7,
management_8,
nyse_10,
movie_17,
court_20,
headlines_14,
freedom,
court_17,
politics,
finance_8,
companies_8,
justice_3,
committee_8,
representatives_19,
leverage_6,
products,
representatives_6,
vermont,
federal,
growth,
headlines_4,
nasdaq_1,
office_15,
energy_16,
nyse_6,
nasdaq_10,
development_17,
bank_9,
leverage_18,
rights_1,
committee_11,
council_20,
debt_17,
fed_14,
legal_16,
legal_8,
bank_3,
social_4,
act_18,
return_9,
fed_2,
union_16,
consume,
banking_15,
nyse_11,
fun_15,
stocks_5,
court_15,
blacklist,
leverage_9,
court_3,
