feature,feature_score
carolina_15,0.030191017194895337
chance_10,0.029463851755680663
chance_12,0.018277659875346224
chance_20,0.023530210280001792
color_5,0.029852784154043757
markets_4,0.024982704838704777
missouri_3,0.03555139034559835
religion_3,0.006117283950684885
return_2,0.012440304040574536
risk_19,0.0317032320234167
risk_20,0.017409745561535555
sell_7,0.003337290439691373
sell_11,0.009526433504320378
sell_12,0.03878898102292078
elected,
services,
color_13,
religion_16,
politics_3,
bubble_5,
earnings,
travel_9,
market_1,
politics_9,
media,
politics_1,
market_4,
labor_16,
short selling,
sell_8,
project_3,
market_18,
economics,
project_8,
oil,
carolina_4,
ohio_4,
project_14,
law,
credit,
sell_15,
invest,
missouri,
return_1,
carolina,
york_19,
crisis,
money,
market_19,
project_4,
water_19,
chance_4,
markets_6,
default,
project_18,
missouri_10,
travel_1,
metals,
return_19,
government,
derivatives,
missouri_8,
travel_10,
arts,
markets_18,
water_17,
bubble_15,
happy,
color_20,
religion_1,
rich,
world,
politics_4,
return_17,
ohio,
york_3,
return_4,
chance_13,
markets,
train,
carolina_11,
travel_15,
project_6,
missouri_13,
politics_18,
lifestyle,
market_20,
council,
travel_19,
case,
corporation,
color_11,
labor_6,
return_5,
ohio_1,
color_1,
markets_1,
stock market,
district,
risk_14,
markets_5,
market_10,
missouri_16,
pennsylvania,
investment,
chance,
travel_4,
market_3,
market_8,
movement,
sell_1,
financial markets,
cash,
movie,
markets_8,
project_9,
labor_5,
sell_2,
market_15,
york_11,
politics_12,
ohio_16,
politics_2,
return_11,
profit,
markets_9,
religion_10,
bubble_1,
color_4,
republican,
georgia,
markets_2,
return_15,
act,
project_19,
million,
gains,
politics_17,
markets_10,
project_2,
labor,
project_15,
project_13,
bubble_17,
bank,
bubble_12,
success,
sell,
markets_17,
virginia,
loss,
portfolio,
fine,
missouri_20,
risk_17,
college,
missouri_19,
kitchen,
wisconsin,
religion_2,
travel_14,
water_13,
ohio_10,
conflict,
water_15,
tennessee,
york_8,
inc,
chance_2,
missouri_6,
bubble,
travel_17,
companies,
sell_13,
political,
water_7,
dividend,
travel_12,
ore,
housing,
religion_18,
washington,
water_9,
politics_13,
labor_10,
missouri_11,
labor_20,
police,
stocks,
return_16,
health,
chance_15,
water_4,
travel_2,
carolina_9,
dow jones,
democratic,
crash,
york_18,
travel_18,
labor_14,
water_5,
leverage,
york_16,
gold,
return_10,
stats,
party,
travel_6,
labor_11,
water_11,
project,
travel,
gain,
water_14,
fed,
economic,
carolina_20,
bubble_14,
risk_3,
bubble_4,
travel_5,
texas,
target_return,
debt,
bubble_10,
labor_18,
community,
travel_16,
chance_9,
markets_19,
management,
greed,
bubble_13,
risk_5,
york_14,
politics_15,
religion_12,
return_3,
chance_6,
labor_9,
return_12,
market_9,
religion_7,
sell_20,
chance_3,
ltd,
fond,
york_2,
bubble_11,
tourism,
return_14,
risk_6,
buy,
missouri_18,
hedge,
ohio_12,
minister,
return_20,
ohio_18,
markets_14,
firm,
voters,
house,
ceo,
fun,
headlines,
technology,
chance_11,
return_7,
present,
returns,
travel_20,
ring,
carolina_18,
york_12,
members,
market_16,
kentucky,
missouri_5,
secretary,
bubble_20,
religion_11,
car,
carolina_10,
chance_16,
restaurant,
markets_3,
york_5,
chance_1,
color_18,
environment,
bubble_8,
markets_7,
justice,
DOW JONES,
nasdaq,
marriage,
ohio_20,
water_10,
travel_3,
labor_17,
market_7,
religion_15,
BUY AND HOLD,
color,
ohio_13,
carolina_14,
court,
carolina_19,
service,
trader,
york_7,
york_4,
global,
bubble_2,
short sell,
ohio_14,
security,
votes,
risk_11,
chance_7,
war,
opportunity,
religion_19,
energy,
return_13,
social,
market_17,
carolina_5,
politics_16,
food,
revenue,
market_12,
missouri_14,
sell_6,
banking,
carolina_2,
county,
chance_14,
ohio_19,
water_16,
union,
carolina_16,
religion_13,
bubble_9,
ohio_9,
market,
transaction,
market_11,
representatives,
color_12,
travel_7,
york_20,
labor_7,
water_8,
carolina_6,
ohio_3,
sell_16,
project_20,
forex,
ministry,
ohio_8,
politics_5,
market_5,
return_6,
politics_19,
water_20,
risk_16,
cancer,
politics_10,
business,
ohio_15,
politics_14,
carolina_12,
missouri_12,
holiday,
labor_19,
garden,
religion_14,
missouri_1,
return,
markets_11,
markets_12,
president,
religion_6,
carolina_3,
york_13,
project_10,
risk_2,
ohio_6,
color_10,
rare earths,
development,
served,
risk_7,
missouri_9,
labor_12,
politics_6,
labor_2,
sell_5,
project_7,
politics_7,
unemployment,
project_17,
risk_4,
labor_13,
york_9,
markets_13,
carolina_17,
labor_15,
water_6,
carolina_8,
illinois,
ohio_2,
rights,
missouri_4,
religion_9,
travel_11,
missouri_2,
chance_17,
market_13,
return_18,
committee,
seats,
color_15,
sell_14,
governor,
risk_12,
chance_8,
market_2,
risk_18,
water_1,
sell_4,
religion_17,
elections,
water_12,
politics_20,
return_8,
office,
bubble_18,
politics_11,
society,
color_8,
inflation,
risk_8,
project_16,
nyse,
color_19,
market_6,
bubble_19,
water_3,
travel_8,
color_3,
color_9,
culture,
ohio_17,
color_14,
missouri_17,
labor_8,
chance_18,
sell_9,
religion,
bubble_6,
marketing,
bubble_7,
election,
carolina_1,
massachusetts,
religion_5,
york_10,
labor_4,
religion_20,
color_2,
project_11,
financial,
markets_20,
ohio_7,
consumption,
york_15,
missouri_15,
color_16,
risk_13,
william,
markets_15,
labor_3,
risk_1,
risk_10,
economy,
york_17,
missouri_7,
chance_19,
york,
industry,
labor_1,
color_6,
bubble_3,
water_18,
markets_16,
carolina_13,
project_12,
ohio_5,
legal,
finance,
home,
market_14,
water,
bubble_16,
carolina_7,
sell_3,
senate,
york_1,
risk_9,
chance_5,
bonds,
risk,
founded,
judge,
religion_8,
freedom,
politics,
risk_15,
products,
project_5,
vermont,
federal,
growth,
color_7,
politics_8,
project_1,
religion_4,
sell_10,
sell_19,
york_6,
water_2,
sell_17,
return_9,
travel_13,
consume,
sell_18,
ohio_11,
color_17,
blacklist,
