feature,feature_score
banking_20,0.025377974683242686
blacklist_3,0.0005535395129653175
cancer_10,0.018153371954439394
crash_8,0.019370672393286867
judge_2,0.03445452459986085
judge_4,0.018068761968871916
republican_2,0.014545185158324108
revenue_7,0.02390482348217668
risk_1,0.036848755679413675
success_5,0.019000772384323506
success_14,0.008844319728336447
success_20,0.03632836244379442
tourism_5,0.00127077129965548
water_4,0.02530944942604431
water_5,0.03521217356082474
water_8,0.02506765266556195
development_7,
fed_18,
technology_20,
elected,
services,
economy_13,
tourism_8,
earnings,
investment_1,
media,
short selling,
success_1,
economics,
oil,
economy_9,
tourism_19,
republican_1,
inc_10,
legal_10,
law,
credit,
crash_2,
success_7,
invest,
missouri,
success_2,
judge_9,
carolina,
development_19,
crisis,
money,
portfolio_13,
revenue_15,
development_8,
revenue_4,
revenue_19,
tourism_1,
water_19,
development_20,
car_7,
banking_17,
default,
missouri_10,
fed_15,
metals,
crisis_12,
technology_12,
government,
derivatives,
missouri_8,
car_11,
success_11,
cancer_9,
arts,
water_17,
democratic_14,
happy,
technology_13,
revenue_1,
rich,
world,
blacklist_13,
blacklist_19,
revenue_5,
economics_2,
ohio,
crisis_18,
economics_11,
investment_6,
markets,
train,
legal_19,
banking_11,
car_13,
missouri_13,
crisis_2,
crash_11,
blacklist_12,
lifestyle,
council,
economics_20,
case,
corporation,
economics_10,
kentucky_19,
rights_3,
crisis_16,
fed_20,
blacklist_1,
stock market,
district,
crash_19,
portfolio_5,
judge_17,
risk_14,
inc_17,
development_14,
crash_6,
fed_19,
blacklist_17,
missouri_16,
pennsylvania,
crash_17,
economy_12,
technology_11,
development_1,
investment,
chance,
crash_7,
investment_12,
republican_19,
car_5,
kentucky_5,
inc_12,
tourism_4,
car_1,
democratic_10,
economics_4,
car_14,
community_19,
fed_4,
movement,
community_17,
democratic_12,
economics_7,
development_5,
investment_18,
investment_19,
tourism_6,
financial markets,
kentucky_8,
judge_13,
economics_18,
cash,
movie,
success_18,
development_10,
crash_15,
investment_8,
fed_7,
democratic_17,
crisis_9,
inc_19,
profit,
inc_14,
cancer_14,
economics_17,
technology_4,
republican,
judge_1,
rights_15,
banking_18,
rights_5,
georgia,
act,
million,
crisis_10,
judge_16,
gains,
revenue_11,
revenue_12,
labor,
blacklist_14,
rights_18,
bank,
community_12,
revenue_13,
community_15,
car_8,
community_4,
cancer_15,
republican_6,
community_18,
legal_1,
success,
sell,
technology_5,
kentucky_10,
crash_3,
investment_7,
kentucky_20,
republican_3,
risk_20,
virginia,
legal_7,
economy_4,
legal_4,
loss,
portfolio,
fine,
fed_5,
judge_6,
missouri_20,
risk_17,
college,
community_9,
cancer_18,
banking_4,
missouri_19,
kitchen,
kentucky_12,
wisconsin,
water_13,
inc_13,
car_12,
conflict,
investment_17,
water_15,
tennessee,
tourism_14,
missouri_3,
inc,
legal_20,
community_2,
community_14,
investment_9,
missouri_6,
bubble,
technology_17,
companies,
political,
inc_15,
water_7,
technology_8,
dividend,
legal_6,
ore,
housing,
washington,
water_9,
legal_11,
democratic_13,
economy_5,
police,
stocks,
car_15,
health,
missouri_11,
portfolio_7,
republican_15,
crisis_13,
community_6,
tourism_18,
blacklist_4,
investment_16,
judge_5,
economy_19,
dow jones,
crash_20,
democratic,
crash,
kentucky_16,
legal_9,
revenue_17,
inc_1,
rights_7,
leverage,
success_8,
gold,
tourism_13,
stats,
party,
technology_18,
tourism_2,
water_11,
project,
travel,
gain,
water_14,
car_3,
economy_10,
fed,
economy_16,
economic,
portfolio_20,
technology_16,
success_15,
tourism_20,
portfolio_9,
crash_9,
economy_11,
portfolio_3,
republican_20,
risk_3,
revenue_9,
fed_8,
texas,
crisis_6,
target_return,
debt,
economics_3,
portfolio_19,
