feature,feature_score
bank_3,0.02721857515008792
bubble_1,0.03563529987216623
cash_1,0.03107649181920444
return_10,0.023413935168459885
stocks_3,0.01307180487992442
stocks_6,0.015355870796466504
federal_9,
stocks_13,
gold_13,
rights_1,
political,
government_19,
gold,
judge,
county_10,
return_16,
development_17,
democratic_18,
ring_16,
secretary_4,
law_5,
law_4,
kitchen_8,
ring_13,
security_7,
movie_20,
car,
gold_7,
college,
court_9,
act_2,
food_13,
gold_18,
finance_11,
restaurant,
rights_14,
rights_9,
freedom,
garden,
finance,
democratic_3,
blacklist_19,
religion_13,
secretary_16,
religion_1,
federal_14,
business_8,
train_10,
management_7,
elections_15,
secretary,
gold_2,
services_2,
act_14,
services_4,
social_4,
marketing_19,
tourism,
global_5,
conflict_11,
garden_8,
rare earths,
finance_8,
train_3,
ltd_19,
transaction,
conflict_20,
leverage,
inc_7,
gold_16,
senate_17,
community_5,
companies_14,
union_11,
movie_14,
housing_4,
development_12,
kitchen_2,
stocks_19,
finance_9,
health_14,
community_7,
bubble_5,
business_3,
security_19,
law_2,
financial_18,
revenue_5,
bank_17,
kitchen_13,
marketing_20,
garden_3,
energy_3,
democratic_19,
act_3,
services_10,
president_8,
technology_9,
cash_14,
BUY AND HOLD,
development,
president_18,
seats,
office_20,
cash_13,
development_9,
stocks_1,
development_2,
technology_5,
william_7,
fed_12,
court_19,
fed_13,
social_11,
union_9,
founded_15,
services_8,
county_15,
court_12,
law_6,
office_3,
founded,
inc_13,
stocks_17,
energy_8,
services_16,
court_8,
corporation_7,
ring_4,
train_13,
consumption,
stats,
union_6,
car_7,
arts,
ceo,
bank_1,
return_19,
illinois_8,
democratic_10,
fed_2,
dividend,
fed_16,
federal_6,
bubble_16,
corporation_18,
business_1,
gold_15,
lifestyle,
ltd_18,
food_4,
federal_4,
revenue_9,
william_1,
conflict_12,
revenue_13,
bank_18,
movie_17,
union_3,
corporation_5,
management_17,
office_9,
gold_11,
stocks_5,
democratic_12,
secretary_11,
project,
stocks_2,
ltd_13,
earnings,
security_17,
marketing,
development_20,
financial_1,
union_17,
health_7,
illinois_12,
stocks_11,
fed_6,
business_9,
william_14,
tennessee,
ltd_17,
security_11,
religion_5,
car_3,
marketing_2,
ring_2,
health_5,
virginia,
ring_3,
marketing_5,
ring_9,
york,
financial_11,
restaurant_1,
restaurant_9,
act_12,
president_19,
secretary_18,
services_11,
president_11,
cash_7,
social_8,
government_6,
revenue_15,
banking,
ring_12,
religion_12,
william_13,
inc_18,
technology_6,
economy,
inc_14,
act_19,
debt,
movie_7,
revenue_19,
energy,
democratic_9,
services_18,
health_18,
development_7,
global_18,
global_14,
rights_17,
technology_16,
ring_10,
county_7,
county_13,
development_18,
business_11,
investment,
gold_1,
corporation_8,
global_9,
ltd_2,
bank_10,
garden_5,
health_16,
religion_18,
president_2,
kitchen_12,
government_1,
color,
conflict_15,
cash_20,
marketing_14,
justice,
cancer,
technology_8,
credit,
conflict_6,
secretary_8,
technology_18,
food_12,
cash_19,
republican_12,
housing_8,
illinois_6,
union_14,
loss,
union_19,
blacklist_7,
founded_18,
garden_9,
financial_10,
case,
ore,
bank_4,
wisconsin,
car_13,
federal_3,
bubble_7,
rights_19,
government_3,
revenue_10,
district_7,
return_11,
elections_5,
inc_6,
act_15,
corporation_11,
court_7,
william_3,
democratic_20,
development_14,
district_20,
financial_6,
food_18,
government_20,
movie_18,
restaurant_5,
society,
ltd_3,
corporation_14,
fond,
democratic_2,
garden_4,
republican_14,
secretary_3,
elections_4,
restaurant_4,
movie_5,
religion_20,
sell,
kitchen_7,
return,
train_2,
movie_6,
kitchen_10,
inc_19,
founded_9,
community_8,
federal_19,
community_17,
global,
religion_4,
train_16,
court_6,
social_18,
court_13,
election_13,
inc_17,
elections_3,
rights_6,
law_1,
senate_15,
energy_4,
greed,
services_13,
ring_1,
services_3,
cash_18,
court_15,
