feature,feature_score
chance_10,0.0033966730048677193
forex_3,0.023408876882216732
founded_9,0.020409687069550722
inflation_3,0.021249902228353375
invest_12,0.00038039148009565295
kitchen_7,0.006637577984912335
consumption_10,
consumption_4,
cash_5,
elected,
services,
democratic_18,
court,
earnings,
inflation_20,
seats_18,
fun_12,
media,
service,
trader,
buy_16,
kitchen_10,
buy_5,
forex_2,
global,
short selling,
consumption_16,
short sell,
cash_11,
security,
democratic_6,
founded_18,
votes,
kitchen_6,
seats_13,
economics,
cash_13,
chance_7,
oil,
fun_9,
war,
opportunity,
seats_8,
law,
credit,
fun_18,
cash_10,
invest_5,
kitchen_4,
invest,
missouri,
energy,
social,
buy_9,
food,
carolina,
revenue,
seats_19,
crisis,
invest_17,
invest_18,
money,
inflation_4,
cash_16,
banking,
forex_6,
county,
forex_18,
chance_14,
kitchen_8,
invest_1,
chance_4,
consumption_12,
default,
present_11,
union,
inflation_19,
kitchen_9,
metals,
invest_8,
forex_11,
fun_8,
buy_13,
government,
derivatives,
market,
forex_5,
transaction,
seats_7,
forex_1,
representatives,
invest_19,
arts,
fun_3,
consumption_9,
democratic_14,
happy,
consumption_1,
rich,
world,
inflation_10,
founded_10,
chance_12,
forex_7,
seats_11,
inflation_7,
fun_13,
ohio,
chance_13,
markets,
train,
buy_6,
forex,
cash_4,
ministry,
democratic_19,
seats_16,
fun_5,
founded_4,
democratic_5,
lifestyle,
council,
kitchen_11,
invest_20,
cash_20,
case,
corporation,
seats_9,
invest_7,
cancer,
buy_15,
business,
stock market,
district,
kitchen_3,
invest_2,
holiday,
garden,
pennsylvania,
founded_17,
return,
investment,
chance,
consumption_18,
invest_11,
president,
democratic_10,
forex_15,
present_2,
present_15,
founded_5,
kitchen_5,
movement,
democratic_12,
cash_8,
buy_3,
seats_17,
inflation_15,
financial markets,
kitchen_18,
fun_17,
cash,
movie,
founded_8,
rare earths,
development,
served,
fun_11,
democratic_17,
buy_4,
profit,
cash_2,
invest_9,
present_10,
democratic_9,
present_18,
kitchen_16,
republican,
fun_20,
cash_14,
georgia,
seats_2,
seats_12,
act,
seats_4,
million,
kitchen_14,
unemployment,
gains,
consumption_8,
labor,
bank,
founded_11,
fun_16,
illinois,
success,
buy_19,
sell,
kitchen_20,
rights,
buy_7,
founded_19,
cash_3,
virginia,
buy_14,
loss,
portfolio,
fine,
buy_1,
present_6,
chance_17,
college,
founded_1,
committee,
seats,
founded_14,
governor,
fun_7,
chance_8,
kitchen,
inflation_17,
wisconsin,
consumption_6,
invest_10,
inflation_14,
conflict,
elections,
tennessee,
kitchen_12,
inc,
chance_2,
bubble,
companies,
political,
inflation_2,
consumption_3,
dividend,
present_9,
inflation_6,
office,
consumption_20,
ore,
cash_18,
housing,
kitchen_15,
buy_20,
society,
inflation_16,
washington,
forex_13,
founded_6,
inflation,
present_8,
inflation_13,
democratic_13,
inflation_18,
police,
stocks,
nyse,
health,
founded_12,
consumption_14,
chance_15,
forex_17,
fun_19,
invest_6,
dow jones,
democratic,
crash,
founded_16,
present_1,
culture,
leverage,
democratic_11,
gold,
seats_10,
stats,
party,
seats_15,
buy_12,
consumption_17,
project,
travel,
gain,
inflation_9,
present_3,
chance_18,
democratic_2,
founded_3,
fed,
cash_19,
religion,
economic,
founded_20,
marketing,
forex_16,
invest_3,
election,
invest_13,
cash_1,
massachusetts,
chance_20,
inflation_11,
texas,
cash_12,
invest_14,
target_return,
fun_14,
kitchen_2,
invest_16,
debt,
buy_2,
fun_10,
present_14,
consumption_11,
community,
chance_9,
fun_2,
financial,
consumption_7,
management,
greed,
cash_15,
consumption_5,
consumption,
democratic_1,
kitchen_19,
chance_6,
kitchen_13,
chance_3,
ltd,
fond,
kitchen_17,
william,
cash_17,
tourism,
fun_1,
seats_14,
economy,
consumption_19,
buy,
present_4,
chance_19,
hedge,
buy_10,
york,
present_19,
buy_11,
democratic_4,
minister,
industry,
democratic_8,
present_5,
present_13,
firm,
voters,
house,
forex_20,
democratic_3,
ceo,
fun,
seats_1,
present_17,
headlines,
technology,
chance_11,
inflation_5,
consumption_13,
cash_7,
legal,
finance,
present,
inflation_1,
home,
buy_8,
forex_19,
water,
inflation_8,
invest_4,
senate,
returns,
cash_9,
forex_4,
ring,
chance_5,
invest_15,
fun_6,
members,
bonds,
buy_18,
risk,
kentucky,
founded,
judge,
founded_2,
democratic_20,
democratic_7,
forex_8,
consumption_2,
present_20,
freedom,
secretary,
politics,
seats_5,
car,
forex_10,
consumption_15,
chance_16,
fun_4,
kitchen_1,
products,
vermont,
restaurant,
seats_3,
federal,
founded_15,
growth,
democratic_16,
present_16,
democratic_15,
forex_12,
present_12,
chance_1,
present_7,
environment,
forex_9,
seats_6,
founded_13,
seats_20,
forex_14,
justice,
DOW JONES,
nasdaq,
marriage,
founded_7,
cash_6,
consume,
buy_17,
fun_15,
inflation_12,
BUY AND HOLD,
blacklist,
color,
