feature,feature_score
college_5,0.04955125905057472
consumption_14,0.0025234206143125368
consumption_15,0.045843484185354305
consumption_20,0.02009055281126656
derivatives_1,0.021893945935937728
fond_12,0.005173127919359056
fond_17,0.016064366531923367
georgia_5,0.01708172012793008
happy_2,0.0495545757504911
home_7,0.04597901812598206
home_8,0.001775216262328793
home_10,0.0007278076706885364
home_13,0.0109738344631708
industry_4,0.008221881780817552
industry_6,0.04769045145539731
labor_4,0.03163342950216528
lifestyle_4,0.004641085317048306
missouri_20,0.0033869117286383452
transaction_2,0.001145200219097195
transaction_7,0.04904157734340017
transaction_11,0.021753124218428014
world_3,
world_10,
elected,
services,
color_13,
happy_11,
bubble_5,
earnings,
media,
home_17,
georgia_20,
labor_16,
short selling,
economics,
world_14,
oil,
law,
credit,
nyse_8,
fond_11,
invest,
missouri,
transaction_3,
bonds_15,
derivatives_13,
carolina,
culture_17,
crisis,
money,
nyse_15,
restaurant_7,
default,
happy_13,
college_11,
missouri_10,
lifestyle_10,
culture_15,
lifestyle_7,
happy_17,
nyse_13,
metals,
happy_5,
college_1,
government,
derivatives,
missouri_8,
restaurant_4,
arts,
bonds_9,
derivatives_16,
bubble_15,
happy,
color_20,
rich,
world,
bonds_8,
happy_3,
ohio,
markets,
nyse_17,
train,
world_18,
bonds_3,
industry_5,
college_10,
missouri_13,
lifestyle,
council,
case,
corporation,
color_11,
industry_3,
labor_6,
nyse_19,
color_1,
stock market,
district,
lifestyle_2,
derivatives_2,
restaurant_1,
world_16,
missouri_16,
pennsylvania,
transaction_17,
home_15,
investment,
chance,
college_9,
consumption_18,
derivatives_3,
transaction_5,
home_1,
movement,
home_19,
financial markets,
cash,
movie,
labor_5,
derivatives_20,
bonds_18,
home_20,
derivatives_6,
nyse_9,
profit,
georgia_6,
bubble_1,
color_4,
republican,
georgia,
georgia_18,
act,
million,
gains,
finance_16,
fond_6,
industry_11,
nyse_20,
labor,
industry_10,
culture_13,
bubble_17,
bank,
bubble_12,
culture_8,
happy_12,
success,
sell,
industry_18,
virginia,
fond_9,
lifestyle_3,
derivatives_5,
loss,
portfolio,
fine,
finance_9,
bonds_19,
industry_8,
college,
college_20,
restaurant_6,
missouri_19,
kitchen,
wisconsin,
conflict,
tennessee,
missouri_3,
inc,
restaurant_10,
world_4,
fond_15,
bubble,
missouri_6,
companies,
political,
world_17,
consumption_3,
college_19,
dividend,
finance_2,
lifestyle_9,
ore,
housing,
washington,
lifestyle_14,
georgia_2,
georgia_8,
nyse_3,
restaurant_11,
labor_10,
missouri_11,
labor_20,
police,
stocks,
health,
finance_5,
georgia_17,
world_2,
happy_20,
dow jones,
democratic,
crash,
labor_14,
transaction_19,
nyse_1,
leverage,
gold,
stats,
party,
culture_19,
labor_11,
consumption_17,
project,
travel,
gain,
happy_16,
transaction_14,
culture_16,
finance_6,
fed,
economic,
transaction_10,
bubble_14,
transaction_4,
happy_7,
bubble_4,
texas,
fond_8,
target_return,
debt,
bubble_10,
culture_5,
labor_18,
finance_19,
community,
world_19,
culture_10,
world_9,
consumption_7,
lifestyle_12,
management,
greed,
bubble_13,
georgia_16,
georgia_19,
finance_15,
home_11,
world_13,
labor_9,
georgia_10,
home_12,
fond_19,
ltd,
fond,
bubble_11,
happy_8,
world_11,
tourism,
georgia_4,
restaurant_5,
finance_10,
consumption_19,
buy,
missouri_18,
bonds_2,
hedge,
college_8,
world_12,
finance_12,
minister,
college_12,
lifestyle_17,
finance_7,
firm,
voters,
house,
ceo,
fun,
finance_1,
georgia_7,
headlines,
technology,
present,
culture_18,
happy_1,
culture_6,
industry_14,
returns,
fond_20,
nyse_7,
ring,
members,
finance_14,
transaction_15,
kentucky,
missouri_5,
derivatives_11,
derivatives_8,
consumption_2,
secretary,
bubble_20,
car,
culture_7,
restaurant,
fond_7,
college_16,
industry_17,
culture_9,
restaurant_16,
restaurant_8,
color_5,
finance_11,
world_7,
restaurant_13,
color_18,
environment,
bubble_8,
bonds_17,
justice,
DOW JONES,
nasdaq,
marriage,
lifestyle_19,
restaurant_9,
culture_2,
labor_17,
derivatives_9,
BUY AND HOLD,
transaction_16,
color,
consumption_10,
consumption_4,
nyse_4,
transaction_8,
court,
service,
trader,
industry_20,
global,
bubble_2,
short sell,
consumption_16,
fond_10,
lifestyle_16,
security,
votes,
restaurant_3,
war,
opportunity,
energy,
nyse_12,
social,
derivatives_10,
food,
restaurant_14,
revenue,
missouri_14,
banking,
home_14,
county,
home_18,
fond_1,
consumption_12,
transaction_6,
union,
derivatives_15,
georgia_1,
bubble_9,
market,
transaction,
bonds_10,
restaurant_19,
world_5,
representatives,
lifestyle_15,
color_12,
consumption_9,
happy_18,
nyse_14,
consumption_1,
derivatives_19,
labor_7,
derivatives_18,
restaurant_20,
culture_11,
culture_4,
nyse_16,
forex,
ministry,
college_3,
industry_15,
culture_12,
cancer,
business,
georgia_11,
missouri_12,
holiday,
labor_19,
garden,
home_3,
industry_13,
missouri_1,
return,
lifestyle_1,
transaction_12,
president,
derivatives_17,
georgia_13,
happy_14,
industry_16,
lifestyle_5,
color_10,
rare earths,
industry_1,
restaurant_18,
development,
georgia_14,
served,
restaurant_12,
industry_7,
lifestyle_6,
missouri_9,
labor_12,
derivatives_12,
transaction_20,
finance_18,
finance_20,
labor_2,
finance_3,
happy_10,
unemployment,
bonds_11,
consumption_8,
labor_13,
culture_14,
world_8,
college_13,
labor_15,
college_17,
world_1,
lifestyle_20,
happy_15,
illinois,
college_7,
lifestyle_18,
georgia_12,
rights,
missouri_4,
home_4,
college_18,
bonds_5,
missouri_2,
transaction_1,
committee,
seats,
color_15,
college_15,
governor,
consumption_6,
restaurant_15,
elections,
georgia_15,
transaction_9,
fond_4,
industry_19,
happy_19,
college_14,
bonds_1,
home_5,
culture_20,
lifestyle_8,
georgia_3,
nyse_18,
fond_16,
office,
derivatives_14,
bubble_18,
society,
color_8,
happy_9,
inflation,
nyse,
color_19,
derivatives_7,
home_9,
bubble_19,
restaurant_2,
color_3,
color_9,
culture,
nyse_2,
bonds_7,
color_14,
missouri_17,
labor_8,
lifestyle_11,
religion,
bubble_6,
marketing,
bonds_20,
bonds_6,
bubble_7,
election,
world_20,
restaurant_17,
massachusetts,
consumption_11,
college_6,
finance_4,
fond_5,
color_2,
industry_9,
bonds_4,
happy_6,
home_16,
nyse_5,
financial,
consumption_5,
consumption,
georgia_9,
missouri_15,
color_16,
bonds_12,
william,
fond_2,
labor_3,
bonds_16,
world_15,
home_2,
economy,
missouri_7,
happy_4,
york,
transaction_18,
industry,
fond_13,
labor_1,
color_6,
bubble_3,
home_6,
bonds_14,
consumption_13,
finance_17,
transaction_13,
legal,
finance,
home,
water,
fond_3,
finance_13,
bubble_16,
culture_1,
senate,
bonds_13,
culture_3,
bonds,
risk,
founded,
judge,
fond_18,
nyse_10,
freedom,
politics,
finance_8,
lifestyle_13,
industry_2,
products,
vermont,
federal,
growth,
color_7,
derivatives_4,
college_4,
nyse_6,
college_2,
fond_14,
consume,
world_6,
nyse_11,
color_17,
industry_12,
blacklist,
