feature,feature_score
blacklist_1,0.049619291690146894
consume_2,0.017336988570348908
dow_jones_1,0.04198903881095357
economy_7,0.005666041635832808
economy_17,0.049999364985078024
governor_6,0.038310047474598964
governor_9,0.005645111242765483
governor_14,0.03150071435860437
governor_17,0.0355957969624496
headlines_1,0.001281168701968371
headlines_5,0.02330870543139153
headlines_8,0.012953711530199816
headlines_15,0.03914661128863393
home_12,0.038496788296777794
house_1,0.04367785601324661
present_12,0.0019062347964482669
president_9,4.379922208047745e-05
representatives_10,0.04256010011971446
seats_3,0.028160539157117814
served_3,0.00785485365190427
senate,
financial,
consume_11,
consume_1,
political,
blacklist_12,
seats_4,
gold,
bank,
judge,
metals,
home,
economy_20,
loss_7,
returns,
hedge,
security,
dow_jones_20,
seats_8,
derivatives,
rich,
blacklist_8,
consume_7,
loss_13,
present_5,
labor_16,
house,
management,
oil,
car,
invest,
travel,
loss_3,
home_4,
economy_14,
college,
economics,
headlines_3,
loss_11,
restaurant,
war,
dow_jones_17,
present_3,
food,
community,
freedom,
garden,
market,
finance,
marriage,
blacklist_19,
house_12,
house_18,
labor_7,
house_17,
governor_10,
gain_5,
president_10,
social,
consume_15,
gain_12,
election,
secretary,
trader,
union,
economy_10,
labor_4,
governor_15,
economy_11,
religion,
dow_jones_10,
tourism,
county,
house_3,
present_4,
consume_14,
georgia,
rare earths,
consume_4,
economy_6,
gain_2,
labor_8,
loss_20,
governor_8,
blacklist_3,
transaction,
inc,
leverage,
economy_2,
consume_13,
loss_1,
loss_14,
ltd,
seats_19,
headlines,
dow_jones_4,
legal,
gains,
present_1,
consume_9,
housing,
seats_18,
governor,
representatives_19,
firm,
president_20,
dow_jones_9,
home_14,
representatives_17,
gain_3,
blacklist_15,
president_13,
labor_14,
representatives_2,
ministry,
loss_6,
minister,
district,
consume_16,
companies,
president_5,
seats_7,
president_8,
success,
gain_17,
BUY AND HOLD,
development,
house_10,
dow_jones_13,
president_18,
seats,
DOW JONES,
served_16,
house_16,
loss_9,
governor_11,
loss_15,
served_20,
house_19,
profit,
house_14,
served_9,
blacklist_6,
house_2,
present_17,
served,
happy,
loss_19,
founded,
economy_16,
home_13,
seats_1,
gain_20,
buy,
gain_7,
representatives_1,
gain_1,
consumption,
william,
stats,
labor_9,
products,
president_7,
headlines_16,
loss_17,
economy_8,
arts,
ceo,
loss_2,
markets,
gain_11,
consume_12,
blacklist_13,
dividend,
governor_7,
labor_20,
governor_19,
labor_3,
served_14,
short selling,
lifestyle,
blacklist_18,
money,
headlines_19,
house_9,
votes,
served_2,
headlines_18,
business,
house_8,
dow_jones_2,
seats_5,
council,
financial markets,
act,
holiday,
elections,
risk,
governor_2,
gain_8,
stock market,
present_9,
served_11,
politics,
labor_6,
economy_4,
carolina,
environment,
labor_1,
water,
services,
seats_12,
kitchen,
project,
labor_13,
home_10,
world,
blacklist_10,
gain_19,
texas,
headlines_14,
blacklist_17,
labor_10,
loss_5,
earnings,
gain_4,
movement,
home_15,
marketing,
home_18,
gain_14,
governor_20,
present_6,
representatives_6,
committee,
headlines_12,
home_19,
economy_12,
headlines_20,
court,
home_8,
economy_19,
blacklist_20,
vermont,
gain_13,
home_20,
president,
headlines_13,
president_3,
seats_11,
loss_18,
tennessee,
house_7,
default,
short sell,
crisis,
bubble,
house_4,
representatives_9,
economy_13,
virginia,
forex,
gain_16,
representatives_11,
served_18,
home_2,
governor_5,
york,
corporation,
loss_16,
home_6,
inflation,
police,
served_12,
economy_3,
representatives_12,
unemployment,
president_19,
democratic,
portfolio,
dow_jones_7,
president_11,
crash,
labor_19,
nasdaq,
consume_17,
banking,
representatives_4,
labor_17,
house_11,
economy,
dow_jones_14,
culture,
seats_20,
dow_jones_18,
debt,
present_19,
loss_12,
loss_4,
energy,
labor,
labor_12,
party,
seats_9,
headlines_10,
headlines_6,
chance,
service,
present,
consume_20,
served_19,
home_3,
headlines_7,
house_6,
dow_jones_6,
blacklist_5,
served_1,
gain_15,
illinois,
law,
voters,
opportunity,
house_15,
fun,
labor_11,
ring,
president_16,
dow_jones_3,
home_7,
served_13,
seats_14,
investment,
representatives_8,
massachusetts,
blacklist_2,
kentucky,
office,
pennsylvania,
headlines_4,
served_17,
seats_10,
present_2,
president_15,
president_2,
color,
blacklist_14,
representatives_3,
dow_jones_5,
house_5,
justice,
cancer,
loss_10,
credit,
seats_2,
conflict,
blacklist_9,
present_14,
revenue,
governor_18,
loss,
blacklist_7,
economy_9,
dow_jones_16,
president_12,
republican,
case,
home_17,
present_13,
governor_3,
ore,
seats_16,
headlines_17,
representatives_13,
wisconsin,
economy_5,
present_11,
blacklist_16,
gain_9,
economy_18,
representatives_20,
gain_6,
president_4,
target_return,
bonds,
seats_15,
dow_jones_15,
economy_1,
present_18,
consume_3,
governor_4,
seats_17,
present_15,
seats_6,
blacklist_4,
consume_10,
federal,
government,
present_20,
blacklist_11,
labor_2,
stocks,
president_6,
consume_18,
media,
dow_jones_19,
society,
served_8,
representatives_14,
fond,
governor_12,
gain_18,
headlines_9,
labor_15,
gain,
consume_6,
representatives_18,
sell,
home_5,
return,
served_7,
gain_10,
technology,
home_9,
home_11,
consume_5,
global,
present_7,
served_5,
present_10,
served_4,
fine,
representatives_5,
loss_8,
headlines_11,
members,
ohio,
home_16,
blacklist,
representatives_16,
greed,
washington,
governor_13,
president_1,
dow_jones_12,
house_13,
representatives,
consume,
seats_13,
served_10,
rights,
nyse,
governor_16,
economic,
economy_15,
consume_8,
labor_5,
president_14,
representatives_15,
health,
dow jones,
house_20,
present_8,
fed,
missouri,
served_15,
industry,
million,
representatives_7,
served_6,
dow_jones_11,
growth,
present_16,
home_1,
consume_19,
labor_18,
movie,
elected,
cash,
governor_1,
train,
dow_jones_8,
headlines_2,
president_17,
