feature,feature_score
bubble_11,0.0007470393811326075
bubble_18,0.0233235405760087
ceo_4,0.021251559768836848
consumption_4,0.006189406706520779
consumption_13,0.0010741791189346802
consumption_15,0.04557559275876624
economics_4,0.007102831620270994
food_12,0.01232115177856159
food_18,0.026122989868524214
forex_1,0.046730902600447814
happy_7,0.0024329155026601547
invest_8,0.03969321927951229
invest_14,0.01647468544030966
leverage_16,0.045434728164450995
media_5,0.02553995474496391
ministry_2,0.022544648818843174
portfolio_1,0.0014854228717366535
ring_11,0.018271439955360316
ring_14,0.00010353005173378337
ring_17,0.0037838320789193576
ring_18,0.03756043428322144
served_18,0.017861549756419324
train_15,0.031492270700405264
train_16,0.0033749344713623936
world_8,0.0004204033273517725
world_11,0.0002634581950484949
world_12,0.0054376513820263385
world_20,0.015521163885180869
world_3,
world_10,
elected,
services,
food_11,
economy_13,
happy_11,
religion_16,
bubble_5,
earnings,
media,
forex_2,
leverage_3,
short selling,
sell_8,
ministry_4,
ministry_16,
stats_14,
garden_18,
economics,
world_14,
oil,
economy_9,
invest_12,
loss_1,
stats_7,
loss_20,
law,
credit,
sell_15,
invest_5,
invest,
missouri,
loss_10,
stats_12,
carolina,
crisis,
invest_17,
invest_18,
money,
minister_1,
portfolio_13,
minister_14,
invest_1,
loss_15,
garden_13,
default,
media_16,
happy_13,
ministry_15,
happy_17,
metals,
happy_5,
train_2,
fun_8,
government,
derivatives,
garden_3,
ceo_5,
invest_19,
arts,
fun_3,
ceo_13,
leverage_4,
bubble_15,
ministry_7,
happy,
loss_3,
religion_1,
rich,
world,
served_14,
loss_8,
forex_7,
happy_3,
economics_2,
fun_13,
ohio,
food_16,
economics_11,
markets,
train,
stats_10,
world_18,
loss_14,
ministry_17,
lifestyle,
council,
economics_20,
case,
corporation,
economics_10,
invest_7,
happy_2,
stock market,
district,
portfolio_5,
invest_2,
hedge_18,
loss_13,
served_5,
world_16,
media_6,
pennsylvania,
economy_12,
investment,
chance,
consumption_18,
invest_11,
forex_15,
movement,
economics_7,
sell_1,
financial markets,
economics_18,
cash,
movie,
train_18,
sell_2,
served_12,
train_19,
hedge_11,
profit,
religion_10,
train_10,
economics_17,
bubble_1,
ring_15,
republican,
fun_20,
georgia,
media_17,
train_12,
act,
million,
gains,
hedge_2,
labor,
ministry_5,
bubble_17,
bank,
bubble_12,
media_11,
fun_16,
happy_12,
train_9,
success,
ceo_8,
sell,
ceo_12,
religion_3,
virginia,
economy_4,
loss,
portfolio,
fine,
stats_19,
college,
minister_16,
kitchen,
wisconsin,
religion_2,
stats_2,
loss_19,
stats_20,
conflict,
minister_5,
stats_16,
tennessee,
ring_19,
inc,
ceo_7,
world_4,
bubble,
companies,
sell_13,
served_10,
political,
world_17,
consumption_3,
dividend,
ceo_6,
consumption_20,
ore,
housing,
stats_17,
religion_18,
washington,
ministry_20,
economy_5,
police,
stocks,
health,
portfolio_7,
forex_17,
ministry_14,
garden_19,
ministry_9,
ring_8,
world_2,
happy_20,
media_8,
minister_11,
economy_19,
dow jones,
ring_20,
democratic,
crash,
leverage_7,
minister_8,
leverage,
gold,
stats,
party,
consumption_17,
train_8,
project,
travel,
gain,
happy_16,
economy_10,
fed,
portfolio_20,
economy_16,
economic,
forex_16,
invest_3,
bubble_14,
ministry_10,
stats_6,
portfolio_9,
served_2,
economy_11,
invest_13,
garden_1,
portfolio_3,
train_14,
bubble_4,
train_7,
texas,
target_return,
debt,
bubble_10,
economics_3,
portfolio_19,
loss_12,
served_6,
community,
ceo_1,
minister_15,
fun_2,
media_2,
world_9,
