feature,feature_score
earnings_1,0.023147693816327555
freedom_1,0.014133741404196936
freedom_19,0.004979594124282425
media_18,0.0006298534158119837
media_20,0.010845327361935784
million_6,0.021372410372174678
present_1,0.004646927901632408
return_3,0.006461456468324459
risk_9,0.013145071945139105
risk_14,0.040401635285840995
virginia_4,0.009618179231991594
virginia_16,0.032143469838790954
virginia_19,0.026147612432070793
federal_2,
union_14,
elected,
services,
earnings,
media,
social_11,
short selling,
freedom_5,
project_3,
earnings_20,
metals_3,
economics,
project_8,
oil,
project_14,
DOW_JONES_10,
law,
credit,
union_18,
crash_2,
washington_7,
invest,
missouri,
committee_10,
metals_20,
return_1,
judge_9,
carolina,
crisis,
money,
committee_15,
pennsylvania_1,
project_4,
default,
media_16,
project_18,
pennsylvania_17,
present_11,
metals,
train_2,
return_19,
government,
derivatives,
earnings_5,
cancer_9,
arts,
freedom_11,
committee_5,
happy,
rich,
world,
return_17,
economics_2,
washington_18,
ohio,
federal_7,
return_4,
arts_14,
economics_11,
markets,
train,
arts_4,
energy_5,
project_6,
union_8,
pennsylvania_5,
crash_11,
energy_1,
million_8,
lifestyle,
council,
economics_20,
case,
corporation,
economics_10,
return_5,
metals_5,
stock market,
union_15,
district,
crash_19,
judge_17,
DOW_JONES_14,
crash_6,
media_6,
pennsylvania,
crash_17,
federal_20,
investment,
chance,
crash_7,
social_20,
economics_4,
present_2,
energy_17,
present_15,
movement,
economics_7,
financial markets,
judge_13,
economics_18,
cash,
movie,
project_9,
train_18,
committee_7,
crash_15,
million_4,
train_19,
washington_14,
federal_12,
washington_10,
return_11,
profit,
train_10,
cancer_14,
economics_17,
social_13,
freedom_7,
republican,
judge_1,
georgia,
media_17,
return_15,
train_12,
act,
project_19,
earnings_14,
earnings_4,
million,
DOW_JONES_18,
judge_16,
gains,
finance_16,
arts_17,
project_2,
freedom_18,
labor,
million_12,
million_11,
project_13,
project_15,
bank,
metals_6,
DOW_JONES_6,
earnings_12,
media_11,
train_16,
DOW_JONES_8,
cancer_15,
arts_12,
train_9,
success,
sell,
crash_3,
risk_20,
virginia,
DOW_JONES_4,
DOW_JONES_20,
social_1,
loss,
portfolio,
fine,
finance_9,
judge_6,
metals_12,
risk_17,
union_13,
college,
cancer_18,
washington_20,
kitchen,
committee_18,
wisconsin,
DOW_JONES_13,
committee_19,
conflict,
tennessee,
freedom_6,
inc,
energy_8,
DOW_JONES_15,
committee_6,
social_5,
million_17,
energy_18,
bubble,
companies,
political,
dividend,
finance_2,
washington_15,
committee_1,
arts_8,
energy_3,
ore,
housing,
washington,
train_15,
freedom_2,
million_15,
police,
stocks,
return_16,
health,
finance_5,
energy_6,
judge_5,
media_8,
dow jones,
crash_20,
democratic,
crash,
million_10,
earnings_2,
freedom_4,
social_10,
virginia_5,
leverage,
energy_9,
gold,
return_10,
stats,
party,
DOW_JONES_5,
energy_10,
train_8,
project,
travel,
gain,
federal_17,
cancer_10,
committee_20,
committee_12,
fed,
finance_6,
judge_4,
economic,
arts_9,
federal_13,
virginia_18,
crash_9,
train_14,
risk_3,
train_7,
texas,
target_return,
debt,
economics_3,
union_17,
metals_17,
arts_18,
finance_19,
community,
judge_19,
million_16,
media_2,
return_2,
economics_9,
crash_10,
management,
greed,
risk_5,
finance_15,
media_4,
million_14,
arts_13,
return_12,
earnings_17,
freedom_10,
economics_5,
judge_18,
ltd,
fond,
committee_17,
judge_3,
million_7,
crash_8,
freedom_8,
tourism,
energy_2,
cancer_4,
finance_10,
return_14,
risk_6,
buy,
present_4,
arts_1,
hedge,
finance_12,
economics_16,
metals_4,
minister,
freedom_13,
present_5,
return_20,
crash_18,
present_13,
finance_7,
firm,
voters,
house,
ceo,
virginia_11,
federal_1,
fun,
finance_1,
present_17,
earnings_19,
headlines,
technology,
return_7,
energy_11,
DOW_JONES_12,
present,
washington_8,
pennsylvania_3,
washington_13,
earnings_18,
judge_15,
