feature,feature_score
cash_8,0.019905365175930233
community_18,0.007173768021322899
economic_1,0.03788025862083443
garden_19,0.025125726314612587
greed_2,0.003601520588686858
markets_2,0.02830156483376291
markets_11,0.042431737164695386
risk_5,0.005342251414585589
wisconsin_17,
water_19,
kentucky_11,
gold_19,
kentucky_10,
war,
community_7,
services_18,
management_13,
food_16,
health_10,
society_2,
firm_19,
freedom_14,
massachusetts_2,
greed,
oil_5,
revenue_20,
invest_15,
risk_15,
water_10,
travel_19,
texas_14,
garden_2,
lifestyle_19,
garden_17,
oil_2,
banking_16,
dividend_8,
forex_9,
credit_6,
markets_13,
health_3,
bank_14,
travel_5,
community_10,
markets_16,
greed_12,
society_9,
chance,
revenue_6,
car,
legal_7,
garden_9,
oil_10,
cash_19,
minister,
money_8,
security_3,
society_6,
invest_19,
economic_7,
illinois_7,
legal_4,
invest_4,
texas_10,
housing_1,
freedom_4,
war_4,
wisconsin_20,
kentucky_20,
energy_9,
leverage,
kentucky_15,
travel_16,
fun_9,
train,
texas_16,
credit,
debt,
products_6,
earnings,
greed_16,
federal_20,
legal_20,
management_6,
tennessee_10,
law_6,
credit_19,
texas_13,
risk_9,
profit,
cash_13,
office_6,
oil_18,
illinois_10,
banking_17,
travel_12,
fun_6,
forex,
society_15,
travel_14,
conflict_14,
services_8,
cash_4,
carolina,
bank_5,
banking_1,
community_14,
office_8,
security_18,
legal_13,
rich,
ceo_14,
food_11,
tennessee_18,
inc_11,
law_4,
health_13,
management_19,
management_20,
cash_1,
texas_4,
food_3,
money_1,
travel_8,
risk_19,
society_13,
services,
conflict_12,
movement,
firm_12,
products_15,
credit_3,
investment,
corporation_17,
energy_17,
unemployment_19,
office_18,
inflation,
banking_18,
freedom_13,
lifestyle_18,
products_9,
unemployment_4,
money_14,
texas_18,
gold_16,
massachusetts_5,
water_20,
union_10,
banking_9,
security_8,
risk_11,
invest_2,
illinois_15,
lifestyle_1,
bank_1,
economic_19,
law_12,
law_2,
politics,
gold_15,
massachusetts_11,
war_16,
economics,
garden_8,
illinois_2,
energy_18,
wisconsin_2,
housing_14,
lifestyle_10,
invest_10,
bank_3,
war_2,
office_12,
war_7,
inc_6,
dividend_1,
union_17,
kentucky_7,
banking_10,
credit_8,
energy_12,
economic,
illinois_14,
society_19,
energy_3,
ceo_15,
firm_15,
court_19,
tennessee_12,
water_9,
markets,
law_15,
services_11,
travel_11,
health_1,
firm_13,
community_11,
products_5,
food,
housing_2,
ceo_18,
conflict_7,
office_7,
court_11,
greed_4,
illinois_16,
unemployment_12,
invest_12,
revenue_9,
freedom_8,
housing_11,
cash_15,
food_20,
stocks,
garden_14,
washington,
wisconsin_3,
stock market,
cash_16,
travel_18,
legal,
court_1,
home,
federal_15,
forex_6,
services_2,
water_3,
risk_18,
ceo_2,
credit_18,
energy_11,
corporation_3,
senate,
travel_2,
office_16,
office_11,
economic_9,
federal_12,
forex_17,
health_2,
nyse,
freedom_10,
dividend_5,
texas_17,
blacklist,
development,
court_18,
conflict_9,
ministry,
corporation_10,
conflict,
invest_8,
money_17,
garden_4,
fun_19,
lifestyle_5,
management_8,
lifestyle_7,
risk_8,
inc_8,
dividend,
vermont,
legal_15,
products,
freedom_11,
union_7,
money_3,
security_7,
dividend_2,
water_1,
markets_15,
wisconsin_18,
corporation_19,
community_5,
president,
ceo_19,
lifestyle_17,
pennsylvania,
forex_12,
markets_10,
greed_8,
housing,
revenue_16,
corporation_7,
garden_13,
economic_5,
firm_7,
fun_17,
gold,
greed_14,
housing_7,
office_9,
union_12,
tennessee_4,
legal_5,
money_13,
risk_4,
lifestyle_3,
forex_5,
cash_14,
banking_14,
housing_8,
union_18,
office_13,
project,
legal_18,
unemployment_3,
lifestyle_11,
health_14,
massachusetts_6,
services_15,
energy_14,
security_14,
happy,
kentucky_1,
credit_15,
legal_11,
food_2,
default,
fun_3,
health_11,
cash_11,
cash_5,
illinois_20,
garden_5,
credit_16,
bank_18,
oil_9,
dividend_13,
rare earths,
community_4,
unemployment_17,
inc_10,
tennessee_15,
financial,
management_4,
markets_8,
money_7,
housing_18,
credit_2,
wisconsin_7,
kentucky_13,
oil_13,
conflict_2,
management_14,
food_17,
gold_6,
banking_12,
massachusetts_14,
greed_19,
conflict_1,
bank_7,
law_19,
wisconsin_4,
gold_17,
greed_3,
legal_14,
court_16,
banking,
ceo_8,
forex_13,
freedom_12,
money_10,
community_6,
firm_17,
risk_16,
markets_19,
greed_5,
freedom_7,
