feature,feature_score
act_1,0.019686918279672228
bank_14,0.03274292008113792
bank_15,0.014951726761709687
bank_17,0.010069182117738594
bank_18,0.004879976345471953
banking_6,0.025336256967162993
bubble_7,0.010026070581266337
bubble_11,0.0038701140756100833
ceo_20,0.004116835077554778
committee_11,0.03534770943421147
crisis_5,0.035357593322038
crisis_7,0.015247983992018788
dow_jones_5,0.018260691923655203
governor_6,0.005434559785619351
governor_7,0.002442953741878164
lifestyle_4,0.03787751772387565
lifestyle_7,0.01959557449602958
short_selling_1,0.0014602976383763003
transaction_5,0.007543626041827218
transaction_17,0.037761390839506755
stocks_9,
ministry_18,
holiday_9,
ministry_17,
business_9,
kentucky_11,
kentucky_10,
war,
community_7,
services_18,
short_selling_7,
business_8,
management_13,
service_7,
social_5,
marketing_19,
ohio_1,
health_10,
society_2,
firm_19,
massachusetts_2,
holiday_1,
business_2,
transaction_11,
revenue_20,
greed,
marketing_15,
committee_8,
risk_15,
committee_5,
ohio_12,
lifestyle_19,
stocks_16,
marketing_12,
finance_4,
banking_16,
district_19,
investment_9,
stocks_1,
cancer_12,
finance_2,
credit_6,
culture_13,
portfolio_4,
representatives_9,
health_3,
community_10,
rights_2,
blacklist_14,
society_9,
holiday_10,
chance,
revenue_6,
ministry_3,
car,
legal_7,
stocks_7,
crisis_6,
district_12,
republican_4,
minister,
derivatives_16,
companies_7,
security_3,
society_6,
economic_7,
illinois_7,
legal_4,
secretary_5,
development_15,
housing_1,
marketing_18,
short_selling_12,
fed_6,
kentucky_20,
energy_9,
kentucky_15,
leverage,
train,
movie_2,
finance_13,
credit,
transaction_1,
debt,
development_11,
products_6,
earnings,
stocks_18,
federal_20,
legal_20,
management_6,
law_6,
credit_19,
senate_7,
short_selling_19,
pennsylvania_13,
cancer_13,
risk_9,
profit,
financial_2,
district_4,
secretary_15,
dow_jones_16,
culture_6,
office_6,
governor_13,
bubble_19,
illinois_10,
dow_jones_15,
banking_17,
forex,
bubble_1,
government_8,
society_15,
blacklist_8,
social_19,
conflict_14,
services_8,
carolina,
ohio_9,
bank_5,
financial_7,
opportunity_16,
banking_1,
community_14,
portfolio_11,
office_8,
technology_18,
business_15,
security_18,
act_20,
vermont_12,
bubble_18,
vermont_8,
rights_9,
legal_13,
debt_12,
rich,
ceo_14,
debt_2,
inc_11,
bubble_4,
committee_15,
law_4,
health_13,
crisis_3,
governor_3,
management_19,
management_20,
crisis_1,
culture_16,
risk_19,
society_13,
cancer_18,
services,
conflict_12,
movement,
holiday_18,
firm_12,
movie_8,
secretary_7,
committee_13,
products_15,
transaction_15,
culture_8,
act_5,
credit_3,
corporation_17,
investment,
energy_17,
unemployment_19,
office_18,
opportunity_12,
banking_18,
inflation,
lifestyle_18,
products_9,
unemployment_4,
government_6,
culture_18,
technology_1,
virginia_14,
derivatives_7,
massachusetts_5,
representatives_3,
transaction_8,
community_18,
union_10,
banking_9,
security_8,
act_18,
stocks_17,
risk_11,
illinois_15,
lifestyle_1,
bank_1,
service_17,
economic_19,
financial_15,
law_12,
portfolio_19,
politics,
crisis_15,
law_2,
representatives_13,
pennsylvania_10,
transaction_19,
investment_12,
dow_jones_12,
ministry_11,
massachusetts_11,
economics,
portfolio_5,
illinois_2,
representatives_1,
vermont_15,
pennsylvania_8,
energy_18,
housing_14,
government_5,
lifestyle_10,
committee_1,
bank_3,
act_10,
office_12,
service_4,
inc_6,
government_9,
holiday_3,
union_17,
service_15,
kentucky_7,
marketing_16,
ohio_13,
banking_10,
credit_8,
government_16,
stocks_8,
service_14,
global_5,
energy_12,
economic,
illinois_14,
society_19,
energy_3,
development_20,
finance_19,
ceo_15,
portfolio_17,
firm_15,
republican_14,
investment_11,
court_19,
investment_19,
council_12,
markets,
global_15,
law_15,
social_9,
act_17,
service_12,
act_11,
services_11,
rights_12,
act_3,
development_14,
government_20,
health_1,
movie_16,
firm_13,
global_10,
debt_1,
committee_7,
community_11,
transaction_6,
short_selling_18,
products_5,
blacklist_18,
food,
housing_2,
ceo_18,
committee_20,
holiday_6,
social_8,
conflict_7,
republican_10,
vermont_16,
office_7,
debt_4,
governor_10,
court_11,
illinois_16,
unemployment_12,
revenue_9,
pennsylvania_18,
government_1,
marketing_10,
secretary_4,
representatives_20,
cancer_3,
housing_11,
rights_5,
stocks,
technology_10,
business_13,
washington,
derivatives_4,
stock market,
senate_3,
legal,
court_1,
home,
senate_12,
technology_19,
services_2,
federal_15,
ministry_5,
risk_5,
governor_18,
secretary_3,
holiday_16,
act_2,
service_16,
short_selling_16,
risk_18,
dow_jones_1,
ceo_2,
credit_18,
energy_11,
investment_3,
corporation_3,
senate,
finance_12,
office_16,
office_11,
technology_13,
business_17,
finance_7,
economic_9,
federal_12,
rights_20,
debt_19,
virginia_10,
health_2,
district_16,
nyse,
culture_11,
blacklist,
marketing_8,
development,
court_18,
conflict_9,
ministry,
corporation_10,
conflict,
government_18,
vermont_19,
senate_14,
cancer_8,
lifestyle_5,
pennsylvania_11,
management_8,
companies_18,
technology_14,
risk_8,
inc_8,
dividend,
vermont,
representatives_19,
legal_15,
derivatives_5,
products,
finance_1,
finance_18,
representatives_10,
dow_jones_9,
union_7,
security_7,
finance_16,
ohio_15,
corporation_19,
community_5,
president,
ceo_19,
lifestyle_17,
opportunity_18,
pennsylvania,
technology_7,
portfolio_7,
cancer_11,
housing,
district_15,
fed_19,
culture_12,
revenue_16,
corporation_7,
ministry_6,
economic_5,
firm_7,
holiday_12,
ohio_18,
gold,
office_9,
senate_6,
union_12,
committee_2,
housing_7,
social_13,
legal_5,
district_9,
opportunity_8,
representatives_5,
risk_4,
governor_16,
lifestyle_3,
pennsylvania_9,
banking_14,
act_16,
crisis_20,
housing_8,
union_18,
government_15,
office_13,
project,
debt_5,
legal_18,
movie_3,
rights_18,
services_15,
lifestyle_11,
health_14,
massachusetts_6,
unemployment_3,
energy_14,
security_14,
happy,
kentucky_1,
secretary_17,
companies_14,
credit_15,
legal_11,
council_7,
business_19,
default,
health_11,
global_12,
senate_19,
vermont_4,
holiday_20,
virginia_16,
blacklist_4,
illinois_20,
vermont_1,
transaction_14,
credit_16,
council_4,
companies_12,
district_11,
marketing_1,
council_17,
rare earths,
community_4,
unemployment_17,
inc_10,
marketing_2,
cancer_4,
government_13,
investment_5,
financial,
derivatives_20,
management_4,
republican_7,
marketing_6,
crisis_12,
housing_18,
debt_8,
credit_2,
vermont_5,
investment_4,
kentucky_13,
service_6,
conflict_2,
management_14,
banking_12,
massachusetts_14,
fed_1,
government_4,
holiday_4,
conflict_1,
bank_7,
law_19,
development_9,
derivatives_1,
blacklist_16,
bubble_16,
legal_14,
fed_11,
district_5,
senate_10,
culture_3,
cancer_7,
court_16,
banking,
ceo_8,
republican_1,
holiday_13,
community_6,
firm_17,
risk_16,
opportunity_1,
short_selling_4,
finance_3,
corporation_11,
risk_7,
district_7,
district_8,
debt_20,
business_3,
success,
health_16,
stocks_6,
revenue_17,
government_19,
republican_20,
legal_9,
marketing_13,
republican_17,
virginia_19,
products_17,
crash,
government_10,
community_3,
house,
debt_7,
governor_11,
federal_3,
companies_17,
vermont_14,
governor_5,
court_17,
management_16,
social_2,
secretary_20,
unemployment_7,
council_10,
holiday_14,
corporation_13,
blacklist_13,
consume,
elections,
representatives_8,
firm_9,
firm_20,
secretary_14,
culture_10,
community_16,
revenue_3,
bubble_15,
bubble_14,
business_1,
pennsylvania_16,
debt_18,
blacklist_12,
government_14,
law_13,
debt_13,
transaction_9,
