feature,feature_score
chance_7,0.010939347126815517
chance_12,0.019515798198832916
color_4,0.02650749954895229
consumption_3,0.009660924534076815
consumption_10,0.004878286377545157
consumption_16,0.031089477603571586
consumption_17,0.01055781842523128
opportunity_19,0.0012565094712189155
ore_12,0.009709100460877486
wisconsin_17,
bonds,
fond_2,
invest,
sell,
corporation_15,
war,
fed_13,
fond_14,
chance_4,
bonds_19,
ring_6,
service_7,
risk_12,
greed_1,
vermont_7,
freedom_14,
bonds_8,
opportunity_10,
greed,
revenue_20,
growth_16,
risk_15,
william_4,
wisconsin_12,
greed_11,
william_16,
service_13,
ceo_9,
ore_14,
fed,
buy,
growth_20,
greed_12,
judge,
growth_12,
chance,
york,
freedom_19,
revenue_6,
risk_14,
service_10,
car,
growth_1,
minister,
short selling,
ore_16,
service_3,
growth_18,
freedom_4,
hedge,
wisconsin_20,
kitchen,
fed_18,
chance_13,
fed_6,
fond_8,
leverage,
fond_6,
ring_4,
bubble,
train,
ore,
credit,
corporation_2,
risk_6,
debt,
earnings,
fond,
color_17,
greed_16,
ore_11,
william_1,
earnings_16,
freedom_6,
ring_2,
ring_17,
revenue_7,
freedom_16,
profit,
fed_9,
risk_9,
justice,
revenue_12,
ore_2,
fond_13,
fond_4,
bonds_1,
freedom_5,
wisconsin_10,
trader_4,
environment_14,
portfolio,
ore_3,
political,
forex,
restaurant,
color_20,
growth_5,
chance_5,
fed_3,
federal,
carolina,
earnings_8,
money,
opportunity_16,
revenue_14,
global,
risk_1,
environment_12,
vermont_12,
fine,
color_1,
service_2,
party,
ore_19,
color_9,
service_5,
vermont_8,
ceo_17,
rich,
ceo_14,
vermont_6,
william_7,
bonds_3,
service,
community,
revenue_1,
ring_20,
revenue_19,
risk_19,
trader_9,
services,
corporation_12,
freedom_17,
trader_18,
seats,
movement,
ring_9,
fond_19,
trader_11,
investment,
corporation_17,
consumption_19,
fed_2,
fed_14,
inflation,
freedom_13,
opportunity_12,
chance_14,
service_11,
illinois,
chance_20,
firm,
ring_12,
risk_11,
chance_9,
service_17,
metals,
politics,
consumption_7,
environment_11,
fed_12,
economics,
greed_10,
vermont_15,
freedom_20,
earnings_20,
wisconsin_2,
color_19,
ltd,
earnings_14,
revenue_2,
fed_16,
service_4,
service_20,
chance_19,
case,
earnings_18,
service_15,
founded,
service_9,
william_5,
service_14,
economic,
law,
chance_15,
ceo_15,
growth_4,
growth_9,
ring_10,
million,
fed_20,
fond_1,
trader_12,
police,
fond_18,
markets,
earnings_1,
chance_16,
present,
service_12,
vermont_13,
tennessee,
growth_17,
environment_5,
headlines,
consumption_9,
inc,
ceo_16,
elected,
virginia,
greed_6,
food,
chance_11,
ceo_18,
environment_2,
union,
vermont_16,
fed_5,
trader_10,
greed_4,
color_11,
earnings_9,
revenue_9,
ring_18,
wisconsin_6,
william_13,
return,
freedom_8,
ore_5,
opportunity_13,
stocks,
bonds_12,
trader_3,
color_10,
bonds_18,
opportunity_14,
washington,
wisconsin_3,
stock market,
legal,
environment_3,
home,
corporation_20,
william_2,
ceo_7,
risk_5,
service_16,
