feature,feature_score
consume_20,0.000660589532413196
hedge_13,0.036500113871136365
risk_7,0.04044670550091346
sell_13,0.017343605789822518
sell_15,0.046773795321483916
stock_market_4,0.039053046562248804
crash_7,
stock_market_7,
community,
william,
movement_14,
consume_3,
lifestyle,
sell_6,
risk_18,
county,
hedge_4,
risk_14,
security,
investment_14,
industry,
opportunity,
sell_12,
consume_8,
market,
conflict,
economy,
crash_9,
consume_6,
seats,
rich,
crash_5,
consumption_3,
happy,
sell_19,
restaurant,
bank,
senate_14,
greed,
federal,
council,
consume_18,
risk_1,
debt,
crash_13,
markets,
economics,
unemployment,
hedge_5,
senate_2,
consumption_13,
economic,
consumption_9,
gold,
senate_18,
companies,
consumption,
democratic,
carolina,
risk,
corporation,
forex_6,
investment_2,
credit,
hedge_9,
movement_17,
movement_2,
sell_20,
BUY AND HOLD,
present,
movement_15,
portfolio,
movement_13,
consume_2,
risk_13,
risk_20,
project,
judge,
crash_17,
sell_16,
movement_18,
consume_11,
consumption_7,
car,
investment_20,
investment_3,
revenue,
cancer,
movement_11,
committee,
buy,
trader,
stock_market_20,
virginia,
senate_3,
crash_18,
forex_8,
stock_market_12,
senate_13,
forex,
massachusetts,
forex_14,
rights,
stock_market_13,
voters,
hedge_2,
bubble,
management,
vermont,
sell_17,
senate_10,
crash_10,
stock_market_18,
oil,
investment_13,
consume_16,
stock_market_16,
garden,
risk_6,
transaction,
housing,
sell_18,
stock_market_9,
derivatives,
consumption_11,
sell_4,
forex_11,
world,
war,
home,
service,
marriage,
consume_5,
banking,
sell_2,
investment_18,
governor,
college,
crash_1,
forex_16,
risk_11,
risk_17,
hedge_18,
forex_3,
sell_3,
sell,
movement_8,
stats,
wisconsin,
elections,
fed,
hedge_3,
elected,
hedge_10,
consume_14,
health,
crash_14,
consume_1,
law,
consume_10,
return,
movement_9,
senate_6,
georgia,
forex_18,
tourism,
consume_9,
senate_7,
investment_9,
stock_market_14,
sell_9,
forex_2,
ltd,
crash_4,
consumption_12,
investment_15,
stock_market_3,
consumption_17,
consumption_18,
media,
forex_5,
consume_17,
office,
senate_15,
consume_19,
investment_12,
chance,
financial,
loss,
union,
inc,
senate_19,
global,
consume_13,
hedge_7,
stock_market_11,
senate_1,
hedge_16,
consumption_4,
risk_3,
social,
ring,
hedge_6,
forex_1,
crisis,
technology,
returns,
consume_7,
stock_market_10,
risk_9,
investment_11,
senate_11,
consume_15,
crash,
investment_6,
stock_market_15,
blacklist,
leverage,
sell_10,
washington,
consumption_19,
sell_5,
movement_10,
stock_market_6,
success,
hedge_1,
senate_5,
crash_3,
ceo,
members,
ministry,
stock_market_8,
short sell,
products,
senate_16,
stock_market_5,
hedge_20,
risk_15,
risk_2,
million,
forex_19,
risk_10,
consumption_6,
missouri,
york,
stocks,
money,
dow jones,
ore,
hedge_11,
headlines,
investment_4,
religion,
hedge,
government,
risk_16,
crash_6,
crash_12,
movement_3,
forex_17,
risk_8,
society,
senate_9,
invest,
movie,
hedge_14,
hedge_15,
crash_16,
forex_13,
consumption_2,
investment_17,
risk_12,
movement_7,
consumption_5,
forex_4,
forex_10,
hedge_17,
district,
sell_7,
dividend,
election,
forex_20,
stock_market_1,
bonds,
travel,
ohio,
consume_12,
pennsylvania,
sell_1,
sell_11,
minister,
services,
investment_19,
inflation,
movement_20,
secretary,
hedge_8,
investment_7,
senate_20,
senate_8,
marketing,
legal,
forex_7,
finance,
crash_20,
gain,
act,
investment_1,
senate_17,
movement,
consumption_8,
hedge_19,
movement_16,
senate_12,
business,
founded,
tennessee,
kentucky,
holiday,
risk_19,
food,
crash_11,
senate_4,
stock_market_19,
labor,
consume_4,
votes,
DOW JONES,
energy,
stock_market_2,
crash_19,
cash,
culture,
justice,
firm,
water,
republican,
growth,
kitchen,
party,
stock_market_17,
illinois,
hedge_12,
risk_4,
consumption_20,
consume,
consumption_15,
movement_19,
stock market,
financial markets,
earnings,
political,
train,
investment_8,
nyse,
crash_8,
crash_2,
case,
representatives,
consumption_16,
profit,
risk_5,
environment,
house,
served,
consumption_1,
investment_16,
senate,
crash_15,
default,
nasdaq,
fond,
movement_5,
movement_4,
freedom,
forex_12,
arts,
movement_6,
court,
investment,
sell_8,
movement_1,
forex_15,
fun,
police,
texas,
politics,
development,
sell_14,
fine,
gains,
short selling,
movement_12,
investment_5,
forex_9,
consumption_14,
investment_10,
metals,
color,
rare earths,
consumption_10,
target_return,
president,
