feature,feature_score
bonds_5,0.018458358142069524
bonds_6,0.04089576076613952
bonds_8,0.03931477599408235
business_16,0.02493881499828617
carolina_11,0.026700910130030293
default_2,0.02854542603778178
labor_2,0.04726263585732036
labor_20,0.007161789824082785
secretary_6,0.008111725543296281
served_14,0.011154196778740135
served_19,0.0418096564349925
success_4,0.007407704935956261
success_14,0.012897939733985201
trader_10,0.04875752858473335
wisconsin_17,
ministry_18,
ministry_17,
case_10,
business_9,
kentucky_11,
kentucky_10,
war,
community_7,
case_14,
business_8,
industry_2,
labor_18,
ohio_1,
labor_7,
industry_4,
york_15,
firm_19,
massachusetts_2,
business_2,
greed,
revenue_20,
industry_9,
invest_15,
served_8,
movement_8,
texas_14,
headlines_6,
ohio_12,
hedge_14,
college_9,
profit_9,
movement_12,
markets_13,
hedge_17,
community_10,
markets_16,
chance,
revenue_6,
ministry_3,
car,
crisis_6,
political_11,
college_15,
cash_19,
minister,
hedge_4,
default_17,
return_12,
invest_19,
illinois_7,
political_17,
movement_4,
secretary_5,
invest_4,
justice_10,
texas_10,
nasdaq_6,
wisconsin_20,
kentucky_20,
leverage,
kentucky_15,
success_9,
train,
texas_16,
consume_7,
credit,
debt,
case_15,
earnings,
federal_20,
political_19,
texas_13,
pennsylvania_13,
profit,
secretary_15,
cash_13,
county_9,
office_6,
illinois_10,
default_10,
college_12,
served_4,
county_16,
headlines_4,
forex,
default_4,
government_8,
headlines_8,
hedge_2,
cash_4,
carolina,
ohio_9,
opportunity_16,
community_14,
office_8,
county_5,
business_15,
carolina_4,
headlines_18,
nasdaq_2,
vermont_12,
justice_14,
vermont_8,
debt_12,
rich,
college_2,
nasdaq_19,
debt_2,
return_1,
headlines_5,
county_3,
case_6,
crisis_3,
bonds_3,
cash_1,
texas_4,
county_11,
crisis_1,
trader_9,
services,
case_12,
york_17,
movement,
justice_6,
firm_12,
secretary_7,
trader_11,
investment,
york_4,
profit_15,
unemployment_19,
office_18,
inflation,
opportunity_12,
unemployment_4,
government_6,
political_13,
carolina_6,
texas_18,
movement_16,
massachusetts_5,
community_18,
political_5,
case_9,
invest_2,
illinois_15,
crisis_15,
politics,
political_6,
pennsylvania_10,
ministry_11,
massachusetts_11,
economics,
headlines_10,
illinois_2,
county_15,
labor_5,
vermont_15,
pennsylvania_8,
wisconsin_2,
government_5,
profit_4,
invest_10,
justice_1,
office_12,
government_9,
kentucky_7,
ohio_13,
government_16,
carolina_2,
headlines_17,
economic,
illinois_14,
nasdaq_7,
firm_15,
trader_12,
council_12,
political_10,
markets,
movement_17,
success_5,
consume_13,
government_20,
firm_13,
debt_1,
community_11,
case_16,
served_2,
crisis_7,
food,
case_13,
hedge_9,
served_20,
vermont_16,
office_7,
debt_4,
illinois_16,
default_15,
invest_12,
unemployment_12,
industry_13,
labor_4,
revenue_9,
pennsylvania_18,
government_1,
secretary_4,
nasdaq_10,
cash_15,
stocks,
bonds_12,
trader_3,
business_13,
washington,
wisconsin_3,
stock market,
college_1,
cash_16,
legal,
justice_17,
home,
federal_15,
ministry_5,
secretary_3,
consume_12,
senate,
office_16,
office_11,
business_17,
federal_12,
debt_19,
default_16,
profit_14,
nyse,
hedge_13,
blacklist,
texas_17,
development,
ministry,
conflict,
invest_8,
government_18,
york_7,
vermont_19,
bonds_10,
pennsylvania_11,
dividend,
case_20,
vermont,
products,
served_16,
return_17,
trader_8,
college_6,
headlines_11,
markets_15,
wisconsin_18,
ohio_15,
community_5,
president,
opportunity_18,
pennsylvania,
markets_10,
return_7,
nasdaq_4,
housing,
county_8,
revenue_16,
return_8,
ministry_6,
firm_7,
industry_18,
ohio_18,
gold,
office_9,
default_18,
opportunity_8,
default_12,
pennsylvania_9,
cash_14,
case_8,
county_13,
headlines_13,
hedge_6,
industry_6,
crisis_20,
college_14,
justice_3,
government_15,
carolina_13,
office_13,
project,
debt_5,
justice_18,
movement_18,
unemployment_3,
massachusetts_6,
return_3,
happy,
kentucky_1,
secretary_17,
industry_11,
council_7,
business_19,
success_6,
default,
nasdaq_17,
political_18,
vermont_4,
industry_3,
cash_11,
cash_5,
illinois_20,
council_4,
vermont_1,
council_17,
labor_6,
rare earths,
community_4,
unemployment_17,
financial,
government_13,
hedge_19,
return_11,
markets_8,
crisis_12,
debt_8,
