feature,feature_score
ceo_2,0.020585329086609674
conflict_17,0.016160580450383294
conflict_18,0.04679399733397411
conflict_19,0.024955336041521798
fed_7,0.04868929124766554
firm_13,0.002527619747183142
freedom_12,0.016731820103053126
freedom_13,0.0013169213129480104
global_14,0.018926987937221525
governor_8,0.03678088263767446
governor_15,0.007667294683824734
governor_16,0.02083858106500507
headlines_5,0.027752582331144703
kentucky_4,0.012251125076082656
marriage_14,0.026257932343091532
missouri_15,0.018675027220433387
representatives_5,0.02342195974628776
risk_11,0.0041414459531463705
stock_market_1,0.011384581118371023
pennsylvania,
home,
fine,
environment_10,
founded_3,
carolina,
risk_9,
illinois,
investment,
virginia,
ceo_7,
debt_17,
society_19,
crash_9,
judge_16,
leverage,
president,
color_16,
case,
founded_19,
global_9,
kentucky_6,
headlines_9,
county,
society_10,
environment,
bubble,
missouri_11,
kentucky_10,
money,
headlines_11,
buy,
college,
environment_9,
marriage_19,
crash,
representatives_15,
governor_7,
bank_10,
office_8,
legal,
elected,
environment_1,
community_10,
derivatives,
debt_1,
missouri_6,
management,
community_7,
unemployment_15,
marriage_13,
founded_6,
police_4,
marriage_6,
founded_4,
services,
debt_19,
firm_16,
global_12,
risk_20,
ceo_20,
environment_8,
bank_15,
crash_4,
governor_6,
bank_5,
missouri_17,
color_17,
committee,
environment_12,
bank_8,
bubble_10,
rich,
conflict_11,
governor_10,
representatives_20,
representatives_16,
kentucky_19,
police_16,
society_17,
dividend,
firm_12,
culture,
founded_20,
office_19,
fed_19,
marriage_2,
risk_19,
global_3,
stock_market_7,
ceo_19,
million,
portfolio,
color_14,
security,
police_10,
police,
representatives_3,
society_2,
bubble_5,
representatives_17,
marketing,
bubble_11,
environment_18,
missouri_9,
firm_18,
wisconsin,
debt_10,
founded_5,
environment_3,
founded_12,
community_20,
products,
party,
fed_20,
conflict_20,
kentucky_14,
headlines_14,
happy,
bank_11,
debt_3,
police_1,
kentucky_2,
success,
global_19,
short sell,
representatives_2,
conflict_1,
present,
votes,
growth,
firm_1,
missouri_3,
crash_3,
community_4,
founded_8,
senate,
district,
crash_14,
environment_17,
conflict_8,
community_2,
founded_14,
community_13,
return,
labor,
office_17,
society_20,
garden,
ceo_12,
crash_19,
bank_16,
political,
community_12,
conflict,
crash_8,
kentucky_7,
headlines_13,
judge_17,
bank,
default,
society,
bonds,
judge_3,
police_19,
governor_17,
missouri_20,
police_17,
missouri_4,
society_8,
unemployment_16,
kentucky_8,
crash_6,
bubble_3,
democratic,
freedom_1,
freedom_6,
crash_10,
police_14,
ceo_11,
loss,
governor_9,
bank_2,
marriage_1,
bubble_20,
conflict_15,
unemployment_19,
secretary,
founded_13,
global_4,
office_6,
governor_18,
dow jones,
headlines_12,
unemployment_17,
police_7,
act,
unemployment_20,
conflict_9,
office_13,
risk_4,
ceo_6,
bank_18,
society_13,
founded_10,
freedom_15,
fond,
consume,
color_10,
credit,
firm,
development,
police_5,
judge_9,
risk_6,
oil,
judge_13,
color_12,
crash_5,
risk_12,
kentucky_13,
stock_market_17,
judge_8,
marriage_18,
cash,
color_2,
police_6,
unemployment_2,
society_11,
missouri_10,
judge_18,
conflict_14,
office_16,
metals,
ceo_13,
freedom_14,
inflation,
global,
founded_16,
stock_market_13,
marriage,
william,
bubble_15,
banking,
crisis,
police_13,
office_10,
risk_17,
greed,
marriage_12,
stock_market_5,
missouri_2,
risk_1,
governor_14,
community_8,
headlines_20,
stock_market_4,
police_15,
bank_4,
revenue,
ceo_10,
governor_13,
ring,
office_1,
representatives_6,
color_1,
society_4,
debt_18,
color_3,
community,
service,
marriage_17,
fed_14,
marriage_8,
finance,
marriage_3,
global_5,
risk_15,
unemployment_13,
environment_4,
bank_20,
kentucky_5,
headlines_3,
food,
gold,
bubble_16,
society_16,
unemployment_9,
global_6,
conflict_7,
representatives_13,
environment_13,
color_9,
bubble_13,
unemployment_3,
community_16,
conflict_5,
governor_3,
office_2,
headlines_19,
fed_15,
target_return,
movement,
representatives_8,
technology,
risk_2,
forex,
financial,
freedom_7,
freedom_16,
society_9,
unemployment,
founded_15,
representatives_18,
stats,
police_20,
ceo_14,
trader,
society_1,
ceo_16,
missouri_1,
minister,
founded_7,
transaction,
society_6,
global_7,
headlines,
color_18,
stock_market_12,
war,
ceo_5,
office,
DOW JONES,
judge_12,
environment_7,
health,
kentucky_9,
crash_11,
gains,
color,
justice,
corporation,
crash_1,
crash_20,
governor_5,
fed_18,
firm_7,
headlines_16,
office_18,
police_12,
representatives_11,
stock_market_20,
global_13,
travel,
freedom,
gain,
bank_1,
bubble_18,
missouri_8,
headlines_1,
bubble_9,
crash_17,
police_18,
global_15,
founded_1,
environment_6,
sell,
community_1,
debt_9,
community_19,
firm_11,
governor_1,
bubble_17,
headlines_18,
risk,
firm_2,
project,
office_4,
bank_3,
society_3,
conflict_13,
debt_6,
firm_8,
stocks,
media,
environment_20,
freedom_8,
unemployment_11,
social,
firm_6,
community_6,
ceo_9,
judge_20,
police_8,
risk_13,
stock_market_3,
market,
judge_4,
environment_5,
headlines_10,
kitchen,
representatives_14,
invest,
stock_market_2,
office_20,
vermont,
conflict_16,
world,
conflict_2,
global_17,
stock_market_15,
washington,
debt_2,
restaurant,
risk_5,
judge_5,
bubble_1,
community_14,
companies,
rights,
fed_10,
missouri_16,
marriage_11,
office_15,
color_8,
judge_15,
society_5,
ceo_18,
representatives_10,
founded_11,
debt_4,
firm_4,
environment_15,
crash_15,
environment_11,
freedom_4,
kentucky,
debt_20,
color_20,
environment_14,
color_13,
founded_18,
global_2,
color_4,
global_11,
global_18,
religion,
risk_3,
georgia,
unemployment_1,
society_14,
color_5,
office_3,
crash_13,
ceo,
governor_11,
government,
society_7,
served,
earnings,
debt_14,
missouri_7,
bubble_4,
ceo_3,
fed_6,
ceo_8,
industry,
judge_6,
governor_2,
fed_16,
massachusetts,
ore,
missouri_18,
color_19,
stock_market_16,
bubble_6,
marriage_7,
business,
inc,
judge_11,
community_11,
fed_5,
risk_18,
governor,
fed_17,
economic,
movie,
stock market,
bubble_7,
