feature,feature_score
bubble_10,0.016376661426293907
buy_2,0.006760887889448159
carolina_4,0.043979476256025475
dividend_12,0.0010042590465711733
dividend_18,0.02007912949355692
financial_markets_9,0.04754962157434375
lifestyle_3,0.035900324674046954
opportunity_3,0.004234678118496245
ore_2,0.009526565458125044
seats_1,0.018621921808890298
seats_4,0.04869272325830522
seats_7,0.01177787293138019
served_10,0.019712643258697
seats_5,
home_9,
financial_markets_5,
illinois_2,
gold_13,
dividend_1,
politics_19,
trader_12,
DOW_JONES_1,
buy_4,
county,
home_7,
security,
fun_13,
georgia_12,
kitchen_3,
project_2,
DOW_JONES_4,
seats_19,
lifestyle_19,
carolina_6,
illinois_18,
bubble_19,
conflict,
seats_9,
seats,
served_12,
georgia_10,
illinois_10,
buy_7,
DOW_JONES_2,
bubble_5,
police_4,
financial_markets_4,
fun_4,
greed,
lifestyle_16,
financial_markets_10,
oil_15,
financial_markets_14,
council,
ore_6,
blacklist_2,
debt,
markets,
bubble_7,
politics_17,
committee_11,
police_1,
gold,
project_15,
carolina,
oil_18,
risk,
corporation,
buy_20,
seats_10,
credit,
buy_9,
dividend_9,
food_3,
police_20,
BUY AND HOLD,
dow_jones_14,
kitchen_15,
portfolio,
politics_13,
kitchen_6,
home_13,
committee_4,
dow_jones_17,
color_9,
project_11,
texas_2,
food_12,
oil_8,
judge,
trader_15,
trader_6,
buy_17,
committee_15,
firm_14,
served_5,
car,
texas_16,
fun_11,
cancer,
bubble_1,
seats_8,
fine_8,
ore_12,
oil_13,
trader_1,
kitchen_10,
virginia,
firm_2,
politics_7,
served_7,
forex,
dividend_20,
kitchen_17,
texas_5,
massachusetts,
home_10,
police_10,
money_15,
gold_18,
bubble,
management,
carolina_17,
vermont,
kitchen_7,
buy_11,
food_18,
georgia_14,
lifestyle_15,
opportunity_1,
blacklist_13,
oil_4,
home_1,
money_18,
texas_3,
oil,
dow_jones_7,
gold_2,
chance_19,
trader_19,
buy_13,
chance_13,
food_7,
buy_14,
georgia_4,
food_14,
lifestyle_13,
bubble_17,
bubble_18,
seats_12,
opportunity_8,
firm_17,
banking,
home_6,
gold_15,
college,
firm_5,
chance_15,
DOW_JONES_8,
politics_5,
wisconsin,
blacklist_3,
carolina_1,
gold_5,
project_16,
chance_14,
fine_9,
home_3,
party_6,
firm_18,
money_9,
health,
fine_4,
georgia_7,
law,
return,
home_12,
georgia,
illinois_14,
illinois_5,
firm_8,
bubble_3,
firm_10,
kitchen_1,
ltd,
politics_8,
food_13,
gold_12,
carolina_7,
oil_11,
gold_8,
party_19,
carolina_2,
blacklist_6,
committee_7,
committee_20,
buy_18,
illinois_1,
DOW_JONES_6,
ore_18,
financial,
trader_18,
loss,
fine_18,
union,
DOW_JONES_12,
money_4,
buy_5,
DOW_JONES_10,
party_15,
carolina_16,
food_5,
social,
opportunity_15,
ring,
crisis,
ore_20,
politics_1,
texas_11,
served_14,
food_17,
oil_2,
color_2,
carolina_3,
DOW_JONES_9,
DOW_JONES_15,
financial_markets_15,
fine_12,
lifestyle_2,
dow_jones_13,
financial_markets_17,
opportunity_14,
DOW_JONES_5,
fun_10,
illinois_20,
chance_20,
trader_20,
success,
food_1,
