feature,feature_score
ceo_3,0.011543120331624157
ceo_7,0.011192942450318141
democratic_3,0.042293657757513536
ministry_4,0.029338425763844548
ore_2,0.034405501138625894
ore_7,0.04644843213906775
returns_1,0.020789008178783062
returns_2,0.04011833103407103
stats_15,0.017530723950370898
stats_20,0.005962736906311132
world_5,0.03247978709941599
world_14,0.005062610787183327
pennsylvania,
office,
home,
ministry_5,
fine,
DOW JONES,
carolina,
democratic_12,
illinois,
investment,
virginia,
stats_16,
health,
short_selling_15,
banking_14,
gains,
leverage,
president,
color,
finance_14,
portfolio_15,
ore_17,
world_6,
ceo_15,
case,
stats_10,
justice,
corporation,
county,
stats_6,
BUY_AND_HOLD_3,
environment,
bubble,
short_selling_19,
democratic_11,
travel,
freedom,
buy_12,
money,
gain,
finance_18,
ore_5,
buy_17,
buy,
ministry_20,
ore_1,
college,
short_selling_14,
sell,
democratic_17,
BUY_AND_HOLD_20,
risk,
crash,
world_17,
ministry_13,
legal,
elected,
project,
BUY_AND_HOLD_8,
finance_19,
derivatives,
short_selling_7,
ministry_7,
banking_2,
BUY_AND_HOLD_13,
democratic_2,
stocks,
management,
buy_4,
banking_18,
finance_12,
media,
services,
world_4,
social,
BUY_AND_HOLD_19,
ceo_20,
ceo_9,
short_selling_2,
finance_7,
market,
portfolio_11,
committee,
rich,
kitchen,
democratic_10,
democratic_15,
invest,
banking_7,
dividend,
stats_5,
culture,
buy_1,
vermont,
world,
BUY_AND_HOLD_12,
world_3,
washington,
BUY_AND_HOLD_16,
short_selling_16,
ore_4,
restaurant,
world_9,
companies,
rights,
democratic_18,
ore_9,
short_selling_9,
ceo_19,
million,
ore_20,
ceo_18,
buy_7,
ore_19,
portfolio,
ministry_12,
security,
short_selling_12,
democratic_19,
police,
banking_17,
portfolio_14,
finance_13,
portfolio_4,
kentucky,
portfolio_20,
ministry_19,
marketing,
stats_13,
world_20,
returns_8,
religion,
georgia,
BUY_AND_HOLD_9,
short_selling_4,
ore_14,
democratic_6,
world_10,
world_11,
wisconsin,
ceo,
government,
buy_5,
BUY_AND_HOLD_5,
served,
earnings,
products,
party,
banking_3,
BUY_AND_HOLD_4,
ceo_8,
returns_4,
finance_11,
happy,
success,
short sell,
world_12,
industry,
buy_14,
ministry_11,
ore_12,
present,
ministry_10,
votes,
massachusetts,
ore,
finance_9,
world_7,
stats_14,
growth,
buy_3,
business,
inc,
BUY_AND_HOLD_14,
BUY_AND_HOLD_1,
governor,
senate,
buy_2,
district,
economic,
movie,
stock market,
world_2,
ministry_14,
portfolio_19,
finance_5,
short_selling_3,
stats_19,
BUY AND HOLD,
world_13,
return,
ministry_15,
labor,
debt,
york,
short selling,
finance_3,
finance_16,
ministry_2,
garden,
stats_7,
short_selling_10,
ceo_12,
law,
ore_6,
consumption,
political,
BUY_AND_HOLD_10,
fun,
world_19,
conflict,
buy_11,
lifestyle,
voters,
economy,
republican,
portfolio_8,
buy_16,
banking_8,
banking_4,
stats_11,
BUY_AND_HOLD_6,
elections,
missouri,
bank,
default,
society,
world_18,
democratic_1,
BUY_AND_HOLD_15,
bonds,
buy_19,
short_selling_20,
stats_9,
ltd,
short_selling_5,
nasdaq,
returns_12,
banking_12,
cancer,
democratic,
fed,
returns_16,
profit,
portfolio_3,
stats_4,
portfolio_18,
world_8,
world_15,
ceo_11,
loss,
returns_20,
founded,
returns_11,
ore_16,
returns,
portfolio_16,
short_selling_17,
ministry_6,
banking_16,
secretary,
texas,
returns_5,
portfolio_5,
stats_2,
dow jones,
stats_12,
representatives,
water,
act,
ceo_6,
buy_20,
council,
hedge,
banking_1,
BUY_AND_HOLD_2,
nyse,
stats_1,
fond,
consume,
election,
credit,
firm,
development,
democratic_4,
seats,
democratic_5,
returns_7,
oil,
returns_17,
banking_5,
banking_11,
federal,
ore_15,
cash,
ore_3,
markets,
portfolio_2,
financial markets,
buy_6,
democratic_9,
returns_13,
politics,
train,
buy_9,
finance_15,
democratic_7,
ceo_2,
returns_3,
portfolio_7,
metals,
ceo_13,
banking_15,
inflation,
banking_10,
finance_8,
global,
short_selling_1,
energy,
blacklist,
court,
buy_8,
BUY_AND_HOLD_17,
marriage,
ore_13,
BUY_AND_HOLD_11,
william,
portfolio_10,
banking,
crisis,
democratic_13,
greed,
arts,
finance_2,
stats_8,
short_selling_8,
revenue,
ceo_10,
returns_10,
democratic_16,
ring,
portfolio_13,
world_1,
opportunity,
ore_18,
buy_13,
portfolio_17,
short_selling_18,
banking_9,
democratic_20,
community,
returns_14,
service,
short_selling_13,
finance_1,
finance_17,
car,
buy_10,
ministry_18,
stats_17,
ministry_3,
finance,
banking_20,
ceo_17,
buy_15,
finance_10,
BUY_AND_HOLD_7,
ceo_4,
returns_18,
portfolio_1,
food,
gold,
banking_13,
democratic_14,
house,
finance_20,
ceo_1,
tennessee,
ore_11,
ministry_8,
banking_19,
target_return,
ministry_17,
movement,
portfolio_6,
technology,
returns_15,
short_selling_6,
forex,
stats_3,
finance_4,
members,
financial,
returns_19,
finance_6,
returns_9,
chance,
unemployment,
stats,
ministry_9,
ceo_14,
portfolio_12,
ohio,
tourism,
trader,
union,
ore_10,
ministry_1,
ceo_16,
minister,
short_selling_11,
rare earths,
housing,
judge,
transaction,
ministry,
ore_8,
stats_18,
ministry_16,
banking_6,
democratic_8,
holiday,
headlines,
economics,
buy_18,
world_16,
returns_6,
war,
ceo_5,
portfolio_9,
BUY_AND_HOLD_18,
