feature,feature_score
cancer_1,0.035057711417687924
corporation_4,0.0018442618857514926
development_3,0.046229100049692586
environment_9,0.011865699743649908
ltd_3,0.0448770568550249
members_3,0.00715782998231679
nasdaq_2,0.004897293438698129
nasdaq_5,0.0025396398671912943
nasdaq_9,0.047578342017989515
republican_20,0.009628512886556797
short_selling_17,0.026051302619962267
success_7,0.008382197887352333
votes,
york,
kentucky_16,
government,
success_14,
representatives_18,
nasdaq_19,
greed_14,
kentucky_18,
invest,
environment_15,
nasdaq_4,
banking_4,
banking_9,
kentucky_20,
greed_11,
judge_19,
kentucky_11,
growth,
judge_13,
republican_14,
cancer_14,
development_10,
consumption_18,
earnings,
stock market,
greed_1,
conflict,
cancer_11,
law_13,
founded_18,
freedom_6,
corporation_8,
housing_4,
secretary_18,
legal,
freedom_17,
cancer,
greed_6,
massachusetts_8,
derivatives,
gains_17,
founded_10,
holiday_12,
crisis,
buy,
housing_19,
consumption_9,
nasdaq_10,
court,
growth_9,
products_12,
success_19,
development_16,
social,
kentucky_1,
success_16,
development_9,
success_20,
consumption_7,
representatives_11,
stats_5,
stats_20,
fond,
BUY AND HOLD,
ltd_6,
members_19,
oil,
members_8,
secretary_11,
ring,
banking_7,
kentucky_9,
stats_2,
voters,
housing_10,
gain,
massachusetts_18,
banking_13,
judge_9,
nasdaq_20,
republican_15,
short_selling_3,
corporation_1,
stats_15,
stocks,
cancer_20,
gains_9,
inflation,
success_9,
greed_3,
consumption_19,
massachusetts_10,
ministry,
corporation_19,
freedom_8,
founded_12,
ceo,
republican_7,
nasdaq_15,
representatives_8,
services,
gold,
stats_1,
holiday_4,
law_14,
growth_1,
ltd_10,
republican_6,
success_2,
success_17,
freedom_3,
success_13,
fun,
representatives_17,
firm,
banking_16,
risk,
kentucky_4,
holiday_5,
freedom_18,
law_2,
founded_2,
members_4,
nasdaq_1,
financial markets,
gains_19,
corporation_11,
banking,
judge_5,
consumption_15,
trader,
cancer_5,
cancer_16,
founded_7,
holiday_9,
democratic,
consumption_8,
marriage,
committee,
gains_7,
law_6,
health,
banking_5,
seats,
freedom_10,
representatives,
holiday_20,
kentucky_10,
garden,
cancer_10,
short_selling_16,
vermont,
short_selling_20,
stats_11,
stats_6,
republican_10,
representatives_14,
cash,
house,
short_selling_14,
rich,
development_15,
environment_19,
development_20,
development_5,
profit,
consumption_2,
kentucky_2,
republican_13,
secretary_20,
success_12,
ohio,
products_1,
development_8,
gains_20,
development_18,
holiday_11,
nasdaq_8,
representatives_12,
environment,
nasdaq_7,
success_1,
economic,
ltd_4,
cancer_8,
DOW JONES,
gains_16,
short_selling_10,
secretary_4,
served,
kentucky_8,
environment_2,
representatives_6,
color,
members_1,
products_4,
crash,
republican_16,
banking_8,
freedom_12,
development_17,
members_14,
housing_5,
case,
products_15,
short_selling_7,
banking_15,
massachusetts_2,
nasdaq_3,
kentucky_3,
stats_9,
ltd_11,
train,
corporation_20,
nasdaq_17,
consumption_6,
greed_9,
ltd_15,
success_6,
sell,
judge_16,
kentucky,
law_15,
secretary_8,
products_7,
leverage,
holiday_15,
cancer_9,
investment,
gains,
holiday_6,
technology,
banking_1,
judge_2,
corporation_2,
environment_1,
cancer_6,
growth_14,
loss,
justice,
secretary_6,
politics,
representatives_5,
growth_18,
market,
judge_18,
gains_12,
banking_14,
judge_20,
greed_15,
gains_5,
development_7,
members_7,
consumption,
greed_19,
judge_8,
ltd_2,
housing_6,
corporation_3,
nasdaq_11,
william,
members_12,
chance,
republican_8,
gains_18,
housing_7,
republican_18,
food,
bonds,
elections,
cancer_4,
environment_7,
short_selling_2,
stats_10,
environment_20,
growth_19,
industry,
consumption_20,
corporation,
stats_16,
economy,
financial,
cancer_15,
greed_8,
greed_10,
massachusetts_6,
banking_6,
holiday_13,
governor,
kentucky_12,
revenue,
growth_20,
stats_7,
elected,
holiday_16,
freedom_11,
products_8,
ltd_19,
ltd_13,
energy,
cancer_2,
representatives_13,
banking_3,
products_16,
nasdaq,
stats_17,
cancer_18,
corporation_6,
headlines,
ltd_5,
ltd_8,
cancer_12,
massachusetts_13,
founded_8,
representatives_7,
environment_4,
gains_11,
holiday_3,
law_10,
development_1,
holiday_8,
greed_12,
freedom,
banking_11,
global,
president,
freedom_20,
stats_19,
massachusetts_20,
members_20,
corporation_13,
development_13,
founded_6,
growth_2,
secretary_15,
bank,
consumption_4,
debt,
greed,
freedom_16,
housing_8,
representatives_9,
massachusetts_15,
dividend,
freedom_13,
arts,
products_5,
consumption_12,
consumption_16,
banking_12,
founded_17,
republican_17,
kentucky_15,
members_10,
holiday_19,
massachusetts_9,
law_5,
holiday,
judge_10,
success_8,
massachusetts_4,
marketing,
founded,
cancer_19,
representatives_15,
holiday_1,
kitchen,
development,
religion,
greed_7,
judge,
massachusetts_11,
stats_4,
growth_13,
products_10,
short_selling_4,
ltd_20,
development_2,
cancer_13,
law_8,
members_5,
secretary_13,
products_9,
ltd_14,
ltd_1,
movie,
rights,
gains_10,
representatives_2,
money,
consumption_1,
members_13,
short_selling_12,
stats_13,
growth_15,
success_3,
massachusetts_19,
holiday_14,
products_17,
project,
secretary_16,
service,
texas,
society,
portfolio,
lifestyle,
gains_14,
representatives_20,
transaction,
massachusetts_1,
banking_20,
corporation_9,
secretary_10,
short_selling_18,
republican_11,
housing_16,
inc,
carolina,
virginia,
massachusetts_17,
success_15,
dow jones,
home,
success_10,
founded_14,
kentucky_14,
massachusetts_3,
secretary,
secretary_5,
members,
products_14,
republican_2,
present,
republican_1,
housing_12,
short_selling_19,
success_18,
growth_6,
republican_9,
bubble,
party,
judge_17,
development_11,
products_3,
cancer_7,
judge_7,
founded_19,
consumption_17,
banking_17,
judge_3,
environment_6,
republican,
products_20,
freedom_9,
kentucky_5,
banking_19,
consumption_13,
law_20,
growth_7,
products_18,
corporation_12,
short_selling_6,
founded_20,
target_return,
fine,
secretary_7,
law_19,
corporation_7,
members_6,
community,
washington,
union,
judge_1,
greed_18,
stats_18,
banking_18,
short_selling_5,
culture,
greed_5,
metals,
republican_5,
short_selling_13,
