feature,feature_score
DOW_JONES_3,0.014864578338784129
DOW_JONES_19,0.02091703553925253
DOW_JONES_20,0.014954549359935662
dow_jones_10,0.016406687969675957
dow_jones_18,0.035150679872280544
economic_6,0.003406976823353994
elected_10,0.020507525513899706
forex_9,0.012570807339682133
invest_2,0.03804712410506235
markets_2,0.04761959513586613
million_19,0.04909379178615453
minister_17,
success_19,
elected_16,
minister_8,
dividend_1,
DOW_JONES_1,
county,
security,
DOW_JONES_4,
finance_3,
success_5,
conflict,
seats,
dividend_12,
economic_10,
unemployment_10,
DOW_JONES_2,
ministry_17,
million_17,
markets_8,
greed,
invest_6,
oil_15,
present_4,
council,
debt,
markets,
revenue_7,
ceo_6,
gold,
elected_5,
ministry_2,
carolina,
million_10,
oil_18,
unemployment_12,
risk,
corporation,
credit,
dividend_9,
finance_16,
success_14,
BUY AND HOLD,
dow_jones_14,
minister_9,
portfolio,
rich_12,
dow_jones_17,
kentucky_6,
invest_14,
elected_14,
minister_11,
finance_9,
present_16,
oil_8,
markets_17,
judge,
finance_2,
success_3,
headlines_11,
kentucky_13,
car,
unemployment_20,
cancer,
revenue_11,
invest_1,
oil_13,
finance_6,
virginia,
forex,
dividend_20,
finance_10,
massachusetts,
forex_14,
ceo_8,
revenue_1,
bubble,
management,
vermont,
million_12,
elected_12,
minister_15,
oil_4,
oil,
kentucky_2,
ceo_9,
dow_jones_7,
finance_19,
markets_4,
kentucky_16,
minister_16,
invest_10,
minister_18,
rich_9,
success_13,
markets_6,
finance_1,
banking,
culture_1,
rich_18,
kentucky_12,
college,
forex_16,
forex_3,
culture_11,
DOW_JONES_8,
wisconsin,
health,
million_20,
present_7,
law,
return,
georgia,
revenue_12,
rich_20,
forex_2,
ltd,
kentucky_8,
culture_12,
oil_11,
present_15,
success_7,
ltd_11,
DOW_JONES_6,
markets_11,
present_9,
unemployment_5,
culture_17,
financial,
loss,
kentucky_7,
present_19,
union,
invest_12,
DOW_JONES_12,
invest_13,
DOW_JONES_10,
unemployment_7,
minister_7,
economic_20,
ceo_16,
social,
ring,
minister_4,
forex_1,
elected_18,
crisis,
success_2,
kentucky_14,
million_9,
present_6,
unemployment_4,
unemployment_18,
oil_2,
minister_13,
million_6,
DOW_JONES_9,
DOW_JONES_15,
invest_9,
culture_18,
dow_jones_13,
DOW_JONES_5,
success,
revenue_5,
ministry_18,
ceo,
members,
ministry,
headlines_2,
headlines_14,
present_12,
culture_19,
revenue_18,
revenue_9,
ministry_3,
DOW_JONES_7,
rich_13,
ministry_10,
york,
stocks,
rich_17,
ltd_3,
dow jones,
ore,
rich_5,
religion,
hedge,
government,
ceo_11,
kentucky_18,
ltd_13,
ltd_12,
society,
invest,
headlines_13,
movie,
culture_14,
minister_1,
success_6,
unemployment_9,
forex_13,
finance_5,
oil_6,
forex_4,
economic_4,
ltd_20,
dividend,
election,
ltd_16,
forex_20,
success_9,
dividend_2,
elected_8,
pennsylvania,
present_18,
minister,
elected_9,
markets_16,
dividend_7,
million_1,
oil_3,
elected_20,
ltd_6,
marketing,
legal,
ceo_17,
dividend_5,
finance_17,
million_3,
rich_6,
finance,
kentucky_9,
million_11,
headlines_16,
movement,
present_3,
business,
founded,
kentucky,
present_20,
holiday,
success_4,
food,
headlines_17,
minister_5,
labor,
present_5,
ceo_12,
finance_13,
ministry_7,
revenue_19,
DOW JONES,
unemployment_6,
cash,
unemployment_2,
culture,
justice,
culture_10,
firm,
dow_jones_16,
republican,
growth,
kitchen,
party,
ltd_1,
economic_3,
ministry_9,
dividend_6,
consume,
finance_15,
ltd_5,
financial markets,
political,
ministry_16,
nyse,
finance_4,
unemployment_13,
economic_1,
profit,
served,
dividend_11,
default,
nasdaq,
elected_3,
fond,
dow_jones_19,
markets_13,
ministry_19,
freedom,
success_17,
arts,
economic_19,
elected_13,
ceo_7,
invest_15,
million_4,
forex_15,
economic_2,
fun,
texas,
rich_3,
markets_15,
present_8,
ltd_19,
gains,
ltd_15,
short selling,
oil_1,
kentucky_19,
revenue_15,
headlines_3,
ministry_20,
color,
rare earths,
dow_jones_6,
target_return,
rich_11,
president,
invest_16,
ceo_4,
culture_4,
community,
william,
million_16,
lifestyle,
dividend_18,
headlines_7,
finance_14,
ceo_14,
headlines_4,
industry,
opportunity,
dow_jones_8,
economic_12,
market,
kentucky_4,
economy,
rich,
unemployment_17,
revenue_16,
dividend_19,
dow_jones_5,
million_5,
present_14,
happy,
restaurant,
bank,
elected_15,
minister_10,
federal,
success_1,
elected_7,
economics,
unemployment,
minister_2,
oil_14,
kentucky_10,
success_15,
elected_6,
dividend_16,
minister_3,
economic,
companies,
consumption,
million_13,
democratic,
markets_9,
finance_12,
forex_6,
headlines_9,
present_13,
present,
