feature,feature_score
DOW_JONES_3,0.008229577744530132
DOW_JONES_20,0.010389795414367447
banking_2,0.001492055668810133
banking_14,0.028260841606320686
banking_17,0.011809617205450419
business_5,0.03342004732043542
ceo_1,0.0026910012686512776
ceo_3,0.0011427158681766448
ceo_8,0.03792132820951455
ceo_13,0.00836751196364176
community_5,0.0020905109179267067
companies_5,0.0015682987446541676
companies_7,0.048679145637876925
corporation_3,0.04667453290428176
corporation_10,0.04302744498100607
county_6,0.02760213172290872
credit_12,0.005310313141288832
credit_15,0.0012539051216219927
credit_17,0.0074370514726984135
credit_18,0.0034674608115710416
crisis_6,0.018799335998969033
development_5,0.002164518687212536
development_8,0.00033321183390275737
district_5,0.007942897437208198
dividend_6,0.002891161706976972
economic_2,0.021622715925765024
economics_10,0.03130084135355526
fed_13,0.019229393933696475
federal_2,0.0070134986035476025
federal_5,0.04264758564890122
financial_9,0.01748230244298734
financial_10,0.0030008954219050005
forex_8,0.03307825729141718
forex_16,0.00299005353626295
government_6,0.012238830853959482
governor_2,0.01653659388639558
governor_5,0.001566990277248377
governor_11,0.0390090356234169
governor_12,0.013122852574152048
health_3,0.0025166345505789564
holiday_5,0.024269840195513884
inc_3,0.0032715811455257013
inc_4,0.04230594554378268
industry_10,0.011092991260387559
industry_11,0.0005698634333696285
industry_18,0.004845180263103967
industry_19,0.0041990439446157575
labor_12,0.0068659592858325525
labor_13,0.021811842204320305
law_5,0.0022482297272517072
markets_4,0.012638026623982885
movie_10,0.006934683540848765
nasdaq_7,5.7315448204389634e-06
oil_10,0.006616664709748313
oil_19,0.00037877939716849285
ore_5,0.046741233134887004
pennsylvania_3,0.032491667379223786
politics_5,0.020878103033866637
project_5,0.03794329572179809
returns_3,0.00025654554153082995
returns_5,0.005178478821366105
revenue_10,0.0036823016312893028
services_5,4.8337203830696626e-05
services_6,0.015355849468706557
society_5,0.04787976504990765
society_8,0.03897536914611433
texas_7,0.019519067319814218
travel_5,0.03314407143926695
washington_6,0.00011594552867834462
washington_7,0.00507132952483253
wisconsin_3,0.02319802828218522
york_6,0.0006324898863069291
market_18,
economic_12,
votes,
york,
kentucky_16,
government,
health_14,
social_10,
texas_10,
risk_20,
service_14,
police_16,
marketing_15,
nasdaq_19,
economic_8,
investment_13,
union_19,
marketing_13,
kentucky_18,
service_15,
labor_3,
investment_1,
invest,
college_14,
dividend_4,
markets_15,
crisis_8,
economic_14,
banking_4,
economics_6,
stock_market_9,
committee_8,
industry_20,
banking_9,
carolina_9,
services_4,
ceo_4,
district_9,
kentucky_20,
committee_17,
dow_jones_4,
services_15,
missouri_17,
movie_2,
committee_18,
color_17,
services_7,
ore_9,
dividend_3,
ohio_15,
earnings,
movie_14,
stock market,
council_9,
global_12,
arts_9,
stock_market_16,
carolina_19,
management_11,
society_20,
council_16,
risk_12,
legal,
illinois_10,
cancer,
returns_18,
government_9,
society_17,
movie_3,
founded_10,
holiday_12,
crisis,
nasdaq_10,
buy,
crisis_20,
court,
markets_11,
products_12,
development_16,
york_13,
social,
dow_jones_9,
arts_15,
labor_10,
society_1,
washington_10,
fond,
legal_3,
management_8,
BUY AND HOLD,
color_4,
stock_market_14,
market_6,
bank_8,
carolina_16,
industry_4,
DOW_JONES_10,
firm_20,
government_18,
management_17,
court_9,
color_14,
office_2,
secretary_11,
union_3,
forex_5,
federal_11,
revenue_6,
banking_7,
ceo_11,
arts_19,
county_14,
global_11,
police_10,
security_1,
kentucky_9,
wisconsin_9,
oil_12,
ohio_4,
social_11,
banking_13,
nasdaq_20,
oil_7,
revenue_18,
industry_2,
stocks,
legal_12,
water_2,
act_19,
forex_10,
firm_10,
inflation,
committee_14,
labor_17,
firm_5,
ministry,
travel_7,
dividend_5,
founded_12,
management_13,
inc_7,
college_17,
return_10,
social_5,
market_8,
ohio_5,
office_12,
business_13,
union_20,
nasdaq_15,
services,
nasdaq_5,
gold,
firm_14,
consume_3,
invest_5,
