feature,feature_score
governor_10,0.026181666476740157
governor_19,0.022065174662318263
holiday_15,0.03221548128410438
markets_2,0.02174702862524545
ministry_6,0.04861898855453879
rich_8,0.010071698816494105
success_6,0.0084647923587101
success_9,0.002320692266682276
water_19,
bonds,
ministry_18,
holiday_9,
ministry_17,
invest,
sell,
train_1,
success_16,
war,
profit_6,
greed_1,
rich_9,
seats_8,
opportunity_10,
holiday_1,
seats_18,
greed,
profit_5,
water_10,
greed_11,
success_14,
profit_9,
water_14,
markets_18,
water_16,
credit_6,
markets_13,
ceo_9,
fed,
buy,
blacklist_14,
kitchen_8,
markets_16,
greed_12,
judge,
holiday_10,
chance,
york,
success_1,
ministry_3,
car,
minister,
short selling,
governor_12,
train_4,
success_15,
hedge,
kitchen,
holiday_19,
leverage,
holiday_17,
seats_3,
seats_10,
bubble,
train,
ore,
governor_20,
credit,
train_20,
debt,
ltd_4,
earnings,
fond,
greed_16,
kitchen_12,
profit_20,
holiday_8,
credit_19,
profit,
justice,
train_7,
seats_16,
kitchen_17,
profit_1,
governor_13,
profit_2,
holiday_2,
portfolio,
rich_6,
political,
forex,
restaurant,
seats_1,
blacklist_8,
federal,
kitchen_3,
markets_12,
carolina,
money,
opportunity_16,
seats_11,
global,
rich_18,
fine,
party,
ceo_17,
rich,
ceo_14,
ltd_14,
governor_3,
service,
community,
services,
train_13,
seats,
credit_13,
movement,
holiday_18,
rich_12,
election_19,
credit_3,
investment,
election_17,
profit_15,
seats_6,
inflation,
opportunity_12,
credit_11,
blacklist_10,
illinois,
water_20,
kitchen_20,
credit_9,
firm,
ltd_2,
election_10,
metals,
politics,
train_18,
ministry_11,
success_3,
economics,
train_14,
greed_10,
credit_14,
markets_6,
ltd,
profit_4,
holiday_3,
case,
founded,
election_15,
credit_8,
rich_5,
water_8,
economic,
rich_19,
law,
blacklist_9,
ceo_15,
million,
water_9,
police,
seats_17,
markets,
kitchen_9,
present,
success_2,
success_10,
success_5,
blacklist_3,
tennessee,
headlines,
inc,
ministry_20,
ceo_16,
elected,
ltd_19,
virginia,
greed_6,
ltd_13,
blacklist_18,
food,
blacklist_19,
ceo_18,
holiday_6,
water_13,
governor_9,
rich_2,
union,
election_4,
greed_4,
profit_16,
train_6,
return,
opportunity_13,
rich_17,
stocks,
kitchen_4,
election_8,
opportunity_14,
washington,
stock market,
profit_10,
legal,
home,
rich_1,
ministry_5,
ceo_7,
seats_5,
governor_18,
kitchen_15,
holiday_16,
water_3,
ceo_4,
ceo_2,
credit_18,
train_17,
senate,
served,
governor_8,
kitchen_19,
ceo_6,
water_4,
water,
election_14,
election_16,
technology,
train_2,
ltd_9,
profit_14,
success_13,
nyse,
credit_5,
blacklist,
development,
ministry,
society,
ltd_3,
conflict,
ceo_11,
blacklist_11,
profit_11,
ltd_16,
profit_12,
ltd_18,
dividend,
DOW JONES,
greed_2,
vermont,
products,
holiday,
ohio,
texas,
health,
water_1,
markets_15,
rich_7,
kitchen_11,
president,
ceo_19,
