feature,feature_score
blacklist_12,0.027150623003556154
blacklist_19,0.03315692788862749
cash_9,0.04539758121815464
crisis_6,0.008779420549834932
debt_19,0.0291196264276133
earnings_17,0.012929662395982096
economics_20,0.0015171065872797548
election_2,0.004174439310876749
firm_15,0.009961775676536505
loss_20,0.01637198361814036
members_8,0.005649655949517866
returns_20,0.007084703941104372
risk_18,0.0410952947657607
vermont_2,0.01543671489494868
county_17,
vermont_7,
stock_market_7,
cash_13,
members_1,
loss_8,
members_4,
gains_12,
service_19,
county,
earnings_4,
security,
economics_17,
government_10,
county_10,
earnings_18,
returns_13,
cash_7,
bubble_19,
economics_14,
conflict,
seats,
government_9,
environment_11,
crisis_1,
election_7,
founded_5,
bubble_5,
police_4,
happy_1,
debt_10,
greed,
council,
blacklist_2,
gains_9,
debt,
risk_1,
markets,
banking_4,
bubble_7,
ceo_6,
democratic_14,
election_3,
economics_18,
police_1,
gold,
vermont_11,
ohio_18,
carolina,
risk,
corporation,
credit,
police_20,
debt_1,
banking_1,
election_12,
BUY AND HOLD,
portfolio,
banking_14,
debt_13,
founded_2,
county_19,
service_14,
happy_4,
judge,
election_13,
banking_20,
founded_11,
firm_14,
democratic_12,
ohio_7,
service_17,
car,
vermont_19,
gains_19,
cancer,
bubble_1,
environment_1,
cash_8,
service_20,
virginia,
election_14,
firm_2,
members_17,
returns_15,
forex,
massachusetts,
police_10,
ceo_8,
crisis_12,
returns_6,
bubble,
management,
government_15,
vermont,
founded_3,
vermont_15,
opportunity_1,
blacklist_13,
economics_8,
oil,
loss_12,
democratic_3,
ceo_9,
earnings_19,
risk_6,
earnings_3,
banking_11,
environment_3,
cash_1,
environment_19,
loss_13,
bubble_17,
bubble_18,
members_7,
members_13,
opportunity_8,
firm_17,
banking,
fond_7,
founded_6,
vermont_16,
college,
economics_6,
firm_5,
risk_11,
risk_17,
ohio_15,
democratic_17,
gains_10,
cash_2,
wisconsin,
blacklist_3,
founded_16,
vermont_17,
firm_18,
health,
founded_7,
law,
economics_13,
return,
democratic_9,
georgia,
crisis_2,
vermont_3,
cash_20,
happy_2,
service_6,
firm_8,
bubble_3,
firm_10,
stock_market_14,
ltd,
members_9,
cash_19,
election_15,
blacklist_6,
county_7,
opportunity_3,
government_11,
county_20,
vermont_18,
founded_9,
cash_12,
financial,
loss,
government_8,
union,
ohio_8,
banking_2,
loss_9,
fond_14,
ceo_16,
social,
fond_12,
ring,
opportunity_15,
risk_3,
crisis,
founded_8,
debt_4,
government_6,
stock_market_10,
founded_20,
government_1,
gains_7,
debt_12,
opportunity_14,
stock_market_6,
earnings_7,
success,
county_3,
fond_3,
ohio_10,
blacklist_20,
banking_10,
fond_9,
debt_17,
ceo,
members,
ministry,
county_14,
opportunity_16,
bubble_12,
opportunity_2,
government_18,
loss_19,
risk_2,
economics_15,
police_11,
police_15,
election_1,
firm_4,
service_16,
cash_4,
york,
stocks,
firm_13,
happy_8,
dow jones,
ore,
loss_10,
service_5,
religion,
hedge,
government,
ceo_11,
election_11,
government_13,
crisis_11,
blacklist_9,
society,
ohio_11,
invest,
economics_12,
movie,
police_16,
democratic_18,
risk_12,
gains_11,
government_17,
blacklist_16,
dividend,
election,
gains_14,
stock_market_1,
earnings_6,
pennsylvania,
earnings_2,
blacklist_14,
minister,
members_16,
environment_9,
founded_14,
service_11,
returns_1,
blacklist_11,
earnings_9,
marketing,
legal,
ceo_17,
democratic_20,
returns_3,
county_4,
finance,
environment_5,
earnings_5,
debt_8,
police_5,
cash_5,
movement,
returns_11,
business,
founded,
vermont_8,
kentucky,
holiday,
blacklist_5,
government_7,
food,
service_2,
vermont_9,
crisis_3,
bubble_2,
economics_4,
labor,
banking_7,
happy_12,
ceo_12,
DOW JONES,
happy_17,
gains_1,
returns_16,
stock_market_2,
vermont_1,
cash_16,
cash,
service_8,
culture,
justice,
blacklist_8,
firm,
democratic_2,
democratic_19,
fond_18,
republican,
growth,
kitchen,
returns_12,
party,
stock_market_17,
earnings_15,
election_5,
environment_14,
environment_4,
returns_10,
risk_4,
blacklist_1,
environment_13,
consume,
crisis_4,
democratic_8,
ohio_19,
debt_3,
financial markets,
political,
democratic_1,
election_16,
nyse,
election_19,
banking_5,
profit,
served,
firm_1,
fond_1,
firm_7,
default,
nasdaq,
fond,
founded_4,
loss_2,
freedom,
arts,
blacklist_18,
ceo_7,
county_12,
firm_16,
crisis_14,
government_3,
service_12,
blacklist_17,
debt_6,
banking_12,
fun,
texas,
vermont_14,
gains,
short selling,
democratic_13,
crisis_5,
opportunity_17,
government_5,
color,
rare earths,
founded_1,
target_return,
fond_16,
happy_14,
president,
founded_19,
ceo_4,
cash_10,
community,
bubble_16,
william,
vermont_4,
firm_9,
firm_19,
lifestyle,
happy_7,
fond_8,
risk_14,
ceo_14,
election_18,
vermont_10,
police_3,
industry,
opportunity,
happy_16,
returns_19,
market,
banking_13,
ohio_2,
fond_5,
bubble_20,
opportunity_19,
election_6,
economy,
cash_17,
banking_9,
debt_18,
bubble_8,
rich,
banking_19,
earnings_10,
gains_6,
firm_12,
returns_14,
happy,
restaurant,
bank,
fond_6,
federal,
debt_2,
gains_5,
economics,
unemployment,
fond_11,
fond_17,
economic,
companies,
consumption,
cash_3,
democratic,
democratic_7,
service_7,
blacklist_4,
gains_13,
returns_5,
opportunity_10,
present,
members_10,
service_18,
democratic_4,
government_19,
risk_13,
county_2,
happy_13,
risk_20,
police_13,
project,
fond_20,
county_11,
vermont_13,
vermont_12,
gains_17,
returns_8,
revenue,
ceo_20,
environment_6,
committee,
buy,
economics_7,
trader,
gains_4,
stock_market_20,
gains_16,
crisis_20,
stock_market_12,
happy_18,
environment_7,
economics_5,
rights,
bubble_6,
opportunity_11,
stock_market_13,
founded_13,
founded_10,
voters,
ohio_3,
happy_6,
fond_19,
fond_2,
happy_10,
stock_market_18,
environment_17,
blacklist_7,
debt_7,
environment_20,
service_10,
earnings_11,
environment_10,
garden,
stock_market_16,
loss_14,
members_14,
service_3,
members_2,
ohio_1,
opportunity_9,
transaction,
housing,
democratic_6,
crisis_16,
stock_market_9,
derivatives,
ceo_19,
economics_9,
economics_1,
world,
cash_15,
opportunity_7,
war,
earnings_16,
home,
service,
police_12,
marriage,
economics_3,
service_1,
ohio_13,
bubble_10,
returns_17,
governor,
earnings_14,
bubble_11,
election_8,
sell,
county_13,
police_6,
stats,
elections,
ceo_5,
founded_17,
fed,
ohio_5,
members_11,
elected,
crisis_9,
fond_15,
environment_15,
loss_15,
tourism,
banking_8,
crisis_17,
economics_16,
ohio_4,
election_4,
county_5,
stock_market_3,
gains_20,
earnings_20,
media,
crisis_10,
ohio_9,
government_20,
office,
bubble_15,
vermont_5,
police_9,
county_16,
ceo_10,
chance,
cash_14,
inc,
banking_17,
global,
stock_market_11,
technology,
banking_15,
debt_11,
loss_6,
returns,
crisis_8,
risk_9,
banking_6,
crash,
stock_market_15,
ceo_18,
vermont_6,
blacklist,
leverage,
ohio_6,
washington,
fond_13,
happy_9,
economics_19,
members_12,
firm_6,
opportunity_13,
crisis_7,
democratic_16,
stock_market_8,
short sell,
blacklist_10,
products,
stock_market_5,
police_19,
happy_3,
ceo_1,
gains_18,
loss_18,
risk_15,
loss_3,
vermont_20,
ohio_12,
million,
returns_9,
risk_10,
loss_17,
missouri,
economics_2,
money,
environment_8,
gains_15,
members_15,
election_9,
debt_15,
headlines,
opportunity_18,
county_15,
opportunity_4,
returns_2,
risk_16,
police_18,
risk_8,
earnings_13,
fond_10,
banking_16,
debt_16,
returns_4,
gains_8,
ohio_14,
firm_20,
police_2,
district,
government_2,
gains_2,
service_15,
bubble_9,
election_10,
bonds,
travel,
ohio,
loss_5,
earnings_1,
ohio_20,
opportunity_20,
economics_10,
bubble_13,
services,
returns_7,
banking_3,
inflation,
democratic_11,
crisis_18,
secretary,
county_6,
election_20,
members_6,
loss_1,
happy_15,
banking_18,
gain,
act,
loss_7,
loss_16,
crisis_13,
tennessee,
county_8,
risk_19,
members_18,
stock_market_19,
government_12,
founded_18,
votes,
crisis_15,
government_14,
energy,
county_1,
gains_3,
water,
cash_18,
service_9,
illinois,
debt_9,
environment_12,
opportunity_6,
police_8,
environment_16,
government_4,
cash_11,
happy_5,
founded_12,
stock market,
opportunity_5,
earnings,
train,
democratic_10,
founded_15,
risk_7,
government_16,
ceo_13,
county_9,
environment_2,
case,
ohio_16,
representatives,
members_5,
happy_11,
earnings_12,
risk_5,
environment,
house,
police_14,
opportunity_12,
senate,
bubble_14,
ceo_15,
debt_20,
fond_4,
happy_19,
ohio_17,
debt_5,
cash_6,
loss_4,
court,
loss_11,
police_17,
investment,
members_19,
economics_11,
blacklist_15,
members_20,
police,
democratic_15,
politics,
ceo_2,
development,
crisis_19,
firm_3,
members_3,
fine,
ceo_3,
debt_14,
earnings_8,
county_18,
firm_11,
police_7,
happy_20,
service_13,
stock_market_4,
metals,
election_17,
returns_18,
service_4,
environment_18,
bubble_4,
democratic_5,
