feature,feature_score
arts_13,0.00888575063839624
car_4,0.005584716999629591
carolina_12,0.023788331297075554
carolina_18,0.04023205488359304
ceo_7,0.011234638148105321
chance_1,0.01082951534053964
color_17,0.002824064741020703
companies_18,0.014895367384471342
financial_markets_1,0.01213338774079654
financial_markets_2,0.019461576485480594
financial_markets_3,0.007307237645494267
financial_markets_8,6.3136912045557985e-06
food_11,0.004670975112136524
garden_9,0.04118770632277712
hedge_1,0.005897270416925592
hedge_16,0.03105161208929697
home_10,0.00568283894420493
house_20,0.017485071362856104
inflation_15,0.00012376973370149748
invest_15,0.045380645149095074
invest_18,0.007441232715813065
invest_19,0.01659272032745133
kentucky_4,6.270952548696198e-05
market_10,0.0012969307089803848
members_8,0.0044263115811008094
members_9,0.015673599966611797
million_6,0.04663340425355084
party_16,0.026919479881908782
portfolio_3,0.010883323473638332
ring_7,0.039899902503085345
ring_18,0.0400915849826601
secretary_16,0.007661690853764094
secretary_19,0.002611024168868454
sell_15,0.03206884890053391
short_selling_1,0.03668023252793958
short_selling_5,0.01040709285841905
short_selling_12,0.0031826905212029603
success_3,0.0010055301789672478
success_4,0.016374158598716954
success_17,0.033391935292165276
transaction_12,0.047462973512676504
york_20,0.04766675298071426
car_20,
development_4,
carolina,
virginia,
car_11,
development_8,
gold_19,
health_2,
pennsylvania_3,
sell_9,
financial_markets_16,
leverage,
invest_16,
president,
inflation_11,
portfolio_15,
sell_18,
profit_20,
profit_11,
gold_15,
kentucky_6,
members_16,
bubble,
companies_11,
gold_3,
kentucky_10,
vermont_8,
money_17,
money,
movement_2,
case_5,
movement_8,
buy,
college,
financial_markets_11,
health_14,
loss_13,
pennsylvania_4,
management_15,
secretary_10,
crisis_12,
legal,
elected,
case_3,
loss_14,
market_9,
train_10,
derivatives,
chance_11,
house_10,
inc_13,
inflation_20,
inflation_8,
movement_5,
ring_19,
million_12,
banking_18,
home_13,
inflation_10,
million_10,
services,
case_8,
money_16,
million_17,
short_sell_12,
short_sell_15,
portfolio_11,
arts_20,
loss_19,
inc_1,
vermont_2,
bubble_10,
party_5,
kentucky_19,
sell_13,
short_sell_16,
dividend,
vermont_18,
culture,
short_sell_13,
kitchen_11,
arts_2,
short_selling_16,
companies_3,
york_1,
district_13,
case_11,
district_19,
vermont_1,
short_selling_9,
home_18,
trader_13,
gold_1,
garden_15,
portfolio,
case_18,
house_9,
loss_11,
arts_7,
color_14,
money_9,
banking_17,
portfolio_14,
profit_3,
movement_4,
gain_19,
arts_8,
movement_7,
carolina_15,
york_14,
financial_markets_14,
legal_2,
bubble_11,
development_2,
transaction_17,
inflation_16,
car_12,
court_1,
million_2,
world_11,
wisconsin,
kitchen_13,
transaction_5,
banking_3,
arts_14,
kentucky_14,
short_sell_19,
court_18,
happy,
vermont_19,
kentucky_2,
success,
crisis_6,
present,
trader_6,
votes,
district_20,
blacklist_2,
growth,
crisis_3,
tourism_5,
kitchen_20,
senate,
garden_10,
invest_9,
inc_7,
movement_12,
community_2,
community_13,
labor,
hedge_12,
blacklist_5,
short_selling_10,
carolina_19,
management_19,
conflict,
pennsylvania_6,
pennsylvania_16,
portfolio_8,
trader_9,
arts_16,
bank,
default,
society,
development_6,
crisis_15,
district_1,
bonds,
garden_4,
home_15,
million_5,
sell_1,
corporation_2,
freedom_1,
inc_11,
york_9,
freedom_6,
inc_18,
ceo_11,
invest_2,
market_4,
corporation_8,
chance_9,
bubble_20,
companies_8,
case_14,
car_5,
kitchen_8,
legal_20,
chance_6,
chance_19,
members_12,
success_20,
freedom_15,
fond,
case_16,
firm,
hedge_10,
oil,
color_12,
cash,
legal_11,
hedge_5,
money_4,
