feature,feature_score
DOW_JONES_19,0.04812116814962903
chance_3,0.0052225674001985
fed_11,0.04616990164790139
headlines_5,0.035664781257704226
headlines_13,0.023120909022499875
inflation_2,0.004429939642184712
kentucky_4,0.013344652403336862
million_7,0.033013313102119926
wisconsin_17,
stocks_9,
inflation_3,
business_9,
kentucky_11,
kentucky_10,
war,
community_7,
services_18,
business_8,
chance_4,
management_13,
service_7,
social_5,
marketing_19,
health_10,
firm_19,
business_2,
greed,
revenue_20,
marketing_15,
DOW_JONES_6,
risk_15,
texas_14,
headlines_6,
stocks_16,
marketing_12,
finance_4,
million_1,
banking_16,
college_9,
district_19,
investment_9,
nyse_9,
stocks_1,
finance_2,
credit_6,
markets_13,
DOW_JONES_3,
health_3,
bank_14,
community_10,
tourism_18,
markets_16,
chance,
tourism_7,
million_17,
revenue_6,
car,
legal_7,
stocks_7,
district_12,
college_15,
minister,
economic_7,
nyse_1,
legal_4,
development_15,
texas_10,
housing_1,
marketing_18,
wisconsin_20,
chance_13,
fed_6,
kentucky_20,
energy_9,
leverage,
kentucky_15,
train,
finance_13,
credit,
nyse_15,
texas_16,
debt,
development_11,
ltd_4,
earnings,
stocks_18,
federal_20,
legal_20,
management_6,
law_6,
credit_19,
texas_13,
risk_9,
profit,
financial_2,
district_4,
inflation_7,
dow_jones_16,
county_9,
office_6,
inflation_8,
college_12,
dow_jones_15,
banking_17,
county_16,
headlines_4,
forex,
DOW_JONES_11,
chance_5,
headlines_8,
DOW_JONES_4,
social_19,
services_8,
carolina,
bank_5,
financial_7,
banking_1,
community_14,
office_8,
county_5,
business_15,
headlines_18,
legal_13,
rich,
college_2,
tourism_8,
ceo_14,
inc_11,
law_4,
health_13,
county_3,
management_19,
management_20,
texas_4,
county_11,
million_5,
risk_19,
services,
movement,
firm_12,
inflation_19,
inflation_13,
credit_3,
investment,
corporation_17,
energy_17,
unemployment_19,
office_18,
inflation,
banking_18,
unemployment_4,
texas_18,
community_18,
union_10,
banking_9,
nyse_14,
ltd_2,
stocks_17,
risk_11,
bank_1,
economic_19,
law_12,
financial_15,
service_17,
law_2,
politics,
investment_12,
dow_jones_12,
million_11,
economics,
headlines_10,
county_15,
energy_18,
wisconsin_2,
housing_14,
bank_3,
office_12,
service_4,
inc_6,
union_17,
service_15,
kentucky_7,
marketing_16,
banking_10,
credit_8,
inflation_17,
global_5,
service_14,
headlines_17,
stocks_8,
energy_12,
economic,
energy_3,
development_20,
finance_19,
ceo_15,
firm_15,
investment_11,
court_19,
investment_19,
council_12,
markets,
global_15,
law_15,
inflation_15,
social_9,
chance_16,
service_12,
services_11,
development_14,
health_1,
firm_13,
ltd_19,
global_10,
community_11,
ltd_13,
inflation_5,
food,
housing_2,
DOW_JONES_13,
ceo_18,
social_8,
nyse_8,
million_13,
office_7,
court_11,
unemployment_12,
revenue_9,
inflation_6,
marketing_10,
housing_11,
stocks,
business_13,
washington,
wisconsin_3,
stock market,
college_1,
legal,
home,
court_1,
federal_15,
services_2,
risk_5,
service_16,
risk_18,
dow_jones_1,
ceo_2,
credit_18,
energy_11,
tourism_9,
investment_3,
corporation_3,
senate,
finance_12,
office_16,
office_11,
business_17,
finance_7,
economic_9,
federal_12,
health_2,
nyse,
district_16,
texas_17,
blacklist,
marketing_8,
development,
court_18,
ministry,
corporation_10,
conflict,
management_8,
risk_8,
inc_8,
ltd_16,
ltd_18,
dividend,
vermont,
legal_15,
products,
finance_1,
finance_18,
dow_jones_9,
union_7,
finance_16,
college_6,
headlines_11,
markets_15,
wisconsin_18,
corporation_19,
community_5,
president,
ceo_19,
chance_17,
pennsylvania,
markets_10,
housing,
district_15,
fed_19,
county_8,
revenue_16,
corporation_7,
economic_5,
firm_7,
gold,
housing_7,
office_9,
union_12,
social_13,
legal_5,
district_9,
risk_4,
county_13,
banking_14,
housing_8,
college_14,
union_18,
office_13,
project,
legal_18,
services_15,
unemployment_3,
health_14,
energy_14,
happy,
kentucky_1,
credit_15,
legal_11,
council_7,
ltd_20,
business_19,
default,
health_11,
global_12,
chance_18,
DOW_JONES_5,
tourism_14,
DOW_JONES_16,
council_4,
district_11,
credit_16,
bank_18,
marketing_1,
council_17,
rare earths,
community_4,
unemployment_17,
inc_10,
marketing_2,
investment_5,
financial,
management_4,
marketing_6,
markets_8,
housing_18,
credit_2,
wisconsin_7,
investment_4,
kentucky_13,
inflation_16,
service_6,
management_14,
tourism_17,
ltd_8,
banking_12,
fed_1,
development_9,
bank_7,
law_19,
wisconsin_4,
legal_14,
district_5,
court_16,
banking,
ceo_8,
community_6,
firm_17,
risk_16,
markets_19,
finance_3,
corporation_11,
district_7,
risk_7,
district_8,
business_3,
nyse_18,
success,
health_16,
stocks_6,
inflation_4,
revenue_17,
legal_9,
marketing_13,
chance_7,
crash,
community_3,
texas_6,
house,
federal_3,
nyse_6,
court_17,
inflation_20,
management_16,
social_2,
unemployment_7,
council_10,
inflation_18,
corporation_13,
inflation_14,
consume,
elections,
DOW_JONES_9,
firm_9,
county_12,
firm_20,
million_18,
community_16,
revenue_3,
business_1,
texas_5,
law_13,
revenue,
firm_3,
million_14,
stocks_15,
stocks_19,
corporation_8,
unemployment_13,
college_16,
headlines_7,
court_8,
business_10,
federal_6,
financial_13,
dow_jones_11,
management_17,
stats,
district_6,
DOW_JONES_14,
management_2,
union_15,
color,
energy_2,
unemployment_8,
county_10,
finance_8,
court_2,
short sell,
investment_15,
community_15,
tourism_4,
law_5,
business_12,
financial_4,
risk_3,
legal_17,
unemployment,
college_11,
texas_9,
global_7,
district_2,
wisconsin_14,
marriage,
markets_7,
world,
council_13,
financial_11,
corporation_18,
stocks_4,
economic_18,
district,
banking_4,
court_3,
religion,
media,
global_4,
financial_9,
loss,
dow_jones_3,
tourism_15,
financial_10,
chance_6,
investment_1,
marketing,
credit_1,
companies,
revenue_15,
social_18,
million_4,
million_10,
transaction,
development_6,
office_2,
william,
county_18,
energy_4,
risk_2,
office_17,
texas_12,
election,
college_13,
stocks_11,
governor,
inc_13,
ceo_5,
banking_8,
investment_18,
management_15,
financial_20,
unemployment_15,
social_17,
union_1,
missouri,
kentucky,
office_1,
corporation,
inflation_9,
district_13,
texas_7,
federal_17,
stocks_12,
investment_16,
kentucky_5,
legal_12,
management_3,
stocks_20,
fun,
development_10,
credit_17,
headlines_20,
credit_7,
revenue_8,
democratic,
DOW_JONES_7,
health_5,
housing_17,
members,
marketing_20,
court_13,
services_14,
government,
energy,
markets_9,
texas_11,
stocks_2,
county,
kentucky_8,
security,
dow_jones_10,
corporation_1,
inflation_12,
inc_9,
district_1,
federal_11,
legal_8,
revenue_13,
finance_5,
union_14,
federal_4,
development_12,
investment_2,
global_18,
housing_12,
banking_5,
law_14,
social_12,
opportunity,
inc_4,
investment_17,
housing_19,
bank,
marketing_17,
dow_jones_14,
community_9,
risk_10,
business_6,
risk_13,
chance_10,
office_14,
dow_jones_6,
law_18,
energy_7,
economic_12,
college_3,
DOW_JONES_20,
global_6,
headlines_16,
inc_20,
community_20,
marketing_9,
markets_4,
tourism_5,
office_4,
bonds,
council_1,
global_13,
financial_19,
global_14,
invest,
sell,
business_20,
corporation_15,
law_7,
fed_13,
unemployment_20,
global_1,
legal_3,
college_8,
risk_12,
kentucky_12,
county_19,
federal_13,
nyse_3,
unemployment_9,
wisconsin_12,
union_11,
law_17,
markets_18,
health_12,
service_13,
court_14,
ceo_9,
fed,
million_20,
million_2,
buy,
business_16,
county_1,
economic_4,
nyse_19,
federal_1,
judge,
york,
health_17,
risk_14,
service_10,
investment_7,
management_18,
court_4,
energy_10,
banking_20,
federal_19,
short selling,
service_3,
hedge,
firm_14,
kitchen,
unemployment_1,
fed_18,
bubble,
ore,
risk_6,
corporation_2,
stocks_14,
fond,
services_4,
finance_11,
firm_10,
banking_7,
financial_1,
council_5,
revenue_7,
fed_9,
justice,
court_9,
revenue_12,
health_7,
bank_10,
housing_15,
bank_2,
bank_9,
council_15,
financial_3,
social_7,
services_3,
wisconsin_10,
county_20,
office_19,
portfolio,
law_16,
political,
finance_10,
restaurant,
office_5,
fed_3,
headlines_19,
finance_6,
community_17,
union_4,
federal,
markets_12,
union_9,
money,
federal_9,
law_10,
revenue_14,
global,
risk_1,
office_10,
district_3,
dow_jones_7,
fine,
marketing_7,
service_2,
party,
service_5,
social_6,
headlines_1,
ceo_17,
energy_1,
law_9,
union_20,
district_14,
ltd_14,
inc_3,
development_8,
marketing_3,
dow_jones_13,
management_10,
social_14,
service,
economic_13,
community,
services_5,
economic_15,
revenue_1,
stocks_10,
revenue_19,
corporation_12,
investment_20,
seats,
global_11,
credit_13,
development_2,
college_18,
banking_2,
unemployment_2,
inc_7,
services_7,
fed_2,
community_2,
bank_13,
fed_14,
business_7,
chance_14,
service_11,
credit_11,
social_3,
illinois,
dow_jones_18,
headlines_14,
chance_20,
firm_5,
management_1,
credit_9,
firm,
tourism_2,
chance_9,
economic_14,
headlines_12,
metals,
development_13,
economic_2,
fed_12,
energy_5,
nyse_4,
DOW_JONES_2,
legal_19,
business_5,
inc_1,
college_5,
economic_6,
credit_14,
business_11,
markets_6,
