feature,feature_score
cash_2,0.01819728354796661
elected_1,0.03182961553003069
freedom_5,0.027347877435944922
growth_2,0.03892657823597368
labor_8,0.039827067369248695
markets_1,0.03392820741051254
markets_4,0.022106190767103403
senate_16,0.008141405820729255
bonds,
holiday_9,
invest,
sell,
metals_9,
corporation_15,
war,
gains_5,
metals_15,
senate_5,
financial_markets_1,
labor_18,
labor_7,
freedom_14,
holiday_1,
greed,
invest_15,
growth_16,
gains_15,
cash_20,
labor_2,
markets_18,
markets_13,
portfolio_4,
metals_10,
fed,
buy,
elected_19,
growth_20,
markets_16,
growth_12,
judge,
holiday_10,
chance,
york,
freedom_19,
gains_9,
car,
crisis_6,
growth_1,
cash_19,
minister,
invest_19,
short selling,
metals_19,
gains_6,
invest_4,
crisis_14,
growth_18,
freedom_4,
hedge,
housing_1,
kitchen,
nasdaq_5,
nasdaq_6,
senate_8,
holiday_19,
leverage,
holiday_17,
bubble,
train,
ore,
financial_markets_4,
credit,
corporation_2,
gains_12,
debt,
earnings,
fond,
freedom_6,
elected_16,
financial_markets_20,
invest_11,
holiday_8,
senate_7,
financial_markets_13,
crisis_11,
profit,
freedom_16,
justice,
secretary_15,
cash_13,
housing_15,
invest_16,
leverage_11,
leverage_6,
holiday_2,
portfolio,
political,
forex,
restaurant,
leverage_18,
growth_5,
financial_markets_11,
elected_10,
federal,
cash_4,
markets_12,
carolina,
financial_markets_18,
money,
portfolio_11,
global,
financial_markets_3,
nasdaq_2,
fine,
secretary_18,
party,
metals_18,
portfolio_3,
rich,
nasdaq_19,
portfolio_1,
crisis_3,
metals_12,
cash_1,
service,
community,
crisis_1,
metals_1,
services,
corporation_12,
freedom_17,
seats,
movement,
holiday_18,
leverage_5,
elected_12,
secretary_7,
investment,
corporation_17,
elected_11,
leverage_17,
crisis_19,
inflation,
freedom_13,
elected_15,
gains_1,
illinois,
gains_7,
leverage_15,
firm,
senate_18,
labor_20,
invest_2,
portfolio_19,
crisis_15,
metals,
politics,
elected_8,
metals_6,
economics,
portfolio_5,
labor_5,
freedom_20,
elected_2,
housing_14,
markets_6,
ltd,
invest_10,
metals_5,
nasdaq_18,
holiday_3,
case,
housing_6,
founded,
invest_5,
economic,
nasdaq_7,
law,
growth_4,
growth_9,
portfolio_17,
million,
police,
markets,
present,
financial_markets_10,
elected_7,
tennessee,
growth_17,
headlines,
inc,
leverage_8,
elected,
leverage_3,
virginia,
senate_13,
crisis_7,
food,
housing_2,
holiday_6,
union,
invest_12,
leverage_14,
labor_4,
secretary_4,
financial_markets_8,
secretary_6,
secretary_10,
return,
freedom_8,
housing_11,
cash_15,
nasdaq_10,
leverage_7,
stocks,
leverage_10,
cash_6,
washington,
secretary_9,
financial_markets_2,
stock market,
cash_16,
labor_12,
legal,
metals_13,
home,
corporation_20,
metals_20,
senate_3,
senate_12,
secretary_3,
holiday_16,
nasdaq_9,
corporation_14,
financial_markets_17,
corporation_3,
senate,
served,
elected_6,
water,
technology,
crisis_17,
nyse,
freedom_10,
blacklist,
development,
ministry,
society,
senate_15,
corporation_10,
conflict,
invest_8,
senate_14,
senate_11,
crisis_10,
dividend,
DOW JONES,
vermont,
products,
freedom_11,
holiday,
portfolio_20,
ohio,
secretary_8,
texas,
nasdaq_13,
health,
markets_15,
portfolio_10,
corporation_19,
president,
pennsylvania,
markets_10,
corporation_6,
holiday_11,
portfolio_7,
invest_6,
labor_15,
housing,
leverage_19,
nasdaq_4,
corporation_7,
holiday_12,
gold,
housing_7,
senate_6,
gains_11,
invest_9,
secretary_2,
culture,
leverage_9,
cash_9,
metals_16,
cash_14,
growth_7,
target_return,
crisis_20,
housing_8,
cash_18,
project,
gains,
voters,
republican,
financial_markets_5,
gains_18,
happy,
secretary_17,
secretary,
consumption,
cash_3,
holiday_5,
housing_16,
default,
nasdaq_17,
returns,
portfolio_6,
senate_19,
holiday_20,
cash_11,
economy,
cash_5,
labor_6,
rare earths,
metals_8,
financial_markets_19,
financial,
leverage_16,
markets_8,
crisis_12,
housing_18,
ceo,
markets_2,
ring,
cash_8,
housing_10,
labor_17,
invest_14,
holiday_4,
elected_4,
freedom_18,
growth_13,
secretary_5,
financial_markets_7,
financial_markets_12,
votes,
nasdaq_20,
senate_10,
banking,
freedom_12,
holiday_13,
markets_19,
lifestyle,
invest_20,
leverage_12,
freedom_7,
corporation_11,
labor_13,
movie,
housing_5,
success,
crisis_13,
crisis_16,
elected_17,
nasdaq_8,
financial_markets_6,
leverage_1,
portfolio_14,
nasdaq_16,
portfolio_8,
gains_17,
crash,
crisis_5,
house,
growth_19,
industry,
college,
wisconsin,
labor_1,
derivatives,
secretary_20,
nasdaq_14,
gains_16,
nasdaq_1,
court,
holiday_14,
corporation_13,
housing_20,
consume,
elections,
labor_19,
metals_7,
metals_17,
secretary_12,
secretary_14,
risk,
markets_14,
portfolio_16,
cash_17,
massachusetts,
labor,
markets_5,
gains_19,
gain,
revenue,
portfolio_12,
nasdaq_12,
corporation_8,
financial_markets_15,
business,
gains_10,
growth_3,
senate_2,
arts,
corporation_9,
elected_14,
housing_4,
rights,
stats,
holiday_7,
metals_14,
color,
georgia,
senate_4,
portfolio_2,
short sell,
nasdaq_11,
senate_9,
crisis_9,
freedom_15,
committee,
representatives,
metals_3,
metals_4,
unemployment,
elected_5,
freedom,
invest_1,
elected_3,
marriage,
markets_7,
growth_11,
cancer,
finance,
cash_7,
world,
travel,
nasdaq_15,
corporation_18,
growth_8,
district,
metals_2,
secretary_11,
corporation_5,
religion,
media,
financial markets,
housing_13,
loss,
invest_7,
garden,
labor_3,
leverage_2,
markets_11,
markets_3,
environment,
secretary_13,
office,
marketing,
growth_15,
companies,
portfolio_18,
labor_9,
labor_14,
transaction,
markets_20,
holiday_15,
portfolio_15,
senate_20,
growth_10,
william,
nasdaq,
crisis,
labor_16,
dow jones,
senate_1,
market,
election,
secretary_19,
financial_markets_16,
cash,
financial_markets_14,
governor,
crisis_4,
act,
freedom_3,
housing_3,
missouri,
financial_markets_9,
invest_13,
gains_13,
kentucky,
nasdaq_3,
council,
invest_18,
corporation,
tourism,
metals_11,
invest_3,
crisis_2,
fun,
secretary_1,
gains_3,
freedom_2,
portfolio_13,
gains_20,
democratic,
social,
housing_17,
members,
leverage_13,
government,
energy,
growth,
BUY AND HOLD,
cash_10,
markets_9,
crisis_8,
housing_9,
crisis_18,
gains_14,
corporation_16,
trader,
county,
growth_6,
security,
markets_17,
corporation_1,
invest_17,
elected_20,
management,
elected_13,
labor_10,
leverage_20,
gains_2,
freedom_1,
labor_11,
elected_18,
elected_9,
freedom_9,
leverage_4,
portfolio_9,
oil,
senate_17,
housing_12,
opportunity,
housing_19,
bank,
growth_14,
cash_12,
corporation_4,
gains_8,
secretary_16,
gains_4,
