feature,feature_score
color_4,0.022551560572951282
color_9,0.0020184834599639
color_11,0.04602500248661821
governor_4,0.014013181464472795
invest_2,0.026805254354399243
invest_6,0.007495540048012676
invest_8,0.0032284861557507006
leverage_2,0.024832837386973398
train_15,0.029592017868488495
loss_15,
stocks_9,
project_15,
sell_15,
project_17,
business_9,
train_1,
kentucky_10,
war,
missouri_2,
washington_10,
labor_18,
service_7,
social_5,
labor_7,
society_2,
sell_12,
restaurant_10,
oil_5,
revenue_20,
invest_15,
growth_16,
police_6,
movement_8,
risk_15,
water_10,
travel_19,
texas_14,
headlines_6,
ohio_12,
stocks_16,
marketing_12,
carolina_11,
finance_4,
oil_2,
success_14,
project_14,
investment_9,
markets_13,
health_3,
media_20,
travel_5,
rights_2,
growth_20,
markets_16,
society_9,
chance,
media_12,
revenue_6,
car,
stocks_7,
oil_10,
growth_1,
minister,
companies_7,
return_12,
secretary_5,
development_15,
invest_4,
nasdaq_6,
wisconsin_20,
judge_10,
energy_9,
kentucky_15,
fun_9,
finance_13,
credit,
texas_16,
debt,
georgia_11,
products_6,
earnings,
washington_11,
stocks_18,
federal_20,
law_6,
texas_13,
pennsylvania_13,
voters_15,
secretary_15,
train_7,
county_9,
environment_14,
default_10,
college_12,
party_1,
loss_3,
banking_17,
county_16,
forex,
growth_5,
government_8,
society_15,
judge_9,
carolina,
ohio_9,
bank_5,
earnings_8,
financial_7,
banking_1,
restaurant_3,
office_8,
county_5,
business_15,
security_18,
act_20,
headlines_18,
vermont_12,
color_1,
nasdaq_19,
food_11,
inc_11,
georgia_1,
car_19,
governor_3,
management_19,
management_20,
william_7,
bonds_3,
food_3,
county_11,
risk_19,
society_13,
market_1,
cancer_18,
services,
train_13,
firm_12,
election_19,
secretary_7,
products_15,
culture_8,
act_5,
corporation_17,
election_17,
restaurant_14,
banking_18,
products_9,
government_6,
culture_18,
virginia_14,
voters_16,
movement_16,
party_10,
water_20,
stocks_17,
risk_11,
bank_1,
financial_15,
politics,
environment_11,
economics,
headlines_10,
labor_5,
county_15,
representatives_1,
earnings_20,
wisconsin_2,
government_5,
bank_3,
act_10,
judge_6,
office_12,
service_4,
service_15,
marketing_16,
ohio_13,
party_14,
credit_8,
stocks_8,
service_14,
carolina_2,
headlines_17,
nasdaq_7,
georgia_3,
development_20,
finance_19,
loss_14,
democratic_19,
firm_15,
investment_11,
investment_19,
act_17,
movement_17,
act_11,
service_12,
missouri_17,
rights_12,
project_13,
environment_5,
leverage_8,
firm_13,
ltd_19,
products_5,
social_8,
vermont_16,
court_11,
invest_12,
labor_4,
marketing_10,
secretary_4,
representatives_20,
party_12,
housing_11,
nasdaq_10,
food_20,
leverage_10,
election_8,
wisconsin_3,
stock market,
legal,
environment_3,
court_1,
services_2,
governor_18,
act_2,
service_16,
water_3,
credit_18,
energy_11,
corporation_3,
election_16,
federal_12,
default_16,
health_2,
blacklist,
development,
car_9,
court_18,
conflict,
york_7,
sell_2,
washington_19,
cancer_8,
fun_19,
bonds_10,
judge_3,
dividend,
environment_19,
vermont,
representatives_19,
finance_1,
finance_18,
representatives_10,
return_17,
security_7,
college_6,
headlines_11,
environment_7,
corporation_19,
democratic_14,
community_5,
president,
restaurant_6,
pennsylvania,
markets_10,
environment_10,
cancer_11,
leverage_19,
revenue_16,
return_8,
corporation_7,
ohio_18,
office_9,
default_18,
market_11,
tennessee_4,
leverage_9,
banking_14,
restaurant_15,
media_15,
carolina_13,
project,
party_3,
health_14,
return_3,
secretary_17,
earnings_17,
loss_19,
food_2,
default,
fun_3,
color_14,
health_11,
global_12,
vermont_4,
present_13,
virginia_16,
illinois_20,
missouri_6,
vermont_1,
gain_16,
credit_16,
companies_12,
earnings_12,
bank_18,
labor_6,
rare earths,
community_4,
inc_10,
marketing_2,
government_13,
management_4,
markets_8,
election_1,
wisconsin_7,
vermont_5,
service_6,
present_7,
food_17,
ltd_8,
party_6,
banking_12,
massachusetts_14,
train_16,
missouri_14,
bank_7,
growth_13,
law_19,
wisconsin_4,
fed_11,
judge_16,
culture_3,
cancer_7,
washington_12,
success_8,
georgia_18,
finance_3,
corporation_11,
risk_7,
fun_10,
health_16,
missouri_16,
voters_10,
democratic_16,
environment_6,
environment_16,
nasdaq_16,
crash,
government_10,
federal_3,
food_10,
labor_1,
governor_5,
management_16,
water_18,
secretary_20,
bonds_11,
movement_10,
consume,
representatives_8,
county_12,
gain_9,
firm_20,
secretary_14,
william_20,
color_2,
food_4,
tennessee_14,
media_9,
william_17,
return_16,
car_16,
stocks_15,
water_17,
stocks_19,
corporation_8,
carolina_17,
governor_17,
present_11,
headlines_7,
court_8,
management_17,
william_18,
management_2,
color,
county_10,
portfolio_2,
security_12,
court_2,
short sell,
investment_15,
culture_9,
community_15,
society_3,
tennessee_11,
law_5,
risk_3,
governor_19,
party_19,
gain_6,
voters_13,
ohio_11,
college_11,
travel_4,
texas_9,
global_7,
wisconsin_14,
markets_7,
project_1,
project_8,
stocks_4,
party_17,
default_3,
products_12,
default_20,
global_4,
cancer_2,
cancer_5,
invest_7,
ohio_6,
bonds_6,
earnings_6,
marketing,
fun_4,
gain_3,
growth_15,
society_1,
companies,
representatives_2,
william,
labor_16,
county_18,
missouri_3,
energy_4,
office_17,
texas_12,
stocks_11,
tennessee_19,
companies_20,
virginia_18,
election_5,
governor_14,
banking_8,
investment_18,
loss_10,
financial_20,
missouri,
society_4,
water_7,
office_1,
act_15,
voters_20,
products_11,
federal_17,
investment_16,
security_2,
invest_3,
rights_14,
credit_7,
food_15,
massachusetts_4,
health_5,
marketing_20,
leverage_13,
media_13,
court_13,
security_9,
government,
markets_9,
security_1,
election_6,
tennessee_8,
pennsylvania_14,
texas_11,
train_11,
voters_11,
government_12,
stocks_2,
york_1,
water_12,
county,
car_14,
washington_1,
corporation_1,
massachusetts_18,
ohio_19,
invest_17,
movement_20,
finance_5,
party_5,
security_15,
federal_4,
tennessee_5,
products_10,
fun_14,
security_11,
housing_19,
bank,
business_6,
carolina_15,
fun_13,
law_18,
energy_7,
environment_18,
college_3,
global_6,
headlines_16,
inc_20,
marketing_9,
security_10,
washington_20,
sell_20,
bonds,
financial_19,
sell,
business_20,
success_16,
massachusetts_17,
fed_13,
ohio_8,
car_12,
bonds_19,
house_6,
products_14,
project_4,
risk_12,
representatives_4,
missouri_19,
federal_13,
return_15,
william_4,
wisconsin_12,
rights_10,
william_16,
water_16,
society_17,
products_13,
service_13,
missouri_1,
georgia_15,
fed,
business_16,
federal_1,
oil_20,
success_1,
act_8,
court_4,
rights_4,
illinois_8,
banking_20,
voters_3,
illinois_13,
default_8,
service_3,
growth_18,
hedge,
firm_14,
kitchen,
fed_18,
illinois_11,
stocks_14,
services_4,
earnings_16,
movement_11,
massachusetts_19,
washington_9,
banking_7,
invest_11,
sell_19,
oil_19,
justice,
court_9,
products_4,
health_7,
housing_15,
bank_2,
bank_9,
invest_16,
leverage_6,
wisconsin_10,
restaurant_7,
judge_17,
portfolio,
law_16,
political,
voters_12,
restaurant,
office_5,
democratic_15,
fed_3,
headlines_19,
finance_6,
car_8,
community_17,
federal_9,
law_10,
house_16,
products_20,
travel_10,
global,
office_10,
fine,
secretary_18,
representatives_12,
service_2,
party,
companies_8,
culture_5,
service_5,
social_6,
headlines_1,
portfolio_3,
law_9,
energy_1,
virginia_4,
ltd_14,
development_8,
marketing_3,
portfolio_1,
social_14,
service,
georgia_5,
community,
revenue_1,
stocks_10,
revenue_19,
corporation_12,
seats,
credit_13,
loss_7,
development_2,
college_18,
banking_2,
food_13,
food_1,
inc_7,
services_7,
companies_9,
fed_14,
restaurant_4,
society_14,
illinois_6,
social_3,
carolina_18,
headlines_14,
management_1,
credit_9,
headlines_12,
metals,
development_13,
train_18,
fun_11,
business_5,
college_5,
credit_14,
society_8,
color_19,
markets_6,
ltd,
illinois_19,
project_18,
global_17,
sell_1,
revenue_2,
food_14,
nasdaq_18,
fed_16,
house_7,
case,
security_6,
restaurant_12,
housing_6,
texas_2,
founded,
judge_5,
judge_12,
invest_5,
court_6,
representatives_11,
growth_9,
million,
car_7,
college_10,
police,
banking_19,
court_10,
earnings_1,
food_8,
financial_18,
success_2,
products_18,
police_15,
firm_11,
gain_1,
georgia_10,
democratic_7,
marketing_11,
council_11,
gain_8,
water_13,
massachusetts_8,
governor_9,
union,
oil_15,
tennessee_7,
return_5,
tennessee_3,
gain_12,
services_13,
secretary_6,
wisconsin_6,
william_13,
return,
