feature,feature_score
fed_10,0.02250562803630475
fed_16,0.03876062467677416
firm_4,0.0219900073989184
virginia_12,0.008730798992950404
virginia_3,
minister_17,
community,
minister_8,
william,
firm_9,
freedom_19,
firm_19,
lifestyle,
county,
freedom_15,
security,
industry,
opportunity,
gain_7,
gain_6,
market,
conflict,
economy,
economy_8,
seats,
fed_2,
gain_8,
rich,
freedom_11,
firm_12,
happy,
restaurant,
bank,
minister_10,
greed,
federal,
council,
debt,
economics,
markets,
freedom_14,
unemployment,
minister_2,
gain_14,
minister_3,
act_3,
economic,
companies,
gold,
consumption,
democratic,
carolina,
act_20,
risk,
corporation,
act_18,
virginia_8,
credit,
act_19,
present,
BUY AND HOLD,
minister_9,
portfolio,
freedom_9,
act_5,
economy_14,
minister_11,
freedom_18,
project,
judge,
firm_14,
car,
revenue,
act_9,
cancer,
economy_2,
committee,
virginia_2,
buy,
trader,
virginia,
firm_2,
act_12,
forex,
virginia_16,
massachusetts,
rights,
voters,
bubble,
management,
virginia_14,
vermont,
minister_15,
freedom_13,
gain_13,
oil,
garden,
fed_17,
freedom_17,
virginia_7,
transaction,
housing,
minister_16,
minister_18,
derivatives,
gain_5,
act_17,
fed_6,
freedom_8,
fed_12,
world,
war,
home,
service,
firm_17,
marriage,
banking,
freedom_6,
gain_4,
gain_16,
governor,
college,
firm_5,
act_15,
fed_7,
gain_3,
sell,
freedom_16,
gain_9,
stats,
wisconsin,
elections,
fed,
gain_18,
elected,
firm_18,
health,
law,
return,
virginia_9,
georgia,
tourism,
economy_6,
economy_5,
firm_8,
firm_10,
ltd,
economy_7,
act_13,
economy_10,
media,
office,
act_4,
chance,
financial,
loss,
freedom_2,
union,
inc,
global,
gain_19,
freedom_5,
minister_7,
freedom_7,
act_14,
social,
ring,
minister_4,
fed_1,
crisis,
technology,
returns,
virginia_10,
act_7,
minister_13,
crash,
fed_15,
blacklist,
leverage,
economy_19,
economy_9,
economy_15,
washington,
fed_19,
virginia_13,
virginia_4,
gain_12,
gain_11,
fed_8,
firm_6,
success,
virginia_6,
ceo,
members,
ministry,
freedom_4,
minister_14,
short sell,
products,
economy_18,
virginia_11,
act_2,
million,
missouri,
minister_20,
york,
act_11,
stocks,
gain_1,
money,
freedom_20,
firm_13,
dow jones,
ore,
virginia_19,
headlines,
religion,
hedge,
government,
economy_17,
society,
virginia_18,
invest,
movie,
minister_1,
virginia_17,
economy_12,
firm_20,
gain_20,
district,
dividend,
election,
bonds,
travel,
fed_3,
ohio,
pennsylvania,
minister_19,
minister,
firm_15,
economy_3,
freedom_1,
economy_13,
services,
inflation,
minister_6,
secretary,
marketing,
legal,
finance,
virginia_5,
gain,
act,
gain_10,
movement,
act_8,
business,
founded,
tennessee,
kentucky,
holiday,
act_1,
food,
minister_5,
labor,
act_16,
economy_4,
votes,
DOW JONES,
energy,
fed_4,
cash,
economy_1,
culture,
justice,
water,
firm,
republican,
growth,
kitchen,
party,
virginia_1,
illinois,
virginia_20,
freedom_10,
consume,
act_6,
gain_17,
stock market,
financial markets,
earnings,
political,
train,
nyse,
case,
representatives,
fed_20,
profit,
act_10,
environment,
house,
served,
firm_1,
virginia_15,
senate,
firm_7,
default,
nasdaq,
fed_14,
fed_18,
fond,
gain_2,
fed_13,
freedom,
arts,
gain_15,
court,
economy_11,
investment,
firm_16,
freedom_12,
fun,
police,
economy_20,
texas,
politics,
economy_16,
development,
firm_3,
fine,
firm_11,
gains,
fed_5,
short selling,
fed_11,
fed_9,
metals,
color,
rare earths,
freedom_3,
target_return,
minister_12,
president,
