feature,feature_score
DOW_JONES_2,0.04321672308351111
DOW_JONES_3,0.0006055836042957084
dividend_15,0.0009175267877669409
happy_10,0.02153689233141322
happy_20,0.0347356580587233
markets_11,0.00898385026472651
money_1,0.03222260694225367
pennsylvania,
hedge_20,
markets_10,
bonds,
democratic_11,
DOW_JONES_12,
housing,
money_2,
invest,
sell,
kentucky_11,
gold_19,
rich_16,
kentucky_10,
war,
happy_14,
gold,
dividend_6,
senate_5,
senate_6,
rich_14,
ring_6,
money_13,
kentucky_12,
culture,
rich_9,
happy_19,
served_18,
ring_16,
greed,
served_8,
happy_7,
DOW_JONES_6,
hedge_6,
banking_14,
target_return,
banking_16,
hedge_14,
served_15,
markets_18,
project,
dividend_8,
gains,
markets_13,
voters,
hedge_17,
republican,
fed,
happy_17,
banking_15,
happy,
kentucky_1,
democratic_5,
buy,
markets_16,
secretary,
consumption,
judge,
chance,
kentucky_14,
york,
default,
returns,
kentucky_4,
served_5,
car,
senate_19,
DOW_JONES_5,
DOW_JONES_16,
minister,
banking_20,
money_8,
economy,
hedge_4,
democratic_9,
dividend_13,
rare earths,
short selling,
financial,
dividend_14,
hedge_19,
gold_5,
hedge,
kitchen,
senate_8,
markets_8,
money_7,
ring_11,
kentucky_20,
leverage,
kentucky_15,
ring_4,
bubble,
ceo,
DOW_JONES_10,
train,
DOW_JONES_17,
ore,
kentucky_13,
credit,
markets_2,
ring,
markets_9,
debt,
gold_6,
banking_12,
earnings,
fond,
served_19,
gold_17,
money_19,
banking_7,
ring_2,
votes,
ring_17,
senate_7,
profit,
senate_10,
dividend_9,
justice,
banking,
dow_jones_16,
money_10,
served_1,
democratic_17,
dow_jones_2,
gold_1,
democratic_13,
markets_19,
lifestyle,
dividend_3,
portfolio,
dow_jones_15,
rich_6,
movie,
banking_17,
happy_13,
success,
served_4,
gold_12,
political,
ring_5,
forex,
restaurant,
happy_18,
DOW_JONES_11,
democratic_15,
democratic_16,
happy_5,
hedge_2,
democratic_8,
money_20,
crash,
DOW_JONES_4,
federal,
hedge_10,
kentucky_16,
house,
markets_12,
carolina,
industry,
college,
wisconsin,
money,
banking_1,
happy_2,
derivatives,
global,
rich_18,
kentucky_2,
court,
dow_jones_7,
kentucky_6,
fine,
democratic_3,
rich_11,
party,
consume,
elections,
DOW_JONES_9,
democratic_1,
rich,
banking_11,
risk,
dividend_11,
happy_9,
markets_14,
happy_11,
dividend_18,
massachusetts,
gold_9,
dow_jones_13,
labor,
markets_5,
democratic_18,
dividend_10,
service,
kentucky_3,
community,
gain,
revenue,
money_9,
rich_8,
ring_20,
dividend_7,
services,
seats,
business,
senate_2,
movement,
rich_12,
gold_20,
ring_9,
arts,
banking_2,
dow_jones_11,
happy_16,
rights,
stats,
investment,
DOW_JONES_14,
served_7,
color,
georgia,
inflation,
banking_18,
senate_4,
money_14,
money_5,
gold_16,
illinois,
dow_jones_18,
short sell,
hedge_5,
senate_9,
hedge_18,
dividend_4,
dividend_17,
banking_9,
money_12,
firm,
committee,
representatives,
ring_12,
senate_18,
gold_2,
served_10,
gold_11,
metals,
politics,
gold_15,
unemployment,
freedom,
gold_10,
dow_jones_12,
kentucky_17,
served_3,
marriage,
dividend_16,
economics,
markets_7,
cancer,
finance,
world,
travel,
markets_6,
ltd,
democratic_2,
markets_1,
district,
happy_8,
banking_4,
religion,
media,
case,
dividend_1,
financial markets,
kentucky_7,
loss,
founded,
banking_10,
dividend_20,
rich_5,
garden,
dow_jones_3,
DOW_JONES_15,
economic,
rich_19,
money_18,
markets_3,
environment,
DOW_JONES_1,
law,
kentucky_19,
ring_1,
democratic_6,
happy_6,
office,
democratic_19,
marketing,
money_16,
dow_jones_5,
ring_10,
million,
companies,
hedge_16,
money_6,
transaction,
police,
markets_20,
markets,
banking_19,
banking_6,
senate_20,
william,
nasdaq,
crisis,
present,
democratic_10,
gold_4,
served_14,
dow jones,
senate_1,
dividend_19,
market,
election,
dow_jones_4,
tennessee,
cash,
dividend_12,
kentucky_18,
headlines,
governor,
inc,
banking_8,
elected,
democratic_4,
served_11,
rich_15,
virginia,
democratic_7,
act,
served_2,
senate_13,
gold_7,
food,
missouri,
ring_19,
rich_20,
DOW_JONES_13,
hedge_9,
kentucky,
rich_10,
rich_2,
money_11,
union,
served_20,
hedge_3,
council,
dow_jones_17,
corporation,
hedge_12,
gold_3,
ring_18,
hedge_7,
rich_13,
tourism,
kentucky_5,
DOW_JONES_18,
ring_3,
DOW_JONES_8,
dow_jones_8,
ring_15,
fun,
gold_14,
rich_3,
return,
rich_17,
democratic,
stocks,
DOW_JONES_7,
served_6,
social,
gold_8,
members,
washington,
gold_13,
government,
stock market,
senate_3,
energy,
legal,
growth,
home,
BUY AND HOLD,
rich_1,
hedge_8,
senate_12,
ring_13,
dow_jones_20,
ring_7,
trader,
happy_3,
county,
dow_jones_1,
hedge_15,
kentucky_8,
security,
served_9,
dow_jones_10,
markets_17,
happy_12,
senate,
served,
rich_4,
senate_16,
water,
technology,
money_15,
management,
democratic_20,
served_13,
hedge_13,
nyse,
dividend_5,
hedge_1,
blacklist,
hedge_11,
development,
money_4,
ministry,
ring_8,
society,
banking_3,
senate_15,
conflict,
money_17,
oil,
senate_17,
happy_4,
senate_14,
banking_5,
kentucky_9,
happy_15,
opportunity,
served_17,
bank,
dow_jones_14,
senate_11,
dividend,
DOW JONES,
dow_jones_6,
vermont,
dow_jones_19,
served_12,
products,
served_16,
gold_18,
holiday,
dow_jones_9,
DOW_JONES_20,
happy_1,
money_3,
ohio,
texas,
markets_4,
dividend_2,
health,
markets_15,
rich_7,
democratic_14,
democratic_12,
banking_13,
president,
ring_14,
DOW_JONES_19,
