feature,feature_score
banking_10,0.025330622968289508
earnings_6,0.0376024025947774
earnings_7,0.044148474929070036
financial_markets_1,0.0316157003464087
founded_17,0.008331277841015521
fun_7,0.04715024661063342
fun_17,0.042436864818284764
minister_1,0.01150198103645273
minister_8,0.04351944616315517
opportunity_2,0.04691632135129659
opportunity_15,0.03649345082938899
revenue_4,0.011080056718794562
transaction_19,0.02124801939928072
wisconsin_17,
bonds,
house_1,
loss_15,
fond_2,
marriage_12,
ministry_17,
ministry_18,
stocks_9,
fine_16,
invest,
case_10,
sell,
fine_1,
case_17,
house_4,
war,
case_14,
transaction_3,
fond_14,
ring_4,
religion_18,
house_6,
products_3,
ring_6,
products_14,
marketing_19,
transaction_17,
health_10,
society_2,
opportunity_10,
greed,
revenue_20,
transaction_11,
loss_16,
federal_13,
marketing_15,
police_6,
religion_2,
society_10,
founded_3,
political_12,
wisconsin_12,
stocks_16,
marketing_12,
finance_4,
million_1,
banking_16,
police_7,
rights_10,
political_9,
society_17,
stocks_1,
products_13,
finance_2,
forex_9,
gain_10,
health_12,
court_14,
minister_15,
police_2,
health_3,
fed,
happy_17,
tennessee_5,
million_20,
million_2,
buy,
rights_2,
federal_1,
judge,
society_9,
chance,
fine_3,
york,
million_17,
founded_11,
ministry_3,
marriage_9,
revenue_6,
health_17,
religion_13,
car,
gain_4,
court_4,
energy_10,
political_11,
rights_4,
forex_4,
stocks_7,
marriage_11,
fine_10,
home_18,
minister,
banking_20,
fun_2,
minister_7,
minister_18,
society_6,
federal_19,
short selling,
political_17,
house_9,
loss_5,
hedge,
marketing_18,
kitchen,
wisconsin_20,
fond_8,
energy_9,
leverage,
fine_7,
fond_6,
forex_20,
bubble,
forex_18,
fun_9,
train,
movie_2,
ore,
finance_13,
credit,
financial_markets_4,
ring_14,
transaction_1,
debt,
minister_19,
case_15,
earnings,
fond,
products_6,
stocks_14,
stocks_18,
finance_11,
federal_20,
earnings_16,
marriage_15,
house_8,
tennessee_10,
financial_markets_20,
home_10,
banking_7,
ring_2,
political_19,
ring_17,
movie_17,
religion_9,
revenue_7,
financial_markets_13,
profit,
justice,
court_9,
products_4,
revenue_12,
health_7,
case_5,
fond_13,
fond_4,
transaction_18,
political_7,
wisconsin_10,
religion_1,
loss_4,
environment_14,
stats_15,
portfolio,
fine_2,
loss_3,
banking_17,
fun_6,
political,
finance_10,
forex,
restaurant,
minister_2,
stats_11,
society_15,
financial_markets_11,
finance_6,
happy_5,
fine_18,
home_19,
religion_17,
federal,
stats_7,
economy_10,
carolina,
financial_markets_18,
earnings_8,
money,
banking_1,
federal_9,
happy_2,
opportunity_16,
house_16,
products_20,
revenue_14,
economy_9,
global,
religion_15,
environment_12,
financial_markets_3,
house_12,
stats_4,
fine,
marketing_7,
religion_20,
party,
tennessee_6,
rights_9,
energy_1,
rich,
minister_9,
tennessee_18,
founded_10,
inc_3,
marketing_3,
inc_11,
founded_14,
health_13,
home_13,
founded_4,
case_6,
house_10,
founded_8,
minister_11,
fine_4,
service,
community,
fine_12,
police_11,
revenue_1,
million_5,
stocks_10,
ring_20,
revenue_19,
society_13,
services,
case_12,
seats,
movement,
loss_7,
movie_8,
ring_9,
transaction_15,
banking_2,
fond_19,
products_15,
inc_7,
investment,
fine_5,
minister_6,
energy_17,
inflation,
banking_18,
opportunity_12,
political_8,
products_9,
religion_10,
society_14,
marriage_4,
political_13,
illinois,
religion_14,
transaction_8,
political_5,
banking_9,
firm,
case_9,
stats_6,
ring_12,
stocks_17,
police_17,
minister_3,
police_16,
metals,
politics,
fine_9,
political_6,
environment_11,
energy_5,
million_11,
ministry_11,
economics,
fun_11,
inc_1,
earnings_20,
energy_18,
wisconsin_2,
fine_17,
society_8,
ltd,
earnings_14,
loss_8,
religion_6,
religion_11,
marriage_2,
founded_13,
revenue_2,
happy_8,
loss_13,
inc_6,
house_7,
case,
earnings_18,
inc_16,
home_15,
marketing_16,
finance_14,
founded,
marriage_5,
stocks_8,
political_16,
energy_12,
economic,
federal_16,
court_6,
society_19,
fine_8,
law,
energy_3,
happy_6,
home_12,
finance_19,
loss_14,
ring_10,
million,
fond_1,
court_19,
tennessee_12,
police,
movie_9,
markets,
political_10,
banking_19,
court_10,
banking_6,
inc_18,
earnings_1,
movie_18,
present,
products_18,
financial_markets_10,
gain_13,
house_5,
rights_12,
house_3,
economy_2,
police_9,
tennessee,
police_15,
environment_5,
health_1,
headlines,
gain_1,
home_14,
movie_16,
inc,
ministry_20,
economy_7,
case_2,
elected,
movie_14,
virginia,
case_16,
police_4,
marketing_11,
transaction_6,
million_6,
products_5,
food,
case_13,
gain_8,
environment_2,
stats_8,
home_2,
stats_2,
union,
million_13,
movie_13,
court_11,
marriage_1,
tennessee_7,
marriage_19,
fine_19,
earnings_9,
revenue_9,
ring_18,
forex_1,
tennessee_3,
gain_12,
marketing_10,
happy_10,
financial_markets_8,
wisconsin_6,
stats_10,
return,
federal_5,
rights_5,
fine_13,
opportunity_13,
forex_7,
stocks,
opportunity_14,
transaction_20,
washington,
wisconsin_3,
financial_markets_2,
stock market,
legal,
environment_3,
home,
court_1,
home_11,
federal_15,
forex_6,
gain_2,
ministry_5,
stats_13,
loss_12,
happy_3,
religion_7,
energy_11,
loss_20,
financial_markets_17,
marriage_10,
happy_12,
senate,
served,
finance_12,
forex_19,
finance_9,
water,
society_11,
rights_7,
finance_7,
technology,
wisconsin_15,
economy_16,
federal_12,
forex_17,
rights_20,
wisconsin_13,
health_2,
movie_19,
tennessee_13,
inc_12,
nyse,
federal_14,
blacklist,
marketing_8,
energy_19,
development,
court_18,
ministry,
society,
banking_3,
environment_17,
conflict,
fun_18,
revenue_5,
stocks_5,
fun_19,
happy_15,
movie_7,
transaction_7,
gain_7,
forex_3,
home_20,
wisconsin_19,
gain_17,
inc_8,
dividend,
DOW JONES,
environment_19,
vermont,
case_20,
house_13,
products,
religion_4,
court_5,
finance_1,
home_16,
finance_18,
holiday,
happy_1,
ohio,
house_17,
texas,
economy_18,
environment_13,
finance_16,
million_19,
rights_15,
health,
health_18,
environment_7,
wisconsin_18,
minister_10,
political_1,
president,
opportunity_18,
wisconsin_9,
pennsylvania,
forex_12,
products_16,
environment_10,
opportunity_9,
movie_15,
home_5,
housing,
federal_2,
fine_14,
revenue_16,
ministry_6,
stats_16,
energy_6,
happy_14,
health_6,
gold,
tennessee_4,
court_15,
fine_20,
tennessee_17,
gain_19,
police_1,
stats_18,
opportunity_8,
culture,
products_8,
stats_5,
religion_16,
rights_17,
happy_19,
tennessee_1,
earnings_10,
fond_12,
forex_5,
ring_16,
case_8,
house_19,
happy_7,
movie_10,
inc_17,
inc_19,
banking_14,
target_return,
environment_9,
fun_15,
ministry_1,
movie_12,
rights_16,
earnings_19,
project,
house_15,
gains,
movie_3,
gain_18,
rights_18,
voters,
energy_8,
republican,
financial_markets_5,
health_14,
energy_14,
banking_15,
happy,
gain_5,
loss_9,
earnings_17,
loss_19,
secretary,
consumption,
forex_8,
marriage_3,
stats_9,
default,
economy_17,
returns,
fun_3,
minister_16,
political_18,
health_11,
economy_1,
fond_15,
founded_1,
police_5,
ministry_15,
house_11,
economy,
transaction_14,
home_8,
gain_16,
earnings_12,
marketing_1,
rare earths,
police_14,
inc_10,
marketing_2,
financial_markets_19,
financial,
founded_2,
founded_12,
million_9,
tennessee_15,
marketing_6,
stats_3,
ring_11,
health_20,
wisconsin_7,
ceo,
ring,
ministry_12,
banking_12,
wisconsin_8,
case_1,
stocks_3,
fun_12,
society_16,
forex_15,
wisconsin_4,
stats_1,
financial_markets_7,
financial_markets_12,
votes,
home_17,
tennessee_20,
wisconsin_16,
court_16,
police_20,
banking,
founded_19,
political_2,
forex_13,
rights_6,
society_7,
transaction_12,
opportunity_1,
rights_8,
lifestyle,
minister_17,
founded_5,
health_8,
finance_3,
ring_8,
movie,
fun_10,
happy_13,
success,
health_16,
earnings_4,
revenue_10,
revenue_17,
stocks_6,
ring_5,
rights_19,
fond_20,
happy_18,
marriage_14,
gain_15,
environment_6,
environment_16,
financial_markets_6,
environment_8,
gain_20,
marketing_13,
products_17,
wisconsin_11,
crash,
case_4,
house,
industry,
college,
federal_3,
wisconsin,
marriage_20,
police_3,
court_17,
derivatives,
house_2,
house_20,
environment_15,
fond_5,
founded_18,
court,
rights_1,
inc_5,
loss_11,
consume,
elections,
forex_2,
police_18,
gain_9,
marketing_5,
banking_11,
risk,
revenue_18,
happy_9,
million_18,
economy_19,
happy_11,
political_20,
revenue_3,
society_12,
massachusetts,
case_7,
million_7,
tennessee_14,
labor,
gain_14,
marriage_7,
earnings_11,
political_15,
gain,
wisconsin_5,
opportunity_11,
transaction_9,
revenue,
stocks_13,
energy_20,
million_14,
stocks_15,
opportunity_3,
opportunity_6,
stocks_19,
transaction_13,
marriage_13,
financial_markets_15,
minister_5,
health_9,
business,
police_10,
ministry_7,
fond_9,
arts,
marriage_16,
court_8,
society_20,
federal_6,
economy_15,
marriage_17,
happy_16,
rights,
stats,
founded_7,
loss_17,
color,
energy_2,
georgia,
loss_1,
environment_1,
economy_11,
fond_7,
minister_13,
revenue_11,
finance_8,
stats_14,
house_18,
happy_20,
court_2,
police_19,
short sell,
stats_19,
opportunity_5,
society_3,
tennessee_11,
federal_18,
committee,
ministry_2,
representatives,
transaction_5,
opportunity_20,
gain_6,
political_4,
opportunity_19,
minister_20,
unemployment,
tennessee_9,
environment_20,
freedom,
political_14,
finance_20,
wisconsin_14,
marriage,
marriage_18,
cancer,
finance,
transaction_16,
health_4,
world,
house_14,
travel,
stocks_4,
district,
million_3,
loss_6,
economy_6,
banking_4,
court_3,
religion,
federal_7,
products_12,
media,
economy_3,
forex_16,
financial markets,
society_5,
loss,
federal_8,
garden,
energy_15,
fine_6,
home_4,
earnings_15,
transaction_10,
rights_3,
economy_8,
stats_17,
opportunity_7,
environment,
products_7,
ring_1,
office,
fun_5,
marketing,
fun_4,
gain_3,
movie_5,
society_1,
finance_15,
companies,
federal_10,
revenue_15,
gain_11,
million_4,
million_10,
fun_1,
transaction,
stats_12,
million_16,
william,
health_15,
religion_12,
movie_4,
stats_20,
nasdaq,
crisis,
marketing_14,
home_9,
energy_4,
dow jones,
market,
ministry_13,
election,
forex_10,
financial_markets_16,
stocks_11,
cash,
financial_markets_14,
tennessee_19,
governor,
inc_13,
founded_16,
banking_8,
loss_10,
earnings_13,
fond_10,
act,
million_12,
rights_11,
fun_20,
earnings_5,
million_8,
founded_9,
movie_20,
rights_13,
religion_19,
missouri,
ring_19,
financial_markets_9,
ministry_8,
kentucky,
society_4,
ministry_16,
economy_4,
marketing_4,
earnings_2,
founded_15,
council,
home_3,
home_6,
corporation,
economy_14,
products_11,
federal_17,
tourism,
stocks_12,
million_15,
health_19,
home_7,
transaction_2,
ring_3,
loss_2,
fond_11,
ring_15,
stocks_20,
fun,
case_3,
court_7,
court_12,
case_11,
movie_1,
rights_14,
religion_3,
revenue_8,
democratic,
social,
movie_6,
health_5,
marketing_20,
members,
transaction_4,
court_13,
fun_16,
government,
energy,
growth,
BUY AND HOLD,
religion_5,
opportunity_4,
ring_13,
finance_17,
tennessee_8,
ministry_19,
loss_18,
stocks_2,
ring_7,
trader,
county,
security,
police_8,
case_18,
police_13,
founded_6,
inc_9,
federal_11,
fun_8,
marriage_6,
management,
inc_2,
economy_20,
fond_3,
ministry_4,
finance_5,
revenue_13,
movie_11,
products_2,
economy_13,
religion_8,
energy_16,
federal_4,
energy_13,
fond_17,
ministry_9,
oil,
products_10,
products_19,
case_19,
fun_14,
happy_4,
products_1,
opportunity_17,
banking_5,
tennessee_16,
minister_12,
police_12,
minister_14,
opportunity,
forex_11,
ministry_10,
inc_4,
marketing_17,
bank,
home_1,
political_3,
fond_16,
fine_15,
fun_13,
environment_4,
energy_7,
economy_12,
wisconsin_1,
environment_18,
marriage_8,
inc_14,
economy_5,
inc_20,
inc_15,
marketing_9,
tennessee_2,
forex_14,
court_20,
fine_11,
earnings_3,
society_18,
ministry_14,
banking_13,
founded_20,
fond_18,
minister_4,
