feature,feature_score
election_1,0.0020992891833249306
governor_4,0.008195485455415468
greed_7,0.03551642548004652
greed_9,0.034414902843672525
greed_13,0.016057585316392998
greed_14,0.02785056775081736
members_7,0.03854992516545352
million_1,0.044516991952257244
risk_1,0.008347427331878744
short_selling_2,0.044428374552754765
short_selling_4,0.01687116902801737
tourism_7,0.044764619703046
pennsylvania,
home,
fine,
fine_10,
carolina,
risk_9,
greed_3,
illinois,
investment,
virginia,
gold_19,
leverage,
greed_1,
invest_16,
president,
million_11,
forex_17,
labor_16,
case,
labor_6,
money_3,
tourism_1,
gold_15,
county,
happy_12,
members_16,
environment,
bubble,
gold_3,
fun_10,
buy_12,
money,
money_17,
buy,
forex_15,
college,
short_selling_14,
gold_2,
party_3,
crash,
governor_7,
voters_20,
legal,
elected,
greed_6,
labor_17,
derivatives,
forex_7,
greed_17,
management,
million_12,
million_10,
tourism_13,
fine_6,
fine_5,
services,
fun_13,
money_16,
risk_20,
happy_13,
voters_1,
labor_18,
million_17,
governor_6,
committee,
voters_4,
party_5,
rich,
election_18,
governor_10,
gold_16,
fine_17,
dividend,
money_7,
culture,
seats_9,
labor_20,
labor_19,
members_13,
election_5,
election_3,
election_11,
short_selling_16,
labor_14,
products_9,
risk_19,
voters_16,
seats_10,
happy_14,
election_2,
election_10,
short_selling_9,
gold_1,
million,
garden_15,
million_4,
portfolio,
greed_15,
security,
short_selling_12,
police,
forex_5,
happy_8,
money_9,
election_8,
happy_11,
forex_19,
tourism_8,
restaurant_16,
marketing,
election_12,
fine_13,
fine_16,
party_14,
products_2,
garden_19,
million_2,
wisconsin,
buy_5,
tourism_20,
products,
party,
happy,
garden_12,
success,
election_6,
short sell,
fun_4,
buy_14,
voters_7,
present,
products_18,
seats_20,
votes,
members_15,
growth,
members_17,
buy_3,
money_5,
tourism_5,
fine_19,
senate,
buy_2,
garden_10,
district,
invest_9,
greed_11,
happy_2,
labor_5,
return,
labor,
election_4,
restaurant_3,
seats_16,
garden,
fun_3,
products_6,
short_selling_10,
labor_1,
political,
seats_12,
conflict,
voters_15,
buy_16,
products_12,
fun_2,
bank,
default,
society,
voters_5,
products_17,
fun_16,
bonds,
garden_4,
governor_17,
million_5,
buy_19,
fine_15,
million_16,
seats_1,
seats_8,
seats_18,
voters_9,
labor_10,
democratic,
voters_8,
greed_10,
governor_9,
loss,
invest_2,
voters_2,
voters_11,
products_16,
money_14,
happy_5,
secretary,
governor_18,
dow jones,
restaurant_2,
fine_20,
act,
risk_4,
buy_20,
members_12,
happy_4,
fond,
consume,
million_13,
credit,
firm,
development,
tourism_4,
members_18,
risk_6,
oil,
risk_12,
happy_10,
fun_5,
seats_13,
cash,
voters_6,
money_4,
members_10,
seats_2,
metals,
inflation,
seats_7,
short_selling_1,
global,
forex_18,
garden_8,
buy_8,
governor_8,
risk_11,
marriage,
william,
fun_6,
banking,
crisis,
party_19,
risk_17,
greed,
party_9,
governor_14,
restaurant_4,
products_11,
invest_17,
garden_7,
short_selling_8,
revenue,
money_20,
party_13,
governor_13,
ring,
greed_19,
short_selling_18,
invest_14,
restaurant_17,
community,
labor_4,
service,
labor_12,
short_selling_13,
gold_8,
greed_16,
buy_10,
election_20,
products_8,
tourism_16,
finance,
money_13,
members_4,
risk_15,
food,
labor_11,
gold,
tourism_12,
labor_15,
members_2,
products_4,
million_20,
restaurant_11,
money_12,
governor_3,
voters_3,
target_return,
movement,
technology,
invest_5,
forex_1,
forex,
risk_2,
members_6,
financial,
garden_17,
money_18,
garden_20,
members_19,
unemployment,
seats_4,
money_10,
stats,
restaurant_14,
fine_11,
trader,
minister,
short_selling_11,
transaction,
products_3,
headlines,
happy_16,
invest_15,
garden_14,
war,
million_19,
money_6,
party_16,
tourism_14,
restaurant_15,
gold_10,
voters_17,
office,
happy_3,
DOW JONES,
health,
seats_3,
short_selling_15,
gains,
color,
justice,
million_6,
corporation,
invest_6,
governor_5,
short_selling_19,
garden_2,
travel,
freedom,
gain,
gold_14,
seats_19,
buy_17,
gold_13,
sell,
voters_10,
money_1,
forex_3,
governor_1,
products_1,
garden_9,
risk,
fun_20,
project,
short_selling_7,
fun_7,
fun_14,
party_17,
stocks,
party_2,
buy_4,
forex_10,
media,
social,
gold_5,
fun_11,
fun_17,
products_5,
risk_13,
market,
forex_20,
kitchen,
restaurant_5,
invest,
fun_15,
fun_8,
happy_9,
members_5,
money_2,
party_6,
buy_1,
vermont,
world,
washington,
election_16,
gold_12,
labor_9,
forex_2,
forex_6,
restaurant,
risk_5,
companies,
rights,
fun_1,
members_14,
buy_7,
forex_12,
greed_18,
greed_8,
money_11,
invest_13,
forex_16,
gold_17,
invest_18,
fine_8,
tourism_11,
million_14,
products_7,
million_9,
gold_11,
gold_20,
kentucky,
fun_12,
members_3,
invest_3,
invest_12,
risk_3,
religion,
georgia,
money_8,
ceo,
fine_18,
governor_11,
government,
happy_6,
fine_1,
served,
earnings,
labor_2,
party_11,
voters_14,
restaurant_1,
invest_7,
industry,
restaurant_18,
fine_2,
governor_2,
greed_2,
massachusetts,
ore,
